,0,1,2,3,4,5,6,7,8,9
Cynanchica_pyrenaica,4.4132533,0.20217495,3.726112,-0.04872495,6.9271593,-0.01731411,1.669302,-0.07259372,3.7071605,-0.040474072
Galium_spurium,10.679975,0.3844792,6.0125585,-0.1145539,15.747995,-0.08941688,0.12514003,-0.31885883,8.860643,-0.06389303
Galium_concinnum,10.717499,0.3834212,6.0782065,-0.11582366,15.772664,-0.08792419,0.15437679,-0.32214913,8.86347,-0.06450835
Galium_setaceum,10.704898,0.38497564,6.033859,-0.11542197,15.797252,-0.08949841,0.18666287,-0.31783828,8.829995,-0.06450798
Galium_sterneri,10.730247,0.38456455,6.042861,-0.1162267,15.807698,-0.08916894,0.15669419,-0.32117602,8.87344,-0.0650566
Galium_richardianum,10.802898,0.38769484,6.055422,-0.11606158,15.897152,-0.09212602,0.19314064,-0.32106212,8.918138,-0.06540545
Galium_circaezans,10.809191,0.3877134,6.0541134,-0.11617577,15.897177,-0.09225212,0.18973164,-0.3207696,8.918782,-0.06540594
Galium_texense,10.800864,0.3874872,6.052118,-0.11612625,15.891758,-0.091925636,0.18617524,-0.32066625,8.915693,-0.065334044
Galium_porrigens,10.798523,0.38773352,6.0577154,-0.11608774,15.896601,-0.09200615,0.19207586,-0.3208622,8.913809,-0.06536606
Galium_boreale,10.804206,0.38774845,6.0516763,-0.11609392,15.891446,-0.09212138,0.19075386,-0.3211327,8.920713,-0.06537857
Galium_tinctorium,10.650206,0.3863849,6.056926,-0.114884466,15.790361,-0.08865687,0.22294389,-0.32054242,8.831926,-0.06483902
Galium_bifolium,10.7095785,0.3857788,6.0749526,-0.11605487,15.813252,-0.09004339,0.2078586,-0.3223965,8.836984,-0.06500501
Galium_album,10.766229,0.38833132,6.0483403,-0.11630228,15.943504,-0.08981057,0.18645583,-0.32743132,8.936113,-0.064995304
Galium_mollugo,10.767222,0.38857156,6.050601,-0.11622146,15.945643,-0.08969273,0.18819664,-0.3273545,8.940047,-0.06499732
Galium_verum,10.76253,0.38846624,6.052887,-0.11617302,15.945632,-0.08947948,0.19183867,-0.3273973,8.938249,-0.06496256
Galium_aparine,10.758317,0.3878541,6.077482,-0.116147175,15.949934,-0.088881575,0.19342227,-0.32766905,8.927772,-0.065050825
Galium_pumilum,10.740068,0.3876146,6.0599875,-0.11600952,15.927446,-0.089234404,0.19121791,-0.3275978,8.916776,-0.06490783
Galium_saxatile,10.746864,0.38807338,6.0593553,-0.11606972,15.933511,-0.08917405,0.18542908,-0.32776645,8.92828,-0.06489323
Galium_parisiense,10.761863,0.3874072,6.0598044,-0.11656721,15.9327755,-0.08991913,0.19483529,-0.32807976,8.915126,-0.065114155
Galium_triflorum,10.728521,0.38787207,6.068352,-0.115392625,15.904183,-0.08795548,0.20194362,-0.32532844,8.921276,-0.064693265
Cruciata_laevipes,10.705463,0.38529497,6.061284,-0.11450772,15.792432,-0.09085088,0.17742126,-0.32012394,8.850113,-0.06462305
Asperula_scoparia,10.715017,0.38473612,6.015725,-0.11535673,15.732954,-0.089317754,0.13803531,-0.31724972,8.858931,-0.06430278
Asperula_conferta,10.682865,0.38389748,6.031473,-0.11574583,15.720235,-0.08868691,0.12597625,-0.32012168,8.846792,-0.06433037
