,0,1,2,3,4,5,6,7,8,9
Cynanchica_pyrenaica,17.753386,3.8352518,2.1470618,0.90089697,7.8799205,4.4141135,8.15495,0.7714134,5.9982834,-2.2390194
Galium_spurium,-2.9510539,5.722997,4.6267734,2.8474493,4.086246,4.258373,3.4915411,6.6889663,10.015253,-5.1596804
Galium_setaceum,-3.009256,5.8169293,4.6653495,2.7833729,4.081215,4.157092,3.4207115,6.6163416,10.026655,-5.23185
Galium_sterneri,-2.941665,5.776008,4.5667953,2.7322464,4.1535344,4.1116724,3.4477181,6.6456122,10.043926,-5.242259
Galium_richardianum,-1.9716876,5.671033,2.1286504,3.5629666,4.8839307,4.568549,7.476262,3.9152858,9.925509,-2.252795
Galium_circaezans,-1.9361075,5.671146,2.0201979,3.5771782,4.8971467,4.5722723,7.584827,3.8137753,9.91896,-2.144348
Galium_texense,-1.9349834,5.661842,1.9915514,3.587405,4.9071684,4.5809383,7.6106606,3.7816677,9.929018,-2.117239
Galium_porrigens,-1.8943498,5.7434583,2.0776236,3.4958014,4.8162475,4.497157,7.525954,3.86444,9.851276,-2.203945
Galium_boreale,-2.0385027,5.553952,2.0611846,3.6860814,5.0068064,4.688616,7.5549674,3.8506918,10.038787,-2.1750968
Galium_tinctorium,-2.9238894,5.7443867,4.592265,2.8330998,4.090445,4.2396007,3.4145598,6.5236397,10.112079,-5.3338776
Galium_bifolium,-3.0523634,5.927495,4.7388773,2.6929853,4.1179466,4.1947713,3.5490866,6.625479,10.031261,-5.1735396
Galium_album,-3.9612036,4.817163,5.479112,4.097562,3.4374566,2.4903998,3.1907034,5.3582478,9.142906,0.9345206
Galium_mollugo,-3.8575742,4.761879,5.448344,4.187796,3.5328,2.6157885,3.2219164,5.378472,9.040622,0.9599448
Galium_verum,-3.9049392,4.7850904,5.429024,4.176586,3.48239,2.6200202,3.1950703,5.362096,9.088385,0.944494
Galium_aparine,-3.8643446,4.7450857,5.5063906,4.198195,3.480287,2.5908606,3.2586124,5.4245763,9.051627,0.8672962
Galium_verrucosum,-3.9282684,4.715876,5.5397615,4.2362685,3.416315,2.612622,3.2950966,5.463211,9.115892,0.8161204
Galium_pumilum,-3.7974432,4.827765,5.5257573,4.0974584,3.4692838,2.4974535,3.2000608,5.3778906,8.990812,0.84120154
Galium_saxatile,-3.8379817,4.631464,5.4747257,4.2822213,3.5587337,2.6331363,3.3439097,5.50346,9.031583,0.92137086
Cruciata_laevipes,-2.9935799,5.806393,4.593897,2.7363057,4.0991573,4.0841036,3.358575,6.678891,9.944886,-5.2554865
Asperula_scoparia,-3.1443021,5.9099865,4.890259,2.7941146,3.9914906,4.0849786,3.3407605,6.271837,10.1625805,-5.3156986
Asperula_conferta,-3.0647988,5.971968,4.8196135,2.722565,4.078967,4.051397,3.3650787,6.3417172,10.073392,-5.325533
Sherardia_arvensis,-3.1395707,5.9449224,4.8864455,2.7889178,4.005754,4.144545,3.4222288,6.436919,10.070396,-5.2046704
Coprosma_petriei,17.64816,3.760653,2.1254582,0.8908294,7.7863746,4.5621696,8.075331,0.7265344,6.059425,-2.1442966
Edrastima_uniflora,17.68235,3.8003461,2.0152848,1.0376378,8.114918,4.5080204,8.270172,0.569146,5.969317,-2.1444404
Kohautia_tenuis,17.631474,3.7448773,2.031345,1.0348309,8.086592,4.512005,8.242041,0.6010772,6.0067945,-2.1195571
Kohautia_caespitosa,17.748896,3.799127,1.9878771,0.97867155,8.258093,4.345638,8.422261,0.6519088,5.9004636,-2.24106
Mitracarpus_hirtus,17.496372,3.3100698,2.016249,0.81911415,8.417296,4.385479,8.478559,0.98766756,6.202222,-2.131019
