"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89"
"Cynanchica_pyrenaica",-0.0512455658807218,-0.000263426741098965,0.0781424683484316,0.000536933313736469,-0.0691884849095412,0.079032977601014,-0.0512690295305766,0.200780590499584,-0.151050055818165,0.0424410123838026,-0.0288743179320442,0.166846319603373,-0.0171776686146481,0.219142144514767,-0.0486465741696199,0.541925704105695,-0.0674124321390306,-0.0399182792890018,-0.00336163831840653,0.00881912864858534,-0.00763778992762886,0.00189399738359584,-0.0851512256673218,0.00117438977299568,-0.00213499656102092,0.200150151097016,-0.112441769158811,0.510623182634524,-0.0293515930693287,0.000691954738812523,-0.44796805203462,0.000579479008129165,-1.53158003813857e-05,0.000194276313493957,-0.00107164625874255,1.15343493008404e-07,-8.36766340092932e-07,6.83192874243198e-07,-0.000854720717334559,-7.07951366375451e-05,9.19160093877775e-17,-2.44079210574834e-25,6.26492765617193e-47,6.66882596266197e-10,4.29758728256217e-18,4.05336664745887e-17,4.59642760416932e-17,1.38475021563011e-52,-2.45265796905409e-156,-3.78503068057345e-172,6.51941785384131e-53,2.73087238360164e-53,-1.5426441922965e-41,-6.01353289946595e-52,-2.1199260208641e-51,-1.6543317153629e-08,-5.89715399503902e-18,-1.54976234991005e-17,5.100160472548e-08,-2.44086229906555e-09,-2.78056282870317e-15,-2.58694547915302e-42,-1.67119021148932e-15,-5.70138106673924e-17,2.3212703757614e-43,-6.05852978975424e-17,-9.67985930159842e-18,-8.40035909060806e-17,-1.51456364086718e-19,-1.88412868817773e-18,-3.90960347364733e-18,5.2231591517517e-124,5.23340628091369e-90,-6.63656879501101e-18,-2.22334288536279e-65,-3.1255581480881e-107,7.63313398816018e-48,-1.16078133086023e-18,3.47931522890721e-19,-1.50040978104279e-17,-4.27836296354491e-18,-5.90914218180992e-18,2.68075726146536e-17,3.18386686780155e-18,4.75334301244985e-18,2.81699635874045e-17,-3.24834308866337e-18,-1.09344249918726e-16,-2.26849052580252e-17
"Galium_spurium",-0.155268416711773,0.00674833508560202,-0.0975902736255005,-1.31428914520869e-05,0.00222073294001157,0.00674703745626938,-0.0948785463398578,-0.0194834967289557,-0.00567465420487292,0.00377277881893856,0.00542149967339891,-0.0294410187619136,0.00414452246280823,-0.126458276567752,-0.0950463076422892,0.0315016889538774,0.0788071469898563,0.00101649253729069,-0.124586318065297,-2.05262361052177e-05,3.79519188174098e-06,1.43179940788048e-06,-0.000362111444656031,9.52745756852843e-06,0.308527427121348,-0.0101730145434276,-0.00462295874758512,0.00843073095430508,-0.000284155230253094,9.62012055598005e-06,-0.000464709900851651,5.27398138394815e-07,-1.14823867002647e-08,8.23359209432261e-08,-0.0687383883213478,8.12530372091123e-11,1.24817006400056e-10,-3.46396206579559e-10,0.162540265983666,0.141281654861064,-1.57774388194929e-15,3.2630462247865e-15,6.26100417554207e-17,8.69193068050455e-14,5.13622358540512e-15,-9.66701298985568e-17,-2.84211215248855e-15,7.94534616753128e-16,2.30775275178244e-15,-5.37035580916314e-16,1.55409421127678e-15,-2.09192314861918e-15,-5.44345826179615e-17,2.13202251392679e-16,1.60251928285871e-15,1.26412200715438e-12,1.22720891051478e-16,9.97514712191079e-15,0.0239719465967034,-0.0017942764994522,-0.827329356851664,-0.0495654034682977,0.251136230103174,-1.52197144346042e-13,1.45508605164935e-13,-1.85626314288552e-13,-7.06085211016802e-15,2.22212362753437e-14,-3.86150335439765e-15,-4.18286248250481e-16,1.0126961768459e-14,-8.33873461894913e-16,-2.35635491534317e-15,1.27250809439919e-15,-3.08875396080422e-15,7.54791538477244e-16,-2.09551966486678e-15,-1.93029736274587e-15,1.0985934060827e-15,1.32001707560658e-16,-4.57132670858927e-15,-2.61023085949454e-15,4.97004844605394e-16,-3.26203240976278e-16,-5.6642157988382e-16,7.03033692023289e-16,-9.50086026125468e-16,-1.25938726596016e-16,-5.7673411387108e-16
"Galium_concinnum",-0.155268416711772,0.00674833508560189,-0.0975902736255012,-1.31428914523198e-05,0.00222073294001179,0.00674703745626934,-0.0948785463398577,-0.0194834967289544,-0.00567465420487381,0.00377277881893851,0.00542149967339885,-0.0294410187619126,0.00414452246280849,-0.12645827656775,-0.0950463076422884,0.0315016889538805,0.0788071469898556,0.00101649253729071,-0.124586318065297,-2.05262361058244e-05,3.79519188144835e-06,1.43179940755283e-06,-0.000362111444656425,9.5274575683439e-06,0.308527427121346,-0.0101730145434251,-0.0046229587475844,0.00843073095430713,-0.000284155230253385,9.62012055494722e-06,-0.000464709900852706,5.27398137289525e-07,-1.14823870636981e-08,8.23359216531821e-08,-0.0687383883213473,8.12526133238385e-11,1.24817101625564e-10,-3.46395555183482e-10,0.162540265983664,0.141281654861063,9.76271814864479e-18,3.68082526235356e-15,3.08176325304889e-16,8.54773652651124e-14,-3.05155536328042e-15,3.63265600150298e-15,4.40760469546514e-15,1.0717179843919e-15,6.20001190578662e-16,-3.32570338345289e-17,2.63852344213023e-16,-2.1745954819515e-15,1.11413838467268e-15,-8.82554030028274e-16,8.89249290910836e-16,1.27178357934162e-12,2.7145366503294e-15,5.1043441589855e-16,0.023971946596689,-0.00179427649937577,0.514345426564224,-0.253836853248113,0.648857175428894,1.46802280640294e-13,-9.92579444605459e-14,-7.87213837546948e-14,4.6677170584886e-15,4.54334983324144e-15,-1.72418794342619e-15,5.23329352621579e-16,9.42080979961268e-16,-4.63399172891791e-16,-6.56851492512878e-16,-1.01496980225318e-14,-5.70070423830716e-16,9.2370918775941e-17,2.99483272011398e-15,2.33174472891231e-15,6.14582373744853e-16,2.25453653337443e-15,-8.75109315310503e-16,2.8933873464716e-15,-9.24223247064087e-16,9.21264809946984e-16,-2.21303751567889e-16,1.54710589421629e-15,1.39564004932425e-15,-1.04772547457898e-15,-2.91725425523088e-16
"Galium_setaceum",-0.155268416711772,0.0067483350856018,-0.0975902736255004,-1.31428914522733e-05,0.00222073294001091,0.00674703745626998,-0.0948785463398578,-0.0194834967289536,-0.00567465420487379,0.00377277881893875,0.00542149967339879,-0.0294410187619129,0.00414452246280829,-0.12645827656775,-0.0950463076422881,0.0315016889538798,0.0788071469898556,0.0010164925372907,-0.124586318065296,-2.05262361061848e-05,3.79519188194643e-06,1.43179940734117e-06,-0.000362111444656165,9.52745756831664e-06,0.308527427121345,-0.0101730145434261,-0.00462295874758466,0.00843073095430408,-0.000284155230252143,9.62012055555372e-06,-0.000464709900849958,5.27398137531085e-07,-1.14823866873715e-08,8.23359203701237e-08,-0.0687383883213453,8.12535463799034e-11,1.2481799533278e-10,-3.46394892913197e-10,0.162540265983663,0.14128165486106,-1.4641632714476e-15,2.96126668418911e-15,-1.62213906580703e-16,8.36394323709268e-14,-1.93901901974735e-15,-8.99650018720697e-16,-1.35957587545695e-15,1.07896830339957e-16,3.24753645223401e-17,1.04606439560213e-15,-1.80636468775476e-15,2.11796783660969e-15,1.0256226891662e-15,-1.45809721390111e-15,6.41088207432752e-16,1.267103035811e-12,5.7882413789986e-16,-2.34380711532278e-15,0.0239719465966431,-0.00179427649938631,0.124905202451173,-0.514288232676121,-0.685497121898778,-5.13919008989511e-14,-2.22960784045398e-13,5.43229619870598e-14,8.77528393032909e-15,-8.89046840088748e-15,3.83302612592148e-15,-4.29767594813923e-16,-4.85860959055843e-15,-2.70209069171921e-16,3.58427508274244e-15,6.1101133522138e-15,2.18781828567459e-15,8.94949618196111e-16,4.13018971698397e-15,1.77150887595416e-16,-1.02199241122056e-15,-1.29667465907887e-15,5.94922014734461e-15,-1.33768932353973e-15,5.30534296660351e-16,-7.62929246363155e-16,6.11908270699576e-17,-2.61661662886266e-16,-3.26316987143856e-16,7.20136128785733e-16,1.57661723354451e-16
"Galium_sterneri",-0.155268416711772,0.00674833508560158,-0.0975902736255003,-1.31428914522105e-05,0.00222073294001168,0.00674703745626976,-0.0948785463398575,-0.0194834967289544,-0.00567465420487382,0.00377277881893861,0.00542149967339874,-0.0294410187619125,0.00414452246280843,-0.12645827656775,-0.0950463076422884,0.0315016889538793,0.0788071469898556,0.00101649253729063,-0.124586318065297,-2.05262361056926e-05,3.79519188161044e-06,1.43179940771665e-06,-0.00036211144465639,9.52745756838182e-06,0.308527427121345,-0.0101730145434244,-0.0046229587475856,0.00843073095430655,-0.000284155230252433,9.62012055624511e-06,-0.000464709900848237,5.27398137682928e-07,-1.1482385670334e-08,8.23359215323613e-08,-0.0687383883213467,8.12529812383166e-11,1.2481746766937e-10,-3.46395699906155e-10,0.162540265983663,0.141281654861062,-7.55309475294827e-16,4.42124369450974e-15,-7.77756785680146e-16,8.60352825305323e-14,4.80916171512065e-16,-2.4671598516608e-15,9.29353988633038e-16,-1.5162235422115e-15,-3.0359615720873e-15,-5.86946574281774e-16,3.34637449610966e-18,1.65485570844555e-15,-2.2097705029147e-15,1.73058875091451e-15,-3.07354687197941e-15,1.2701247439032e-12,-2.36921209353363e-15,-4.96661293167749e-15,0.0239719465966973,-0.0017942764994475,0.188078727836275,0.817690489392528,-0.214496283633297,5.5315268204504e-14,1.77068149605024e-13,2.09419246526781e-13,-7.08097497321625e-15,-2.11854185882023e-14,2.28884973830227e-15,-5.39103335791096e-17,-6.24619378941119e-15,1.53387152329676e-15,-5.86475719133376e-16,2.69951282017143e-15,1.7006067917026e-15,-1.61678849764548e-15,-4.95166410054038e-15,-1.6363279068517e-16,-3.22882823307547e-16,-9.83346768869627e-16,-1.9042326783072e-16,9.91135651807593e-16,1.18459340442364e-15,1.24520944834647e-16,3.93917533650657e-17,-2.29884357891807e-15,1.63455643758884e-16,6.2938298026817e-16,4.97715752201636e-16
"Galium_richardianum",-0.161795114772946,0.00720940273690918,-0.123247888338918,-2.01157565725816e-05,0.00374488046261984,0.0161647322822888,-0.276114460126776,-0.129294345953823,0.219795849987405,-0.0806816672243991,-0.0194861456038982,0.0826509477261731,-0.00836876845274345,0.223280550030771,0.146327825420716,-0.0464236539482994,-0.118106892591633,-0.0015426905956549,0.296584147864881,0.000124018555582659,5.18517811631263e-05,7.08988223240795e-07,-0.000131538321445678,2.87237199464939e-06,0.0388080201953069,-5.42385789706959e-05,0.000392950279292437,-0.000773569374479241,2.64301385963575e-05,-8.83938283294781e-07,4.17581969435754e-05,-4.33779600479158e-08,9.28885930112401e-10,-6.44275930155246e-09,0.0051975827357642,-6.06002612244261e-12,-8.40466605969166e-12,2.27482002812435e-11,-0.0104633704651007,-0.00844080561806255,-9.7522219364292e-17,-3.35322652746966e-16,2.29439573981561e-17,-5.33085497529067e-15,7.7720487663968e-16,2.72380360315971e-16,6.83211771401534e-16,3.06744954485613e-16,1.00566714916191e-16,2.42343326156014e-16,2.48005260233566e-16,1.88169954801076e-16,-3.08537163177655e-16,1.4032775415042e-16,-2.18642199169837e-16,-6.19890205867956e-14,1.36720585312754e-17,1.30126164659317e-14,0.339245295983745,-0.000236229987556538,5.79211510968666e-15,-1.05202305200613e-14,-1.01551147708564e-14,-1.74680934419735e-15,3.6085001868606e-16,-3.96738485387651e-16,1.16981630103712e-15,-2.58621743950785e-15,3.13123485085994e-16,-5.20510701201483e-16,-4.09107736399601e-16,3.98977149469359e-16,6.85610857846947e-16,-5.93316188638721e-16,-5.88531632702089e-16,-2.52302580129027e-16,8.27532271288885e-16,7.8806752556852e-16,-4.07389295665177e-16,6.96409484660771e-16,2.26114442135144e-16,-1.13845416435996e-17,-9.14516161135274e-16,3.1759988276e-16,1.31418034438609e-15,-2.12302716485375e-15,-1.74177911608994e-15,0.707106781186548,7.18934687056872e-16
"Galium_circaezans",-0.161795114772946,0.00720940273690962,-0.123247888338918,-2.0115756572495e-05,0.00374488046262067,0.0161647322822893,-0.276114460126776,-0.129294345953822,0.219795849987404,-0.080681667224399,-0.019486145603898,0.0826509477261732,-0.00836876845274295,0.223280550030771,0.146327825420716,-0.0464236539482998,-0.118106892591633,-0.00154269059565459,0.29658414786488,0.000124018555582513,5.18517811628509e-05,7.08988223288229e-07,-0.000131538321444954,2.87237199444329e-06,0.0388080201953069,-5.4238578970342e-05,0.000392950279292547,-0.000773569374479196,2.64301385965323e-05,-8.83938282647404e-07,4.17581969434921e-05,-4.33779593540535e-08,9.2888639624395e-10,-6.44275903992093e-09,0.00519758273576401,-6.06018213104872e-12,-8.40421341915482e-12,2.27490700015976e-11,-0.0104633704651004,-0.00844080561806247,4.71833041829512e-16,-3.01794171819574e-16,1.69742423997433e-16,-4.901527725778e-15,-3.60329675942059e-16,3.5544269148867e-16,2.4645484769701e-16,2.81503966901356e-16,3.21809079143144e-16,1.09236145133399e-16,3.80219005955314e-16,1.50892072085165e-16,-6.22491123331564e-16,2.39537800025563e-16,1.7940135064761e-16,-6.22808699809234e-14,-1.81756129990311e-16,1.32639242464779e-14,0.339245295983745,-0.000236229987553565,5.31457727108715e-15,-9.97899679555658e-15,-1.21734791827944e-14,-2.39177316689277e-15,6.11839919705181e-16,-9.31629668394682e-17,7.30499916918959e-16,-2.37112572478155e-15,-5.11359248313497e-16,-3.15156213260851e-16,4.8510683338021e-16,-6.58400486553049e-16,-5.76127121531259e-16,4.31869054293772e-16,8.19772248629788e-16,-3.24298531082078e-16,3.06288291971511e-16,9.42661410470924e-16,-1.59409930048008e-16,-3.61392879078765e-16,9.0095138944895e-16,-7.42347858365992e-17,2.22705995625765e-16,-2.57025371942815e-16,-7.86750056018215e-16,1.86552267188567e-15,1.41380120879077e-15,-0.707106781186548,-7.7901151474845e-16
"Galium_boreale",-0.160837581413435,0.00714166110629239,-0.119442724619187,-1.90713617709455e-05,0.00351553377388425,0.014726477720826,-0.248244825206794,-0.112058613448156,0.183586614174754,-0.0670771391547139,-0.0153050547640923,0.0634869844576464,-0.00613455474184626,0.15877781967314,0.0988113319373494,-0.0296420490073998,-0.0734711718671334,-0.000950722195785482,0.166187901591991,6.62562775826212e-05,2.68324717945909e-05,3.21910655027256e-07,-5.81325966065374e-05,1.2479513850517e-06,0.0155408830543559,-1.88274257308663e-05,7.15690789596726e-05,-8.31046224803178e-05,5.91399077419855e-07,3.62157387309952e-08,-4.41087435597287e-06,1.2776201165421e-08,-3.03849327648764e-10,2.52637575730001e-09,-0.00238764829013382,2.94874730635529e-12,5.86004592229016e-12,-1.71026068903639e-11,0.00833415498396614,0.00822051373862963,-5.34704750062355e-16,6.37741984879432e-16,-2.63561326660821e-16,5.47176501324429e-15,-4.2308467139516e-16,-8.90877118213338e-16,-1.19818828017119e-15,-7.12978391612384e-16,-5.37509438737855e-16,-4.34493758061189e-16,-7.99904193120245e-16,-4.32966145546078e-16,1.19607471877644e-15,-5.25362059245342e-16,5.52572545768957e-17,1.28978258346492e-13,2.46088445755878e-16,-3.37207878216559e-14,-0.873229729168463,0.000615680886486363,-1.41922773272127e-14,2.58681964737661e-14,2.88320036511269e-14,5.11104146026255e-15,-1.2541375219877e-15,8.51271665902167e-16,-2.38158248807148e-15,5.31944120532954e-15,2.35261600248395e-16,1.20484528013571e-15,-1.16445129725392e-16,3.83055795009163e-16,-9.78716546017404e-17,7.43578058278051e-17,-2.67562192177963e-16,7.62187809681358e-16,-1.49574439408498e-15,-2.11793345317867e-15,6.85854852574486e-16,-3.62684685521917e-16,-1.27923756455773e-15,1.3879316216603e-16,1.13145017796819e-15,3.34456838928639e-17,-3.61496651859992e-16,2.15765640149893e-16,7.48511172538249e-16,-7.60209039288849e-16,-1.77133563899799e-17
"Galium_tinctorium",-0.159593036894266,0.00705300128418428,-0.114241331293298,-1.75800699339992e-05,0.0031815387008209,0.0125025914549628,-0.203993320853182,-0.0825885232781945,0.116828364251799,-0.041753735924843,-0.00654631305243861,0.0214063610712523,-0.000709278150151262,-0.00866388024022641,-0.0398258571128654,0.0262217359339734,0.0848883665342064,0.00119891587661936,-0.442257908925847,-0.000243128497184511,-0.000120991154385695,-3.35963771041919e-06,0.000729057602069821,-1.7650677667097e-05,-0.4213159830664,0.00990247907288124,0.00238379794572187,-0.00356119006855776,9.88844488493072e-05,-2.94545605152073e-06,0.000126207536094158,-1.05445095967895e-07,2.18838415080401e-09,-1.43090434109489e-08,0.0109020989793455,-1.2431387688107e-11,-1.46752076754613e-11,3.81752061902819e-11,-0.0170013168628012,-0.0120761973131289,7.66703250556958e-16,-1.04175238587506e-16,4.97624221163846e-16,-6.84252678676247e-15,3.31617985190035e-15,-2.61591855851426e-16,-1.16568023558761e-15,1.91008405738893e-16,1.74820889607648e-16,2.45699393271469e-16,4.18289163407614e-17,-1.66349618261607e-16,-1.58553933393811e-16,-4.81132476656733e-16,-7.2025344082679e-16,-3.16171397536073e-14,6.40261896034594e-16,-2.58281737932289e-14,0.0499749723399649,-2.94812252767757e-05,-1.44280772085874e-14,-1.22480151021342e-14,1.22598171623057e-14,-3.82419390341172e-14,-5.85018938587103e-15,-3.8720600927269e-14,-1.78701718690005e-12,-0.707106781186547,-5.53704738240794e-14,-1.9282215411576e-16,1.60695443055761e-15,-3.28845002450646e-16,4.88788674843876e-16,4.05135603444381e-15,8.34225489392918e-16,2.93876123537708e-15,3.06573280831725e-17,-1.73073718361523e-17,1.00372327294107e-15,-1.803921398302e-15,-4.67773657228714e-17,-1.43306748727074e-15,-8.10735069946963e-16,-6.18065264926579e-16,5.3615749741722e-16,3.76659467147869e-17,-5.69252363459917e-16,2.22223013484211e-16,7.91222326494888e-17
"Galium_bifolium",-0.159593036894266,0.00705300128418428,-0.114241331293298,-1.75800699341033e-05,0.00318153870082089,0.0125025914549629,-0.203993320853182,-0.0825885232781949,0.116828364251799,-0.041753735924843,-0.00654631305243865,0.0214063610712524,-0.00070927815015118,-0.00866388024022632,-0.0398258571128654,0.0262217359339731,0.0848883665342066,0.00119891587661939,-0.442257908925846,-0.000243128497184697,-0.000120991154385677,-3.35963771030002e-06,0.000729057602069733,-1.76506776671495e-05,-0.421315983066398,0.00990247907288164,0.00238379794572212,-0.00356119006855668,9.88844488501086e-05,-2.94545605152106e-06,0.000126207536094769,-1.05445096378347e-07,2.18838421548175e-09,-1.43090431391462e-08,0.0109020989793441,-1.24314652866217e-11,-1.46748606624212e-11,3.8173580734559e-11,-0.0170013168627998,-0.0120761973131278,-4.70014981310914e-16,-6.67852821644514e-16,-5.13964195853128e-16,-7.03399245121648e-15,-2.63391409886379e-15,3.311532498403e-16,1.19489698111486e-15,-2.05090229118183e-16,-6.25358130389459e-17,-2.44474798053804e-16,-6.71018000926996e-18,3.17011489990804e-16,3.44101456203892e-17,6.16288171140435e-16,7.19158579584455e-16,-3.11804307563023e-14,-1.13653363793122e-15,2.97168172673505e-14,0.0499749723399739,-2.94812252715811e-05,1.53526439604779e-14,8.98500024382187e-15,-1.50440908465075e-14,3.79413760751783e-14,6.12484729115505e-15,3.88318695082045e-14,1.78744101773345e-12,0.707106781186548,5.53424262546287e-14,-4.26011976635414e-17,-1.674667205845e-15,1.34897280294193e-16,-4.24062034906415e-16,-3.91318305483662e-15,-9.13177156553767e-16,-3.09088094293446e-15,2.52983676067123e-16,8.45655492613185e-17,-1.2001258393447e-15,1.72252778540483e-15,7.51579319253279e-17,1.41505833175155e-15,3.96656026992852e-17,5.66791690054917e-16,-4.05782171924335e-16,-3.8850325666942e-16,2.04653879954642e-16,1.257275835158e-16,-5.73585890961118e-17
