"accepted_species","Medicinal"
"Atractocarpus_confertus",0
"Vincetoxicum_sarasinorum",0
"Parapentas_setigera",0
"Aidia_bakeri",0
"Vincetoxicum_pierrei",0
"Dischidia_torricellensis",0
"Oldenlandia_rupicola",0
"Malouetia_mildbraedii",0
"Asketanthera_picardae",0
"Logania_vaginalis",0
"Psychotria_andriantiana",0
"Aspidoglossum_ovalifolium",0
"Hyperacanthus_poivrei",0
"Arachnothryx_gracilis",0
"Mycetia_nutans",1
"Coussarea_petiolaris",0
"Eumachia_trichostoma",0
"Spermacoce_clinopodioides",0
"Mandevilla_convolvulacea",0
"Vincetoxicum_stauntonii",1
"Ferdinandusa_chlorantha",1
"Hoya_albiflora",0
"Palicourea_mortoniana",0
"Psychotria_pancheri",0
"Palicourea_odorata",0
"Palicourea_yneziae",0
"Lisianthius_nigrescens",0
"Microrphium_pubescens",0
"Malouetia_barbata",0
"Catesbaea_longispina",0
"Neonauclea_superba",0
"Nauclea_pobeguinii",1
"Gonolobus_retusus",0
"Arachnothryx_reflexa",0
"Symbolanthus_rosmarinifolius",0
"Anthospermum_bergianum",0
"Metastelma_anegadense",0
"Schradera_nervulosa",0
"Alafia_insularis",0
"Schradera_obtusifolia",0
"Pachypodium_decaryi",0
"Rondeletia_daphnoides",0
"Rondeletia_eriocarpa",0
"Swertia_lugardae",0
"Bertiera_longithyrsa",0
"Bertiera_bracteolata",0
"Swertia_pseudochinensis",1
"Ceropegia_furcata",0
"Psychotria_tenuissima",0
"Psychotria_dallachiana",0
"Psychotria_fosteri",0
"Phialanthus_resinifluus",0
"Psychotria_villicarpa",0
"Galium_kurdicum",0
"Psychotria_aurantiocarpa",0
"Galium_runcinatum",0
"Psychotria_vomensis",0
"Psychotria_diminuta",0
"Gaertnera_vernicosa",0
"Crawfurdia_tonkinensis",0
"Ixora_raiateensis",0
"Ixora_gibbsiae",0
"Ixora_andina",0
"Hoya_dictyoneura",0
"Hoya_bilobata",0
"Tabernaemontana_undulata",1
"Mussaenda_tomentosa",0
"Tabernaemontana_laurifolia",0
"Machaonia_rysonii",0
"Spermacoce_inaguensis",0
"Eumachia_frutescens",0
"Palicourea_villipila",0
"Rutidea_hirsuta",0
"Secamone_delagoensis",0
"Secamone_socotrana",0
"Hydnophytum_confertifolium",0
"Hydnophytum_archboldianum",0
"Aidia_waugia",0
"Sebaea_brachyphylla",0
"Spermacoce_gibba",0
"Gonolobus_chloranthus",0
"Gynochthodes_mindanaensis",0
"Lasianthus_eberhardtii",0
"Lasianthus_oblongilobus",0
"Halenia_mathewsii",0
"Caralluma_baradii",0
"Parsonsia_leichhardtii",0
"Gonzalagunia_congesta",0
"Otiophora_multicaulis",0
"Ophiorrhiza_klossii",0
"Faramea_grayumiana",0
"Ophiorrhiza_rhododictyon",0
"Sabicea_najatrix",0
"Ophiorrhiza_sanguinea",0
"Chassalia_densifolia",0
"Gentiana_atuntsiensis",0
"Gentiana_wangchukii",0
"Ridsdalea_alba",0
"Faramea_condorica",0
"Coffea_montis-sacri",0
