,0,1,2,3,4,5,6,7,8,9
Shaferocharis_multiflora,5.8784637,-1.1990945,0.52434516,10.159582,-2.5456195,-0.33263466,1.6331203,-0.39280123,0.14612511,-0.92049694
Hindsia_arianeae,5.1435204,-1.1551254,0.3624716,8.252493,-2.37727,-0.32135493,0.24146768,-0.358254,0.22622731,-0.6129858
Morindopsis_capillaris,4.391533,-0.8510697,0.5724354,7.792349,-2.3377626,-0.30022603,0.4377303,-0.37748387,0.14699191,-0.773674
Brachytome_russellii,5.689257,-1.1604095,0.5012002,9.887773,-2.562396,-0.3371073,1.515768,-0.40141892,0.06178161,-0.9029729
Batopedina_linearifolia,4.4688954,-0.9882331,0.612558,7.7686625,-2.4673185,-0.28142977,0.47218692,-0.36953667,0.18964158,-0.7194198
Rogiera_ligustroides,5.5771074,-1.0458928,0.58685637,9.798158,-2.519775,-0.39405948,1.0108486,-0.42300227,0.019527186,-0.97307235
Galium_chaetopodum,-0.03809877,-3.8786402,4.1457443,11.859257,-6.2787533,-0.4506404,-0.69586664,-0.6326589,3.0625222,-1.4241136
Galium_×_fictum,-0.039612878,-3.8685215,4.059532,11.862856,-6.2701745,-0.44689468,-0.6780795,-0.63122445,3.042918,-1.4160682
Galium_samuelssonii,-0.043527197,-3.8535924,4.06753,11.772631,-6.2602787,-0.4429225,-0.6795127,-0.6341033,3.033371,-1.4143726
Galium_cornigerum,-0.03794596,-3.8593557,4.0511336,11.820586,-6.261212,-0.44913876,-0.6855184,-0.6318813,3.0372298,-1.414403
Galium_karataviense,-0.044707064,-3.8508465,4.0560946,11.824701,-6.2609515,-0.44262543,-0.67144334,-0.6330028,3.0376804,-1.4151365
Asperula_popovii,-0.044989824,-3.8860197,4.10474,11.85709,-6.2708917,-0.44323993,-0.67503506,-0.6404944,3.0618105,-1.4229373
Leptodermis_yangshuoensis,-0.01845401,-3.546059,3.886304,11.405771,-5.849665,-0.43388218,-0.629526,-0.6072044,2.8111115,-1.374724
Mycetia_cauliflora,0.068044014,-3.5500298,3.9610636,11.44437,-5.8068595,-0.4580252,-0.66831774,-0.5941317,2.8067937,-1.3829739
Argostemma_grandiflorum,0.10031488,-3.5436676,3.822462,11.4630575,-5.7986097,-0.44657537,-0.624837,-0.6058939,2.7796144,-1.3754084
Argostemma_callitrichum,0.0015696734,-3.540634,3.916329,11.311886,-5.7594357,-0.44322214,-0.63458973,-0.60551685,2.7811737,-1.3727815
Argostemma_lamxayanum,-0.003199198,-3.5360043,3.8927236,11.408867,-5.7948694,-0.4573494,-0.66444033,-0.603818,2.8137045,-1.3811154
Hedyotis_subvenosa,0.45729035,-3.5418143,3.824438,11.24465,-5.6783247,-0.41797975,-0.5961725,-0.64102054,2.7003522,-1.318625
Hedyotis_simplicissima,0.45987338,-3.5435328,3.8162076,11.248574,-5.678468,-0.41766292,-0.59396863,-0.6402394,2.6997051,-1.3176751
Mitracarpus_floribundus,0.39810154,-3.4896371,3.689904,11.236433,-5.635821,-0.41068384,-0.5601405,-0.6234273,2.663897,-1.3146105
Agathisanthemum_bojeri,0.58370197,-3.4226525,3.6090045,11.294918,-5.55147,-0.4349673,-0.5821844,-0.6065352,2.6404884,-1.3185704
Psychotria_haplantha,0.19442752,-3.6015446,3.8928225,11.361061,-5.8293843,-0.44652215,-0.68042433,-0.6225647,2.8469713,-1.3369359
Psychotria_aquatilis,0.14392206,-3.6078184,3.9443927,11.410857,-5.8651056,-0.45242134,-0.69166577,-0.6226493,2.8542264,-1.3545564
Chassalia_magnificens,0.1222068,-3.6293302,3.888317,11.46522,-5.8750143,-0.4412983,-0.67153955,-0.6145644,2.8408413,-1.3341033
Geophila_yunnanensis,0.15031469,-3.6124716,3.9150612,11.504575,-5.8778176,-0.4436119,-0.66363794,-0.61907715,2.8226867,-1.3510064
Palicourea_fissistipula,0.39087728,-3.5900197,3.8581336,11.522851,-5.816014,-0.44032732,-0.6490683,-0.6114649,2.7674363,-1.3286873
Morinda_mefou,0.3128653,-3.5057096,3.8555374,11.303566,-5.7185564,-0.42872274,-0.62644243,-0.6018949,2.7245028,-1.3232467
Urophyllum_magnifolium,2.058558,-2.3247843,2.848863,9.97183,-4.2112765,-0.3647191,-0.26749608,-0.5084296,1.5214001,-1.1610845
Ophiorrhiza_inconspicua,1.9724487,-2.571906,2.7380042,10.834712,-4.599106,-0.3730051,-0.21491551,-0.56503934,1.6912663,-1.202382
Ophiorrhiza_teysmannii,1.9640545,-2.5675051,2.7216551,10.815417,-4.5989466,-0.37027597,-0.21057487,-0.56491023,1.6828402,-1.1976955
Ophiorrhiza_robbrechtii,2.0392501,-2.552928,2.6833754,10.843148,-4.5648,-0.3756248,-0.21640418,-0.559451,1.677327,-1.192595
Coptosapelta_tomentosa,4.533047,-1.2220695,1.1333169,9.490215,-2.8772392,-0.34346235,0.6081764,-0.40355596,0.3354485,-0.928192
Pavetta_axillipara,9.48088,-1.7710366,8.145455,4.683765,-1.5947654,-0.3609917,-1.6229256,-0.15117358,0.69198817,-0.40049276
Pavetta_graciliflora,9.485278,-1.7763592,8.139236,4.6660028,-1.5869913,-0.36017564,-1.6228362,-0.15083918,0.6941727,-0.39624706
Gardenia_resinosa,9.479131,-1.7731982,8.093861,4.7148266,-1.6036359,-0.36077967,-1.6071604,-0.15732376,0.677719,-0.4017757
Duroia_fusifera,9.334692,-1.7540021,8.069238,4.7017255,-1.6087263,-0.36662772,-1.6227489,-0.14878637,0.69921315,-0.406498
Coffea_costatifructa,9.380665,-1.7646538,8.113913,4.6944976,-1.6109997,-0.36196244,-1.6119273,-0.15563416,0.6824368,-0.40781564
Canthium_cambodianum,9.504364,-1.809792,8.245603,4.6951528,-1.5936171,-0.36185557,-1.629627,-0.15216313,0.70745647,-0.40412438
Pyrostria_longicorollata,9.549071,-1.823751,8.266769,4.666719,-1.5963409,-0.36116433,-1.640837,-0.1505488,0.7095584,-0.39218307
Peponidium_capuronii,9.536174,-1.8262336,8.269555,4.6568365,-1.5973248,-0.3608035,-1.642439,-0.1505466,0.71111745,-0.39106113
Peponidium_ankaranense,9.532955,-1.8246276,8.2631035,4.6544776,-1.5964568,-0.3603896,-1.6406503,-0.15039119,0.7095338,-0.39086506
Psydrax_cudalorensis,9.520569,-1.8118544,8.225125,4.6214495,-1.5888734,-0.35661834,-1.6335632,-0.14889307,0.69976044,-0.3855634
Ixora_meeboldii,9.549482,-1.7843355,8.25508,4.789508,-1.6063465,-0.36791238,-1.6242548,-0.15434797,0.68877673,-0.4232358
Ixora_deliensis,9.597898,-1.7911636,8.286043,4.778967,-1.6123295,-0.36834282,-1.6377772,-0.15445884,0.69198287,-0.4164876
Ixora_cambodiana,9.591842,-1.8026175,8.264279,4.7502027,-1.600438,-0.36506087,-1.6298323,-0.15443487,0.6938005,-0.41089684
Mussaenda_bodenii,8.745565,-1.5955,6.856062,5.499769,-1.75899,-0.38900694,-1.3542228,-0.23207463,0.5537761,-0.50826925
Mussaenda_rufescens,8.714352,-1.6050893,6.930055,5.4825654,-1.7624593,-0.38893723,-1.3663431,-0.23370644,0.5651296,-0.51167685
Mussaenda_tenuiflora,8.753625,-1.6062326,6.9388943,5.55303,-1.7737912,-0.39512628,-1.3711796,-0.23344642,0.56988627,-0.5203218
Mussaenda_liedeae,8.766617,-1.5997492,6.920552,5.530144,-1.756406,-0.39181274,-1.3640136,-0.23381944,0.5647411,-0.51744777
Sipanea_ovalifolia,8.441345,-1.474352,6.6094327,5.6574454,-1.7452145,-0.40913588,-1.3184587,-0.20821038,0.53308076,-0.5637185
Neobertiera_montedouradensis,8.507867,-1.4519475,6.613345,5.691968,-1.7499009,-0.40718028,-1.3096756,-0.21328011,0.5141153,-0.567038
Neonauclea_vinkiorum,8.109052,-1.3648889,5.829622,6.4882646,-1.9484655,-0.4401896,-1.135995,-0.26695704,0.3859047,-0.67817485
Hymenodictyon_glabrum,8.11489,-1.3703942,5.8327427,6.4284177,-1.929219,-0.4345344,-1.1350945,-0.26700842,0.394747,-0.6662488
Cinchona_officinalis,8.241764,-1.4018332,5.9570813,6.555842,-1.9269074,-0.45553166,-1.1898633,-0.27154472,0.44909555,-0.67476934
Guettarda_excisa,8.1924715,-1.334687,5.8529735,6.435315,-1.9224979,-0.439374,-1.163912,-0.265431,0.40711454,-0.65824735
Acrosynanthus_revolutus,8.188836,-1.3583001,5.8476496,6.506899,-1.9478197,-0.44481993,-1.1609582,-0.26841187,0.40216044,-0.6698138
Solenandra_microcarpa,8.182426,-1.3930974,5.871871,6.4518166,-1.9625072,-0.44735858,-1.1892198,-0.2605714,0.42624986,-0.6490392
Baseonema_gregorii,-0.5983444,14.062651,-2.211202,-0.4114798,12.684636,-0.2840545,5.234376,-0.1347136,0.8862669,11.756545
Amsonia_fugatei,-0.5793969,14.118895,-2.2000508,-0.4056663,12.873625,-0.2660732,5.125687,-0.15957995,0.788388,11.803094
Glossostelma_lisianthoides,-0.60330814,14.183592,-2.2070067,-0.39631638,12.8960705,-0.28932345,5.2490606,-0.1514258,0.8490191,11.888395
Ibatia_warscewiczii,-0.60787416,14.696962,-2.2467494,-0.41376007,13.119015,-0.2614893,5.606644,-0.15210792,0.86370164,12.218348
Stapeliopsis_breviloba,-0.6019701,14.209151,-2.2934847,-0.40191126,12.768414,-0.29223362,5.1947303,-0.15211219,0.8863731,11.792745
Jasminanthes_chunii,-0.6004891,14.0872965,-2.2391064,-0.38624096,12.841693,-0.2677785,5.191884,-0.12427411,0.84963983,11.777219
Ditassa_albonerva,-0.6803142,17.013968,-2.2969155,-0.5000363,16.871637,-0.25163147,5.0531635,-0.21079054,0.4596708,12.444421
Matelea_trichopedicellata,-0.68834084,17.130299,-2.295996,-0.5050198,16.934893,-0.25057232,5.176855,-0.21494932,0.46737486,12.565084
Gonolobus_eriocladon,-0.6879993,17.17883,-2.2964103,-0.50776654,16.96277,-0.25110924,5.184799,-0.21935315,0.46352187,12.566337
Orthosia_umbrosa,-0.6875785,17.052263,-2.3179812,-0.5029498,16.907305,-0.25361174,5.122465,-0.21051985,0.48118624,12.549639
Diplolepis_menziesii,-0.683887,17.026567,-2.3008888,-0.4984998,16.827013,-0.2541873,5.1328793,-0.21281272,0.4712388,12.540893
Vincetoxicum_microcentrum,-0.6795748,16.965551,-2.2980654,-0.4965814,16.678932,-0.26827374,5.0818014,-0.21766016,0.49560186,12.540658
Margaretta_rosea,-0.68373966,17.089094,-2.3346272,-0.5043866,16.797016,-0.2741438,4.998888,-0.20836493,0.5256026,12.55277
Cynanchum_hemsleyanum,-0.6812475,17.007084,-2.340916,-0.50099665,16.809984,-0.27137062,4.928052,-0.20004296,0.51685005,12.457492
Ceropegia_lucida,-0.67227036,16.6844,-2.2436376,-0.5062732,16.404186,-0.25622207,4.9522176,-0.20182788,0.5342083,12.315531
Hoya_halophila,-0.6803715,17.007643,-2.361458,-0.5076448,16.693878,-0.26118752,5.093834,-0.20110168,0.5368678,12.475789
Hoya_calycina,-0.67790705,17.052822,-2.3447452,-0.5113167,16.760666,-0.25321078,5.099756,-0.20559703,0.5108443,12.440373
Hoya_matavanuensis,-0.67980134,16.97634,-2.3480914,-0.50816184,16.712109,-0.25315294,5.1348085,-0.20131482,0.5221828,12.467184
Dischidia_phuphanensis,-0.680157,16.99556,-2.338474,-0.50992846,16.711155,-0.2507692,5.137344,-0.2036403,0.51852757,12.433469
Decalepis_nervosa,-0.65757596,16.231806,-2.1845384,-0.47851562,15.775159,-0.25202054,5.142279,-0.19403605,0.5456425,12.279647
Decalepis_hamiltonii,-0.6555904,16.225994,-2.1885343,-0.47834766,15.756525,-0.2536789,5.110195,-0.19123766,0.5494777,12.254357
Mandevilla_horrida,-0.6410982,16.541647,-2.309568,-0.49018356,16.139002,-0.23678476,5.0070686,-0.18696186,0.5149371,12.342913
Mandevilla_tenuifolia,-0.6360387,16.657162,-2.2949798,-0.49658605,16.235054,-0.22829641,5.0585155,-0.19610351,0.4850876,12.368717
Parsonsia_laxiflora,-0.6414173,16.562037,-2.2666693,-0.49368557,16.027544,-0.22063476,5.178219,-0.18953027,0.52637434,12.469405
Strophanthus_eminii,-0.65405107,16.397333,-2.252063,-0.49373445,15.94258,-0.22216551,5.238207,-0.193351,0.5446646,12.481687
Amalocalyx_microlobus,-0.65516895,16.301956,-2.2574594,-0.4831692,15.918936,-0.23684143,5.075843,-0.19054049,0.5387688,12.304863
Anodendron_coriaceum,-0.6587111,16.294039,-2.2186377,-0.4871521,15.909821,-0.2378012,5.2169647,-0.19905262,0.5380267,12.453399
Spongiosperma_macrophyllum,-0.6033565,14.255648,-2.097005,-0.41671842,13.094145,-0.25166643,5.3441463,-0.15856124,0.7754528,11.917328
Aspidosperma_confertiflorum,-0.59814507,14.093816,-2.1283975,-0.4138301,13.069117,-0.23989692,5.2242837,-0.1578081,0.73692626,11.614345
Alstonia_odontophora,-0.5872265,14.199033,-2.1609669,-0.40389922,13.162219,-0.25161278,5.171761,-0.15165493,0.75533956,11.792793
Deianira_nervosa,-0.35897264,6.6444397,-1.5009617,-0.07761714,0.47107634,-0.12720174,10.713782,-0.41804868,1.1910431,12.597174
Utania_maingayi,-0.36265045,6.37406,-1.4983839,-0.060968056,0.20469065,-0.16397035,10.520568,-0.3964312,1.2779485,12.6419115
Symbolanthus_alboarenicola,-0.37013018,5.985851,-1.5145037,-0.045654926,-0.057522886,-0.16683884,10.354831,-0.37199298,1.3070223,12.111096
Gentianella_concinna,-0.38657913,6.688102,-1.1853579,-0.08076487,-0.003478047,-0.0074586556,13.186952,-0.5825008,0.89307666,13.920209
Gentianella_sugawarae,-0.38802382,6.693555,-1.1839867,-0.080826096,0.005654469,-0.01025982,13.182464,-0.5848822,0.8968681,13.951156
Gentianella_polysperes,-0.3903787,6.6828127,-1.1785141,-0.08166303,0.013707433,-0.008248884,13.2153015,-0.5862503,0.890909,13.942292
Lomatogonium_stapfii,-0.35335994,6.7881255,-1.2360159,-0.07798786,-0.0012929488,-0.019542875,12.730016,-0.56555915,0.8933473,13.590954
Gentiana_×_curtisii,-0.3638116,6.83071,-1.2440568,-0.08365485,-0.00016689731,-0.031006966,12.729873,-0.56360304,0.92914945,13.570463
Gentiana_alpina,-0.3656457,6.6772237,-1.21574,-0.083786264,-0.05632325,-0.04425235,12.740478,-0.56808615,0.94771135,13.474919
Gentiana_clarkei,-0.37621585,6.783182,-1.2815217,-0.08213221,-0.004850569,-0.033021316,12.820783,-0.55155826,0.9713626,13.6088295
Mitrasacme_pygmaea,-0.23680313,-0.036638495,-2.9378521,-0.010877839,-0.12270373,-0.5253523,-0.054811772,4.44905,3.3818946,12.901648
Strychnos_congolana,-0.38676268,-0.1347885,-3.3690755,-0.078345455,-0.09142159,-0.6604865,0.11533673,6.1776953,4.4499226,16.473856
Strychnos_pubescens,-0.3631901,-0.12448265,-3.368412,-0.07619353,-0.015179982,-0.658915,-0.012746836,6.2316685,4.3971086,16.649378
