,0,1,2,3,4,5,6,7,8,9
Galium_labradoricum,0.6347197,7.0828595,6.848118,0.3979896,-1.285794,0.025232244,-0.047017656,-0.029553035,-0.20712973,8.183264
Galium_ciliare,0.57027835,7.098419,6.835185,0.3991394,-1.2796098,0.023298848,-0.045560922,-0.03120001,-0.20763001,8.144791
Galium_spurium,0.62394595,7.2157164,6.8394256,0.4042578,-1.2879833,0.023499943,-0.047268167,-0.0292713,-0.2078139,8.220025
Galium_tenuissimum,0.62038445,7.184272,6.8691115,0.40142667,-1.2866718,0.025504703,-0.046766303,-0.027532393,-0.20784408,8.229815
Galium_eriocarpum,0.61687976,7.110752,6.804722,0.40001532,-1.2794912,0.02343669,-0.0465533,-0.030543562,-0.20744017,8.144861
Galium_propinquum,0.5606617,7.1557727,6.8532205,0.40158147,-1.288664,0.024166089,-0.045580678,-0.027728274,-0.20749953,8.238157
Galium_sterneri,0.6365097,7.1520925,6.8277025,0.4028263,-1.2851428,0.023719776,-0.04668963,-0.03097865,-0.20678796,8.17188
Galium_circaezans,0.63500965,7.189925,6.8911643,0.40186083,-1.2857434,0.025913086,-0.04690485,-0.029081315,-0.20905231,8.214705
Galium_angustifolium,0.62664783,7.1836276,6.8918524,0.40150315,-1.2852639,0.025885938,-0.046739485,-0.029077806,-0.20904025,8.212829
Galium_tinctorium,0.57559574,7.198998,6.889047,0.40616286,-1.2930199,0.02462861,-0.045450546,-0.03066823,-0.20687236,8.2116995
Galium_bifolium,0.5550249,7.151649,6.8489904,0.40334633,-1.2828876,0.02428192,-0.044882745,-0.03070493,-0.20847975,8.156425
Galium_album,0.5440197,7.26965,6.8988647,0.40881407,-1.2968717,0.022673089,-0.044982325,-0.030076416,-0.20905307,8.263963
Galium_verum,0.5423055,7.252522,6.8910356,0.4083587,-1.2966757,0.022675088,-0.04481147,-0.030108282,-0.20828293,8.259019
Galium_sylvaticum,0.5441727,7.2671733,6.891079,0.40868798,-1.2962868,0.022911323,-0.044838693,-0.029463707,-0.2084029,8.2637005
Galium_saxatile,0.5566131,7.2555976,6.906067,0.4087364,-1.2981848,0.023795169,-0.044870257,-0.029401759,-0.20779575,8.2664
Galium_parisiense,0.5567147,7.2602024,6.909845,0.4083243,-1.2975891,0.024012312,-0.044999335,-0.029340466,-0.20783752,8.264736
Cruciata_glabra,0.5877958,7.1146703,6.826656,0.39993888,-1.2837619,0.02486424,-0.04578737,-0.02813503,-0.2059706,8.179014
Sherardia_arvensis,0.62139755,7.093751,6.869766,0.3970091,-1.2790512,0.02452102,-0.046866048,-0.032101642,-0.20834775,8.135906
Asperula_glomerata,0.59501284,7.075577,6.845803,0.39939898,-1.289298,0.024765266,-0.045926534,-0.030090027,-0.20579967,8.187839
Rubia_tinctorum,0.6123853,7.081213,6.8056917,0.39493018,-1.2616532,0.02085517,-0.046874635,-0.036247715,-0.2103754,8.017372
Rubia_peregrina,0.6331909,7.0492687,6.8131304,0.39447123,-1.2647109,0.021563925,-0.047552437,-0.036718525,-0.21048443,8.019714
Kelloggia_galioides,0.5568972,6.911639,6.574074,0.38391218,-1.2267016,0.022907436,-0.044919174,-0.027970877,-0.20465337,7.8784146
Coprosma_lucida,0.51629287,6.6237345,6.287079,0.36602348,-1.1916302,0.011372152,-0.045547105,-0.03662137,-0.19257647,7.614372
Coprosma_robusta,0.5180141,6.6295347,6.297378,0.36596584,-1.192417,0.011436037,-0.045665145,-0.036758166,-0.19294798,7.619954
Coprosma_quadrifida,0.51358956,6.6330056,6.280968,0.36692974,-1.192575,0.011071188,-0.045540027,-0.036604963,-0.19206448,7.6157184
Coprosma_rhamnoides,0.5293713,6.618713,6.2857437,0.36572018,-1.1925122,0.011812412,-0.04573534,-0.03616319,-0.19163871,7.6171002
Coprosma_foetidissima,0.5082814,6.6141086,6.290837,0.3656312,-1.1894448,0.011251065,-0.045137983,-0.037715055,-0.19189638,7.585095
Nertera_dichondrifolia,0.5275242,6.612166,6.2943583,0.3661419,-1.1922486,0.0131637165,-0.044701573,-0.036089003,-0.18824959,7.579794
Nertera_granadensis,0.53457457,6.6093884,6.290373,0.36571616,-1.1922932,0.013172575,-0.044866063,-0.035834502,-0.18819624,7.5843368
Opercularia_varia,0.4384536,6.394416,6.0752263,0.35583034,-1.1656585,0.013042247,-0.043363996,-0.029923465,-0.185238,7.477354
Oldenlandia_corymbosa,0.28391486,5.913056,5.4825397,0.32671046,-1.0468843,0.017185384,-0.03476302,-0.015014578,-0.16935636,6.835882
Spermacoce_brachystema,0.26819927,5.936238,5.418904,0.3287014,-1.0481178,0.01065474,-0.036699835,-0.01992486,-0.17349683,6.8401613
Spermacoce_leptoloba,0.29738942,5.945897,5.5105395,0.33031374,-1.0456305,0.010880021,-0.03670987,-0.027035698,-0.17719138,6.7444563
Spermacoce_breviflora,0.21385886,5.965943,5.4776206,0.3275488,-1.0370172,0.012048878,-0.034848846,-0.020953547,-0.17604579,6.7706413
Knoxia_sumatrensis,0.20186988,5.7576103,5.527969,0.31649518,-1.027265,0.022659494,-0.031250313,-0.01697174,-0.1665062,6.614833
Psychotria_marginata,0.47054967,6.070348,5.7097664,0.3483218,-1.1221544,0.007511398,-0.04278559,-0.037703153,-0.18156329,7.0232544
Psychotria_penangensis,0.4683398,6.105851,5.8057923,0.35233694,-1.1449616,0.010246714,-0.04239097,-0.03493229,-0.18173134,7.147921
Psychotria_chagrensis,0.48689228,6.089301,5.8454885,0.3523216,-1.1451961,0.009641693,-0.042953648,-0.039998952,-0.1818512,7.1048155
Psychotria_suterella,0.51030105,6.0694933,5.781599,0.34752396,-1.1292814,0.00999425,-0.043741755,-0.038183197,-0.18285416,7.0533276
Psychotria_grandis,0.48930645,6.0413136,5.7838087,0.3496714,-1.1379224,0.009203446,-0.04198954,-0.039197896,-0.17877914,7.05781
Psychotria_serpens,0.46851313,6.037734,5.7486734,0.34423015,-1.1231474,0.011032155,-0.042623594,-0.033424873,-0.18305102,7.0599027
Rudgea_jasminoides,0.41179168,6.086685,5.8892927,0.3571239,-1.1403433,0.012979984,-0.0391347,-0.042432614,-0.17890294,6.9510345
Palicourea_faxlucens,0.5413019,5.9713364,5.8600035,0.35202017,-1.140531,0.013885132,-0.041653555,-0.042460486,-0.17716314,6.939587
Palicourea_guianensis,0.59643894,5.994908,5.9221387,0.34995937,-1.1440755,0.013244892,-0.04399244,-0.04503304,-0.18151315,6.9619026
Notopleura_macrophylla,0.68402046,5.986356,5.820023,0.34470955,-1.1224139,0.015730204,-0.04434711,-0.03878261,-0.17599827,6.8798337
Palicourea_cyanococca,0.6295912,5.934495,5.933014,0.3436747,-1.132168,0.013540273,-0.044800356,-0.04614526,-0.1806257,6.9028125
Faramea_occidentalis,0.3874534,5.5784717,5.211928,0.32164446,-1.0243313,0.0066555906,-0.03370497,-0.040626775,-0.15074676,6.3519216
Coussarea_contracta,0.49959785,5.5309186,5.304557,0.3187546,-1.0466375,0.0032674635,-0.038754452,-0.04577541,-0.15066776,6.4041605
Coussarea_suaveolens,0.4558779,5.5483017,5.330591,0.31807193,-1.0435469,0.0025598896,-0.03808509,-0.046521965,-0.15263756,6.396628
Pavetta_australiensis,-0.80017334,-0.14402106,2.8011243,5.9037633,-0.19020522,0.13534033,12.411619,9.325336,-0.028102634,12.990755
Rosenbergiodendron_formosum,-0.80593973,-0.14645775,2.879166,5.9755063,-0.18132491,0.13583197,12.48698,9.357497,-0.02982308,13.01491
Randia_hebecarpa,-0.8095049,-0.14567673,2.8943887,5.958171,-0.18207513,0.13562559,12.497049,9.3658285,-0.030348433,13.036772
Gardenia_ovularis,-0.81057435,-0.14467081,2.803874,5.9545197,-0.18826267,0.13301204,12.472995,9.382665,-0.030434344,13.037377
Gardenia_ternifolia,-0.81330353,-0.14495957,2.7957873,5.947014,-0.19157809,0.13323137,12.4826765,9.394788,-0.031139655,13.034856
Genipa_americana,-0.79920065,-0.14462766,2.7833107,5.939088,-0.18743446,0.13435116,12.435894,9.415189,-0.025600806,13.070088
Coffea_canephora,-0.7992801,-0.14559437,2.8073297,5.864373,-0.19924949,0.13622123,12.346542,9.300182,-0.028375221,12.891372
Coffea_congensis,-0.8029799,-0.1460863,2.7934659,5.8632793,-0.20045777,0.13554122,12.342066,9.284124,-0.029997345,12.84057
Ixora_javanica,-0.72249687,-0.13962021,2.610188,5.5447474,-0.20095746,0.13510992,11.538423,8.676933,-0.014475979,12.097561
Posoqueria_latifolia,-0.6410606,-0.13327284,2.2722578,5.300388,-0.18422681,0.1278145,10.69052,7.9495134,-0.0038313598,10.9962845
Calycophyllum_candidissimum,-0.7191843,-0.12518953,2.4845953,5.1258183,-0.19426799,0.12413731,11.143021,8.413198,-0.015272605,11.661223
Pentagonia_macrophylla,-0.7123383,-0.12710074,2.4839144,5.081651,-0.1898377,0.12433847,11.028192,8.350771,-0.015078295,11.477078
Isertia_haenkeana,-0.6620673,-0.148121,2.4086442,5.3580103,-0.2605547,0.14093944,10.792269,8.285194,-0.021088624,11.35561
Guettarda_tikalana,-0.6836797,-0.1587674,2.682076,5.700858,-0.24898456,0.14979127,11.344809,8.823346,-0.024205634,12.012892
Guettarda_divaricata,-0.6865731,-0.16065814,2.7171047,5.7162347,-0.24796619,0.15025353,11.347471,8.823323,-0.026609655,11.980738
Guettarda_odorata,-0.6871055,-0.15893254,2.7172968,5.690256,-0.24751809,0.14948155,11.333248,8.812327,-0.026761854,11.990936
Arachnothryx_buddleioides,-0.678858,-0.15139851,2.5362914,5.3099484,-0.26237947,0.14484689,10.952506,8.61437,-0.024708968,11.606777
Hintonia_latiflora,-0.686372,-0.14993598,2.5252898,5.3342066,-0.25065628,0.13980038,10.873324,8.463948,-0.03100276,11.444055
Hamelia_axillaris,-0.68847066,-0.1488457,2.5275204,5.3717747,-0.2695072,0.14055718,10.930895,8.423588,-0.029835945,11.536343
Asclepias_erosa,4.789756,3.1726818,3.3149834,0.095857665,5.545431,2.3999622,3.980247,0.5439885,14.056921,-0.023578584
Asclepias_amplexicaulis,4.8307495,3.111347,3.285543,0.092365086,5.499517,2.4257812,3.9832797,0.48678225,13.990792,-0.021056661
Asclepias_tuberosa,4.833824,3.1062257,3.2892861,0.08656358,5.4977975,2.426882,3.9837985,0.48589557,13.988005,-0.021073408
Asclepias_verticillata,4.8306947,3.1684313,3.329292,0.1086181,5.545369,2.4565728,3.9943547,0.51799667,14.041658,-0.020304587
Asclepias_incarnata,4.831753,3.1665552,3.333184,0.097226486,5.5449834,2.4538379,3.9956837,0.5194768,14.047577,-0.02081506
Calotropis_gigantea,4.791868,3.0971584,3.3922837,0.00425539,5.5408015,2.437882,3.9331622,0.49038398,13.981064,-0.023977393
Mandevilla_benthamii,4.8747144,3.1125834,3.891734,0.041125234,6.159937,2.2208369,4.2127147,0.5121498,14.114046,-0.007997372
Nerium_oleander,4.7635174,3.1515307,3.8711424,0.036771428,6.085538,2.2704427,4.094571,0.63559484,14.006977,-0.017330809
Tabernaemontana_cymosa,4.7568336,2.7054718,3.698581,0.025275191,5.647257,2.2548568,3.782992,0.2791557,14.286188,-0.031320773
Tabernaemontana_sananho,4.768977,2.7786918,3.6819046,0.023028258,5.6728697,2.3228247,3.799405,0.2829532,14.328712,-0.030855589
Tabernaemontana_siphilitica,4.7863345,2.7508087,3.705143,0.024785688,5.683423,2.297946,3.8094664,0.27477276,14.361372,-0.030471837
Tabernaemontana_alba,4.754251,2.7692804,3.6511106,0.021138432,5.6402054,2.2482188,3.7929468,0.31294346,14.287215,-0.031042395
