,0,1,2,3,4,5,6,7,8,9
Galium_labradoricum,16.060799,-5.600999,13.388362,14.172455,12.39251,7.205645,6.447308,1.6032398,9.647259,-3.6713297
Galium_ciliare,15.970321,-5.8531218,13.32525,14.090242,12.551146,7.18385,6.4276705,1.6560904,9.494535,-3.7620342
Galium_spurium,16.0439,-5.892066,13.579238,14.045146,12.5420885,7.0344596,6.5000973,1.4860111,9.591753,-3.8165324
Galium_binifolium,15.969427,-5.7121587,13.368918,14.19923,12.287727,7.133598,6.3758883,1.4755108,9.639162,-3.7987318
Galium_tenuissimum,16.10146,-5.854445,13.542484,14.246583,12.357737,7.2468452,6.405501,1.5826315,9.57635,-3.9319577
Galium_eriocarpum,15.950174,-5.714327,13.471905,14.090702,12.413507,6.9956255,6.4127607,1.5175785,9.713014,-3.789378
Galium_propinquum,15.955818,-5.85371,13.3933935,14.076984,12.431848,7.068328,6.290395,1.5443766,9.644862,-3.9728575
Galium_sterneri,16.190422,-5.790513,13.53962,14.185864,12.557617,7.281266,6.3403487,1.635611,9.553622,-3.7561436
Galium_nuttallii,16.140818,-5.8674383,13.556973,14.066007,12.566365,7.2591043,6.485675,1.6192185,9.634778,-3.957817
Galium_bolanderi,16.124044,-5.4976816,13.588111,14.169221,12.565993,7.106816,6.4927435,1.809644,9.359434,-3.7999074
Galium_boreale,16.102657,-5.455793,13.606758,14.058524,12.680214,7.0650067,6.6189337,1.8842162,9.312261,-3.824752
Galium_trifidum,16.091665,-5.682364,13.545992,14.201951,12.496083,7.220515,6.2820854,1.6994878,9.356869,-3.9430854
Galium_lucidum,16.001379,-5.6385794,13.403749,14.057867,12.502428,7.0727935,6.809374,1.6110662,8.860276,-3.4521854
Galium_verum,16.028225,-5.5535636,13.438872,14.11126,12.551895,7.1293855,6.889052,1.6861379,8.769028,-3.3836777
Galium_sylvaticum,16.13522,-5.519684,13.34055,14.080928,12.543853,7.0762534,6.83133,1.5976803,8.942051,-3.5221567
Galium_odoratum,16.008312,-5.543816,13.474535,14.118567,12.558729,7.140743,6.8936934,1.7250987,8.740979,-3.3718333
Cruciata_glabra,16.016998,-5.6934605,13.402758,14.052355,12.535334,7.1051226,6.5358143,1.7058111,9.765732,-3.7757103
Rubia_cordifolia,16.214462,-5.432355,13.714493,14.139676,12.556054,7.087151,6.522557,1.9063013,9.524211,-3.9523618
Rubia_peregrina,16.23591,-5.3601656,13.819721,14.051199,12.613894,6.992473,6.6021233,1.9605056,9.704196,-3.8483772
Coprosma_lucida,15.133541,-0.7576951,7.7794294,4.5618405,0.9945103,2.950321,7.681006,10.1946335,10.661844,9.727192
Coprosma_robusta,15.102914,-0.6659366,7.5700436,4.703924,0.82572275,2.873504,7.578215,10.170058,10.596545,9.869555
Nertera_dichondrifolia,15.11564,-0.7783906,7.638816,4.7046866,0.88257796,2.9005527,7.622945,10.147335,10.655989,9.846666
Nertera_granadensis,15.0514965,-0.8826506,7.665518,4.6678762,0.9161739,2.837016,7.756188,10.146391,10.803884,9.955473
Richardia_stellaris,15.141587,-0.86142266,7.4838977,4.843791,0.58409727,2.9389217,7.7076883,10.210562,10.7595415,10.013217
Spermacoce_brachystema,15.161711,-0.71645147,7.4688444,4.80623,0.6672978,2.9182649,7.5873747,10.258911,10.64146,9.838379
Psychotria_penangensis,15.084315,-1.0954556,7.1192,4.5727196,-0.49995703,2.7875836,7.89105,10.121332,10.989258,10.035382
Psychotria_limonensis,15.090379,-0.94173926,7.184524,4.504768,-0.5784413,2.797889,7.7942276,10.309941,11.00862,10.150445
Psychotria_brachypoda,15.076497,-0.93875855,7.199995,4.5060945,-0.63480514,2.7246144,7.7638373,10.2744875,10.911863,10.199374
Psychotria_papantlensis,15.001005,-0.97001576,7.106911,4.5234704,-0.74117583,2.7769077,7.853868,10.309182,11.081795,10.235267
Psychotria_suterella,14.940992,-1.1089191,7.096463,4.623878,-0.7440084,2.67208,7.932782,10.122385,10.956549,10.129031
Psychotria_horizontalis,15.070479,-0.9498911,7.187115,4.4622808,-0.69697654,2.6945066,7.799787,10.2958975,11.01421,10.134895
Psychotria_loniceroides,15.023271,-0.99808043,7.1647806,4.7665005,-0.591667,2.7922206,7.7968946,10.192666,10.811187,10.2731905
Psychotria_serpens,15.078382,-1.08669,7.099906,4.864941,-0.47918448,2.8804116,7.870461,10.092783,10.802439,10.213622
Rudgea_jasminoides,15.078209,-0.86322904,7.2915707,4.9819407,0.040868603,2.9033196,7.596743,10.221635,10.558297,10.212231
Palicourea_faxlucens,15.082633,-0.86065567,7.2438917,4.8478246,0.0039202133,2.8654346,7.702428,10.227479,10.7245455,10.189794
Palicourea_guianensis,15.163802,-0.8180052,7.2052073,4.921438,-0.031770952,2.9005146,7.576237,10.236763,10.644243,10.2701025
Notopleura_macrophylla,15.170259,-0.86917686,7.131219,4.9851093,-0.04774112,2.9819703,7.6195083,10.144804,10.6050415,10.369255
Palicourea_cyanococca,14.968137,-1.015263,7.3614063,4.8785243,-0.09569033,2.9143193,7.759447,10.106386,10.66989,10.132165
Faramea_luteovirens,15.162599,-0.8619508,7.435724,4.9150624,0.46025974,2.9561417,7.7152295,10.265266,10.766948,9.976672
Coussarea_suaveolens,15.117164,-0.83254147,7.373032,4.8876047,0.46037906,2.8975484,7.620716,10.186676,10.641833,10.0678215
Tarenna_mollissima,4.0703444,14.00265,6.424945,5.6300006,6.2381315,4.17475,10.030053,5.7954807,1.6156975,2.8100228
Gardenia_jasminoides,4.0732856,13.89872,6.314251,5.680144,6.0645514,3.9645422,10.152765,5.6217675,1.5724355,3.0024388
Genipa_americana,4.085216,13.94769,6.263316,5.704444,6.084181,4.0346546,10.094326,5.6686068,1.5312297,3.0302777
Alibertia_edulis,4.13011,14.042388,6.31742,5.7234473,6.206693,4.1558156,10.143724,5.7125955,1.6955633,2.9530923
Coffea_racemosa,4.071699,13.94374,6.2389216,5.6320987,5.9944873,3.9758775,10.001997,5.671073,1.4437277,2.9689968
Coffea_liberica,4.1373544,13.9483185,6.280882,5.537661,6.127355,4.0101986,10.037796,5.7091217,1.5278696,2.8164978
Coffea_congensis,4.108698,13.898109,6.399749,5.5108643,6.1328993,3.868398,10.154718,5.7112384,1.5792174,2.6940398
Cyclophyllum_coprosmoides,3.9696755,13.784693,6.6461935,5.579252,5.879211,3.8415287,9.95952,5.6397533,1.416926,2.8786855
Ixora_pendula,3.9670234,13.720007,6.5141754,5.5147038,5.962141,3.7907138,10.049473,5.564038,1.3711864,2.7731602
Ixora_peruviana,3.9466598,13.791264,6.669758,5.543242,6.016509,3.8792732,9.950399,5.658071,1.5465469,2.7305496
Posoqueria_latifolia,3.9338138,13.911494,6.9203467,5.7900896,5.930798,4.0117626,10.034978,5.7877493,1.6572138,2.9651177
Pentagonia_macrophylla,3.8479533,13.813931,6.957502,5.741683,5.8091855,3.9613886,10.062109,5.711108,1.6152619,3.0318646
Nauclea_officinalis,2.2356524,13.647368,9.421157,6.3682923,4.9752364,5.0081315,10.690515,5.91055,2.4343667,3.8692374
Nauclea_diderrichii,2.346856,13.653744,9.28616,6.3323884,4.9875984,4.84407,10.654894,5.817615,2.4134507,3.7985456
Arachnothryx_galeottii,2.2723644,13.678456,9.557424,6.2944894,4.8490186,5.0629225,10.621613,5.9105625,2.4133515,3.8508503
Guettarda_elliptica,2.1840053,13.682803,9.2825365,6.371898,5.21653,5.089435,10.826146,6.1079063,2.4501774,4.021236
Guettarda_tikalana,2.128396,13.67438,9.375141,6.367784,5.1990666,5.100764,10.876633,6.14283,2.503402,4.053426
Guettarda_divaricata,2.2057571,13.591331,9.315084,6.363974,5.1420846,5.1849284,10.711328,6.1133,2.4357896,3.816382
Guettarda_uruguensis,2.1469533,13.648795,9.33158,6.4464693,5.1413565,5.0939393,10.777024,5.9934072,2.5249724,3.998649
Timonius_wallichianus,2.3119247,13.529334,9.216284,6.3750825,5.153408,5.032603,10.727769,6.100578,2.5192244,3.8008327
Arachnothryx_buddleioides,2.2364979,13.833129,9.427494,6.1863313,4.939252,4.9698167,10.738503,5.793522,2.3299096,3.9619677
Exostema_caribaeum,2.4176908,13.673951,9.339288,6.334281,4.916751,4.72762,10.583623,5.880866,2.348875,3.7470691
Hintonia_latiflora,2.2905598,13.7867985,9.375069,6.303338,4.945325,4.767914,10.694778,5.854908,2.302223,3.8772182
Hamelia_axillaris,2.4867368,13.802792,9.331506,6.277789,4.8590555,4.6304116,10.504224,5.7365675,2.284391,3.8803926
Macrocnemum_roseum,3.7369902,13.788949,7.1813846,5.808754,5.7111373,3.9922416,10.08778,5.730136,1.6589549,3.0944839
Thevetia_ahouai,-2.7059429,-0.34684688,7.371979,4.8594804,3.1267936,6.017066,6.523165,8.157872,6.528853,8.180662
Stephanostegia_capuronii,-2.7937992,-0.2664933,7.3571453,4.922888,3.1667497,6.048452,6.527608,8.099448,6.6101975,8.328151
Asclepias_vestita,-3.3477776,0.5896397,6.1546793,5.2387304,3.5809336,6.9258556,8.124557,7.9346623,6.6361847,8.853973
Asclepias_speciosa,-3.3703163,0.5805429,6.0880075,5.292843,3.6866815,6.9976244,8.210176,7.873635,6.6066923,8.830554
Asclepias_oenotheroides,-3.3733957,0.55316097,6.1219406,5.2084794,3.6217585,6.929287,8.122988,7.97865,6.6169024,8.863135
Asclepias_erosa,-3.2593508,0.5419548,6.1835494,5.272688,3.7317982,6.966891,8.027473,8.017043,6.500892,9.019968
Asclepias_eriocarpa,-3.4264078,0.58299536,6.18425,5.1544113,3.6101103,6.9886765,8.179548,8.016648,6.7688966,8.728947
Asclepias_tuberosa,-3.27447,0.5323282,6.3053946,5.173994,3.387745,6.855896,8.047252,7.895356,6.8539057,8.737756
Asclepias_syriaca,-3.2342484,0.5112241,6.2713027,5.2864633,3.3162496,6.97684,8.051856,7.8286157,6.69661,8.890465
Calotropis_gigantea,-3.4189534,0.71318984,6.197429,5.4763813,3.4868917,6.8562155,7.8363814,7.9656463,6.7074714,8.981921
Calotropis_procera,-3.3334994,0.7028739,6.2451773,5.3533444,3.463581,6.755593,7.9029336,7.8958793,6.670574,8.849079
Cynanchum_acutum,-3.2760181,0.6331467,6.374386,5.4403033,3.3180807,6.72263,7.721198,7.898262,6.627874,8.901207
Hoya_australis,-3.2099473,0.47645852,6.4567738,5.2923713,3.2793338,6.710146,7.6649723,7.9443955,6.60737,8.866022
Mandevilla_benthamii,-3.1503842,0.32649785,6.5851326,5.1548586,3.3590977,6.6929245,7.620469,8.032203,6.5895414,8.713582
Nerium_oleander,-3.1081867,0.38587317,6.568979,5.2627397,3.2336257,6.5932474,7.5217214,7.939006,6.683323,8.816519
Tabernaemontana_sananho,-3.0400252,-0.0120784035,7.272511,4.8924,3.3662438,6.1507244,6.585389,7.8657746,6.6150885,8.476474
Tabernaemontana_alba,-3.0587494,-0.10264439,7.375253,4.7852845,3.2904932,6.0395784,6.485698,7.913748,6.554163,8.317854
Lacmellea_panamensis,-2.9270089,-0.28669173,7.4070215,4.9564953,3.367096,6.1547937,6.471098,7.898573,6.5171676,8.310655
Vinca_major,-2.982867,-0.31937167,7.3654037,5.021991,3.2523608,6.107964,6.4871926,8.008015,6.6683407,8.4059925
Plumeria_alba,-2.8443773,-0.3699998,7.388955,4.9814296,3.3247683,6.1752453,6.554728,7.973816,6.4657273,8.221682
Aspidosperma_megalocarpon,-2.8179793,-0.19121383,7.403239,4.853328,3.2319527,6.005344,6.4333105,8.024725,6.5544915,8.343592
Alstonia_spectabilis,-2.7681792,-0.15228443,7.267818,4.8241115,3.2318463,6.0341554,6.508739,8.014071,6.6614313,8.428416
Exacum_affine,8.093126,-6.8452187,5.855283,4.5191946,0.6907766,7.2678723,7.686411,11.622904,5.752373,5.304105
Gentianella_parviflora,8.352998,-6.6983633,6.0690303,4.7848244,0.42154106,7.228365,7.85039,11.808811,5.7813873,4.996362
Gentianella_amarella,8.311003,-6.864359,5.888569,4.7253084,0.5160654,7.1870785,7.6998,11.768921,5.7084785,5.092313
Gentianella_insubrica,8.328949,-6.646059,6.011769,4.8002005,0.42171818,7.1451244,7.757576,11.807235,5.758896,5.026543
Gentiana_lutea,8.266651,-6.941265,6.1535497,4.793063,0.28845927,7.161199,7.973781,11.647047,5.835791,5.0998783
Gentiana_andrewsii,8.316078,-6.989078,5.980889,4.66564,0.47817245,7.2893004,7.79315,11.633792,5.7652044,5.142743
Gentiana_utriculosa,8.31971,-7.11008,6.0998707,4.7730455,0.3347943,7.219606,7.9242225,11.669467,5.7397385,5.098812
Gentiana_nivalis,8.149699,-7.049019,6.0595093,4.6573753,0.42534703,7.1605616,7.9495087,11.714949,5.8394012,5.200924
Gentiana_scabra,8.427349,-7.0348735,6.011039,4.861442,0.30087417,7.2371497,7.816552,11.55778,5.837656,5.088049
Gentiana_pneumonanthe,8.401477,-7.1208816,6.006848,4.740956,0.45167297,7.2742815,7.8318415,11.763415,5.6564617,5.0674725
Centaurium_littorale,8.141396,-6.7314305,5.9168715,4.6654444,0.55388045,7.1165247,7.730538,11.696943,5.7675195,5.19049
Centaurium_tenuiflorum,8.282371,-6.720591,5.9152384,4.5989594,0.6412227,7.2938576,7.6663504,11.619164,5.701775,5.187687
Geniostoma_rupestre,-2.5190442,-0.48126894,7.4032435,4.9862022,3.1233451,6.057711,6.4804635,8.19901,6.6153855,8.185886
