,0,1,2,3,4,5,6,7,8,9
t9,13.335934,6.335521,4.9202814,7.0602746,7.20551,6.691656,2.175873,9.635449,3.0687406,5.532356
t11,7.6986074,10.843666,-0.21960853,6.4496126,8.019152,4.601871,9.738655,2.9212172,-5.2511754,5.544616
t14,13.277574,6.2559824,4.7685533,7.033845,7.266113,6.7462506,2.0798864,9.725607,2.9573476,5.686958
t15,13.40773,6.440306,4.9074993,7.1850324,7.3314776,6.733544,2.075441,9.696239,3.1526456,5.643362
t18,4.68253,12.4880905,8.660892,5.140243,-4.887738,3.69416,4.4231305,9.198716,7.855125,6.50993
t19,4.7268586,12.55843,8.756658,4.9958153,-4.8456397,3.8280396,4.3585234,9.166298,7.8457355,6.5422907
t22,4.8073673,12.516673,8.547837,5.16344,-4.720171,3.8603733,4.3223605,9.434051,7.9099345,6.4680705
t25,4.40634,13.044937,8.722469,4.8865757,-5.042245,3.9352844,4.5000367,9.250247,7.9723544,6.2533927
t26,-5.059696,7.082989,4.3929234,5.47757,7.6808147,4.866396,4.2204256,5.9791613,6.371982,0.8085941
t29,4.3877316,12.990228,8.755892,4.769601,-5.1535254,3.9526904,4.620676,9.15914,8.030687,6.2294035
t30,4.398618,13.130873,8.788001,4.818285,-5.0828257,4.05771,4.5161176,9.210838,8.080834,6.2537923
t32,7.8530674,10.820781,-0.053751733,6.505597,8.114109,4.745432,9.707991,2.9078228,-5.3037934,5.4684854
t34,-5.1477237,6.794469,4.518881,5.522831,7.4645796,5.073263,4.533051,5.602184,6.296962,1.1444706
t35,-5.0789094,6.776922,4.582688,5.517794,7.486647,5.0320683,4.427276,5.529465,6.266967,1.0290918
t37,4.7000656,12.640376,8.760968,4.9277406,-4.9332004,3.7839406,4.4041224,9.110524,7.9053373,6.4923463
t38,-5.0246243,6.975182,4.2752657,5.840382,7.4224534,5.0674467,4.552338,5.334805,6.2599707,1.0060554
t40,-5.1314917,6.8773165,4.2403517,5.8965807,7.343918,5.1989136,4.6844645,5.214523,6.180414,1.1610504
t43,-4.918079,6.872612,4.520304,5.7091885,8.343689,4.370713,3.592761,5.8514514,6.4375076,0.64699656
t44,6.866543,10.311824,-0.22933102,6.1282396,8.026922,4.8001866,10.920456,2.681418,-5.2646604,5.95585
t46,6.85374,10.1987095,-0.12763506,6.2264676,8.124312,4.550462,10.910704,2.6398857,-5.103164,5.9271545
t47,6.893307,10.351407,-0.2564147,6.156638,8.06484,4.5442758,10.757718,2.5960326,-5.175003,6.0074887
t48,13.309352,6.397706,4.692799,7.205099,7.689073,6.5265923,1.9804536,9.659386,2.9199233,5.7796984
t49,8.886364,10.542698,7.546714,6.232508,10.111117,4.5000916,5.4675183,1.2982849,-0.3105984,0.3912166
t50,13.357042,6.4482174,4.7549095,7.1434913,7.5955067,6.5744987,1.7869052,9.729164,3.1423922,5.8252068
t52,4.533112,13.065777,8.710802,4.784147,-4.974468,3.9667659,4.452766,9.084743,8.004469,6.185855
t56,6.847831,10.36269,-0.3094106,6.072424,7.9931664,4.6331887,10.84362,2.63297,-5.2005863,6.043404
t57,7.017182,10.361764,-0.20344788,6.106769,7.9838715,4.7301226,10.78993,2.5672386,-5.2699065,5.8594284
t58,5.801783,4.4452257,3.389041,5.9558573,6.9773054,8.143339,12.725556,1.3121092,-2.7365096,2.6331518
t59,8.905637,10.468165,7.6293683,5.8234487,10.211874,4.568806,5.481029,1.2156212,-0.08574972,-0.07659172
t61,-4.8740106,6.7868214,4.416154,5.6825314,8.446934,4.6190853,3.5346334,6.046127,6.4877977,0.76453656
t62,-4.926221,6.853077,4.4490747,5.601539,8.384802,4.311532,3.574211,6.027834,6.515841,0.5438768
t63,5.7909446,4.5666747,3.3956916,6.106843,6.8659296,8.109559,12.549703,1.3473648,-2.9729,2.782952
t64,13.227006,6.279224,4.9620914,7.051284,7.364983,6.8889236,2.0689337,9.841303,3.0082808,5.9279566
t65,13.2541,6.297943,4.9824524,7.0523615,7.301704,6.7688932,2.1672947,9.74242,3.0669234,5.7186728
t66,4.237266,12.9770155,8.680406,4.318024,-5.1789393,4.1525292,4.8232,9.343744,8.384667,6.279437
t69,-5.20746,6.7846255,4.3892097,5.6347938,7.164752,5.1536837,4.5326757,5.6079097,6.044573,1.0451434
t70,-4.9280205,6.929023,4.558061,5.3839784,7.7064757,4.834881,4.3390503,5.992489,6.5964007,0.97569543
t71,5.883865,4.575176,3.4660168,6.0726275,6.8776426,8.029296,12.589309,1.2915102,-2.8439064,2.708942
t72,4.2795744,13.051782,8.775248,4.374885,-5.172255,4.109049,4.651219,9.232475,8.24983,6.2644663
t73,4.29295,12.871683,8.697367,4.496669,-5.0501256,4.0930037,4.7152963,9.405324,8.220444,6.3949966
t74,4.1707873,12.891211,8.790063,4.30909,-5.0863357,4.2384233,4.9031024,9.205414,8.2546015,6.398535
t75,7.7076006,10.833059,-0.21224813,6.5346847,8.156453,4.607804,9.8031225,2.9866335,-5.368889,5.449236
t76,7.6781096,10.710449,-0.04398699,6.42193,8.098869,4.745576,9.885756,2.8423312,-5.2804165,5.514326
t77,-5.02592,6.7528343,4.6177516,5.545689,7.4580536,5.0329957,4.3956857,5.4133945,6.2049913,0.949882
t78,-4.954028,6.84017,4.63811,5.520065,7.4017177,5.041045,4.5120077,5.393309,6.307829,0.98158956
t79,-5.125619,6.9503045,4.418409,5.494878,7.5686703,4.785455,4.302412,5.9964714,6.474413,0.9112124
t80,-4.983751,6.986788,4.603868,5.351508,7.7109456,4.870484,4.265716,5.9207563,6.5223665,1.0237615
t81,13.377255,6.5416107,4.7456255,7.2633443,7.8602686,6.5362964,1.8570894,9.774016,3.1298943,5.9501324
t82,5.9322343,4.562815,3.4852529,5.9920797,6.813054,8.017903,12.618571,1.4075992,-2.9737434,2.8542364
t83,-5.2420754,6.7269187,4.4369974,5.619514,7.074273,5.1942143,4.558037,5.5645423,5.9667945,1.0251428
t85,8.727452,10.738485,7.734288,6.172987,10.109273,4.3294787,5.6789875,1.1754221,-0.115285814,0.3745609
t86,8.799083,10.627322,7.6397533,6.2006574,10.040978,4.41434,5.5363274,1.2171688,-0.23532826,0.33130512
t87,-4.964433,6.8498898,4.507956,5.4310703,8.47675,4.426803,3.471133,6.045979,6.608204,0.5659472
t88,8.96336,10.369513,7.603122,5.8259654,10.27763,4.6360774,5.4711924,1.0932382,0.027621364,-0.09150949
t89,5.9363384,4.477617,3.5381413,5.9552803,6.9165983,7.973461,12.6519985,1.3544849,-2.8929203,2.7700932
t90,7.145139,10.320938,-0.1136849,6.1832986,8.008278,4.6617045,10.715956,2.5923104,-5.288694,5.7399487
t91,4.7460446,12.547609,8.492381,5.1280165,-4.8223968,3.7961357,4.3905444,9.313667,7.801018,6.4117146
t92,-4.93585,6.885243,4.6306148,5.53877,8.44146,4.5443726,3.4130704,5.9036593,6.252731,0.77885073
t93,-4.9178624,6.791731,4.597654,5.518098,8.483719,4.5697923,3.5120196,5.9200325,6.347087,0.70801693
t94,13.3640785,6.624258,4.5727615,7.367285,7.9352207,6.5229387,1.7493024,9.776617,3.1357844,5.989559
t95,-4.956842,6.805778,4.6722083,5.3566294,8.496894,4.364129,3.3918643,6.066719,6.603804,0.45239776
t96,-4.990954,6.9635186,4.4395947,5.4534283,8.551981,4.340075,3.4235685,5.900805,6.568815,0.44359353
t97,4.702148,12.344861,8.567592,5.3135977,-4.7884965,3.592905,4.4437237,9.317976,7.877154,6.5268936
t98,4.844165,12.458742,8.576198,5.216228,-4.8205724,3.6645064,4.293118,9.163087,7.711879,6.497029
t99,-5.061871,6.8854685,4.311838,5.8211646,7.3709726,5.1501718,4.6513805,5.274043,6.2477603,1.1126566
t101,5.911763,4.889667,3.2962272,6.184564,6.742304,8.114938,12.762073,1.0508412,-2.2360365,2.438867
t102,4.127212,12.939244,8.87271,4.310849,-5.1356606,4.232945,4.8415112,9.175264,8.173465,6.301974
t103,4.166378,13.055007,8.769599,4.2403264,-5.230492,4.189302,4.7505546,9.281698,8.312635,6.239016
t104,4.427206,12.981241,8.754999,4.8807874,-4.9974346,3.9424007,4.498526,9.266585,7.933037,6.3673825
t105,4.532421,13.187762,8.695099,4.8752103,-4.9754024,3.9096637,4.3729086,9.211686,8.012098,6.288019
t106,7.7069335,10.803824,-0.18221065,6.5364776,8.166598,4.6327667,9.825971,2.9762492,-5.3731537,5.444226
t107,7.58214,10.707255,-0.23089264,6.47936,8.104248,4.5973086,9.9210005,2.92295,-5.3059993,5.5119348
t108,13.390397,6.4398303,4.619369,7.2847037,7.9243426,6.464953,1.8971004,9.656325,2.9733949,5.8406987
t109,13.485857,6.5902214,4.5801787,7.4451194,7.926136,6.508496,1.9674535,9.75424,3.175656,5.68534
t110,6.9896536,10.301645,-0.1105193,6.27106,8.120927,4.6782193,10.751994,2.6278017,-5.226576,5.8245893
t111,6.996996,10.250012,-0.1307182,6.1321707,8.006038,4.600803,10.867471,2.741042,-5.0691857,5.8362846
t112,13.455566,6.410279,4.610054,7.4391136,7.956148,6.57891,1.7921958,9.578604,3.1792223,5.8163114
t113,13.348261,6.4597983,4.667855,7.356115,7.995799,6.4948654,1.8282012,9.6183605,3.0579834,5.892939
t114,8.878078,10.444028,7.6627626,5.8583164,10.192441,4.5534167,5.4276047,1.1633673,-0.044754066,-0.11242076
t115,8.683846,10.682499,7.699026,6.0572057,10.1082325,4.3131037,5.526129,1.3156337,-0.23068385,0.42488927
t116,13.393804,6.470628,4.9242797,7.051341,7.4679213,6.8984795,2.1084585,9.933034,3.1819615,5.84813
t117,13.3369255,6.414985,5.0188975,7.0721617,7.421856,6.9041696,2.1650312,9.8862295,3.2010934,5.8385262
t118,13.224776,6.20366,4.7173705,7.168772,7.385266,6.7791986,1.7928964,9.715043,3.0407677,5.9730215
t119,13.334186,6.154076,4.7005005,7.172023,7.4763184,6.824427,1.986916,9.610484,3.0724237,5.795893
t120,5.882321,4.9371705,3.2258933,6.1705656,6.7402554,8.1872835,12.831002,0.98610234,-2.164252,2.36704
t121,5.9964213,4.948819,3.2448716,6.2549195,6.66806,8.165669,12.819837,0.99253935,-2.2684922,2.5346615
t122,5.9862537,4.831187,3.3662589,6.2183623,6.687277,8.066355,12.695377,1.1228242,-2.3405035,2.5301113
t123,5.8210583,4.851542,3.3163307,6.105149,6.834215,8.088171,12.7307625,1.043152,-2.2351253,2.4111445
t124,5.8693037,4.5627112,3.448922,5.9958797,6.858243,8.059414,12.673756,1.3442155,-2.9251761,2.7847931
t125,5.971596,4.4796686,3.5564563,6.047966,6.8532825,7.953717,12.800726,1.1876743,-2.7323618,2.6736863
t126,8.737754,10.643037,7.7085085,6.024291,10.118697,4.3775373,5.554076,1.3380225,-0.17466311,0.34360558
t127,8.779195,10.610646,7.62091,6.174924,9.979508,4.4112344,5.491094,1.2676367,-0.28063515,0.31149602
t128,8.806187,10.52941,7.602576,5.7568946,10.204652,4.4699035,5.379622,1.263044,-0.085082054,-0.17164156
t129,8.878394,10.455269,7.632204,5.8144193,10.230707,4.545652,5.445104,1.179515,-0.04627492,-0.12705475
t130,-4.8574586,6.766987,4.67717,5.48794,8.421958,4.3877516,3.4795828,5.966889,6.440676,0.56784445
t131,-4.9872274,6.9284973,4.649397,5.6746693,8.2848215,4.3160677,3.4381304,5.8966327,6.3483047,0.6627675
t132,-5.1973357,6.771177,4.6085095,5.546605,7.215372,5.1989417,4.675647,5.520775,6.1335588,1.1495892
t133,-5.34136,6.6277266,4.546082,5.4940596,7.1314898,5.269432,4.6455345,5.6944647,6.034841,1.0881052
t134,-5.0430574,7.0018153,4.409731,5.5324917,7.795762,4.787434,4.1183586,5.9030094,6.4058976,0.83366495
t135,-5.1579,6.8642445,4.5073266,5.4475584,7.7105827,4.680718,4.1055164,6.0479875,6.2995353,0.7773074
