"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89"
"t145",-0.0694099023186479,-0.0320427486748169,0.0118243709599504,0.000517054232356907,0.112005241753765,-0.0160186253354243,0.227479609703152,-0.0793367116345975,0.0141996263749155,-0.0561898352788953,0.206904628036246,-0.326766626865072,0.0257701543107764,-0.0548327679379024,0.0184490556093397,0.00473529205932773,-0.0177826851334148,-0.00261602868056122,-0.00480218460370972,0.0212379354340068,-0.000717633962611259,0.000125573543897251,-0.000703574537525617,0.00033013040551721,-0.000239840639571553,0.501435520580697,-6.20644415898563e-06,5.57274602611539e-08,9.12688409308157e-05,-0.000354749883851518,0.00960141705366573,-8.4321698732318e-05,0.00804176237502794,-0.0403203010621589,-6.67591364725405e-05,0.0297795850260053,-7.21161912634722e-05,0.000359615262825088,0.000178352001769506,-0.00163685752650934,0.00807284541494463,-0.00910585822425448,0.00266557185249142,0.000150721834503387,2.74912268548349e-05,0.00121781974614855,-1.43697728689352e-07,-3.05519152620887e-06,-0.000194341600257425,-0.000192540880072529,-0.000129900273932291,0.000271105498525506,1.53720626208183e-05,0.000112178077378862,-0.00420034911954151,2.23102908335262e-06,1.09790800210626e-05,2.36608231127071e-05,-8.09690284771637e-07,-4.06336782689078e-16,-8.36142934930191e-17,-7.87578678607248e-15,-4.02145578525022e-15,-1.66697226256104e-15,-2.08959725589709e-15,-4.39218429319937e-16,-1.92530425909324e-15,-3.31408091467223e-15,-1.30101754757544e-15,-2.20891854111331e-14,-1.80002833847266e-15,-3.49669020025809e-15,-1.36610560342233e-15,-2.25807041648515e-15,-1.26224160979708e-15,-4.5561762546772e-16,-2.70191700354476e-15,-1.72014728692616e-15,-4.50798144036164e-15,-2.39093567288177e-16,-2.15589968901473e-15,-8.24560073630477e-15,0.70710678118655,3.73645498946603e-14,2.3884719084438e-15,4.54923753347984e-15,1.04468290113849e-14,1.72542099580182e-15,5.07721969287803e-16
"t146",-0.069409902318648,-0.0320427486748168,0.0118243709599504,0.00051705423235704,0.112005241753765,-0.0160186253354241,0.227479609703153,-0.0793367116345979,0.0141996263749155,-0.0561898352788951,0.206904628036247,-0.326766626865073,0.0257701543107767,-0.0548327679379022,0.0184490556093398,0.00473529205932771,-0.0177826851334148,-0.00261602868056129,-0.00480218460370991,0.0212379354340068,-0.000717633962611333,0.000125573543897217,-0.000703574537525563,0.000330130405517434,-0.000239840639571433,0.501435520580702,-6.20644415859564e-06,5.57274596614532e-08,9.1268840930284e-05,-0.000354749883851551,0.00960141705366563,-8.43216987329377e-05,0.00804176237502847,-0.0403203010621593,-6.67591364721601e-05,0.029779585026006,-7.21161912634983e-05,0.000359615262827396,0.000178352001769862,-0.00163685752650689,0.00807284541494339,-0.00910585822425421,0.00266557185249055,0.000150721834504915,2.7491226854542e-05,0.0012178197461488,-1.43697730242012e-07,-3.05519152632664e-06,-0.000194341600257204,-0.000192540880070979,-0.000129900273932173,0.000271105498526866,1.53720626192431e-05,0.000112178077378592,-0.00420034911953467,2.2310290844024e-06,1.097908002047e-05,2.36608231126796e-05,-8.09690285253314e-07,4.41039137987866e-16,3.03786507514065e-17,8.22619278816931e-15,-1.25800685465517e-16,1.55343473002277e-15,1.95818858997006e-15,4.75440119483274e-16,2.01807196047377e-15,3.27187116272489e-15,1.3039992361154e-15,2.02994614258544e-14,1.88901841746597e-15,3.47568924321562e-15,1.25905164343977e-15,2.35462571867536e-15,1.32548764680485e-15,4.71894329427835e-16,2.63025297241356e-15,1.767331014152e-15,4.52766199708594e-15,2.42535771938739e-16,2.12373444916532e-15,8.42914781542501e-15,-0.707106781186546,-3.72815155292081e-14,-2.34628701141231e-15,-4.55160801643865e-15,-1.04555332134567e-14,-1.66602175936376e-15,-4.11812221415432e-16
"t44",-0.0694357349033295,-0.0320701112424483,0.0118374516470632,0.000517685786298526,0.112290906258715,-0.0160642857597212,0.228286579022607,-0.0796362992847903,0.0142734410123247,-0.0565442743604515,0.208496337760411,-0.329652487589683,0.0260099570910859,-0.055368832040513,0.0187065553635764,0.00480236482033242,-0.0180552039612329,-0.00265820085246901,-0.00493912936109859,0.0218789113400202,-0.000739577424976203,0.000130385280951252,-0.000745397007117277,0.000351243467376501,-0.000262941446921106,-0.498553142696421,-3.61841014366052e-06,3.78093190786017e-08,6.67200623639835e-05,-0.000271923725955582,0.00888267561355085,-7.86039395765708e-05,0.00751911987900996,-0.0377648025821737,-6.31638473806702e-05,0.0282301288111638,-6.87598122278076e-05,0.000345774257758045,0.000171508743222998,-0.00157742512332367,0.00778833091824947,-0.0088021448224222,0.00257807226015423,0.000145835308307182,2.66119603578007e-05,0.00117900978863284,-1.39208491688205e-07,-2.96004178357542e-06,-0.000188292967066285,-0.000186579766173979,-0.000125945512574207,0.00026298087336708,1.49162854046557e-05,0.000108859683523242,-0.00407889058446395,2.16666586839887e-06,1.06668158315485e-05,2.29878864584809e-05,-7.87209066877163e-07,5.38962023143916e-15,-5.7682978723716e-14,-0.707106781186548,5.57777772825579e-15,-7.76845195997372e-15,7.92377302822094e-15,-1.31805605300623e-15,1.6090064924051e-14,-1.13001790925214e-14,4.54436835579029e-15,3.74064020315341e-14,4.41081640317733e-15,5.86888087562277e-15,-2.61542555304086e-15,-5.22907478193459e-16,6.51624083324581e-16,3.24249145307626e-16,1.51526780617212e-15,4.22135830051269e-15,-7.54952435319197e-15,1.6377499793198e-15,-1.90695920791886e-15,-1.40162124573959e-15,-8.90953977261688e-15,1.19296084522275e-15,-5.55634645546554e-16,1.92345535649096e-15,-1.23512331670842e-15,-6.34881301196283e-16,2.71160909761478e-17
"t45",-0.0694357349033295,-0.0320701112424479,0.0118374516470633,0.000517685786298359,0.112290906258715,-0.0160642857597213,0.228286579022608,-0.0796362992847903,0.0142734410123245,-0.0565442743604513,0.208496337760412,-0.329652487589683,0.026009957091086,-0.0553688320405129,0.0187065553635763,0.0048023648203326,-0.0180552039612327,-0.00265820085246927,-0.00493912936109839,0.0218789113400199,-0.000739577424976691,0.000130385280951706,-0.00074539700711722,0.00035124346737639,-0.000262941446921036,-0.498553142696422,-3.61841014399353e-06,3.78093191972719e-08,6.67200623640989e-05,-0.000271923725955415,0.00888267561355056,-7.8603939576117e-05,0.00751911987901031,-0.0377648025821734,-6.31638473806416e-05,0.0282301288111635,-6.87598122271315e-05,0.000345774257759244,0.00017150874322203,-0.00157742512332485,0.00778833091825161,-0.00880214482242107,0.00257807226015299,0.000145835308308023,2.66119603582823e-05,0.00117900978863106,-1.39208491362391e-07,-2.96004178134848e-06,-0.000188292967067518,-0.00018657976617477,-0.00012594551257358,0.000262980873369208,1.491628540488e-05,0.000108859683522442,-0.00407889058446735,2.16666586777902e-06,1.06668158332144e-05,2.29878864592893e-05,-7.87209072149179e-07,-5.41177352718036e-15,5.76453106123678e-14,0.707106781186547,-1.01248556313113e-14,7.80403506318277e-15,-7.86656081574755e-15,1.35494205633735e-15,-1.61213430118508e-14,1.12086285765802e-14,-4.52288061417948e-15,-3.52404399880455e-14,-4.41160996911355e-15,-5.9544201210511e-15,2.68334102781913e-15,3.80515282011841e-16,-6.39435817489618e-16,-3.7023418917864e-16,-1.40695705196015e-15,-4.18143492498489e-15,7.54169008432822e-15,-1.60540563425591e-15,1.75263275325874e-15,1.22939422793397e-15,7.27196081129478e-15,-1.09878270338726e-15,5.25342196445261e-16,-2.09754006671886e-15,1.1621159992045e-15,6.59266782898998e-16,-2.1347545028918e-17
"t64",-0.0938166904158471,0.00717238374178228,0.00423366269283665,0.000233931257801981,0.120847211240002,-0.00400392971953873,0.194404517514407,-0.0744433268533173,0.0343914321364481,0.159770576634983,-0.103848231482033,0.0744357302201123,0.0395934809584763,0.00612534499280857,0.000196953650328618,0.00246837445928127,-0.000304212133876304,-4.76744531794288e-05,0.00032253003680308,-0.00920566793737268,-7.71565443974564e-05,-1.28484951484438e-05,0.000158269672273024,-8.12559349854557e-05,8.76646504956664e-05,0.0014130656916933,1.67520705848751e-05,-4.63590908301692e-08,-8.28061370823071e-05,0.000346410168408022,-0.0351995239367505,0.000460663453130757,-0.057907539905557,0.369504627323962,0.000434381818375548,-0.417444664128626,-0.0011154385743205,-0.384717737812391,0.00120740428727295,-0.0971660597735265,0.289027102227309,-0.00499476567102545,0.00201558169175296,0.00012320446325502,2.57390946456222e-05,0.0141708796118565,-7.66351659797785e-08,-1.51765249872544e-06,-9.49537325320701e-05,-0.000982428679463783,-3.40526765017237e-06,-0.000184256687218832,-2.5437750004013e-05,-0.000222255527630657,0.566320896292274,0.000114013216991525,7.63774070391732e-05,0.00221602043099473,-2.96906269872779e-06,2.24373487088505e-16,3.76648173213491e-16,8.35996615571547e-16,-2.82440669609392e-15,-6.64174422980676e-16,1.05075005122425e-15,-5.81144135126679e-18,9.73689016612539e-17,3.32800434977594e-17,1.15905826944428e-16,7.0942152222042e-17,-1.12995759727761e-16,1.69108065851461e-16,3.22895240477009e-16,1.5162683429868e-16,5.07682934985844e-16,1.03920583345993e-16,9.88810512547233e-17,-2.44703784868617e-16,-2.03705587484799e-16,5.34949571104096e-16,6.66874886089725e-16,-2.25815110387605e-16,1.83186799063151e-15,-2.83565653715021e-16,7.63620424628957e-17,-2.59245455723707e-16,-1.23203929804214e-16,-1.18410638922375e-16,8.69793109585e-17
"t92",-0.095923937815766,0.00755006695423079,0.00452581297608701,0.000251850009443475,0.141452964594809,-0.00477860730505034,0.242946815282276,-0.0944744396778552,0.0481990848046792,0.243119814481413,-0.176395087944509,0.139412811294108,0.0774099255855724,0.0125166319644008,0.000654026305289495,0.00844878103362266,-0.00125520130173118,-0.000228403579956582,-0.00119020656441445,0.0278896217342826,0.000224284635476397,2.12475834965441e-05,-0.000128867703004981,6.0292146551349e-05,-4.17637484223412e-05,-0.000142157098951712,-8.27779747763336e-07,1.43290249531246e-09,1.27413402909469e-06,-4.02503572490877e-07,-0.00743516734994306,0.000112200661325725,-0.0149829144441902,0.0990793604195,0.000147360379724079,-0.149148235063393,-0.000476778252336818,-0.247335456685988,0.000783228256335827,-0.0758948404956018,0.257002818164038,-0.00629309166850382,0.0029494094820175,0.000208277863002209,5.31745280687046e-05,0.0312049071679644,-2.76635269845108e-07,-6.13912953953542e-06,-0.000393972717228311,-0.00519849743809742,-0.000358593494394068,0.00101647579541462,7.80666198165061e-05,0.000619371875683401,-0.778629045573991,-0.000148044556540656,-7.22016539593941e-05,-0.00209367324081738,1.76766324259489e-06,-2.4049840664328e-16,-1.1239995934749e-16,-2.43806433895198e-15,-7.58281374948113e-16,5.72074349716623e-16,-1.43899453656138e-15,5.77183591333387e-16,2.37527408539125e-16,-3.40245481806514e-17,-1.7473516941102e-17,7.00335376710384e-16,-7.37000943204338e-19,-1.52494784460847e-16,-2.42095903136165e-16,-4.98346435401489e-16,-1.37765066063948e-15,-6.17339531403463e-16,-8.74564117517673e-16,9.30721913699839e-17,7.40586234194287e-16,-3.19646984777221e-16,-8.56434172504523e-16,3.27423827280534e-16,-4.6074255521944e-15,-1.29047464566526e-16,-9.62676064212658e-18,-4.0687510172378e-16,5.11575140219619e-16,2.38110955193053e-16,1.83432199139945e-16
"t95",-0.0972374687534469,0.00778679041214137,0.00470944148570174,0.000263126963121431,0.154602994486077,-0.00527446289951718,0.274227215644708,-0.107410059099054,0.0572294298311692,0.298133229595108,-0.224791903815981,0.183115686200888,0.102927895082216,0.016843025236244,0.000971262165633112,0.0126041613880994,-0.00191998242994114,-0.000355242238790195,-0.00230356396121987,0.0553244612617151,0.000447473587998549,4.69822014982817e-05,-0.000353384767511038,0.000171577568363309,-0.000146379270436351,-0.00151066584187665,-1.66220215110402e-05,4.47356290029404e-08,7.80332290505481e-05,-0.000319334470772616,0.0229116734253795,-0.000284704971816744,0.0349536615359077,-0.219860514677524,-0.00023402983997233,0.219995307583034,0.00054733498406252,0.173631939147541,-0.000544892367750773,0.0445996563335129,-0.136898680513252,0.00274769122181407,-0.00120961260612595,-8.12037037474214e-05,-1.95746897297987e-05,-0.0113089109378183,9.16722710295003e-08,2.00500604017948e-06,0.000128283202645543,0.00165090931380967,0.000104816120847641,-0.000273508929279928,-1.97967377375147e-05,-0.000155015973899071,0.169851099627619,3.18158481427974e-05,1.41040628656572e-05,0.000408905523025151,-2.8817170659968e-07,-8.18292288690105e-16,-9.27121909322075e-16,-3.60462215539662e-14,3.6118334458325e-14,-8.10562051709026e-14,-2.03049000330327e-13,-9.82438881064317e-15,-6.99937715035069e-14,-6.24345959923042e-14,-5.25701139077466e-13,-0.707106781186547,1.96603170598416e-14,8.44594934220798e-15,7.92466309443103e-15,2.3914984227882e-14,2.69185118489349e-14,-3.38340733464212e-15,-2.45238308543158e-14,3.86029289099943e-15,-8.37675625616324e-15,-4.12366154830802e-15,2.11717100421688e-15,-3.59750786522874e-16,-1.98729921407903e-14,-2.94223470392699e-15,-4.48135600911159e-15,-2.82863490676876e-15,-1.26115373085049e-15,-2.95029319800859e-15,-3.23406506228536e-15
"t96",-0.0972374687534469,0.00778679041214138,0.00470944148570151,0.000263126963121293,0.154602994486077,-0.00527446289951711,0.274227215644708,-0.107410059099054,0.0572294298311693,0.298133229595108,-0.224791903815981,0.183115686200888,0.102927895082216,0.0168430252362441,0.000971262165633077,0.0126041613880995,-0.00191998242994128,-0.000355242238790018,-0.00230356396122004,0.0553244612617155,0.000447473587998705,4.69822014979988e-05,-0.000353384767511193,0.000171577568363182,-0.000146379270436338,-0.00151066584187409,-1.66220215110523e-05,4.47356289189357e-08,7.80332290501112e-05,-0.000319334470772049,0.0229116734253795,-0.000284704971817288,0.0349536615359076,-0.219860514677524,-0.000234029839972507,0.219995307583035,0.000547334984062763,0.173631939147544,-0.00054489236775091,0.0445996563335146,-0.13689868051325,0.00274769122181487,-0.0012096126061265,-8.12037037469822e-05,-1.9574689729248e-05,-0.0113089109378195,9.16722709894262e-08,2.00500604093967e-06,0.000128283202646755,0.00165090931380979,0.000104816120847611,-0.000273508929279062,-1.97967377374351e-05,-0.000155015973901002,0.169851099627621,3.18158481432615e-05,1.41040628660121e-05,0.000408905523021782,-2.88171706909039e-07,8.80764384127003e-16,8.0321769151462e-16,3.68834485346365e-14,-3.63594063220166e-14,8.08599339753466e-14,2.0396953644198e-13,9.52922156141621e-15,6.98534164056946e-14,6.21800210875128e-14,5.256676755904e-13,0.707106781186546,-1.95063798682779e-14,-8.41363630737064e-15,-7.52048991729475e-15,-2.36545218561124e-14,-2.59850538583752e-14,3.79953597716291e-15,2.51879055529016e-14,-3.71019567039035e-15,7.70745296756011e-15,4.20300132644203e-15,-1.96798545496797e-15,1.08086650786319e-16,2.32036612146658e-14,3.31484334101696e-15,4.50313239365575e-15,3.17519895447293e-15,7.84984664501628e-16,2.95395451368693e-15,3.12794158971909e-15
"t42",-0.110547839681141,0.0382387838481213,-0.00234923133034346,-2.31604168187127e-05,0.0820850124030795,0.00524855682265538,0.0677972481002033,-0.0270472420212255,0.0115852466908866,0.0430123021368069,-0.0154529789582343,-0.000503961091576327,-0.0517591542608541,-0.000130886987847204,-0.000223220459610422,-0.0132659910040958,0.00049308900114238,0.000102484776783855,0.00224363458089956,-0.10424653431581,-0.00133814124200304,-2.27569181140751e-05,0.000280669892068174,-0.000141989172002234,0.000143372264837739,0.00204618155573111,4.81635602515662e-05,-6.54522201461456e-08,-0.000116247936603647,0.000483785531156391,-0.0463765505851227,0.000614547266964669,-0.0786085374425362,0.511089750874369,0.000291869409974193,-0.352341978373377,-0.00101076326878599,0.345472473808506,-1.95045780419522e-05,0.157970953070141,-0.617292993365529,-0.0593985019596629,0.0146205470383904,0.000731077805826179,9.20345636264205e-05,-0.096402749907599,-6.43014751549829e-07,-1.33900052640356e-05,-0.000848174336417565,0.0150071666759443,-0.000522840942857653,0.00106285113364118,6.09991844025412e-05,0.000448996287727602,-0.121729876290214,-1.41498026522903e-05,1.95081707687389e-05,-0.00468101589392419,-1.8987380575815e-06,2.3277422027725e-16,4.91329604017482e-17,2.61038352965557e-16,-4.52613492377118e-15,3.66216824406284e-16,-3.50887047249052e-16,-3.2838818235363e-16,-1.47797758916336e-16,-1.3363634964543e-16,-6.87148467321095e-18,1.96105065506051e-16,-2.34766602295681e-16,-5.24186788925755e-17,-5.43162361383647e-16,2.79097789405107e-16,1.80874484016714e-16,1.68840043406334e-16,3.42048017551552e-16,-1.96917031680519e-17,2.8853536968655e-16,-3.31548515230715e-16,2.87769578104782e-16,1.50763472637643e-17,6.38378239159465e-16,-9.82053420578672e-17,-3.61964222509797e-16,4.24697638517811e-17,2.16736896014941e-16,-1.28299929107962e-16,1.35401075701754e-16
"t70",-0.152587040576444,0.110928165478631,-0.017297852102067,-0.00060055620049082,-0.101731871390167,-0.0128464190721082,0.00213209287472826,0.000359717711471086,0.000511288511908486,0.0061169413679521,-0.00535931199667861,-0.000460716743512724,-0.107438004144768,0.00148896565252438,0.000109889697693002,0.0376318761875685,-2.65815128357716e-05,-5.79710746702496e-06,0.000245379893513229,-0.0178202434920246,-0.000262455576009828,1.00599521412326e-06,1.61962083497054e-05,-9.18048577435929e-06,1.3385449197308e-05,0.000331710605103341,2.10221807843896e-05,-1.21716197162763e-08,-2.23639672811767e-05,9.61409326838037e-05,-0.0210715753334498,0.000369614946626579,-0.0564609777608878,0.419659803675422,-0.000810498325859784,0.399351923082148,0.000224087744677764,0.329341994825558,-2.11884159003139e-05,-0.439532976207214,0.265548349472985,0.0160707184464837,-0.00366859614758097,-0.000184874863437874,-4.32933359751113e-05,-0.0476859437368835,1.26842905860037e-07,3.27359940238237e-06,0.000221235295556778,0.45533934304392,2.95734525381901e-05,-7.38267087700784e-05,-4.18573095673315e-06,-3.05634778640067e-05,0.00718138152104249,8.16044936158901e-07,2.88492901902949e-05,0.0883462277218782,8.70581433261735e-08,-1.2328328806875e-16,-2.70845266602712e-16,-8.17791185043944e-16,1.51450643533685e-16,-4.35064884950154e-16,4.45551134847463e-16,-1.80739203837661e-16,-2.51225749461651e-16,-3.95838327555638e-17,-7.09826360711915e-17,-4.06510308813307e-16,1.09725819449953e-16,3.85815694615582e-17,7.56130965001399e-16,1.44627652763513e-16,-7.71403885274787e-16,2.26648888012558e-16,1.88447821633367e-16,6.85274874955319e-17,6.52261607853129e-17,-5.0990237436986e-17,-3.88747294734918e-16,-2.26257402764207e-16,3.60822483003176e-16,1.49781099876685e-16,-5.09928159811545e-16,9.47416056150474e-17,4.89551774396147e-17,1.75932708876061e-16,5.04346081163204e-16
