,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
t1153,10.193147,4.7565126,4.6146793,4.2068863,3.4453256,4.9040194,4.84706,5.199612,5.325716,4.660655,5.933844,4.832351,5.46517,4.9942937,4.757429,5.8663344,3.331051,3.5761473,5.3980937,4.3171625,7.0487065,6.148807,4.770327,3.6819606,3.9078643,4.153404,5.64942,5.7650332,4.957625,5.258444,2.4284735,6.4637594,6.241148,5.084962,5.2705703,6.019513,5.900821,5.5098667,5.8423376,4.2931414,2.0445204,5.369414,6.0921707,6.23273,6.1378,4.07232,6.330143,4.308425,4.932274,4.982089,3.5143418,4.51601,5.4575315,4.8395286,4.327086,5.666428,5.2959185,4.7359114,5.9739723,4.0626597,4.7230287,5.8343477,3.7818894,5.479768,4.6590805,5.8311334,4.9680734,3.7292604,5.3041587,5.008455,6.436978,4.4622803,4.658691,4.109314,5.7450013,5.572409,2.5927763,3.7175336,3.7313213,4.171695,4.371153,4.9122787,4.6019835,4.333948,4.547818,6.658192,4.014202,5.7075977,3.0195174,4.7424088,4.1932244,4.8567314,4.8382783,5.0707383,3.5428128,5.4549756,4.650793,5.325721,3.5274467,5.2667856
t1181,4.530446,9.049688,6.0793,3.6253557,4.5075274,5.369488,4.0472217,4.6675854,5.281103,5.8628945,4.148952,5.3594184,4.7349534,4.285076,5.4986563,4.8865924,2.6163275,6.1381702,5.6631303,4.4008045,4.6476974,4.314097,6.7760663,5.327285,3.180197,3.1585276,5.436059,3.9644513,3.8139286,2.8608778,7.2212276,5.2426863,4.338027,6.6742,4.122739,3.9100983,6.471679,6.383539,5.67728,6.410802,5.219764,3.9102213,4.9363213,3.2957168,5.4597554,4.9785547,5.277283,4.884768,4.896892,5.7199745,5.1517243,3.2355883,5.552952,6.1159472,4.2777023,5.85628,5.270301,4.921212,4.3031425,6.501408,4.9132504,4.3979483,3.9701538,5.5505958,4.6272373,5.2053823,5.138206,5.6187077,5.052788,4.6720066,5.605722,5.867652,4.054296,5.663743,4.0249095,3.979492,4.45404,5.0640936,5.3128414,4.2166786,5.1880918,6.7757363,4.328321,4.810679,5.5799227,5.7752886,4.8189254,5.272491,6.301984,3.8242562,5.859849,5.4454455,6.021456,4.050271,3.6831167,5.2474127,6.0464096,5.1328993,3.4359398,5.4869046
t1385,10.487851,5.1714344,5.550526,5.876741,4.0914817,5.7598696,3.8459556,4.141727,4.6125827,4.9661493,5.2245793,4.9882827,5.876433,4.087561,5.647772,4.6555495,2.9367495,4.303586,5.974338,4.7825217,5.707559,5.513583,4.8394604,5.6156073,4.652649,4.414396,3.9032614,4.667782,3.9098196,4.9880376,5.697108,4.960303,5.111717,4.6279726,4.8733807,6.3279486,4.7067227,4.8765483,5.27942,5.338998,3.709713,4.414472,4.335408,3.8344414,4.3107634,5.218242,4.769107,5.550681,4.451057,5.1361947,4.6445236,5.220583,4.9600406,6.3589387,5.490426,4.935261,4.5349874,6.9707246,4.274188,4.576872,5.0290904,4.2505627,4.8061414,5.797945,6.01219,5.660738,4.202464,3.762951,3.9067266,4.4924655,4.3194704,4.682837,2.9573267,5.906802,4.864377,6.353375,4.345089,6.8012924,5.688054,6.1978974,4.5695195,5.2340617,6.0458183,6.0569434,4.6087737,4.467504,5.1733885,4.925877,5.4429126,5.6835303,4.730181,3.8839812,4.4576845,4.538441,4.598849,5.684074,3.567845,5.1223783,6.1458287,4.720649
t1408,4.040894,4.787046,12.489742,5.396274,4.0503745,5.357638,5.569323,4.7313004,5.5731587,4.0102797,3.8519316,5.5254498,4.4268627,4.494969,4.7458415,4.869958,2.8928688,6.7995276,7.195351,3.3920352,4.4219666,8.365743,6.3651013,4.9727874,6.0153813,3.4485915,5.6175413,4.4486856,2.4380448,6.297278,2.7488012,3.8976848,6.8216033,4.5983553,6.0196967,6.6631536,6.2576737,5.5160084,4.3230457,5.522661,5.254462,6.068708,5.219188,6.166209,3.6315148,3.1650074,5.6496196,5.9856834,5.568477,6.509622,4.275672,5.225961,4.809573,7.0443296,3.4354813,3.6996481,5.931877,6.263736,5.6958294,4.98354,5.281592,5.6568203,7.0121236,6.1139927,6.2076325,5.140153,6.2236166,5.1953764,7.118126,4.7547216,5.268086,4.4808497,4.562552,6.22724,4.8131185,5.264686,5.2389727,3.7642615,5.1338,5.1975203,3.675933,4.801132,6.119562,6.8050756,6.2071495,6.0369024,7.0640845,4.4127665,4.382111,6.958015,6.376684,4.195133,6.3131003,4.904237,4.134151,5.2845073,2.7956498,3.2462146,5.2487803,2.6625376
t1427,4.0788097,4.535061,4.6326847,10.039738,4.3941298,5.1198497,4.9519377,5.135265,5.178044,5.0380883,5.462596,5.1050534,4.453321,5.745931,4.0684037,4.871305,3.037121,3.4798133,3.9956737,6.9754195,5.5604043,5.2567043,4.451423,4.770646,5.035686,6.552131,4.78811,4.88586,4.598599,4.3656435,5.1280828,4.9520097,5.767757,5.893652,3.0932333,3.7744143,6.0870957,4.6596565,4.0709844,4.56485,5.005547,4.6013637,6.1021905,3.5033205,5.1236577,5.4330297,5.404777,3.6384847,6.0517793,5.9794893,3.9987211,6.825404,4.7668715,5.1304197,4.0307136,4.586843,4.4190483,5.1328697,6.0940466,3.668326,4.8217254,3.8571148,4.824287,5.3302183,4.1681676,5.767152,2.6569328,4.044554,4.628595,5.5650473,4.0609417,5.750777,4.1555758,4.5328584,4.5167036,4.2061367,6.6628675,4.8848424,6.3231,4.09068,4.741053,3.979211,6.100886,5.770366,4.903007,4.7026777,6.325018,5.6577926,4.0472326,3.152827,5.528827,5.327024,3.5019078,6.42079,4.7940965,4.589094,4.2420006,4.3032722,4.463871,5.2832856
t1495,3.1022727,5.4123664,4.8745894,4.704514,11.641457,5.582932,5.2113853,4.4925427,5.1813383,5.3745966,5.663558,4.3569756,4.659495,5.7512174,5.203972,5.134632,3.9665468,4.041461,5.183314,5.5476604,4.5620327,4.9897647,4.7561264,4.8545566,3.8174877,5.4392557,4.362974,7.10386,5.4318995,5.3687925,4.361639,4.0898695,4.745171,5.1120396,4.983686,4.720674,5.81175,4.755447,4.105944,4.677848,4.8850236,5.423183,5.325078,4.8550525,6.6181607,2.9472873,3.7549243,5.3799057,3.3384354,5.748398,5.5558605,5.3555064,4.4052014,5.6988773,4.5445876,6.5654397,3.89835,4.1278086,4.9397316,5.180751,5.988908,6.9492636,5.769619,5.7621756,3.8053784,6.250362,5.288128,5.3894205,4.549018,4.453712,4.3905454,5.508049,6.4397106,4.3916,4.268821,4.8192024,5.3811784,4.9095926,5.1111107,3.9199405,7.2668424,5.295689,4.563504,5.3355308,5.0530453,5.4686785,4.770864,3.9643962,4.1146083,3.552124,5.3854785,5.668866,4.41112,5.9769316,6.1206207,4.392358,5.203243,4.077884,3.2051933,6.82877
t1541,9.530402,4.7013874,6.157686,5.3165274,5.8384056,4.954357,4.8096375,4.213829,5.415136,4.761441,4.6768837,4.996027,5.030851,4.5429335,5.720165,5.5994873,3.577143,6.7754517,5.8912272,6.0723553,5.281003,2.2064118,4.045273,4.554186,5.2113123,3.2759347,2.825001,4.227562,5.527341,5.6955123,5.132116,6.3491993,4.8339615,4.825322,4.8365107,3.7618036,3.9926476,5.724367,4.0911283,4.477429,5.493459,4.571621,5.593296,5.735301,4.6848454,4.862441,3.672453,4.9520593,3.546796,6.5385118,5.9192066,6.5637865,5.367631,5.2585993,6.4806232,4.6575413,5.7677016,4.7559447,3.7698243,5.6976495,4.756231,5.478476,4.411448,4.6499214,6.115903,5.0018253,4.730577,4.0775228,4.8429456,5.7722087,4.2911844,4.7138343,3.1087692,5.9406214,5.1603656,5.6193333,4.7659097,5.792779,4.7221975,4.67075,4.494478,4.4849477,4.4246664,5.5442114,4.986387,4.4017053,3.6674812,5.155668,5.522155,5.3571424,6.035421,4.499361,4.686895,6.3671145,5.0697823,4.3559523,4.0811286,4.9823794,7.0587826,5.078247
t1560,5.5992484,6.2445745,5.0686893,3.9240797,5.8971643,11.34903,4.473839,4.6071086,4.963586,5.61068,4.243409,4.2934494,5.1539373,4.938225,4.723235,4.5242906,2.5986795,4.40975,4.63993,5.202647,5.2798805,4.334524,5.9445972,7.287515,5.109252,5.201886,4.8658695,5.646538,3.5704787,3.7758994,5.4609075,6.1815977,5.2251406,5.337769,4.692002,3.842369,5.155839,4.0861325,4.7803917,5.9349117,5.094366,5.809443,4.449145,4.825425,4.8735647,6.2988763,4.189507,4.454949,4.443285,3.9834254,7.0258136,4.759116,5.8131847,5.7844415,5.0001073,4.692676,4.7540445,4.219175,6.6041903,4.713052,3.6622312,4.4629025,4.870997,4.277261,5.1099834,2.4269245,4.385614,4.5859504,5.714941,3.9079392,3.862041,4.4664717,5.255504,4.5913696,4.550683,5.116121,5.1683683,7.9630275,4.488904,4.552234,4.9030704,5.3714695,4.0382385,3.6465173,4.151688,3.608394,4.484405,5.7868524,4.79036,4.1719317,4.4408073,4.0964437,5.4915895,5.814305,3.0276937,5.2644596,5.2393723,5.766813,3.940298,5.0009236
t1578,4.316976,5.603957,5.4999256,5.7065773,6.4937468,4.848747,9.303887,6.036818,5.211826,5.3331227,5.088074,5.7551064,5.203254,4.748468,5.2541823,4.8500853,2.6111112,5.837645,5.6301255,6.56485,5.458858,6.785719,6.8493423,5.927539,5.198354,5.3988104,5.4810915,4.4027324,4.770933,5.326146,3.9934382,4.9041343,4.7877836,4.1525335,5.031814,6.0064473,6.1503344,4.3060226,3.1181169,5.5809774,5.9314976,6.5253906,6.4312897,5.971462,6.006076,5.254872,4.5633698,5.020574,4.9046063,5.909552,5.94489,5.6973667,5.2111564,5.8808155,3.7873898,5.4662538,4.709838,6.255605,5.6340322,4.905345,5.0769706,4.9501996,4.74014,4.2663,4.3023853,4.878853,5.1945267,5.2931175,5.0209236,3.368784,3.271921,4.9747777,6.3146563,4.6877894,5.18684,5.429575,5.8708453,6.310199,6.1587324,4.2313433,5.3292656,4.6259227,5.075166,4.511067,3.589369,5.0555725,5.1278925,6.0319433,5.6817822,5.5926623,4.5581923,2.9853868,2.3254805,3.9543636,6.3224683,6.8701744,3.826584,4.107714,5.617049,6.021663
t1582,10.198677,4.758179,4.625085,4.2176566,3.4560626,4.9127154,4.847871,5.2029095,5.3233337,4.663391,5.9284735,4.833798,5.4734635,4.999111,4.759495,5.8598185,3.3235178,3.5695138,5.4063015,4.3109875,7.057896,6.154003,4.773264,3.692081,3.9095178,4.1587753,5.6523128,5.7707014,4.949251,5.2505903,2.4369745,6.4633875,6.2409935,5.091569,5.276323,6.0212016,5.8934608,5.5046926,5.842944,4.2880306,2.051283,5.368046,6.0905185,6.228869,6.1355247,4.0783997,6.3299136,4.3073955,4.9283323,4.989308,3.5206122,4.5135593,5.450101,4.842047,4.334067,5.6633015,5.2917924,4.7425203,5.967193,4.0596538,4.730475,5.8276243,3.7904353,5.4832125,4.6576014,5.83647,4.9650087,3.7267017,5.3107276,5.0134835,6.445317,4.4620514,4.664277,4.1115923,5.7467937,5.5673094,2.5985842,3.7253704,3.7290595,4.1759725,4.3753047,4.9115295,4.6004186,4.336936,4.54728,6.6506834,4.012397,5.7133045,3.021752,4.7431016,4.18681,4.859905,4.8392997,5.0723605,3.543449,5.451054,4.653269,5.3237896,3.5298028,5.2637124
