"accepted_species","traits"
"t111",1
"t178",0
"t188",1
"t195",1
"t209",1
"t212",1
"t235",NA
"t241",1
"t258",1
"t261",1
"t264",0
"t273",1
"t290",NA
"t296",1
"t299",1
"t300",1
"t303",1
"t315",0
"t316",1
"t319",0
"t322",1
"t324",NA
"t327",1
"t332",0
"t336",1
"t337",1
"t343",0
"t344",0
"t345",1
"t347",1
"t352",1
"t355",1
"t365",1
"t366",1
"t369",NA
"t371",1
"t372",1
"t379",1
"t383",NA
"t385",NA
"t387",1
"t392",1
"t395",0
"t396",1
"t401",0
"t402",0
"t408",1
"t409",1
"t410",1
"t416",1
"t420",1
"t424",1
"t426",0
"t429",1
"t431",1
"t432",1
"t434",1
"t437",0
"t438",1
"t441",1
"t442",1
"t443",1
"t447",0
"t449",1
"t450",1
"t451",NA
"t456",0
"t461",0
"t463",1
"t464",1
"t466",0
"t468",0
"t470",0
"t474",1
"t476",1
"t482",1
"t486",1
"t487",1
"t488",1
"t491",1
"t494",1
"t496",1
"t498",0
"t500",0
"t501",0
"t502",1
"t504",1
"t505",0
"t506",1
"t510",0
"t515",1
"t518",1
"t521",1
"t525",1
"t526",1
"t530",0
"t533",1
"t536",NA
"t538",1
"t541",0
"t542",1
"t543",1
"t544",0
"t546",1
"t547",0
"t550",NA
"t551",0
"t553",1
"t554",0
"t555",1
"t558",1
"t560",1
"t561",0
"t562",1
"t565",1
"t566",1
"t567",1
"t568",1
"t569",1
"t572",0
"t573",1
"t574",1
"t578",1
"t579",1
"t580",1
"t581",1
"t584",0
"t586",0
"t588",0
"t589",NA
"t590",1
"t591",NA
"t593",1
"t596",1
"t597",1
"t599",1
"t602",0
"t603",1
"t604",1
"t607",1
"t608",1
"t610",0
"t613",NA
"t615",0
"t616",0
"t617",0
"t619",NA
"t620",1
"t621",1
"t625",NA
"t627",0
"t629",1
"t630",0
"t632",0
"t633",0
"t634",0
"t635",1
"t636",1
"t637",NA
"t640",1
"t641",0
"t644",1
"t645",1
"t646",1
"t647",0
"t648",0
"t649",0
"t650",NA
"t651",1
"t652",NA
"t654",0
"t657",1
"t658",1
"t660",1
"t663",0
"t665",1
"t666",NA
"t667",0
"t668",1
"t669",0
"t672",1
"t673",0
"t674",1
"t676",1
"t677",0
"t679",1
"t680",0
"t681",0
"t683",1
"t684",1
"t686",1
"t688",0
"t689",1
"t690",0
"t691",1
"t692",1
"t693",1
"t694",1
"t696",NA
"t699",0
"t700",0
"t702",1
"t703",NA
"t704",1
"t705",0
"t711",1
"t714",0
"t715",0
"t716",1
"t717",0
"t718",1
"t720",0
"t722",0
"t724",1
"t725",0
"t726",1
"t727",0
"t729",0
"t730",0
"t732",0
"t733",1
"t734",1
"t735",NA
"t737",1
"t738",0
"t739",1
"t740",1
"t741",1
"t743",NA
"t744",1
"t747",1
"t748",0
"t749",1
"t750",1
"t751",1
"t755",0
"t756",0
"t757",0
"t760",1
"t762",1
"t763",0
"t764",0
"t766",0
"t767",0
"t768",0
"t769",0
"t770",0
"t771",0
"t772",0
"t773",1
"t774",0
"t775",0
"t776",1
"t778",1
"t779",1
"t781",1
"t782",1
"t783",0
"t784",1
"t785",0
"t786",1
"t787",0
"t788",1
"t791",0
"t792",0
"t794",0
"t795",0
"t796",0
"t797",1
"t798",1
"t799",1
"t800",0
"t802",0
"t804",1
"t805",0
"t806",1
"t807",0
"t808",0
"t809",0
"t810",0
"t812",0
"t817",0
"t818",0
"t819",0
"t821",0
"t822",1
"t824",0
"t825",1
"t826",NA
"t827",NA
"t828",0
"t829",1
"t830",1
"t831",1
"t834",0
"t835",0
"t836",0
"t837",NA
"t838",1
"t839",0
"t840",0
"t841",1
"t842",1
"t845",1
"t848",0
"t849",0
"t850",0
"t851",1
"t854",0
"t855",1
"t856",1
"t859",0
"t860",1
"t862",1
"t863",1
"t864",0
"t865",0
"t866",0
"t867",0
"t868",1
"t869",1
"t870",0
"t871",0
"t872",1
"t873",0
"t874",0
"t875",0
"t876",0
"t878",NA
"t879",1
"t881",NA
"t882",1
"t883",0
"t884",NA
"t885",0
"t886",0
"t888",NA
"t891",0
"t893",0
"t895",1
"t898",1
"t899",0
"t900",1
"t901",1
"t902",1
"t904",0
"t905",1
"t906",0
"t907",1
"t908",1
"t909",0
"t912",0
"t913",0
"t914",1
"t918",0
"t919",0
"t920",NA
"t922",0
"t923",NA
"t925",0
"t926",1
"t927",0
"t929",0
"t930",0
"t932",1
"t933",1
"t934",0
"t935",0
"t936",1
"t937",1
"t938",0
"t939",1
"t940",1
"t941",NA
"t942",0
"t943",0
"t946",0
"t947",NA
"t949",1
"t950",1
"t951",1
"t952",NA
"t953",1
"t954",0
"t955",1
"t956",1
"t957",1
"t958",0
"t959",1
"t960",1
"t961",1
"t962",0
"t963",0
"t964",1
"t965",0
"t966",0
"t967",1
"t969",0
"t970",0
"t971",0
"t972",0
"t974",1
"t975",0
"t976",0
"t977",0
"t978",0
"t979",1
"t980",0
"t981",1
"t982",0
"t985",0
"t986",0
"t987",0
"t988",0
"t989",0
"t990",0
"t991",NA
"t992",0
"t993",0
"t994",0
"t995",0
"t996",1
"t997",1
"t998",NA
"t999",0
"t1000",0
"t1001",0
"t1002",0
"t1003",0
"t1004",0
"t1006",0
"t1007",0
"t1008",NA
"t1009",0
"t1010",0
"t1011",1
"t1012",1
"t1013",0
"t1014",0
"t1015",0
"t1016",0
"t1017",0
"t1018",1
"t1019",0
"t1020",1
"t1021",NA
"t1023",0
"t1024",NA
"t1025",1
"t1026",0
"t1027",0
"t1028",0
"t1029",0
"t1030",0
"t1031",1
"t1032",0
"t1033",0
"t1034",0
"t1035",0
"t1037",1
"t1038",1
"t1039",0
"t1040",0
"t1042",NA
"t1043",NA
"t1044",0
"t1045",0
