"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89"
"t117",-0.0465585753360666,-0.10804104175578,0.063646995081034,0.0186768719939536,0.155303410777261,-0.00681475760518604,0.0271229115674776,-0.00354840048931212,0.00420336699576433,-0.00867194964870892,0.0227561542017694,-0.0309201801613766,0.0204207775428867,-0.0134568207796251,-0.00218436787269527,0.436321374502449,3.19756409417719e-05,-1.01309226599156e-14,-2.35542921972476e-17,0.0362982137377028,-0.365570619532828,0.00271388880374453,-0.0147301465019419,0.270731333515698,-0.00453833849617207,0.0893950650486909,1.43397156762323e-16,-1.39645239816133e-16,-0.0836802701151629,0.00918586884619531,-0.00342234295664432,6.98437588702725e-05,-0.00583920056335396,-0.000166588518760588,0.000515744244481581,-0.0324280627629729,-0.00474935945147261,0.0206859447036142,-0.163160790066285,0.00899175802117332,-6.17743999659821e-05,-0.000913475271379459,-4.97991324355912e-05,0.00405949598864225,0.000760933630265592,0.000225835167219048,0.00236976101395606,-1.73119557718645e-05,-1.47048720607475e-05,-0.0359490427050388,0.0002148292100793,1.41694046763774e-15,-1.00735934351059e-16,0.000953670638795155,-0.00621093657658996,0.00190371388628839,2.21621981646254e-05,7.84857745074182e-08,2.99788215655757e-06,-0.00107803564149061,-4.49932465355426e-07,-0.244233841893256,1.5558301175167e-17,-1.14491749414469e-16,2.69749500514394e-16,-2.59774840527527e-16,-9.54097911787244e-18,0,-1.49186218934005e-16,2.25514051876985e-17,-2.08383657551714e-16,-1.30104260698261e-16,9.06393016197882e-17,-1.32923186346723e-16,3.31901390052125e-17,3.12250225675825e-17,-5.55111512312578e-17,6.59194920871187e-17,-1.10588621593521e-16,6.11923706150819e-16,-1.42681005899092e-16,-0.133622986576785,-2.63677968348475e-16,1.6306400674182e-16,0.138341613935315,-0.395333994283406,-5.23452808876002e-16,-3.59955121265187e-16,-0.497058707548786
"t118",-0.0465585753360673,-0.108041041755781,0.0636469950810349,0.0186768719939555,0.155303410777262,-0.00681475760518591,0.0271229115674771,-0.00354840048931124,0.00420336699576401,-0.00867194964870905,0.0227561542017696,-0.0309201801613771,0.0204207775428873,-0.0134568207796256,-0.00218436787269553,0.436321374502454,3.19756409406001e-05,-1.0052121138693e-14,-1.23500891515293e-16,0.0362982137377031,-0.365570619532833,0.00271388880374428,-0.0147301465019431,0.270731333515701,-0.00453833849617326,0.0893950650486932,-3.36877917694943e-17,2.9667617470094e-16,-0.0836802701151609,0.00918586884619891,-0.00342234295664628,6.98437588709708e-05,-0.00583920056335552,-0.00016658851876074,0.000515744244481745,-0.0324280627629775,-0.00474935945147099,0.0206859447036145,-0.163160790066293,0.00899175802117853,-6.17743999656396e-05,-0.000913475271382295,-4.97991324350876e-05,0.00405949598864081,0.000760933630270723,0.000225835167221121,0.00236976101395588,-1.73119557723159e-05,-1.47048720613198e-05,-0.0359490427050524,0.000214829210086382,7.95594378254189e-16,2.91535364015106e-16,0.000953670638796084,-0.00621093657659352,0.00190371388628661,2.21621981660692e-05,7.84857743000371e-08,2.99788215727044e-06,-0.00107803564146703,-4.49932465514193e-07,0.24423384189325,-2.12463128523581e-16,2.00343608091059e-16,-6.22193539972017e-16,4.18020035125611e-16,1.00395708390136e-16,-2.45897052719712e-16,9.12501595890685e-16,1.12602663107274e-16,7.43391788654526e-16,5.01374957648225e-16,2.70521863464341e-16,6.15181271004482e-16,-4.69284109422219e-17,5.41120071554382e-16,5.43315057959972e-16,2.38139983650786e-16,3.52497176380602e-16,-9.36827624843548e-16,1.11788001977007e-15,0.133622986576783,2.47435029903814e-16,-1.04171672712852e-15,-0.138341613935313,0.395333994283401,1.23032439689437e-15,6.79189504266139e-16,0.497058707548778
"t37",-0.0476991836421897,-0.113916573459734,0.0699535287141095,0.021110181459159,0.21812615206526,-0.0142919137475225,0.0573379131238786,0.00311176908715537,-0.0023337866019055,0.000328958790238558,0.00116614520955572,-0.00422552386228436,0.0038905433835926,-0.00371635161844937,-0.000648246936382301,0.134079002371855,1.00644791784777e-05,-3.80044496956652e-15,2.61088701534227e-17,0.0117054360362916,-0.124434685363551,0.00106833732753064,-0.0129475080185754,-0.049704429039143,0.000442044362911642,0.00692297249378226,2.66451574978823e-16,-1.16991135079625e-16,0.00239081414698934,-0.00274116085257049,0.00127094900022723,-3.13996534137701e-05,0.00434283015665751,0.000206581998302583,-0.000687802299501043,0.0732086587407906,0.0126015525531461,-0.0936475443954444,0.863828651762753,-0.0781901092484057,-0.00154364394691311,-0.0217336134748337,-0.000604933035711965,0.00800079766164816,0.000878164490974219,0.000249832568490257,0.00238611577230478,-1.16045390366669e-05,-6.10935376035267e-07,0.335441380304638,0.00770490478952413,-8.91898752999214e-15,-1.32111624506781e-15,0.00563626471401472,-0.0314006732844041,0.00910976795842052,9.41844999491961e-05,3.28844736563031e-07,1.22416212564885e-05,-0.00380611770191257,-1.58377962039445e-06,5.20417042793042e-16,7.23948494497444e-16,-3.75593617697088e-16,-2.2345405376292e-16,-7.53430842794174e-16,7.59739414507051e-16,-5.60582537551256e-16,5.81499319286368e-16,-3.02826520585928e-16,-8.0878590064458e-16,-5.90511401321099e-16,9.92822362152994e-17,-3.55250058511213e-16,3.66317617639788e-16,-1.47185244430135e-16,4.62522137955969e-16,8.83328326095005e-16,8.15865539002122e-16,1.51933075876446e-16,3.32782361664675e-16,-6.83481049534862e-16,3.81647506807039e-16,-1.55669603762883e-15,-9.0205620750794e-16,4.96824803519758e-15,2.62197036115715e-15,5.05485238120512e-16,5.63438184997267e-15
"t104",-0.0499333077621026,-0.125187158685308,0.0817549772304352,0.0256002862085105,0.32631752695778,-0.026477537207028,0.10654591241419,0.0127249611202279,-0.0116073816919597,0.0122570348373064,-0.0266827541302126,0.0289009947592584,-0.0158838207193401,0.00670947230932173,0.000906680410399422,-0.158800860752395,-1.02124054750083e-05,3.29041028163165e-15,1.75626207277816e-17,-0.0093935158762662,0.0879193530349804,-0.000804000112055983,0.0126619301228824,0.0993532621154656,-0.0012069548662236,0.00445937734249821,9.06590348362895e-17,3.24610354537703e-16,3.41191364366944e-06,-0.000114025660326748,6.5683291833504e-05,-1.93571569462216e-06,0.000404003617005847,2.73525049764191e-05,-9.53432475248003e-05,0.013765663510845,0.00257844751380403,-0.0245705921342875,0.241462824363096,-0.0259169373306992,-0.000873336604907584,-0.0124089199996485,-0.000420150296350301,0.0326701281108838,0.00672348118710961,0.00200683630466097,0.0213101963565159,-0.000162137785141085,-0.000148672399299442,-0.85887602026562,-0.0106012878194034,2.74597904730069e-14,1.7457854151159e-15,-0.00288198728850533,0.0128156692906927,-0.0034032634621532,-2.85603473519078e-05,-9.70908255411753e-08,-3.44005855304292e-06,0.000786458286752268,3.25001866619829e-07,-6.87644385877206e-15,2.20207664192324e-16,-7.48397023070653e-17,-4.00598490275552e-16,-3.20034092136026e-16,3.37704234097266e-16,-9.19967087140785e-16,1.91279279822212e-16,-6.77915621234213e-16,-4.94309059389018e-16,2.704726417672e-16,-2.50941427879642e-16,-9.28252216362177e-16,5.77076593010576e-16,-8.58299792251453e-17,-1.3750803424876e-16,3.04257962642277e-16,6.27524532212629e-16,-5.62621335304121e-16,1.00523551853729e-16,-4.00374178255447e-15,2.18077819883384e-17,-4.59873701676799e-15,-2.77555756156289e-16,-2.94209101525666e-15,4.63204975017285e-15,1.06402571418858e-15,-3.05311331771918e-15
"t132",-0.0504957721868321,-0.128045035170286,0.084773506931108,0.0267544945032208,0.354849337702838,-0.0297616797551004,0.119811631051059,0.0154556845275104,-0.0142631200745162,0.0157901033057984,-0.0350499711301031,0.0390694878525275,-0.0220859841528049,0.0102339563481178,0.0014567114148608,-0.266745434886564,-1.80821551193301e-05,5.54196139369941e-15,-8.35491536195677e-17,-0.018745612486244,0.209859907348798,-0.00214089380970675,0.0377686583069156,0.32812740788954,-0.00406557474112972,0.0180663002033099,2.04633996448322e-16,-2.6917230169104e-16,-8.27774978580664e-05,0.000331730192331264,-0.000160477262750643,4.0811562349175e-06,-0.000593586876127151,-2.92484291252552e-05,9.78971343261282e-05,-0.010936343840377,-0.00191891536366114,0.0153777467235828,-0.145305954415443,0.014172830618112,0.000384468772426032,0.00544759728642284,0.000174797972478512,-0.0111277721767815,-0.00224819974615592,-0.000670386051810016,-0.00710438010489388,5.37040298079319e-05,4.8715508901933e-05,0.264480771037781,0.00310069359640114,-7.42571166492905e-15,-1.08367878198512e-16,0.000706494399560654,-0.00294132997457063,0.000758584176463018,5.8936489551707e-06,1.98215805590777e-08,6.8812935077662e-07,-0.000136380263049703,-5.61600622210962e-08,0.00868377580256292,0.0246111899664555,0.0335929377550616,-0.0210485180788028,0.0363482694901856,0.0339834487341097,-0.00474056013809659,0.0183180848065665,0.00965417865802363,0.00709736187522635,0.0338794613074124,-0.00362562292215624,0.0300273461852731,-0.019013991611179,0.0279449353595961,0.0103545649665388,0.00123698060953828,0.0165731786270908,0.232577374576806,0.0382364730680187,-0.028663271099052,0.0255384324215795,0.367945977622258,-0.00940833534702498,0.131105928697673,-0.51697228387367,-0.0594006603553911,-0.103454569890366
"t134",-0.0504957721868323,-0.128045035170286,0.084773506931108,0.0267544945032208,0.354849337702839,-0.0297616797551004,0.119811631051059,0.0154556845275101,-0.0142631200745162,0.0157901033057985,-0.0350499711301033,0.0390694878525275,-0.0220859841528043,0.0102339563481179,0.00145671141486075,-0.266745434886565,-1.80821551195594e-05,5.192044075081e-15,-6.22171222106565e-17,-0.0187456124862441,0.2098599073488,-0.00214089380970619,0.0377686583069152,0.328127407889541,-0.00406557474112876,0.0180663002033099,-3.18926179486864e-18,-1.02863237266014e-16,-8.27774978560403e-05,0.000331730192329939,-0.000160477262750587,4.08115623431203e-06,-0.000593586876128162,-2.92484291250492e-05,9.78971343263319e-05,-0.0109363438403767,-0.00191891536366218,0.0153777467235844,-0.145305954415449,0.0141728306181135,0.000384468772428384,0.00544759728642273,0.00017479797247744,-0.011127772176779,-0.00224819974615957,-0.000670386051812074,-0.00710438010488705,5.37040298079618e-05,4.87155089039315e-05,0.26448077103779,0.00310069359640204,-9.67102415136127e-15,-1.28790425294449e-15,0.000706494399562097,-0.00294132997456868,0.000758584176462438,5.89364895400375e-06,1.98215793213251e-08,6.88129350840529e-07,-0.000136380263049099,-5.61600575526483e-08,-0.00868377580256172,-0.0246111899664555,-0.0335929377550614,0.0210485180788028,-0.0363482694901854,-0.0339834487341094,0.00474056013809642,-0.0183180848065657,-0.00965417865802334,-0.0070973618752262,-0.0338794613074124,0.00362562292215644,-0.0300273461852726,0.0190139916111787,-0.0279449353595957,-0.0103545649665383,-0.00123698060953788,-0.0165731786270907,-0.232577374576804,-0.038236473068018,0.0286632710990528,-0.0255384324215792,-0.367945977622255,0.00940833534702422,-0.13110592869767,0.516972283873666,0.05940066035539,0.103454569890368
"t163",-0.0496457397742154,-0.123692978463617,0.0801342632443707,0.0249711437059307,0.309556921922679,-0.0244281171606438,0.0982613774287573,0.0107735976004225,-0.00967188654818282,0.00947209990756192,-0.01987534150639,0.0202390771791789,-0.0103609771396986,0.00309581975165117,0.000297992643499715,-0.0314534607936035,-2.1304764503943e-07,-6.67895757913487e-17,5.1796755372492e-17,0.00459339240431307,-0.142177496066139,0.00208743742049111,-0.0496743496849361,-0.541816813767771,0.00699287136631109,-0.0438629634111807,-7.15340220386632e-16,5.92875871037462e-17,-0.00213075090345929,0.00140567154607198,-0.000599951915781831,1.37583612819049e-05,-0.00156051272597598,-6.14721594337596e-05,0.000199693507869811,-0.0182102311645797,-0.00301723194420927,0.0204056380356666,-0.184668807533382,0.0160512735942621,0.000309289455316934,0.00435846687657199,0.0001248441945291,-0.00414682463668131,-0.000762312761279992,-0.000226104182453463,-0.00236992583235767,1.72752501815555e-05,1.46996823101888e-05,0.0487268898725667,0.00025729581095507,-2.24774584038751e-15,-2.28260096938866e-16,-0.000208061018498121,0.00132077372922759,-0.000394667777704813,-4.22350012087046e-06,-1.47663666412834e-08,-5.50185847962947e-07,0.000165008955203411,6.85564299541272e-08,-0.438637771631942,0.0612836852507349,-0.00630176616604943,-0.0437048134858608,-0.0466168443125005,0.0744329520680635,-0.117342137278502,0.11440966003877,-0.0471217475124365,-0.0827533165214893,-0.0183186374686347,0.00240900675709088,-0.0512673406090733,0.0319971843439165,0.00239401904010291,0.0367028512936628,0.103130480149846,0.11481174774234,0.169186456531582,0.0890200006141763,-0.283734780018002,0.0600378999113044,-0.147525796170804,-0.189630771472604,0.209481636043137,0.0397008126541886,-0.00131017896353312,0.072415264911276
"t164",-0.0496457397742154,-0.123692978463617,0.0801342632443705,0.0249711437059303,0.309556921922679,-0.0244281171606439,0.0982613774287572,0.0107735976004221,-0.00967188654818311,0.00947209990756165,-0.0198753415063899,0.020239077179179,-0.0103609771396987,0.0030958197516513,0.00029799264349939,-0.0314534607936038,-2.13047644517457e-07,2.74972895222045e-17,1.03971013961344e-16,0.00459339240431255,-0.142177496066138,0.00208743742049037,-0.0496743496849354,-0.541816813767763,0.00699287136631157,-0.0438629634111799,2.30612394722244e-17,-1.75487177382012e-16,-0.00213075090346066,0.00140567154607041,-0.000599951915783294,1.37583612807768e-05,-0.00156051272597723,-6.14721594348394e-05,0.000199693507870231,-0.0182102311645794,-0.00301723194421089,0.0204056380356642,-0.184668807533374,0.0160512735942581,0.000309289455318822,0.00435846687656842,0.000124844194529084,-0.00414682463668405,-0.00076231276127716,-0.000226104182451318,-0.00236992583235804,1.72752501781166e-05,1.46996823122082e-05,0.04872688987256,0.00025729581095939,-4.73502586367266e-16,3.55363497833897e-17,-0.000208061018495187,0.00132077372922272,-0.000394667777702893,-4.22350011835113e-06,-1.47663651900742e-08,-5.50185847800261e-07,0.00016500895521338,6.85564320435566e-08,0.438637771631947,-0.0612836852507362,0.00630176616604945,0.0437048134858614,0.0466168443125012,-0.0744329520680644,0.117342137278503,-0.114409660038771,0.0471217475124376,0.0827533165214906,0.0183186374686352,-0.00240900675709045,0.0512673406090742,-0.0319971843439172,-0.00239401904010281,-0.0367028512936629,-0.103130480149847,-0.114811747742341,-0.169186456531583,-0.0890200006141769,0.283734780018005,-0.0600378999113056,0.147525796170806,0.189630771472607,-0.209481636043141,-0.0397008126541905,0.0013101789635324,-0.0724152649112786
"t116",-0.0482603027062414,-0.119081473249896,0.081333273100817,0.0283777170339705,-0.0222682391241866,0.000875636149358899,-0.00367859784203439,-0.0202897869411958,0.00560137369857879,-0.00981960552875961,0.0247559048064046,-0.0322128526763564,0.0206050828991621,-0.0125766218261028,-0.00196256895472056,0.37751169918612,2.61753793262383e-05,-5.42229075686048e-15,1.7290765782008e-16,0.0231734421868943,0.519591460930191,0.0126919725800637,-0.078739617348436,-0.100340299544861,-0.000206378950902057,0.0767309335111314,-9.96416124905346e-17,-1.79028699333113e-16,-0.0837724802346017,0.128652577598338,-0.00209313999467778,5.13151223673864e-05,-0.00450616285119771,-0.000120024274394096,0.000365458811962059,-0.0188786805859519,-0.00249622499885065,0.00514379158630449,-0.0215697060783654,-0.00358569006486385,-0.00103222750566017,-0.0324918485798601,-0.000111920370982018,0.00702336763191184,0.00265744514202129,0.000949752375681845,0.0230985920969302,8.79151234886975e-06,-8.25411271660642e-06,-0.00462673665385811,0.000925148060146668,9.58415368972441e-16,3.90079903719837e-16,0.00149390584110974,-0.00923195081101409,0.00278160361025821,3.13184371544823e-05,1.10528532271733e-07,4.1976026024388e-06,-0.0100785115020509,-1.21945755532655e-07,0.00271457515565146,-0.0192178984591274,-0.0196263348072282,0.125161749723618,0.00243848796440448,-0.076392624982108,0.0282845523554724,-0.0388977871470787,-0.00329352202017532,-0.0305026033861985,0.0029433759945141,-0.0471965843638808,-0.0908699362107075,-0.0246246590709525,-0.0782687844979828,-0.0332702298342662,-0.05772587699686,-0.0685274563622315,0.109530940365732,-0.0831451472477829,0.0241423492981666,-0.0432403847155403,-0.0347775834601636,-0.48024564944746,-0.354984136516315,-0.0969819012793852,-0.199122106870207,0.14084930686748
"t66",-0.0482603027062417,-0.119081473249896,0.0813332731008174,0.0283777170339706,-0.0222682391241875,0.000875636149358719,-0.0036785978420351,-0.0202897869411962,0.00560137369857874,-0.00981960552876038,0.0247559048064047,-0.0322128526763566,0.0206050828991624,-0.0125766218261032,-0.00196256895472097,0.377511699186123,2.61753793262826e-05,-5.63488445743964e-15,5.80768490732901e-17,0.0231734421868953,0.519591460930198,0.0126919725800635,-0.0787396173484368,-0.100340299544862,-0.000206378950902231,0.076730933511131,-4.55775285487846e-17,-4.24914759837947e-16,-0.0837724802346017,0.128652577598339,-0.00209313999467917,5.13151223642177e-05,-0.00450616285119709,-0.000120024274394101,0.000365458811961516,-0.0188786805859528,-0.00249622499885337,0.00514379158630667,-0.0215697060783671,-0.00358569006486602,-0.00103222750565554,-0.0324918485798602,-0.000111920370997323,0.00702336763191007,0.00265744514202059,0.000949752375682674,0.0230985920969264,8.79151234287161e-06,-8.25411271675311e-06,-0.0046267366538589,0.00092514806014913,1.86498633514932e-16,-6.1463617825268e-16,0.00149390584111129,-0.00923195081101628,0.00278160361026126,3.13184371537661e-05,1.10528535119806e-07,4.19760260351639e-06,-0.0100785115020497,-1.21945744031515e-07,-0.00271457515565166,0.019217898459127,0.019626334807228,-0.125161749723617,-0.00243848796440431,0.0763926249821071,-0.028284552355472,0.0388977871470787,0.00329352202017573,0.0305026033861984,-0.0029433759945139,0.0471965843638806,0.0908699362107067,0.024624659070952,0.0782687844979821,0.0332702298342662,0.0577258769968595,0.0685274563622305,-0.109530940365731,0.0831451472477823,-0.0241423492981662,0.0432403847155396,0.0347775834601636,0.480245649447456,0.35498413651631,0.0969819012793838,0.199122106870204,-0.140849306867479
