"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100"
"t47",0.0440882088504284,-0.00367258804992623,-0.0436236693992277,-0.000788596082885409,0.0197020074346359,-0.0169471665196399,-0.0139977963586058,-0.419764036175538,0.891695943765425,0.0129135883628927,-0.0348174108009649,0.0748010250564852,0.0813212751063127,0.00548291773359501,0.00579550906643475,-0.010637622088428,0.00470999701589195,0.000733990743869417,0.00160623930047928,-0.00742513555691243,-0.000726540727714676,-0.00288338031003258,0.00538161093160585,0.00107542809206728,0.00341127697550505,-0.000224995006058714,0.00124666329001656,-0.000239160756777973,0.00123786172295111,-0.00118563331328409,-0.00194650897614315,0.000122785277473217,-0.000697996555909585,8.76687985836771e-05,0.00172851894484064,-0.000272339169604283,0.000371302157674547,-0.00089027861288177,-0.0058942248696267,-0.000132935595338133,-0.000696311626828233,-7.93761650031147e-05,0.000132535926730677,-8.67977530490656e-05,-7.37045500536095e-06,0.000148166054976085,0.000533457498251911,-1.00558520963633e-16,-0.000230172268714318,0.000179315132171865,2.82424744190376e-17,0.000253599390012621,-1.11457988129666e-05,0.000104212037281347,1.64338001651341e-17,2.18622230558913e-06,-0.000642401828446054,5.96072958650024e-06,0.00010702812228994,-5.2436874766974e-17,-5.61678147921624e-05,-1.88377821419776e-15,-5.56309662223075e-05,5.59288541593403e-06,8.53817561415835e-17,2.56290829219856e-16,-2.11242068356148e-16,-7.88012344640632e-06,6.67536542848366e-16,2.06354328140419e-05,1.59594380602454e-05,5.41678282259811e-05,8.62144063290934e-17,-3.5908566254499e-06,-1.45455181717761e-16,1.61127656879813e-17,-1.07723322630153e-16,-2.08376937631485e-05,4.35213613151983e-16,0.000110624156383451,-6.94361528299076e-06,-3.34424352880825e-16,-1.72247931983734e-17,6.15746504667978e-16,-3.95973321547981e-16,-2.83450826148257e-05,-7.24418767775415e-17,1.17469989445521e-15,-4.71148022226151e-16,3.08757346313176e-16,5.11206958330944e-17,-9.75764685019852e-06,-1.68816519529701e-16,9.68978163138021e-16,-2.47682124674284e-15,2.7968177766553e-15,-1.41580882549606e-15,2.06929920863345e-15,-3.82117710504688e-15,-0.0999999999999991
"t133",-0.0598325969220502,-0.0633235902557043,0.000964256027908339,-0.152034105995096,-0.0576998534304948,-0.0303489088821003,0.00761673412155882,-0.00148307249607793,0.00085781303237379,-0.013912089624089,1.36988319498366e-05,-0.00415777595340931,-0.0126836034755121,0.0148511046743051,-0.0221316594989892,0.669435537410454,0.00211903528736058,0.00226702438125241,0.000481992585277294,-0.0184031380351861,-0.000957226147886357,-0.000518725167836757,0.00128126689011148,0.0358515671834634,0.00614062761691913,-0.000326560335425664,0.000243712564252864,-0.000588033615306187,0.000267756807463711,-0.00210117382045929,-0.0630415122514472,-0.000113108515921122,-0.00102870911770623,1.4216207765289e-05,0.00282404239430959,-0.00767098011754557,0.000473471884133632,-0.000704320075077559,-0.000820403179803652,-1.87432035375289e-05,-0.00118653629655697,-0.00013001564764154,0.000140060736963482,-0.00215419161648486,-1.18348391411618e-05,0.000238234237093413,0.000558884691192599,-2.38092136568356e-15,-0.00529297317085117,0.000275263826861284,1.20083007706426e-14,3.77870700736868e-05,-1.7525165853774e-05,0.000163749684896486,9.55929749795876e-16,3.408370008218e-06,-9.68108721209164e-05,9.39353496414094e-06,1.61418239960489e-05,2.64015894416403e-16,-8.7107885983383e-05,-0.707106781186551,-5.68613387658328e-05,0.000112012100172793,-1.54582256783095e-14,-1.16074899187436e-13,-3.25047482428593e-15,-1.19384506779165e-06,9.37026623356035e-15,2.09957990529068e-05,2.44827071995219e-05,8.21224278089292e-06,-4.16776234889453e-16,-5.44707503653452e-07,-1.92347870696016e-15,-6.90034174268726e-15,-1.87661300759052e-15,-2.11575829746435e-05,-2.84234082087918e-16,0.00016894090511714,-7.02987304739579e-06,1.51330983820463e-15,1.75880743288879e-15,6.07806247715675e-16,8.14696108751922e-16,-4.31047794075761e-05,-6.66086817768678e-16,-1.96930855366905e-15,8.58369631650162e-17,-6.36012392998438e-15,7.45738645758748e-15,-0.000179969470957819,1.24766452053744e-15,3.34295508871236e-15,-3.0109989940008e-15,4.33492284585437e-15,-4.10278957537795e-15,6.00460082709658e-16,-5.15938454104785e-15,-0.0999999999999868
"t134",-0.0598325969220506,-0.0633235902557046,0.000964256027908575,-0.152034105995096,-0.0576998534304947,-0.0303489088821001,0.007616734121559,-0.00148307249607738,0.000857813032374561,-0.0139120896240878,1.36988319512579e-05,-0.00415777595341093,-0.0126836034755122,0.0148511046743045,-0.02213165949899,0.669435537410457,0.00211903528736024,0.00226702438125192,0.000481992585279215,-0.0184031380351904,-0.000957226147885156,-0.000518725167836409,0.00128126689011029,0.035851567183458,0.00614062761692052,-0.000326560335424608,0.000243712564254808,-0.0005880336153079,0.0002677568074681,-0.00210117382046015,-0.0630415122514536,-0.000113108515919217,-0.00102870911770996,1.42162077645593e-05,0.00282404239431423,-0.00767098011754812,0.000473471884143526,-0.000704320075076332,-0.000820403179793923,-1.87432035454405e-05,-0.00118653629655251,-0.000130015647647742,0.000140060736963846,-0.00215419161648092,-1.18348391387031e-05,0.00023823423709143,0.000558884691181401,2.64091367995985e-15,-0.00529297317085862,0.000275263826859196,-1.17440687251784e-14,3.77870700725229e-05,-1.75251658399778e-05,0.000163749684892078,-8.46516353943285e-16,3.40837001334612e-06,-9.68108721390744e-05,9.39353497843542e-06,1.61418239974948e-05,6.64628550109342e-17,-8.71078863887658e-05,0.707106781186544,-5.68613387278831e-05,0.000112012100375036,1.53142366141743e-14,1.16069250264733e-13,2.99168880756842e-15,-1.19384503967042e-06,-8.05625106245142e-15,2.09957990584406e-05,2.44827072073452e-05,8.21224279324995e-06,5.20483373651851e-16,-5.4470750371175e-07,1.17926301346095e-15,8.30337923693524e-15,1.81852974810845e-15,-2.11575829842533e-05,1.10508853890684e-15,0.000168940905129521,-7.02987305108799e-06,-1.98303971336287e-15,-1.98370669433621e-15,5.03476602957132e-16,-1.25495123927214e-15,-4.31047794182726e-05,5.554670534972e-16,3.67548399961123e-15,-6.45760280225201e-16,7.02321803811708e-15,-8.68127945934976e-15,-0.000179969470953124,-1.63537914424655e-15,-1.14424938335002e-15,-3.95778281211999e-15,9.01904382631173e-16,1.24432900197971e-15,3.43319509998683e-15,-2.69998419755557e-15,-0.100000000000011
"t216",-0.0659961128982439,-0.0776485601669379,0.00126709412704025,-0.205599590779802,-0.0870322324001879,-0.0460197731386434,0.0185451182145906,0.0153152216472553,-0.00695075110922425,0.353631437910523,2.46501633605913e-05,0.00307876597715325,0.00624349341101326,-0.00700909239700776,0.00526276393334442,-0.0824012734236132,-5.90160095898037e-05,-5.50532891031944e-06,7.46679460428392e-05,-0.00304614471058332,-0.000170096439461911,-9.77308356598454e-05,0.000287042270178968,0.011522257245423,0.00116275830645744,-8.02405839535618e-05,6.07230596588659e-05,-0.000152486388079993,7.07296628425387e-05,-0.000586538264302254,-0.0241814905677562,-4.62799265763925e-05,-0.000262100494044477,4.40884933122392e-06,0.000905191594213923,-0.00380458254181108,0.000132057850047726,-0.000241732287071647,-0.000284155471647409,-6.52362225973033e-06,-0.000430468855562165,-5.15409950915424e-05,6.15520759528904e-05,-0.00147202404570982,-5.53881946131033e-06,0.000117950227219415,0.000289930660753096,-4.04607269312579e-15,-0.34902716984463,-0.000664047086504251,-1.92806452780021e-15,-2.57065228645057e-06,-7.76945931335699e-07,1.02492703824339e-05,1.13927131166325e-15,5.48912255107107e-07,-1.70376174863463e-05,1.66233270257853e-06,2.99092918592849e-06,-5.15573477731244e-16,-1.74263858911281e-05,-6.54337695138452e-15,-1.19942540164336e-05,3.36830089560746e-05,1.62950169295679e-15,-3.9479403566945e-15,1.92747413256538e-17,-2.71720346006833e-07,2.85998976717115e-15,4.818000152495e-06,5.65854777117575e-06,1.90049592712788e-06,-5.04538913010196e-16,-1.2685991704999e-07,-3.71861927987346e-16,-3.68124994212822e-15,-2.25408349892284e-15,-4.93659430057757e-06,-1.56806916941203e-15,3.93108639901008e-05,-1.63394927437577e-06,-6.83698887716246e-15,-2.94919344499003e-15,3.70226240468591e-15,5.3367674341049e-16,-9.05928761809219e-06,2.61989287119419e-16,1.13691539226929e-14,-1.74813095126486e-14,-1.88442630225905e-13,4.51950453879369e-13,0.820052260878014,3.88164734273146e-13,-4.63389710913029e-15,-7.23591921889017e-14,-4.23071489468315e-15,-1.65986066629437e-14,-3.07373515592054e-15,-5.97237636524968e-15,-0.10000000000005
"t219",-0.066018652015259,-0.0776987973945632,0.00126813074893548,-0.205781230387005,-0.087128499966749,-0.0460711288528095,0.0185775731169268,0.0153581756215444,-0.00697076816223344,0.354720171209806,2.47278648008538e-05,0.00308875548894185,0.00627130570116771,-0.00704066687706224,0.00529075500271134,-0.0828951339708597,-5.9419641152185e-05,-5.54460592575636e-06,7.54284319258556e-05,-0.00307811353617358,-0.000171944234982338,-9.88245621584705e-05,0.000290507883207097,0.0116651004604708,0.00117743527526629,-8.1324889514628e-05,6.1548805675902e-05,-0.000154596523383603,7.17158771157637e-05,-0.00059488191818082,-0.0245442367152913,-4.69770997956427e-05,-0.000266672805814059,4.4955174974767e-06,0.000923242176694563,-0.00388158869583503,0.000134743167189288,-0.00024694724309467,-0.000290322256125704,-6.66565015091262e-06,-0.000440094744748529,-5.27553359555316e-05,6.30760595338769e-05,-0.00150908378594982,-5.67989456843184e-06,0.000121012006144525,0.00029756721852759,-3.68494662236408e-15,-0.359977669035123,-0.000685300916596908,-1.68334269204055e-15,-2.66535207861023e-06,-8.08037731658734e-07,1.06685079107745e-05,1.69456095413649e-15,5.77365511479867e-07,-1.79895774973608e-05,1.75574079198042e-06,3.1681273172375e-06,3.04524772810141e-16,-1.85921725253217e-05,-2.04697370165263e-15,-1.29040292752881e-05,3.62881949158257e-05,-6.26833624355216e-16,2.21575761847905e-15,-1.19666638991684e-15,-3.0074448774936e-07,-1.61392002390887e-15,5.37027486651977e-06,6.36135305594717e-06,2.14072087249363e-06,5.81874751104385e-16,-1.44914318211019e-07,1.86914924936221e-15,-1.07390822416976e-15,7.78402355181666e-16,-5.68534691497085e-06,2.65542746702103e-15,4.71247770631103e-05,-1.96751551537789e-06,-2.51697603361249e-15,1.54721229738098e-15,-3.03976413015309e-15,4.313296285659e-16,-1.32107180684929e-05,2.66784290128892e-16,-1.19665185649659e-14,5.47818036574408e-15,1.06036307459093e-13,-1.18370061224999e-13,-0.404642983538289,-1.80621887455279e-13,1.54936255035287e-13,0.70710678118658,2.01638536525804e-14,1.3326790178234e-14,1.36464285488844e-16,-9.89652093744323e-15,-0.0999999999999897
"t220",-0.066018652015259,-0.0776987973945635,0.00126813074893536,-0.205781230387005,-0.087128499966749,-0.0460711288528098,0.0185775731169266,0.0153581756215442,-0.00697076816223356,0.354720171209808,2.47278648012847e-05,0.00308875548894178,0.00627130570116565,-0.00704066687706306,0.00529075500271158,-0.082895133970862,-5.94196411520978e-05,-5.54460592592289e-06,7.54284319255599e-05,-0.00307811353617341,-0.00017194423498197,-9.88245621575594e-05,0.000290507883205619,0.0116651004604706,0.00117743527526576,-8.13248895158705e-05,6.15488056758187e-05,-0.000154596523384251,7.17158771157087e-05,-0.000594881918181769,-0.0245442367152906,-4.69770997957745e-05,-0.000266672805814465,4.49551749803749e-06,0.00092324217669629,-0.00388158869583522,0.000134743167191689,-0.000246947243093862,-0.000290322256125992,-6.66565015074506e-06,-0.000440094744746825,-5.27553359553473e-05,6.30760595340886e-05,-0.00150908378594858,-5.67989457157689e-06,0.00012101200614434,0.000297567218527485,-3.89515940262099e-15,-0.359977669035121,-0.000685300916597462,-1.37515861217227e-15,-2.66535207788649e-06,-8.08037730119024e-07,1.06685079092956e-05,1.41658447557997e-15,5.77365511694416e-07,-1.7989577490966e-05,1.75574079360871e-06,3.16812731898036e-06,2.32279581369881e-16,-1.85921725279701e-05,-2.96984659087229e-15,-1.29040292766913e-05,3.62881949176015e-05,-7.27612270377328e-16,2.25806771364993e-15,1.66795413795957e-15,-3.00744486569205e-07,5.69869519234328e-16,5.37027486521115e-06,6.36135305878973e-06,2.14072086746191e-06,5.0236666317765e-16,-1.44914308905794e-07,-1.2349564515244e-15,7.85335906871122e-15,-2.5656653339266e-17,-5.68534692063778e-06,-1.06965423695933e-15,4.71247770778249e-05,-1.96751551805902e-06,9.00872295238125e-15,1.13405104956932e-15,-2.77200945384999e-15,-2.48226089220853e-15,-1.32107180657763e-05,-1.37010676958052e-15,4.50890654673787e-15,9.01874292506733e-15,8.32833751723455e-14,-3.34742164622825e-13,-0.40464298353841,-2.02398666000673e-13,-1.47230674371971e-13,-0.707106781186515,-7.88619451065256e-15,-9.65165381479395e-16,9.43784932083077e-15,4.82926525462831e-15,-0.099999999999955
"t212",-0.0656710653420926,-0.0769177749191448,0.00125194108035698,-0.202939475908063,-0.0856133704748721,-0.0452626410775183,0.0180577695057755,0.0146497680000881,-0.00663994100910585,0.336624751349061,2.34337195516411e-05,0.00292193755940961,0.00579025379156803,-0.00649373172204252,0.00479392740416319,-0.0739463406791586,-5.19092076549174e-05,-4.8068581956685e-06,5.95956412314805e-05,-0.00240513505058066,-0.00013252458555489,-7.520982767334e-05,0.000213168312278831,0.00843761505535119,0.000842909483506018,-5.57245424949465e-05,4.19857825351877e-05,-0.000104115941357502,4.80210390173788e-05,-0.000392075528905927,-0.0154342450850181,-2.94207555398828e-05,-0.000138429475798582,1.77726219313981e-06,0.000348402973582738,-0.00138880045722049,4.73630622359543e-05,-6.47465066570199e-05,-7.32020253309087e-05,-1.64431059130539e-06,-8.72441354819447e-05,-4.64199746682542e-06,-2.61384832644518e-06,0.000138706846923342,7.35510641653613e-07,-2.36848373465689e-05,-7.47325841485332e-05,6.47034799837328e-15,0.556227753515834,0.00126855130049421,9.87787835534676e-16,3.27785289781928e-05,-1.22276933644173e-05,0.000109879198964987,-1.42727990424102e-15,1.82829034238892e-06,-5.01750604016167e-05,4.85763116277423e-06,8.19130430479129e-06,2.1640961566006e-16,-4.27793875879461e-05,-7.16787740273617e-15,-2.7278219658724e-05,7.58763600794814e-05,1.69257987896019e-15,-6.10776588794533e-17,1.45470954564535e-16,-5.52489655599518e-07,3.344729953002e-15,9.67284934424512e-06,1.12301071329292e-05,3.76366478017834e-06,-2.71823467517433e-15,-2.48364828226628e-07,-5.11662268942268e-16,4.72415844655127e-15,4.98369665557581e-15,-9.62482519208396e-06,5.54573487788633e-16,7.62952282713545e-05,-3.17300954066141e-06,1.76416976315781e-15,9.76690803386013e-16,-1.88312401709202e-15,8.42731097071791e-16,-1.92791964802121e-05,-1.03417633748248e-14,1.66863732007326e-15,-8.42651028721783e-15,1.86727306463856e-13,-0.707106781186546,-0.00459406080265002,-1.94368646278712e-14,1.00657231054817e-14,1.07202854629456e-13,-4.27216263811257e-15,-7.87129472917686e-15,1.59472831548051e-15,-3.78020984641251e-15,-0.100000000000005
"t213",-0.0656710653420926,-0.0769177749191444,0.00125194108035686,-0.202939475908063,-0.0856133704748718,-0.0452626410775183,0.0180577695057753,0.0146497680000876,-0.00663994100910604,0.336624751349061,2.3433719551722e-05,0.00292193755940944,0.00579025379156808,-0.00649373172204247,0.00479392740416351,-0.0739463406791573,-5.19092076548365e-05,-4.80685819645422e-06,5.95956412304979e-05,-0.00240513505058199,-0.000132524585554922,-7.52098276729783e-05,0.00021316831227932,0.00843761505535071,0.000842909483507021,-5.57245424954104e-05,4.19857825369222e-05,-0.000104115941358431,4.8021039017358e-05,-0.000392075528904455,-0.0154342450850197,-2.94207555396199e-05,-0.000138429475798407,1.77726219370868e-06,0.000348402973582218,-0.00138880045722144,4.73630622390526e-05,-6.47465066586782e-05,-7.3202025330151e-05,-1.64431059230293e-06,-8.72441354819129e-05,-4.64199746777837e-06,-2.61384832660469e-06,0.00013870684692462,7.35510642801397e-07,-2.36848373468539e-05,-7.47325841496625e-05,5.35116594634165e-15,0.556227753515824,0.00126855130049149,4.17847559128958e-15,3.27785289784205e-05,-1.22276933654528e-05,0.000109879198964299,-2.81419875474341e-15,1.82829034669204e-06,-5.01750604017529e-05,4.85763116609227e-06,8.19130430486183e-06,-2.66848998708013e-16,-4.27793875887429e-05,9.03443986288721e-15,-2.72782196583983e-05,7.58763600747836e-05,-1.61142058191818e-15,4.68331568225794e-16,-1.56025242126207e-15,-5.52489659952416e-07,-1.83866787656555e-15,9.67284935285929e-06,1.12301071346232e-05,3.76366478711244e-06,2.81828599833305e-15,-2.48364827219017e-07,-3.54704059596335e-16,-9.66884048854553e-15,-3.77747895924328e-15,-9.62482520140313e-06,1.12912759724994e-15,7.62952282733944e-05,-3.17300955348652e-06,-3.43245606124292e-15,-9.31743841311966e-16,6.97974591668088e-15,-1.27354301231862e-15,-1.92791964901149e-05,1.07485039394022e-14,3.67446014746374e-16,9.05453578295035e-15,-1.86847128143333e-13,0.707106781186549,-0.00459406080343343,1.40281238236784e-14,-7.91686814039689e-15,-1.09061651673621e-13,9.63859046758677e-15,4.94142161932239e-15,2.34692518220294e-15,-4.29651121916797e-15,-0.100000000000004
"t97",-0.062778222307975,-0.0702830688990467,0.00111267347109732,-0.178370438084687,-0.0722709318941456,-0.0381368578611351,0.0131513281967677,0.00508696414782653,-0.00176665026705366,-0.12645880917595,-4.90520673945896e-05,0.00777523826108136,0.0020634152535299,-0.00220897617085971,0.000375328336943982,0.0118556996194636,2.65984437607694e-05,3.1415364560769e-06,-0.000193550094444983,0.00899235777305194,0.000588832424278132,0.000393360725038517,-0.00206157097990401,-0.203827142170926,0.00134919819859832,0.000685921069797059,-0.000554019875169405,0.00166792617778376,-0.000839155651472421,0.00876412123395118,0.880888299262741,0.0018806230602523,-0.00453985921150722,5.1985089779377e-05,0.0129816142016856,-0.32739089815259,-0.00318436360102004,-0.00105937842883948,-0.00125522788117823,-2.88830051697815e-05,-0.0018811885322807,-0.000205103758186331,0.000222527978468162,-0.0322812093694931,-1.63101884956119e-05,0.000340234008720334,0.000798204085272761,-5.35494836153303e-16,-0.0102250159187995,0.000352468713282632,2.08110367514602e-15,4.67281463586078e-05,-2.11636173968201e-05,0.000196612547772795,2.1684243999978e-17,3.89233684788624e-06,-0.000109220864846103,1.05885739078641e-05,1.8056245181804e-05,-2.07314648788741e-16,-9.59491111149095e-05,9.29811783123569e-16,-6.1821194298255e-05,0.000701558663201003,3.86701223574083e-16,-1.38903285784859e-16,-4.43664714713966e-16,-1.26395967869318e-06,6.58738194146674e-16,2.21383439223193e-05,2.57063997854056e-05,8.61523476982619e-06,-2.12608460091385e-17,-5.68365606597998e-07,4.20250542312703e-16,6.52487935019641e-16,5.35892802037875e-16,-2.20194716004967e-05,6.42880199850074e-16,0.000174240192371866,-7.24497013506259e-06,-4.94389323754369e-16,2.67858029748836e-16,8.40312951535215e-16,-3.87449154636432e-16,-4.37766500932844e-05,-7.76193302503108e-17,1.55349761948639e-15,-5.42874267818406e-16,-2.43140552569014e-16,8.21214438200159e-16,-0.000250453522750094,-8.65918141961458e-17,1.08961275731316e-15,-1.9809810526171e-15,2.90129036514064e-15,-1.62052494713384e-15,1.4385490097846e-15,-3.80017021173625e-15,-0.0999999999999958
"t194",-0.0650019729821304,-0.0752944303752014,0.00121663672027856,-0.196620911162033,-0.0819946805368494,-0.0433251560347338,0.0164268885624454,0.00789946484557627,-0.0027978710026119,-0.21173322670764,-8.395695396288e-05,0.0136990993871055,0.00660863557018638,-0.00736607316654649,0.00506115671976216,-0.0746811723224531,-4.95588347955493e-05,-4.4891515760102e-06,2.80493150695133e-05,-0.000835711023516914,-1.85745758968666e-05,1.08014556704026e-05,-0.000676725447648354,-0.172665183214152,0.0117050795510178,-0.000167967010497302,0.000121102068113459,-0.000271937490874005,0.000121168663574391,-0.000921398376228624,-0.0351176456084048,-6.79995380168229e-05,-9.39727014760988e-05,-7.20617547994556e-06,-0.00329904043783771,0.193863455105123,0.00279071597487318,-0.000331345976245506,-0.000353773571893766,-7.72083620306043e-06,-0.000323678229208067,7.39816855275581e-06,-0.000255414154011544,0.901647306400522,-4.57985680410589e-05,0.00041920539784369,0.00075042921101047,-8.70591583026546e-16,-0.00490245143966108,0.000166177413116046,6.52794694658514e-16,2.07869736591461e-05,-9.31682249266605e-06,8.64358066401699e-05,-8.24669022054236e-17,1.71494731397698e-06,-4.82995057169596e-05,4.68386770144655e-06,8.01041446356495e-06,1.41920378756764e-16,-4.28674307133338e-05,-4.81559236931162e-15,-2.78586493570695e-05,0.00200161395976725,-3.43606467723171e-16,3.33468761265816e-15,-6.6540254525711e-16,-5.78352199126588e-07,4.24989377314475e-16,1.01604469127537e-05,1.18358357565629e-05,3.96931442049083e-06,7.13769381855374e-16,-2.62979271096215e-07,-8.50553132825584e-16,7.07256448590152e-16,-1.11648183612219e-15,-1.02096191856336e-05,4.88666158442932e-16,8.14041932233174e-05,-3.38700286866503e-06,-3.51161369051425e-16,-4.26000819373367e-16,7.95858676369821e-16,-6.10268947007858e-16,-2.07391196092809e-05,-4.78174161339659e-16,8.22383743961516e-16,1.81689526140856e-16,5.8900817481812e-16,-6.06561837411337e-16,-0.000120314832009555,9.68411540705301e-17,1.72353343520185e-16,-1.93728091332073e-15,2.2098832671391e-15,-1.19693131506688e-15,1.94599992019937e-15,-3.42021707978501e-15,-0.100000000000007
