"accepted_species","traits"
"t22",NA
"t34",1
"t42",1
"t44",0
"t45",1
"t46",1
"t54",1
"t61",1
"t62",1
"t63",1
"t64",0
"t67",1
"t69",1
"t72",1
"t73",0
"t74",0
"t75",1
"t77",1
"t78",0
"t79",1
"t81",1
"t83",0
"t84",1
"t85",0
"t87",1
"t88",0
"t89",0
"t90",NA
"t91",0
"t92",1
"t93",1
"t94",1
"t95",NA
"t96",1
"t98",0
"t100",1
"t103",1
"t105",1
"t106",0
"t107",1
"t108",1
"t109",0
"t111",1
"t112",1
"t113",0
"t114",0
"t116",1
"t117",NA
"t118",1
"t119",1
"t120",0
"t121",0
"t122",0
"t123",0
"t124",1
"t125",1
"t126",0
"t127",1
"t128",1
"t129",1
"t130",1
"t132",0
"t133",0
"t134",0
"t135",1
"t136",NA
"t137",NA
"t138",1
"t139",0
"t140",0
"t142",0
"t143",1
"t144",1
"t145",NA
"t146",1
"t147",NA
"t148",1
"t149",0
"t150",1
"t151",0
"t152",1
"t153",0
"t154",1
"t155",0
"t156",NA
"t157",1
"t158",1
"t159",1
"t160",1
"t161",0
"t162",NA
"t163",0
"t164",0
"t165",1
"t166",1
"t167",1
"t168",1
"t169",0
"t170",0
"t171",0
