"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89"
"t76",-0.102727010329383,-0.00800611698772865,0.00296229392057057,-0.0105724394294873,0.331646965504981,-0.0209384218801329,0.0977185114323268,-0.0720099381222704,0.00201802972900022,-0.000130041978167698,0.000454238987671144,-0.0331466696954255,0.00013518948410319,0.000340272659311796,-0.000169612066900409,-0.000114811238570344,-1.29343008083785e-05,0.0072213420675656,-0.590243789904969,0.00371124800820061,-0.000777672409970823,0.000918206040260269,-0.0110300805374259,0.00177875887303171,-0.000642077914606795,0.00561460835345689,-0.000356305391665723,0.000271305068019312,0.00333716878304358,-0.000177977702057094,-8.92775450015819e-06,0.000171126427491491,-0.000116795756485115,-0.000157948623871979,0.00240570477088327,6.7755419708906e-05,-0.000136084106155754,-0.00143087283862248,0.00036385806150662,0.0564011913402443,-0.000610508058247698,-1.15007838333757e-05,-4.76280637669067e-17,-2.44522993237092e-05,0.000296461856916673,-1.17117305668337e-05,-0.00852153762501683,5.59103274798135e-05,-4.65618765448343e-16,3.74550968768059e-16,1.63033527144937e-05,-4.55183886221405e-17,-1.67234821278809e-17,-6.0447433994755e-06,-3.54689341965778e-05,-3.21547223181807e-06,0.000502496677668581,4.10794679252209e-05,2.2238323801121e-17,-8.76851693256055e-17,2.07169721237485e-17,4.91796698203381e-05,-5.12379753503433e-05,-8.78980504820819e-18,2.14839216877034e-17,7.79969231118629e-18,3.66925116297776e-06,2.73106654916484e-16,-1.08806497048755e-16,-0.000181688525182919,-5.04122480210206e-16,-2.40014656049568e-13,-1.83861568487596e-15,2.32695419171749e-17,3.05954793381329e-05,4.68981690408822e-16,1.14788672095764e-15,-0.707106781186546,1.83501745637425e-05,5.60758465670262e-16,2.25088069909139e-16,3.13041147615515e-17,3.18296670482237e-16,3.04132058384932e-16,4.96096431342203e-16,-1.75597153512993e-16,1.6429271482664e-16,1.10533497592561e-15,1.02622920544377e-17
"t77",-0.102727010329383,-0.00800611698772875,0.0029622939205706,-0.0105724394294874,0.331646965504981,-0.0209384218801333,0.0977185114323262,-0.0720099381222707,0.00201802972899998,-0.000130041978167732,0.000454238987671278,-0.0331466696954243,0.000135189484103668,0.00034027265931189,-0.00016961206690039,-0.000114811238570486,-1.29343008083651e-05,0.00722134206756565,-0.590243789904968,0.00371124800820072,-0.000777672409970813,0.000918206040260204,-0.011030080537425,0.00177875887303161,-0.000642077914606886,0.00561460835345647,-0.000356305391665756,0.000271305068019354,0.00333716878304394,-0.000177977702057053,-8.92775450024056e-06,0.000171126427491568,-0.000116795756485134,-0.000157948623871871,0.00240570477088389,6.77554197089871e-05,-0.000136084106155709,-0.00143087283862321,0.00036385806150669,0.0564011913402464,-0.000610508058247586,-1.15007838333847e-05,-9.97103410003247e-17,-2.4452299323674e-05,0.000296461856916911,-1.17117305671879e-05,-0.00852153762501697,5.59103274798279e-05,3.03889272405608e-16,-3.54616649732526e-16,1.63033527142688e-05,7.31771163023506e-17,4.48713598751162e-17,-6.04474339986941e-06,-3.54689341963841e-05,-3.2154722320195e-06,0.000502496677668612,4.10794679257198e-05,2.32646721651254e-17,3.70503616035818e-17,-2.23378405398785e-17,4.91796698198575e-05,-5.1237975350779e-05,2.73941602541868e-17,2.13767712817076e-17,-8.70608643693173e-17,3.66925116402715e-06,-1.54589791394032e-16,1.68615138152857e-16,-0.000181688525183247,4.27697082213729e-16,-2.41377063555555e-13,1.56323350622273e-15,7.20753846021288e-17,3.05954793370495e-05,-5.36340785987673e-16,-1.28609248640147e-15,0.707106781186548,1.83501745226431e-05,-5.94988590948435e-16,-3.80802577664701e-16,1.70011580103658e-17,-3.25382105256035e-16,-3.84923209686133e-16,-6.00585326618998e-16,-1.52020067210634e-16,4.58337957719631e-18,-1.08253450403961e-15,3.18270837023365e-16
"t23",-0.104003005996427,-0.00825499788450784,0.00309994477919581,-0.0111453315556406,0.358770729441917,-0.0228180507309054,0.111695124999751,-0.0847919671798457,0.00240083796446522,-0.000163327459879504,0.000577970346767119,-0.0466442760327833,0.00021031918336307,0.000540466172103419,-0.00030272998712174,-0.000230014509205872,0.000250765705622706,-0.0302024674257045,0.258689914296911,-0.00137828718597023,0.000161096265072045,-0.000150086964783262,-0.00317193738738675,0.000595203767786451,-0.000223163663242677,0.0021245681452818,-0.000136278601570845,0.000105006585217969,0.00136427790364044,-7.41853521794303e-05,-3.73051581937106e-06,7.17870028719601e-05,-4.85534595783857e-05,-6.55614171823526e-05,0.000963391806387775,2.5211351488205e-05,-4.96461831057628e-05,-0.000488357409972994,4.96285297891627e-05,0.00457307351515641,8.77615177134241e-05,6.49723006190177e-06,8.50279100139795e-17,1.12936407213647e-05,-0.000177596394847877,1.88501685936476e-05,0.871155095387155,0.000474176648189045,-3.34436291530167e-18,4.4978835124182e-16,2.26692886833162e-05,9.23621600259075e-18,-2.82407203523595e-16,-7.0080353353587e-06,-3.80955134163553e-05,-3.43464074464526e-06,0.000522508507780801,4.2664768371111e-05,1.61944839949738e-16,3.03783253642963e-16,1.32281822701401e-16,4.78212725565171e-05,-4.82393151333263e-05,4.96204376396512e-17,-5.11738149304458e-17,-1.91552247421677e-16,3.34902520508637e-06,1.21279019945659e-16,-6.49776625834142e-17,-0.000162824436949611,-3.87548753939205e-16,-2.15066227984227e-13,-3.4416203695152e-16,5.96791071488411e-17,2.70055436336656e-05,-1.72508605400243e-16,8.61731436985015e-18,2.77555756156289e-16,1.59649511965546e-05,-6.67293966726306e-17,-1.01060056556461e-16,1.34347221121594e-16,-6.52877167600635e-17,1.24447128476331e-16,1.46059145022144e-16,7.5404742332272e-18,8.93026974054484e-17,-2.31873689788232e-18,2.33852650600374e-16
"t66",-0.104602716625623,-0.00836759053127667,0.00316043694600365,-0.011393639807383,0.369999997670107,-0.0235866771724157,0.117005326934965,-0.0894537506410385,0.00253859281284285,-0.000174550970299568,0.000619096481688969,-0.0507114427863589,0.000231227653537365,0.000595370480974189,-0.000336666291584901,-0.000257681057901906,0.000292729524627955,-0.0355538301562363,0.316823506804225,-0.00169393282028829,0.000200197540362135,-0.000187221572077218,-0.00441935295216852,0.000864048869961559,-0.000329078527665661,0.00330101988782897,-0.000213751688637139,0.000166640617615185,0.00236076885262743,-0.000137954776885923,-7.05316432235839e-06,0.000141723226361531,-0.000115210324091559,-0.000157446664492334,0.00284436936782077,0.000101356099272175,-0.000214849042004677,-0.00266439114069268,0.00188758015468866,0.350721265307592,-0.00644472652033665,-0.000217071401758072,-5.28207875333259e-17,-8.4944459206096e-06,0.000123815884771318,-9.82084281725859e-06,-0.302096991498097,-0.000141543123995451,-2.94993192099031e-16,-4.42202180254929e-18,7.10719446831224e-07,2.36946747290085e-16,2.54287497372144e-16,-1.06903196829311e-06,-8.4263255929262e-06,-7.7862341697951e-07,0.000133198212049212,1.09315677960298e-05,1.79708515412903e-16,5.41677012246772e-17,3.75881595602213e-16,1.6110510320336e-05,-1.8539898749238e-05,1.78766562504559e-16,-5.08333443845678e-16,-6.19667995849831e-16,1.46396442423462e-06,1.50798321945109e-15,2.21471592872349e-15,-7.70169642110409e-05,1.66336783618404e-15,-1.07560226510275e-13,-0.707106781186547,-2.48118428132245e-14,1.36810421296416e-05,-3.53611382406017e-16,-5.32173823387919e-16,1.04083408558608e-15,8.67226776124468e-06,-2.75140739579323e-16,-2.1389806151455e-16,-9.90310728831648e-17,-2.6468695904451e-16,3.71497047796476e-17,-9.50900747094543e-17,-6.57033901775673e-17,-4.80971907748013e-16,1.33113897742416e-17,-9.02978141256084e-18
"t67",-0.104602716625623,-0.00836759053127667,0.00316043694600334,-0.0113936398073833,0.369999997670107,-0.0235866771724156,0.117005326934964,-0.0894537506410386,0.00253859281284276,-0.000174550970299707,0.000619096481688856,-0.0507114427863587,0.000231227653537296,0.000595370480974308,-0.00033666629158502,-0.000257681057901921,0.000292729524627739,-0.0355538301562359,0.316823506804225,-0.00169393282028807,0.00020019754036212,-0.000187221572077389,-0.00441935295216853,0.000864048869961693,-0.000329078527665576,0.00330101988782856,-0.000213751688636951,0.000166640617615123,0.00236076885262724,-0.000137954776885617,-7.05316432288064e-06,0.000141723226361361,-0.000115210324091409,-0.000157446664492523,0.00284436936782106,0.000101356099271915,-0.000214849042004885,-0.00266439114069314,0.0018875801546887,0.350721265307591,-0.00644472652033687,-0.000217071401758326,-7.14837101554622e-16,-8.49444592085869e-06,0.00012381588477089,-9.82084281681041e-06,-0.302096991498096,-0.000141543123995156,-6.12487344616051e-16,-3.1292494947087e-16,7.1071944748795e-07,-2.0665990890304e-16,-3.18808978182549e-17,-1.06903196712013e-06,-8.42632559290978e-06,-7.78623416195356e-07,0.000133198212048539,1.09315677957178e-05,-2.36371253592301e-16,-4.28178302751596e-16,-5.283626039585e-16,1.61105103202153e-05,-1.85398987489263e-05,-1.55331803552072e-16,5.84260583262784e-16,5.23711777113899e-16,1.46396441993046e-06,-1.48155838548666e-15,-2.07695000344635e-15,-7.70169641927292e-05,-1.12441156996804e-15,-9.96167839749664e-14,0.707106781186548,2.49416340001154e-14,1.36810421165141e-05,3.94806403483968e-16,6.85964878524637e-16,-2.44249065417534e-15,8.67226776278679e-06,2.91121313483431e-16,7.9400179198666e-17,9.60339057163393e-17,2.25570827085656e-16,-1.77055325427884e-16,-1.87591488414186e-16,-5.66410874685697e-16,5.95283743673499e-16,4.29998703135573e-16,4.59359084065806e-16
"t32",-0.103283057787561,-0.00811929031521959,0.00302681825260359,-0.0108447470229116,0.345116504283923,-0.021882343461841,0.105186944740293,-0.0790581074408582,0.00223121005938347,-0.000149433068371865,0.000526999364424996,-0.0415660912328816,0.000184068577333223,0.00047146656997109,-0.00025988165535121,-0.00019495675672988,0.000196520167657546,-0.0232570284014806,0.181811261792326,-0.000960177507891475,0.000109033010810324,-0.000100555364820355,-0.00142272473962168,0.000211410128132,-7.09443040137145e-05,0.000396159205164339,-2.20110632727e-05,1.36615293169932e-05,-0.000164679453229708,2.63930406433745e-05,1.54251921182152e-06,-4.09739185897541e-05,6.58902798754436e-05,9.28058486648404e-05,-0.00248460368509591,-0.000125518278867054,0.000282604256911291,0.0040862659231408,-0.00449497718318227,-0.864319680175675,0.0170024525985181,0.000596792816253609,8.81302234475391e-16,-7.0807516870726e-05,0.000850091522459784,-3.42576146988518e-05,-0.241691525516605,6.08941162264496e-06,8.56400039886451e-16,-4.20802127133387e-16,2.55159468816537e-05,-1.34651673878841e-17,5.55638707788241e-17,-9.06977222810392e-06,-5.15606258083037e-05,-4.66160209594875e-06,0.000718162359364951,5.86708963849386e-05,4.62692834751765e-17,-6.22293746199564e-17,7.15467332370586e-18,6.72290543720968e-05,-6.81434616444521e-05,-2.79162253472923e-17,4.76140880644627e-17,1.05563829575125e-16,4.72689369390153e-06,1.95577192110523e-16,2.56592791061455e-17,-0.000228898447651805,-3.24759713553152e-16,-3.01126874527697e-13,-2.96557403554232e-16,-1.07707617496178e-17,3.77335472492592e-05,-9.77161535844443e-17,2.47908951738247e-16,1.72084568816899e-15,2.21042370457606e-05,5.16782908737223e-18,-6.10358112328229e-17,2.93034391399251e-18,1.2674741846399e-17,-1.39086787678067e-16,-1.04288358498642e-16,-1.42171506885715e-16,7.22114159515854e-17,-1.53849366595743e-16,2.04956694685098e-16
"t19",-0.119006526620189,-0.0155529627485888,-0.180712157930857,0.0238305813298914,-0.0614098179379753,0.00169290616646008,0.01431302205736,-0.012838040050798,0.000369995061305734,-2.4367756590785e-05,8.42064466336167e-05,-0.00584014389655474,0.00343051546244784,-2.37021212839365e-07,5.92958659545949e-06,1.14149887166005e-05,-5.80261818473674e-05,0.00774587781654951,-0.00207798369543628,-0.00013463741284028,0.000121947151263505,-0.000180851877825861,0.0225503472271274,-0.129831972055461,0.00251524973277117,-0.601304459520158,-0.0114232958086181,0.00297413999339724,-0.746499031148788,-0.00136293527556798,-5.9622058640003e-05,0.000894377564335227,-0.00038584741089644,-0.000512908903273988,0.00633455082000656,0.000148620650791287,-0.000288255833187579,-0.00273606539628001,0.000170887822343611,0.00424802260114882,0.000949729693939328,5.35002385846151e-05,-1.99222461387649e-17,-5.40708645416593e-05,0.0230087959469051,-2.08916785946177e-05,-0.000564290049686486,0.000107138340020347,3.78164056675701e-16,1.0488495853075e-16,2.71915821840152e-05,6.65275522105479e-17,1.10094668234993e-16,-9.68975185827395e-06,-5.54501726474442e-05,-5.01630476596797e-06,0.000775304085620669,6.33487725804016e-05,1.53287878472527e-17,2.36444139350401e-17,-7.19826332060969e-17,7.32948704007622e-05,-7.47156208477743e-05,1.96806632501446e-17,3.46934850296395e-17,5.56475018881314e-18,5.22369886909878e-06,1.06340768516078e-16,-4.64389800014488e-17,-0.00815332030106438,-7.60338079408006e-19,-5.37668789363027e-13,-1.90139371185994e-16,3.28523629304142e-17,4.13096921645993e-05,-4.24055552240681e-18,-1.69540455170777e-17,1.11022302462516e-16,0.000747206868757738,-5.07745620388737e-18,-7.79612663538436e-17,4.20038129935807e-17,5.59043770871723e-17,-2.12479250564984e-17,1.4973009241596e-16,-1.73999715944272e-16,7.0278872104914e-17,-4.71517980002546e-16,2.80794908113768e-16
"t97",-0.125844464547598,-0.0178618100304362,-0.221933601106167,0.0302607941089931,-0.087798036375827,0.00250449253815602,0.0266177286205888,-0.0277717176027367,0.000845242252183924,-7.60437108867423e-05,0.000285510181907356,-0.0469228185293796,-0.398739103153029,7.2746047408861e-06,-3.9562555798695e-05,-4.70324571178768e-05,7.20546808344074e-05,-0.00833254297074027,0.00132640123879691,8.2735466309843e-05,-6.68172039729438e-05,9.54720288574e-05,-0.00503731157293297,0.0222913646117833,-0.000391801956388012,0.0679637032064062,0.00121813231399481,-0.000294963144429507,0.0417520481209474,4.19853470766275e-05,1.54837618184014e-06,-1.31014735462313e-05,-7.38505522731233e-06,-1.06593146887363e-05,0.00026979062420802,9.16070286432078e-06,-1.86812219549559e-05,-0.000198749097785139,1.58322464165405e-05,0.000399440964791567,9.18361007679587e-05,5.25685881698947e-06,9.40806643076071e-18,-8.21448949845887e-06,0.00353810726073269,-3.35625164790251e-06,-9.55608357334457e-05,1.84501347209675e-05,-1.7965689850797e-16,-3.55781365097104e-17,5.46546914347618e-06,1.79955867846451e-16,1.76418678356529e-16,-2.12709908858924e-06,-1.30056361115062e-05,-1.18375718804644e-06,0.000189237513249942,1.54880572135845e-05,1.42973831664802e-16,-7.54047289869133e-17,-2.47142547004637e-16,2.04994724768803e-05,-2.40059762611976e-05,-5.2597566214038e-17,2.40559102195354e-18,4.26660982381998e-18,2.45803759570069e-06,-6.69803338602036e-16,1.94079801036019e-16,-0.308882731828833,-1.03566860734248e-15,3.7956853215122e-13,3.69460557577985e-15,5.07524972735928e-16,9.78210195514948e-07,-7.63277521464507e-16,-5.17441204483787e-16,1.04360964314765e-14,0.387032168540065,-1.14770624918775e-15,2.21347523523345e-16,1.74725790692275e-16,-9.47220530224872e-16,1.06001878298215e-15,1.78696266879803e-15,5.27775527983498e-16,-7.92845675034554e-16,-0.707106781186546,-8.23386285110856e-16
"t98",-0.125844464547598,-0.0178618100304362,-0.221933601106167,0.0302607941089928,-0.087798036375827,0.0025044925381559,0.0266177286205889,-0.0277717176027368,0.000845242252183864,-7.60437108868863e-05,0.000285510181907434,-0.046922818529379,-0.398739103153029,7.27460474066188e-06,-3.95625557986364e-05,-4.70324571178588e-05,7.2054680834372e-05,-0.00833254297074016,0.00132640123879683,8.27354663098957e-05,-6.6817203972907e-05,9.54720288574082e-05,-0.00503731157293231,0.0222913646117833,-0.000391801956387981,0.067963703206406,0.00121813231399494,-0.000294963144429508,0.0417520481209468,4.19853470762664e-05,1.54837618201919e-06,-1.31014735462922e-05,-7.38505522736359e-06,-1.06593146886459e-05,0.000269790624207929,9.16070286446357e-06,-1.8681221954766e-05,-0.000198749097785524,1.58322464167394e-05,0.000399440964791224,9.18361007685933e-05,5.25685881689424e-06,-6.53499027465799e-18,-8.21448949863616e-06,0.00353810726073242,-3.35625164789772e-06,-9.55608357331474e-05,1.84501347211443e-05,1.6592827348528e-16,1.0745614024571e-16,5.4654691432398e-06,2.04837023178015e-16,6.44806081599527e-19,-2.12709908828121e-06,-1.30056361112521e-05,-1.18375718786482e-06,0.000189237513250064,1.54880572130602e-05,2.21776194683052e-16,-5.11398062047643e-17,2.28237768549973e-16,2.04994724770957e-05,-2.40059762612475e-05,-2.45212039571814e-16,-3.37818369699542e-17,4.24040510333493e-16,2.45803759581699e-06,-1.20253242668146e-15,3.56242139027264e-16,-0.308882731828834,-5.42507858809972e-16,3.78611317079038e-13,3.30458766762704e-15,5.01113130548911e-16,9.78210194827093e-07,6.32467586667775e-17,3.41332724593395e-16,1.25455201782643e-14,0.387032168540061,-7.96659872980313e-16,9.60383176057269e-17,-3.49265297177584e-16,1.80767444351405e-16,-8.47974690979653e-16,-1.43188080683978e-15,-1.06040794728129e-15,1.33146102642609e-15,0.707106781186549,6.99314841726377e-16
"t82",-0.125782961413676,-0.0178415113911599,-0.221577262957168,0.0302056462403606,-0.0875774526376304,0.00249775395449897,0.0265194582618932,-0.0276548897419935,0.000841548920892315,-7.56544432161124e-05,0.000284003861188413,-0.0466284940944887,-0.395950828997012,7.22282745607185e-06,-3.92576240906945e-05,-4.66490638107407e-05,7.12996786089941e-05,-0.0082415466376809,0.00130932180061065,8.16566311068281e-05,-6.59120291186597e-05,9.41624891321905e-05,-0.00494645631219942,0.0218594609462557,-0.000384022908901365,0.0665133031477162,0.00119182991640443,-0.000288504282557877,0.0407524688673169,4.09189914082034e-05,1.50857211797492e-06,-1.2754673682225e-05,-7.16978468216583e-06,-1.03470215646747e-05,0.000261303135493402,8.85202616257921e-06,-1.80440958366037e-05,-0.000191759413272135,1.52264521703065e-05,0.000384062491954995,8.8257645270211e-05,5.05055834744573e-06,4.10692045728472e-17,-7.78601004644046e-06,0.00335145797988582,-3.17144429564142e-06,-8.99952701283631e-05,1.73550690319314e-05,-3.14883567998624e-16,-3.26715804344477e-16,5.06922794231444e-06,-5.05205317573148e-17,-2.40035580457814e-17,-1.95091799695762e-06,-1.18082516969924e-05,-1.07369312765234e-06,0.000170656594303918,1.39632208189407e-05,2.28084672969365e-17,-8.22582438076222e-17,-5.4141196329627e-17,1.80152099545267e-05,-2.05258215986799e-05,-1.5240322350361e-17,9.03841913985325e-18,-2.96973784116974e-16,1.97823065641856e-06,-3.85643925672421e-16,7.67463501110727e-16,-0.225716281875473,-1.35843311447868e-15,2.65136106934542e-13,3.75893182059559e-15,1.00874726682266e-15,5.35350024560025e-07,4.75352159683352e-16,7.45625432419633e-16,-2.38142838782096e-14,-0.834881057376314,2.03859106333246e-15,-9.92397881740174e-16,2.13838587493705e-16,5.16350826674588e-16,-2.74075738210885e-16,-4.60807472325006e-16,-1.62555959644385e-16,-2.53967243343341e-16,-2.55753486560938e-15,7.40730094432157e-17
