"accepted_species","trait_ARD"
"t21","0"
"t22","0"
"t48","0"
"t44","0"
"t45","0"
"t31","0"
"t82","0"
"t83","0"
"t24","1"
"t18","0"
"t49","0"
"t50","0"
"t72","0"
"t73",NA
"t67","0"
"t46","0"
"t47",NA
"t92","0"
"t93","0"
"t8","1"
"t6","0"
"t29","0"
"t36","0"
"t30","0"
"t11","0"
"t51","1"
"t52",NA
"t5","1"
"t13","1"
"t66","1"
"t90","1"
"t91","1"
"t28","0"
"t40","0"
"t41","0"
"t9","1"
"t86","0"
"t87","0"
"t94","0"
"t95","0"
"t37",NA
"t38","1"
"t39","1"
"t64","1"
"t65","1"
"t62","1"
"t10","0"
"t35","1"
"t88",NA
"t89","1"
"t42","1"
"t60","0"
"t61","0"
"t32","0"
"t16","0"
"t77",NA
"t97","0"
"t98","0"
"t96",NA
"t99","1"
"t100","1"
"t19","1"
"t33","1"
"t78","1"
"t79","1"
"t25","0"
"t43","1"
"t17","1"
"t53","0"
"t54","0"
"t20","0"
"t12","1"
"t14","1"
"t70","1"
"t71","1"
"t2","1"
"t55","0"
"t56","1"
"t69","1"
"t58","1"
"t59","1"
"t26","1"
"t63",NA
"t3","1"
"t15",NA
"t23",NA
"t84","0"
"t85","0"
"t27","0"
"t1","1"
"t34","1"
"t74","0"
"t75","0"
"t68","1"
"t80","1"
"t81","1"
"t76","1"
"t57","0"
"t4","0"
"t7","1"
