"","t49","t72","t73","t42","t14","t15","t12","t83","t84","t24","t25","t22","t1","t52","t53","t95","t96","t45","t56","t81","t82","t30","t68","t69","t21","t28","t29","t32","t33","t27","t26","t3","t6","t61","t74","t75","t34","t18","t70","t71","t37","t99","t100","t93","t94","t80","t97","t98","t7","t50","t51","t35","t36","t40","t55","t57","t58","t90","t91","t38","t39","t54","t59","t60","t5","t64","t65","t87","t88","t89","t13","t43","t44","t19","t20","t85","t86","t16","t10","t23","t11","t4","t2","t66","t67","t92","t76","t77","t31","t17","t62","t63","t78","t79","t46","t8","t9","t41","t47","t48"
"t49",0,19.1306445214,19.1306445214,19.1306445214,19.1306445214,19.1306445214,19.1306445216,19.1306445216,19.1306445216,19.1306445214,19.1306445214,19.1306445221,19.1306445209,19.1306445217,19.1306445217,19.13064452072,19.13064452072,19.1306445209,19.1306445209,19.1306445209,19.1306445209,19.1306445208,19.1306445208,19.1306445208,19.1306445208,19.13064452091,19.13064452091,19.13064452088,19.13064452088,19.13064452088,19.1306445205,19.1306445212,19.13064452132,19.13064452212,19.13064452217,19.13064452217,19.13064452212,19.13064452162,19.13064452152,19.13064452152,19.13064452142,19.130644521507,19.130644521507,19.13064452145,19.13064452145,19.13064452142,19.13064452165,19.13064452165,19.1306445212,19.1306445215,19.1306445215,19.1306445215,19.1306445215,19.1306445214,19.1306445214,19.1306445216,19.1306445216,19.13064452168,19.13064452168,19.13064452161,19.13064452161,19.1306445213,19.13064452123,19.13064452123,19.1306445213,19.1306445218,19.1306445218,19.13064452176,19.13064452176,19.13064452176,19.1306445218,19.1306445212,19.1306445212,19.1306445221,19.1306445221,19.13064452223,19.13064452223,19.1306445208,19.1306445211,19.1306445213,19.1306445213,19.130644521,19.1306445219,19.130644521945,19.130644521945,19.130644521165,19.130644521195,19.130644521195,19.130644521265,19.130644521065,19.130644521565,19.130644521565,19.130644521565,19.130644521565,19.130644521565,19.1306445211,19.1306445211,19.1306445211,19.13064452109,19.13064452109
"t72",19.1306445214,0,0.3585644692,0.7946691084,2.0702063484,2.0702063484,16.6014245346,16.6014245346,16.6014245346,16.6014245344,16.6014245344,16.6014245351,16.6014245339,16.6014245347,16.6014245347,16.60142453372,16.60142453372,16.6014245339,16.6014245339,16.6014245339,16.6014245339,16.6014245338,16.6014245338,16.6014245338,16.6014245338,16.60142453391,16.60142453391,16.60142453388,16.60142453388,16.60142453388,16.6014245335,16.6014245342,16.60142453432,16.60142453512,16.60142453517,16.60142453517,16.60142453512,16.60142453462,16.60142453452,16.60142453452,16.60142453442,16.601424534507,16.601424534507,16.60142453445,16.60142453445,16.60142453442,16.60142453465,16.60142453465,16.6014245342,16.6014245345,16.6014245345,16.6014245345,16.6014245345,16.6014245344,16.6014245344,16.6014245346,16.6014245346,16.60142453468,16.60142453468,16.60142453461,16.60142453461,16.6014245343,16.60142453423,16.60142453423,16.6014245343,16.6014245348,16.6014245348,16.60142453476,16.60142453476,16.60142453476,16.6014245348,16.9051026566,16.9051026566,16.9051026575,16.9051026575,16.90510265763,16.90510265763,16.9051026562,16.9051026565,16.9051026567,16.9051026567,16.9051026564,16.9051026573,16.905102657345,16.905102657345,16.905102656565,16.905102656595,16.905102656595,16.905102656665,16.905102656465,16.905102656965,16.905102656965,16.905102656965,16.905102656965,16.905102656965,16.9051026565,16.9051026565,16.9051026565,16.90510265649,16.90510265649
"t73",19.1306445214,0.3585644692,0,0.7946691084,2.0702063484,2.0702063484,16.6014245346,16.6014245346,16.6014245346,16.6014245344,16.6014245344,16.6014245351,16.6014245339,16.6014245347,16.6014245347,16.60142453372,16.60142453372,16.6014245339,16.6014245339,16.6014245339,16.6014245339,16.6014245338,16.6014245338,16.6014245338,16.6014245338,16.60142453391,16.60142453391,16.60142453388,16.60142453388,16.60142453388,16.6014245335,16.6014245342,16.60142453432,16.60142453512,16.60142453517,16.60142453517,16.60142453512,16.60142453462,16.60142453452,16.60142453452,16.60142453442,16.601424534507,16.601424534507,16.60142453445,16.60142453445,16.60142453442,16.60142453465,16.60142453465,16.6014245342,16.6014245345,16.6014245345,16.6014245345,16.6014245345,16.6014245344,16.6014245344,16.6014245346,16.6014245346,16.60142453468,16.60142453468,16.60142453461,16.60142453461,16.6014245343,16.60142453423,16.60142453423,16.6014245343,16.6014245348,16.6014245348,16.60142453476,16.60142453476,16.60142453476,16.6014245348,16.9051026566,16.9051026566,16.9051026575,16.9051026575,16.90510265763,16.90510265763,16.9051026562,16.9051026565,16.9051026567,16.9051026567,16.9051026564,16.9051026573,16.905102657345,16.905102657345,16.905102656565,16.905102656595,16.905102656595,16.905102656665,16.905102656465,16.905102656965,16.905102656965,16.905102656965,16.905102656965,16.905102656965,16.9051026565,16.9051026565,16.9051026565,16.90510265649,16.90510265649
"t42",19.1306445214,0.7946691084,0.7946691084,0,2.0702063484,2.0702063484,16.6014245346,16.6014245346,16.6014245346,16.6014245344,16.6014245344,16.6014245351,16.6014245339,16.6014245347,16.6014245347,16.60142453372,16.60142453372,16.6014245339,16.6014245339,16.6014245339,16.6014245339,16.6014245338,16.6014245338,16.6014245338,16.6014245338,16.60142453391,16.60142453391,16.60142453388,16.60142453388,16.60142453388,16.6014245335,16.6014245342,16.60142453432,16.60142453512,16.60142453517,16.60142453517,16.60142453512,16.60142453462,16.60142453452,16.60142453452,16.60142453442,16.601424534507,16.601424534507,16.60142453445,16.60142453445,16.60142453442,16.60142453465,16.60142453465,16.6014245342,16.6014245345,16.6014245345,16.6014245345,16.6014245345,16.6014245344,16.6014245344,16.6014245346,16.6014245346,16.60142453468,16.60142453468,16.60142453461,16.60142453461,16.6014245343,16.60142453423,16.60142453423,16.6014245343,16.6014245348,16.6014245348,16.60142453476,16.60142453476,16.60142453476,16.6014245348,16.9051026566,16.9051026566,16.9051026575,16.9051026575,16.90510265763,16.90510265763,16.9051026562,16.9051026565,16.9051026567,16.9051026567,16.9051026564,16.9051026573,16.905102657345,16.905102657345,16.905102656565,16.905102656595,16.905102656595,16.905102656665,16.905102656465,16.905102656965,16.905102656965,16.905102656965,16.905102656965,16.905102656965,16.9051026565,16.9051026565,16.9051026565,16.90510265649,16.90510265649
"t14",19.1306445214,2.0702063484,2.0702063484,2.0702063484,0,1.6516640008,16.6014245346,16.6014245346,16.6014245346,16.6014245344,16.6014245344,16.6014245351,16.6014245339,16.6014245347,16.6014245347,16.60142453372,16.60142453372,16.6014245339,16.6014245339,16.6014245339,16.6014245339,16.6014245338,16.6014245338,16.6014245338,16.6014245338,16.60142453391,16.60142453391,16.60142453388,16.60142453388,16.60142453388,16.6014245335,16.6014245342,16.60142453432,16.60142453512,16.60142453517,16.60142453517,16.60142453512,16.60142453462,16.60142453452,16.60142453452,16.60142453442,16.601424534507,16.601424534507,16.60142453445,16.60142453445,16.60142453442,16.60142453465,16.60142453465,16.6014245342,16.6014245345,16.6014245345,16.6014245345,16.6014245345,16.6014245344,16.6014245344,16.6014245346,16.6014245346,16.60142453468,16.60142453468,16.60142453461,16.60142453461,16.6014245343,16.60142453423,16.60142453423,16.6014245343,16.6014245348,16.6014245348,16.60142453476,16.60142453476,16.60142453476,16.6014245348,16.9051026566,16.9051026566,16.9051026575,16.9051026575,16.90510265763,16.90510265763,16.9051026562,16.9051026565,16.9051026567,16.9051026567,16.9051026564,16.9051026573,16.905102657345,16.905102657345,16.905102656565,16.905102656595,16.905102656595,16.905102656665,16.905102656465,16.905102656965,16.905102656965,16.905102656965,16.905102656965,16.905102656965,16.9051026565,16.9051026565,16.9051026565,16.90510265649,16.90510265649
"t15",19.1306445214,2.0702063484,2.0702063484,2.0702063484,1.6516640008,0,16.6014245346,16.6014245346,16.6014245346,16.6014245344,16.6014245344,16.6014245351,16.6014245339,16.6014245347,16.6014245347,16.60142453372,16.60142453372,16.6014245339,16.6014245339,16.6014245339,16.6014245339,16.6014245338,16.6014245338,16.6014245338,16.6014245338,16.60142453391,16.60142453391,16.60142453388,16.60142453388,16.60142453388,16.6014245335,16.6014245342,16.60142453432,16.60142453512,16.60142453517,16.60142453517,16.60142453512,16.60142453462,16.60142453452,16.60142453452,16.60142453442,16.601424534507,16.601424534507,16.60142453445,16.60142453445,16.60142453442,16.60142453465,16.60142453465,16.6014245342,16.6014245345,16.6014245345,16.6014245345,16.6014245345,16.6014245344,16.6014245344,16.6014245346,16.6014245346,16.60142453468,16.60142453468,16.60142453461,16.60142453461,16.6014245343,16.60142453423,16.60142453423,16.6014245343,16.6014245348,16.6014245348,16.60142453476,16.60142453476,16.60142453476,16.6014245348,16.9051026566,16.9051026566,16.9051026575,16.9051026575,16.90510265763,16.90510265763,16.9051026562,16.9051026565,16.9051026567,16.9051026567,16.9051026564,16.9051026573,16.905102657345,16.905102657345,16.905102656565,16.905102656595,16.905102656595,16.905102656665,16.905102656465,16.905102656965,16.905102656965,16.905102656965,16.905102656965,16.905102656965,16.9051026565,16.9051026565,16.9051026565,16.90510265649,16.90510265649
"t12",19.1306445216,16.6014245346,16.6014245346,16.6014245346,16.6014245346,16.6014245346,0,1.7556255578,1.7556255578,3.4023166008,3.4023166008,6.7494659655,9.1030814263,9.1030814271,9.1030814271,9.10308142612,9.10308142612,9.1030814263,9.1030814263,9.1030814263,9.1030814263,9.1030814262,9.1030814262,9.1030814262,9.1030814262,9.10308142631,9.10308142631,9.10308142628,9.10308142628,9.10308142628,9.1030814259,9.1030814266,9.10308142672,9.10308142752,9.10308142757,9.10308142757,9.10308142752,9.10308142702,9.10308142692,9.10308142692,9.10308142682,9.103081426907,9.103081426907,9.10308142685,9.10308142685,9.10308142682,9.10308142705,9.10308142705,9.1030814266,9.1030814269,9.1030814269,9.1030814269,9.1030814269,9.1030814268,9.1030814268,9.103081427,9.103081427,9.10308142708,9.10308142708,9.10308142701,9.10308142701,10.2575935285,10.25759352843,10.25759352843,10.2575935285,10.257593529,10.257593529,10.25759352896,10.25759352896,10.25759352896,10.257593529,16.9051026568,16.9051026568,16.9051026577,16.9051026577,16.90510265783,16.90510265783,16.9051026564,16.9051026567,16.9051026569,16.9051026569,16.9051026566,16.9051026575,16.905102657545,16.905102657545,16.905102656765,16.905102656795,16.905102656795,16.905102656865,16.905102656665,16.905102657165,16.905102657165,16.905102657165,16.905102657165,16.905102657165,16.9051026567,16.9051026567,16.9051026567,16.90510265669,16.90510265669
"t83",19.1306445216,16.6014245346,16.6014245346,16.6014245346,16.6014245346,16.6014245346,1.7556255578,0,0.220996829,3.4023166008,3.4023166008,6.7494659655,9.1030814263,9.1030814271,9.1030814271,9.10308142612,9.10308142612,9.1030814263,9.1030814263,9.1030814263,9.1030814263,9.1030814262,9.1030814262,9.1030814262,9.1030814262,9.10308142631,9.10308142631,9.10308142628,9.10308142628,9.10308142628,9.1030814259,9.1030814266,9.10308142672,9.10308142752,9.10308142757,9.10308142757,9.10308142752,9.10308142702,9.10308142692,9.10308142692,9.10308142682,9.103081426907,9.103081426907,9.10308142685,9.10308142685,9.10308142682,9.10308142705,9.10308142705,9.1030814266,9.1030814269,9.1030814269,9.1030814269,9.1030814269,9.1030814268,9.1030814268,9.103081427,9.103081427,9.10308142708,9.10308142708,9.10308142701,9.10308142701,10.2575935285,10.25759352843,10.25759352843,10.2575935285,10.257593529,10.257593529,10.25759352896,10.25759352896,10.25759352896,10.257593529,16.9051026568,16.9051026568,16.9051026577,16.9051026577,16.90510265783,16.90510265783,16.9051026564,16.9051026567,16.9051026569,16.9051026569,16.9051026566,16.9051026575,16.905102657545,16.905102657545,16.905102656765,16.905102656795,16.905102656795,16.905102656865,16.905102656665,16.905102657165,16.905102657165,16.905102657165,16.905102657165,16.905102657165,16.9051026567,16.9051026567,16.9051026567,16.90510265669,16.90510265669
"t84",19.1306445216,16.6014245346,16.6014245346,16.6014245346,16.6014245346,16.6014245346,1.7556255578,0.220996829,0,3.4023166008,3.4023166008,6.7494659655,9.1030814263,9.1030814271,9.1030814271,9.10308142612,9.10308142612,9.1030814263,9.1030814263,9.1030814263,9.1030814263,9.1030814262,9.1030814262,9.1030814262,9.1030814262,9.10308142631,9.10308142631,9.10308142628,9.10308142628,9.10308142628,9.1030814259,9.1030814266,9.10308142672,9.10308142752,9.10308142757,9.10308142757,9.10308142752,9.10308142702,9.10308142692,9.10308142692,9.10308142682,9.103081426907,9.103081426907,9.10308142685,9.10308142685,9.10308142682,9.10308142705,9.10308142705,9.1030814266,9.1030814269,9.1030814269,9.1030814269,9.1030814269,9.1030814268,9.1030814268,9.103081427,9.103081427,9.10308142708,9.10308142708,9.10308142701,9.10308142701,10.2575935285,10.25759352843,10.25759352843,10.2575935285,10.257593529,10.257593529,10.25759352896,10.25759352896,10.25759352896,10.257593529,16.9051026568,16.9051026568,16.9051026577,16.9051026577,16.90510265783,16.90510265783,16.9051026564,16.9051026567,16.9051026569,16.9051026569,16.9051026566,16.9051026575,16.905102657545,16.905102657545,16.905102656765,16.905102656795,16.905102656795,16.905102656865,16.905102656665,16.905102657165,16.905102657165,16.905102657165,16.905102657165,16.905102657165,16.9051026567,16.9051026567,16.9051026567,16.90510265669,16.90510265669
"t24",19.1306445214,16.6014245344,16.6014245344,16.6014245344,16.6014245344,16.6014245344,3.4023166008,3.4023166008,3.4023166008,0,1.3902818826,6.7494659653,9.1030814261,9.1030814269,9.1030814269,9.10308142592,9.10308142592,9.1030814261,9.1030814261,9.1030814261,9.1030814261,9.103081426,9.103081426,9.103081426,9.103081426,9.10308142611,9.10308142611,9.10308142608,9.10308142608,9.10308142608,9.1030814257,9.1030814264,9.10308142652,9.10308142732,9.10308142737,9.10308142737,9.10308142732,9.10308142682,9.10308142672,9.10308142672,9.10308142662,9.103081426707,9.103081426707,9.10308142665,9.10308142665,9.10308142662,9.10308142685,9.10308142685,9.1030814264,9.1030814267,9.1030814267,9.1030814267,9.1030814267,9.1030814266,9.1030814266,9.1030814268,9.1030814268,9.10308142688,9.10308142688,9.10308142681,9.10308142681,10.2575935283,10.25759352823,10.25759352823,10.2575935283,10.2575935288,10.2575935288,10.25759352876,10.25759352876,10.25759352876,10.2575935288,16.9051026566,16.9051026566,16.9051026575,16.9051026575,16.90510265763,16.90510265763,16.9051026562,16.9051026565,16.9051026567,16.9051026567,16.9051026564,16.9051026573,16.905102657345,16.905102657345,16.905102656565,16.905102656595,16.905102656595,16.905102656665,16.905102656465,16.905102656965,16.905102656965,16.905102656965,16.905102656965,16.905102656965,16.9051026565,16.9051026565,16.9051026565,16.90510265649,16.90510265649
