"accepted_species","trait_BM_trend_scaled"
"t30",-1.1958160814429
"t92",NA
"t93",-0.678028765870135
"t84",-0.829094612674208
"t41",-0.425032304538389
"t33",-0.746757689550207
"t27",-0.935541308945414
"t94",-1.27434469479945
"t95",-1.32599567710061
"t96",-1.31198832288232
"t36",NA
"t22",1.04374391214967
"t9",0.0565697662896468
"t52",0.222898869733948
"t53",0.239007874388224
"t7",NA
"t4",0.357462504911828
"t70",0.408848084899565
"t71",0.581589371492722
"t35",0.25111089937637
"t86",0.0536388370187738
"t87",-0.0330182903458067
"t17",-0.485975661143233
"t28",-0.296368213261535
"t37",0.138866828451957
"t10",NA
"t88",NA
"t89",-1.88651167056945
"t85",-2.04387458742262
"t32",-1.7463033628945
"t5",-1.17001149052013
"t62",0.0399743837540104
"t82",0.175720188699109
"t83",-0.00389310854697535
"t50",0.0508645283674571
"t51",-0.309809120922432
"t14",-0.140336057468031
"t44",-0.0391928905655948
"t45",-0.309797996772805
"t64",-0.996672916151369
"t65",-1.16241749019492
"t63",-0.235308314520023
"t48",-1.00010820808248
"t97",-0.353982626807998
"t98",-0.372524107415246
"t57",NA
"t18",0.329499191224041
"t58",NA
"t59",0.127613880595641
"t25",-0.108714393350537
"t40",1.22952734288663
"t75",1.01244996033402
"t76",1.43066299141647
"t61",NA
"t81",0.85936285845642
"t21",0.810020367687995
"t2",-0.652810567180267
"t34",-0.391196805729793
"t26",0.880819859237737
"t6",-0.253439701662265
"t12",-0.981783119201457
"t42",NA
"t3",-0.60504465780192
"t73",-1.24507606382645
"t90",-0.926380703491806
"t91",-0.889110604509422
"t49",-1.13349429555676
"t66",-0.821827579978795
"t67",-0.972188299856197
"t20",-0.76898115341215
"t43",-0.215687568595003
"t54",-0.0640334703243673
"t55",-0.0120063084542812
"t72",-0.327008535371697
"t79",-0.109040078546672
"t80",-0.284956401135204
"t99",-0.382711864579918
"t100",-0.381575412989529
"t1",1.07854046889096
"t15",2.07628351047366
"t16",2.65444039630567
"t29",0.138653846028901
"t19",1.09447172394466
"t74",NA
"t23",1.01829464120465
"t38",1.1767013781441
"t39",1.17614328978653
"t24",1.00963484166037
"t46",1.49297664250511
"t47",1.74159195088629
"t60",1.4530157372904
"t68",1.79238303803304
"t69",1.53451356295683
"t31",1.3729690888683
"t56",1.86004220816535
"t13",1.25479233277503
"t11",-0.367240915692304
"t77",1.2090349730273
"t78",1.07673643576609
"t8",0.517740756793553
