"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89"
"t56",-0.0636755823378671,-0.17059460422538,0.0256345710715825,0.0155837678478506,-0.257948010595764,-0.000342571374202549,0.00302505328757799,-0.00680374184483655,5.97718942876876e-05,-0.000867084475033717,0.000585783989029851,-0.00906509496910357,7.94088078023744e-06,0.00282843430058805,-0.0135129294594245,0.00441231462736285,0.00164066363422068,-0.00681631545434594,0.00453408419810265,-2.39693750918718e-05,0.000512564443213235,-0.00209711349176037,0.0109476341159563,-0.000482881946654976,0.000591671418945456,-0.604094942947945,5.1835933243672e-15,1.30587033989897e-05,-5.80696689135714e-05,-7.05707328223368e-18,-0.00030825244367316,0.000237488576365367,-7.56755551265287e-05,2.80170878130345e-14,0.000279708509698909,-0.00144210089453029,0.149985424677177,-0.000130654459319533,4.22928229930776e-07,7.79028957512999e-06,4.94159470383117e-05,-5.63450478972795e-05,4.99498432571013e-05,3.89695426942393e-05,4.95243026200543e-05,-0.0179477107505894,-5.45171079270422e-16,-2.30749146849161e-05,4.67215124414343e-05,1.1988007139336e-05,6.80657658989878e-17,9.8023432823179e-05,-4.47453855511211e-06,-1.61475220737365e-16,-1.28795099288248e-05,3.35227923787895e-05,7.53611852275839e-06,0.00033260249837244,-2.08757899880237e-06,-9.910954938285e-16,-4.4488009546907e-17,8.44592151134614e-17,-3.26344377020259e-06,-2.0360176212388e-06,-7.1802940299481e-16,5.35726563202438e-16,2.71306829118637e-06,0.707106781186548,-1.48871335172055e-15,-4.78128387377313e-07,-3.04262492005171e-15,-2.20718657244373e-15,2.39642378846684e-06,5.73586632483702e-16,-6.59017278419789e-07,-2.57768977102994e-16,-6.33336527264718e-16,-2.58062522628707e-16,-7.92690981567607e-19,-1.70976581968384e-16,-1.426173373417e-16,-1.34120624247146e-16,-7.47280707631648e-17,-6.4565695163213e-16,5.27242746605665e-17,-2.71049614560651e-17,-3.52276980052528e-16,-4.12360560622443e-16,3.10536209114812e-16
"t57",-0.0636755823378668,-0.17059460422538,0.025634571071583,0.0155837678478506,-0.257948010595764,-0.000342571374202862,0.00302505328757784,-0.00680374184483631,5.97718942875072e-05,-0.000867084475033798,0.000585783989029951,-0.00906509496910299,7.94088078028156e-06,0.00282843430058838,-0.0135129294594244,0.00441231462736268,0.00164066363422064,-0.00681631545434565,0.00453408419810209,-2.39693750919992e-05,0.000512564443213533,-0.00209711349176037,0.0109476341159561,-0.000482881946655355,0.000591671418945614,-0.604094942947947,5.8140681405842e-15,1.30587033985576e-05,-5.80696689132692e-05,-8.16878575322895e-17,-0.000308252443673382,0.000237488576365146,-7.56755551265611e-05,2.78981353559134e-14,0.000279708509699403,-0.00144210089453016,0.149985424677176,-0.000130654459319611,4.22928229235146e-07,7.79028957488499e-06,4.94159470379394e-05,-5.63450478972371e-05,4.99498432566896e-05,3.89695426951645e-05,4.95243026198014e-05,-0.017947710750589,2.85420422933674e-16,-2.30749146865492e-05,4.67215124406383e-05,1.19880071402421e-05,-1.39228132239446e-17,9.80234328249443e-05,-4.4745385551158e-06,1.41931004149471e-16,-1.28795099293028e-05,3.35227923750586e-05,7.53611852476079e-06,0.000332602498367965,-2.08757899768072e-06,7.41348134848755e-16,-2.40455984545856e-17,-1.06899824675744e-16,-3.26344377239918e-06,-2.03601761821231e-06,1.14887520640699e-15,-3.77926239701939e-16,2.71306828931506e-06,-0.707106781186547,1.47426302162756e-15,-4.7812839865513e-07,3.18962586754451e-15,2.26237325477366e-15,2.39642378024368e-06,-6.58275059433977e-16,-6.59017282345036e-07,2.82440434215141e-16,5.57016877514265e-16,3.01491917786146e-16,-2.59735498747975e-17,1.65120217543411e-16,2.21723576088025e-16,1.10588024981879e-16,3.72773989763028e-18,7.69134565503616e-16,-3.23819026430852e-16,1.57724554779564e-16,3.46238172537414e-16,2.33644590865465e-16,4.88694607813776e-16
"t12",-0.0635735312485837,-0.168894353852383,0.0253357462136484,0.0153764890169288,-0.253363010950649,-0.000335335525204258,0.00295085569793988,-0.0064985375449313,5.65282532011664e-05,-0.000818525317332162,0.000551085341438364,-0.00849908236211102,7.41448763349535e-06,0.00259621407515153,-0.0122626149445604,0.00400087505103555,0.00148815895992812,-0.00621429040540354,0.00420467333406398,-3.01062898456361e-05,0.00100294843545485,-0.00655952082989027,0.0587930399366199,1.85046583234538e-05,4.10919044477583e-05,-0.0448255922752887,6.2419551508033e-16,4.61875427189688e-07,-2.02679092338565e-06,1.11469579979422e-16,2.72429743964006e-05,-2.83892207722508e-05,1.18199547010755e-05,-8.55036775835199e-15,-0.000261275226893697,0.00360695121627592,-0.934968063106506,0.00334498859732031,-0.000336002844126956,8.63884808197639e-05,0.000246865177240728,-0.000228578909587609,0.000183603130824316,0.00013887404453245,0.000226190318188046,-0.105800890993897,-8.94310662712216e-16,-5.85600928810881e-05,0.000117494091887724,2.98560714640663e-05,-3.71599775373296e-17,0.000211723166399612,-9.55567297151569e-06,-1.19634245984572e-16,-2.67505304433962e-05,6.82072759646081e-05,1.49889734740784e-05,0.00108321493890897,-4.12650609468613e-06,2.60605748699554e-16,-4.4540664733041e-17,1.72409047049209e-16,-6.3446454645132e-06,-3.95099222243126e-06,-3.87915138581072e-16,-3.2831234214481e-16,4.98247396844941e-06,7.42461647718073e-16,-4.11324105877225e-17,-8.15753015821814e-07,-6.39504356622915e-16,5.2571451305012e-17,4.07126247575008e-06,-4.19625965063183e-17,-1.10214604134835e-06,3.57121149880303e-17,-5.97784621156682e-19,-6.19582761360436e-17,2.63181157710623e-17,3.84052772807547e-17,4.02545907306822e-18,-4.17355710351749e-18,-6.44331599429712e-17,2.34527227510434e-16,-1.18976017531627e-16,-2.63027748138877e-17,3.90139309840088e-17,7.77691725720037e-17,2.57723452341377e-16
"t51",-0.0637885730946327,-0.172575177084921,0.0259863697032563,0.0158303459527691,-0.263562472007474,-0.000351631414677796,0.00312014149592529,-0.00726019684269603,6.50483572197741e-05,-0.000947408608122479,0.000645069057567845,-0.0100654865065059,8.91259451448389e-06,0.00336926949120965,-0.0175959751720747,0.00589598217309515,0.00226167275900565,-0.0100608665537672,0.00740759759972398,-7.77979341241643e-05,0.00311863050638901,-0.0224082468152391,0.212675000953716,0.000569739647372884,-0.000284628073466874,0.171942195897838,-1.71990356029907e-15,-9.06504808738679e-07,3.96159826449011e-06,-1.11691332733964e-16,-2.7937952186144e-05,2.62259434099459e-05,-9.7878287275856e-06,4.69686804685771e-15,6.42967111398674e-05,-0.000308195771020451,0.023879920387151,-6.4183143699383e-06,-8.92293390935873e-07,8.30828765080184e-08,-1.8959957342787e-05,5.07868515596571e-05,-8.63729626749999e-05,-9.69027044400356e-05,-0.0013032990039679,0.898911817716138,7.72063128239991e-15,-8.21462438918956e-05,0.000143453797036697,3.31349602546981e-05,3.78009457033782e-16,0.000143802471375537,-6.38640042326475e-06,4.05082644397024e-16,-1.7295786109553e-05,4.32555093478893e-05,9.42111733241462e-06,0.00654867375610816,-2.55037130667037e-06,-5.90201741841705e-16,6.78799554661915e-17,1.34048584591483e-16,-3.89555387590015e-06,-2.42369937210119e-06,2.63389614037824e-16,6.9375407395053e-16,3.00027059564962e-06,3.60822483003176e-16,1.43374944638799e-16,-4.9021612758233e-07,4.2207387582062e-16,9.61613797971262e-17,2.44794417251158e-06,-1.73443040785198e-16,-6.64448803402984e-07,5.00983391135914e-17,3.5915466633821e-17,3.33682170978712e-16,-1.58166167942726e-16,6.90780503013269e-17,-1.22588126330798e-17,9.24337322363334e-18,-2.29983296995957e-17,2.08613063326859e-16,1.60973704400433e-16,2.07976783122651e-16,-5.69730331559859e-17,6.21087198482714e-18,2.44430220177067e-16
"t39",-0.0638768214762384,-0.174076918773547,0.0262515023774806,0.0160150805815999,-0.267700804561065,-0.000358227458450103,0.00318849424974164,-0.00756306657179767,6.84107987761035e-05,-0.000998198715060093,0.000682004692452147,-0.0106793698250904,9.49768099263078e-06,0.00366625335194128,-0.0196070728782384,0.00660740976918226,0.00255062418957034,-0.011484308505114,0.00857954291394422,-9.46053324123793e-05,0.00385496629130942,-0.02789468730419,0.265786480706805,0.000752259149482655,-0.000389613428860372,0.240667161451714,-1.70892822570125e-15,-1.32643999343658e-06,5.79886583387862e-06,1.11802249987272e-16,-4.39977728662199e-05,4.19466847549268e-05,-1.59309992860827e-05,8.35159226064424e-15,0.00014026891164721,-0.00102175661004218,0.153165313736117,-0.000310964631767229,2.31120742561257e-05,-3.40104143209134e-07,2.47197080765882e-05,-4.01249460216794e-05,4.79905732700104e-05,4.55018428609811e-05,0.000359028605638166,-0.238410298601788,-1.36172148664112e-15,6.84729753970506e-06,-7.79735197548991e-06,-1.01316256342782e-06,-1.02820461411593e-15,2.76343817870713e-05,-1.30436935434421e-06,8.05099041930465e-16,-3.88520087937031e-06,9.22195164179051e-06,-9.19151007175298e-06,-0.819391694851266,-2.21331103057576e-06,3.66130333641127e-14,3.97503750119665e-15,-5.87729579192273e-15,-1.78730781827353e-06,-1.0972474776802e-06,1.69063709153411e-15,1.26596717786176e-17,1.35927695420044e-06,2.3037127760972e-15,5.37140482464704e-17,-2.56637947319908e-07,-4.84269627369145e-17,3.18069979233442e-16,1.29203296179263e-06,1.48750855521762e-16,-3.61208192993633e-07,-8.72786234867092e-17,-1.48598488702293e-16,-8.93636418476878e-17,-2.63803784882584e-16,6.78610255947464e-17,4.59769554188625e-17,6.23158862975548e-17,-2.42719120680316e-17,2.0525812462961e-17,-1.99997896398808e-16,-1.58117606121808e-16,-2.87143477494409e-17,-5.69680660916417e-18,2.08001279544827e-16
"t67",-0.0638792927594675,-0.17411882147907,0.0262588948873875,0.0160202277355764,-0.267815884214396,-0.000358410614457809,0.00319038940207389,-0.00757138748423825,6.85027675663844e-05,-0.000999586745905216,0.000683012492524632,-0.0106960928245671,9.51358777564999e-06,0.00367425247241102,-0.0196606878564907,0.00662633045418001,0.0025582886548918,-0.0115218770562327,0.00861029180230985,-9.50380632169133e-05,0.00387380978709993,-0.028034730822608,0.267140252210351,0.000756823521709186,-0.000392208164133049,0.242353890500771,-2.12811628885308e-15,-1.33661022759885e-06,5.84335721793581e-06,2.72973209438327e-16,-4.43788637182587e-05,4.23182179363049e-05,-1.60755333423056e-05,8.6817430308971e-15,0.000141948436535008,-0.00103663279885796,0.155725525881282,-0.000316728069172736,2.35577084743096e-05,-3.47474804423053e-07,2.53775824915931e-05,-4.13383292140778e-05,4.95895834657849e-05,4.70904418294935e-05,0.000373470813841056,-0.248091299876035,-3.06693682436873e-15,7.19439555284751e-06,-8.21254552176106e-06,-1.06957425232239e-06,-2.10386248679419e-15,3.1488748970173e-05,-1.51447593034102e-06,1.53017780363634e-14,-4.92416956779689e-06,1.4346899723743e-05,9.04758022590385e-06,0.40531031126026,-1.69312541988184e-07,0.707106781186529,8.21213313689316e-14,-1.06662987832449e-13,-1.16462015297551e-06,-7.40326730903314e-07,6.08025140629969e-16,4.05039053413333e-16,1.21848723624089e-06,-3.33066907387547e-16,9.29095095303123e-17,-2.4408715574292e-07,7.34276021584472e-16,1.27280686662427e-16,1.2309719181767e-06,-2.36125191844017e-16,-3.46084945540854e-07,3.42404442217372e-16,-3.82391616788088e-16,1.53463932586757e-16,-2.10860034147474e-17,3.75650780742618e-17,2.131013872739e-17,-2.5732733641726e-16,-9.65389640923031e-17,-1.82446622860222e-16,1.33941786973351e-16,6.69059920607588e-17,1.01490943859615e-17,-1.27398781918625e-16,4.76190731047996e-16
"t34",-0.0638792927594675,-0.17411882147907,0.0262588948873878,0.0160202277355763,-0.267815884214396,-0.000358410614457802,0.00319038940207411,-0.00757138748423833,6.85027675664059e-05,-0.00099958674590534,0.000683012492524513,-0.0106960928245675,9.51358777563119e-06,0.00367425247241112,-0.0196606878564908,0.00662633045418028,0.00255828865489181,-0.0115218770562325,0.00861029180230969,-9.50380632171001e-05,0.0038738097871,-0.0280347308226081,0.267140252210351,0.000756823521708451,-0.000392208164133077,0.242353890500771,-2.37726958946281e-15,-1.33661022745493e-06,5.84335721797955e-06,-9.35958038364943e-17,-4.43788637187723e-05,4.23182179362269e-05,-1.60755333421957e-05,8.84923380841559e-15,0.000141948436534928,-0.0010366327988579,0.155725525881282,-0.000316728069172996,2.3557708474417e-05,-3.4747480385401e-07,2.53775824916983e-05,-4.13383292140858e-05,4.95895834660976e-05,4.70904418289509e-05,0.000373470813841352,-0.248091299876036,-5.24291042425833e-16,7.1943955515374e-06,-8.21254552181757e-06,-1.06957425131314e-06,2.93461740261971e-15,3.14887489692854e-05,-1.51447592914926e-06,-1.64360578191577e-14,-4.92416957475189e-06,1.43468997231224e-05,9.04758023351214e-06,0.405310311260197,-1.69312544709356e-07,-0.707106781186565,-8.62214235748739e-14,1.1237597641455e-13,-1.16462014342274e-06,-7.40326713550451e-07,-2.77020278001361e-15,-6.88372802315812e-16,1.21848724244226e-06,-2.60902410786912e-15,-2.35588435324894e-16,-2.44087156387964e-07,-4.70625648295666e-16,-3.41611843660709e-16,1.23097191736508e-06,2.02281718262459e-16,-3.46084945035903e-07,-3.78265235119741e-16,3.83905207383417e-16,-2.55569950133698e-16,3.62437893578874e-16,-1.65900114235841e-16,1.84730644563019e-17,1.51963917720423e-16,1.60287545356909e-17,1.23273084659166e-16,-4.13513205722407e-16,4.81482051916197e-17,4.23028239756449e-17,-3.67478451313144e-17,5.9835819668208e-16
"t18",-0.063198855070529,-0.162341482562364,0.0241723055718015,0.0145613701001963,-0.234824112759538,-0.000305444040481641,0.00263739235203103,-0.00500066008032574,3.92465225988125e-05,-0.000555533684148374,0.000357099903149659,-0.00522771408168615,4.23917242007687e-06,0.000833842081977898,0.0010160199344893,-0.00082280303973139,-0.000530365712094831,0.00432938211223668,-0.00513456290710238,0.000145517520304527,-0.00752168345454008,0.059968931431122,-0.602497291498228,-0.00350033066742305,0.00311280610929963,0.177726813305504,-1.5511496920946e-15,4.57049413415989e-05,-0.00020305927924536,-1.92385342081686e-16,-0.000920597653286887,0.000690907711780969,-0.000214237906428302,7.33766692248048e-14,0.000591000573080408,-0.00217166748061679,0.0642866679067792,0.00061518877765298,-8.72346953983105e-05,3.76418867693383e-05,0.000155445345842499,-0.000159908319206386,0.00013340994145231,0.000100934759724615,7.44067680055635e-05,-0.00944803789242882,0.707106781186547,-6.00154781314171e-05,0.000119696773403851,3.03731459995676e-05,1.62340370526685e-15,0.000226878774768721,-1.02954625824279e-05,-8.21017404996466e-17,-2.92123611621861e-05,7.52351881058172e-05,1.67069163255604e-05,0.00019136093513185,-4.6179005173137e-06,1.44680513016188e-15,-6.01028187092641e-16,3.402674065854e-17,-7.15608427075413e-06,-4.46029308844806e-06,9.99474944727965e-16,-1.66273006424357e-16,5.77468639591414e-06,2.77555756156289e-16,4.02695056989386e-16,-9.77468400033234e-07,5.54262158288904e-16,-8.85306098251513e-17,4.88730635287128e-06,1.69491833655044e-16,-1.33190521876574e-06,1.75049177477264e-16,5.93909729538163e-17,4.81172650682207e-17,-4.48322423040208e-17,-2.20231864392177e-16,4.25851349505727e-17,1.86464859806136e-16,1.30497923357836e-16,3.25685455976112e-16,-3.86448357780638e-16,-6.31458741669639e-17,1.13564701143623e-16,5.93184247121601e-17,2.75162095856093e-16
"t19",-0.063198855070529,-0.162341482562364,0.0241723055718015,0.0145613701001963,-0.234824112759537,-0.000305444040481578,0.00263739235203075,-0.00500066008032607,3.92465225986815e-05,-0.000555533684148443,0.000357099903149527,-0.00522771408168582,4.23917242013704e-06,0.00083384208197787,0.00101601993448897,-0.000822803039732006,-0.000530365712094798,0.00432938211223667,-0.00513456290710227,0.000145517520305128,-0.00752168345454068,0.0599689314311223,-0.602497291498227,-0.00350033066742383,0.00311280610929953,0.177726813305505,-1.62773837737856e-15,4.57049413416039e-05,-0.000203059279245308,5.74478993655662e-17,-0.000920597653286375,0.000690907711781138,-0.000214237906428687,7.34075165378176e-14,0.000591000573080865,-0.00217166748061663,0.0642866679067794,0.00061518877765271,-8.72346953989391e-05,3.76418867734234e-05,0.0001554453458449,-0.000159908319207699,0.000133409941451334,0.000100934759729264,7.44067679710683e-05,-0.00944803789241708,-0.707106781186548,-6.00154781226413e-05,0.000119696773416181,3.03731459984644e-05,-1.57640715917426e-15,0.00022687877477306,-1.02954625834503e-05,1.31321396727122e-16,-2.92123611627686e-05,7.52351881082342e-05,1.67069163254038e-05,0.000191360935131642,-4.61790051940391e-06,-1.28766037695016e-15,5.52629488598877e-16,1.37837472753694e-16,-7.15608426971309e-06,-4.46029309037738e-06,-6.63327426211711e-16,-6.44906145907234e-17,5.77468639640531e-06,-4.16333634234434e-16,-5.05315672322182e-16,-9.7746839878223e-07,-5.03391166083385e-16,1.03363034649878e-16,4.88730635372678e-06,-2.73195710339679e-16,-1.33190521935311e-06,-1.0930526728149e-16,-1.11085601766002e-16,-1.02783535971635e-16,6.64517534849076e-17,1.30393838808918e-16,7.06829897197411e-17,-2.33664601897488e-16,-1.2834780378521e-16,-6.10418891019198e-17,-4.84796735689046e-18,2.9504351289718e-16,-1.69156045645414e-17,-1.54708471286229e-16,2.69097361387198e-16
"t46",-0.063179076154204,-0.171182269269199,0.0267484325996252,0.0177146023363075,0.150173551953812,-0.000132978393330083,0.00140889283708606,-0.00116328231512108,-6.99847975025073e-06,0.000159274114854709,-0.000188963062178894,0.00438418465739487,-5.69997825545116e-06,-0.0082079565434012,0.620066751145201,0.202513877071998,0.0263502524335288,-0.055190169269481,0.0254186897716829,-8.07447151989647e-05,0.0260685535906671,-0.00453379321883007,0.0139056354006583,-0.0248387049761795,0.00165237842333748,2.63843534298799e-05,-1.17092526695546e-16,3.0767376929172e-05,-0.000136795694558543,1.2769120634672e-16,-0.000690440850353618,0.000525994309646252,-0.000165537509964481,5.89033492004743e-14,0.000508982622741065,-0.0208578285294464,0.00155110392172375,0.00911574999607713,-9.41082401572983e-05,3.93397001618751e-05,0.000159702756099375,-0.000163818638066404,0.000136299152045709,0.000102841797608107,6.30334930839457e-05,-0.000311211753799502,7.35870862032212e-16,-6.2939257128681e-05,0.000125400576784897,3.18058037910247e-05,-5.39980236448943e-16,0.00254247862258486,-1.06958880266564e-05,-5.73906708054134e-16,-3.06288478681793e-05,7.90647312573229e-05,1.75906906807352e-05,7.36007358745471e-06,-4.86558469995766e-06,1.73448215478062e-15,-4.32134977090784e-18,5.56461843107036e-16,-7.54993512281881e-06,-4.70649040935674e-06,-0.707106781186547,-2.31665646189004e-14,6.12181137066872e-06,-6.66133814775094e-16,-1.56827168287221e-15,-1.0434315435216e-06,-4.10683168663246e-16,-9.58301259072661e-16,5.21937439058523e-06,5.22095916954388e-17,-1.42471673398981e-06,3.83163081421428e-16,-1.72310354790343e-16,1.81360747514251e-17,2.5065434877993e-17,1.88593103322611e-16,1.57516011210951e-16,-2.625767708429e-16,-3.36036537046017e-17,2.95192271659246e-16,-2.59530147929847e-16,-1.25643632205728e-17,1.1149337899486e-16,-2.49744763620032e-16,2.73355595899759e-16
