"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89"
"t86",-0.0928070704398118,-0.130945837537429,0.219464555354756,0.0199347710204464,0.00127855019247949,0.00192185019920737,-0.00179420556349983,0.00368030906721325,-0.00544846300101619,0.00243525701761768,-0.00335731296497114,2.55585468967376e-05,0.00112312752023004,-0.000269695699728179,-1.22982106444054e-05,0.00042114161677397,-0.0312913056730202,0.000430625641952205,-0.000163287614856522,2.14425778168675e-05,-0.000797188530407852,0.00186119992617115,-0.0944234216907551,0.00242863722968778,-0.00211273933891226,2.02055257675998e-05,-1.22702523284654e-05,5.11589915694019e-06,-1.73898800211199e-06,2.77168840808701e-07,-5.22791362659784e-06,-4.67094940686976e-06,2.86339850945737e-07,9.45806556156894e-08,3.45983855323145e-07,5.5279979614305e-17,-1.59389799111584e-05,-3.31674920399948e-05,0.000551573361591667,-0.147437755831421,5.89882355184523e-05,1.6198570504738e-13,6.41979735160244e-15,-0.618643426649748,-5.65543030673416e-15,-2.35647502423773e-06,0.00763276725538506,1.24789094456685e-06,5.88558204623498e-16,2.32040717638232e-05,-1.16270119256756e-05,-3.28234988498751e-07,-0.000173743745468249,1.88626765806565e-06,1.04987108036162e-06,5.13702147585e-07,9.57795118734804e-17,5.73533479837313e-06,1.1101491470471e-16,7.31689778133297e-18,2.34710064128267e-16,-4.93597429176311e-17,-1.06624576980504e-05,-6.93501924466368e-17,-1.0215683972206e-16,6.52854882193177e-17,1.21864846319588e-16,1.77926079611417e-17,3.85458357512273e-06,4.7924661085622e-16,-1.12332423825693e-05,-1.04369953815603e-16,-6.90483336794335e-07,7.10784824705672e-18,0.0080181886034145,4.34299577512127e-06,6.95104297348413e-17,2.44125367020523e-17,3.09601881413255e-16,1.38947705154836e-15,6.71235358095318e-15,-0.707106781186548,-9.21490630818832e-16,-2.93706536487872e-16,-2.41928499776368e-16,0.00250417616598705,1.20753193733891e-15,-1.69585911516251e-16,1.43012866632023e-17
"t87",-0.0928070704398117,-0.130945837537429,0.219464555354754,0.0199347710204463,0.00127855019247963,0.00192185019920707,-0.00179420556350077,0.00368030906721246,-0.00544846300101605,0.00243525701761762,-0.00335731296497087,2.55585468965166e-05,0.00112312752023018,-0.00026969569972812,-1.22982106444755e-05,0.000421141616773824,-0.031291305673021,0.00043062564195226,-0.00016328761485651,2.14425778173262e-05,-0.000797188530407857,0.00186119992617133,-0.0944234216907548,0.00242863722968777,-0.00211273933891219,2.02055257676078e-05,-1.22702523291181e-05,5.11589915702291e-06,-1.73898800208851e-06,2.77168840773321e-07,-5.227913626843e-06,-4.67094940650681e-06,2.86339851039811e-07,9.45806558418092e-08,3.45983855157545e-07,5.64054182898887e-17,-1.59389799110661e-05,-3.31674920399094e-05,0.000551573361590861,-0.147437755831421,5.89882355188874e-05,1.62046098778609e-13,6.39390256136858e-15,-0.61864342664975,-5.62955432690271e-15,-2.35647502418745e-06,0.00763276725538523,1.24789094486039e-06,2.04203838123521e-16,2.32040717640673e-05,-1.16270119256742e-05,-3.28234989376534e-07,-0.000173743745468658,1.88626765791051e-06,1.04987108048513e-06,5.1370214653217e-07,9.37805927998969e-17,5.73533479888995e-06,-1.72809928818673e-16,-8.33276128122539e-18,5.40415227236126e-17,1.64219413686248e-16,-1.06624577000485e-05,6.47082188025696e-17,-7.08221589614763e-17,3.36361446422605e-16,-1.05172773206637e-16,-3.21862538864514e-17,3.85458357635675e-06,-4.84724318179544e-16,-1.12332423825093e-05,5.98267423813393e-17,-6.90483336801981e-07,3.80553977260699e-17,0.00801818860341084,4.34299577658386e-06,-1.38838690701276e-17,-1.60633021400205e-17,-2.33097560660539e-16,-1.54974645528918e-15,-6.61195803292964e-15,0.707106781186547,6.97235912302176e-16,2.13200606159246e-16,3.36215947214259e-16,0.00250417616598191,-1.40723644952216e-15,5.27044891022736e-16,-8.67503784704186e-16
"t96",-0.0934545990264644,-0.132254408578037,0.223541162494966,0.0203522563624559,0.00131409813577782,0.00201617268286211,-0.00189904335326551,0.0040377798741167,-0.00603201329814128,0.00272153649587429,-0.00375616185288612,2.89430849088597e-05,0.00128579973283351,-0.000310876666328456,-1.42763358471102e-05,0.000502949574974841,-0.038329197850551,0.000540184282724024,-0.000210674348568621,2.81314689490687e-05,-0.00106593726885433,0.00260777028425324,-0.137293712232903,0.00364466243505627,-0.00320592065735429,3.59093079444431e-05,-2.57933070896814e-05,1.08931392341285e-05,-3.91637529587155e-06,7.35490688187335e-07,-1.5734735841295e-05,-3.58100215116355e-05,2.73249989653371e-06,3.97988827516415e-06,-5.37566524744609e-06,-9.7351339368328e-17,3.18165016476947e-05,5.92552141709144e-05,-0.000815334014513816,0.130382894577968,-3.89512173872879e-05,-8.58293173274598e-14,-1.64725523265832e-15,0.133928884643358,1.30401471810967e-15,2.01356996455539e-07,0.422499281464829,1.61861771872463e-08,-1.30098047994054e-14,-2.42708127473033e-07,-6.17348493938721e-07,-2.02925222538384e-08,-1.20874537048281e-05,1.57662105030835e-07,9.2246926652948e-08,7.15161356198198e-08,-2.63055045103554e-16,9.49176309556811e-07,6.37646952060122e-18,-1.34482227426512e-17,-3.66792948359043e-16,4.3458024263332e-17,-2.48960376070475e-06,-1.24390850605725e-16,-2.37252664274086e-18,1.43184946705633e-16,2.83822028747862e-16,4.53621021902239e-16,1.12762147103398e-06,-8.28679629749279e-16,-3.46087064194425e-06,-9.33694086124769e-17,-2.15488120463026e-07,1.21966896667989e-16,0.0106772975618753,4.69143347927459e-07,2.05776070126731e-16,1.19561556519552e-16,-1.00802465900903e-15,5.61022502664473e-17,-9.87591434769081e-16,-2.3557544803765e-15,-1.33332769006423e-15,-1.30627768874372e-16,1.91673445465429e-16,-0.823581163335594,-1.72103531295375e-14,2.43142405551563e-15,2.90192044180426e-16
"t97",-0.0934743834621876,-0.132294303236455,0.22366468999449,0.0203648858347764,0.00131516841094318,0.00201897252987999,-0.00190213674850263,0.00404808439157285,-0.00604873992449661,0.00272969494879502,-0.00376752061884416,2.90387711091369e-05,0.00129036912383691,-0.000312028812973026,-1.4331454460352e-05,0.000505193082014912,-0.0385195932078563,0.000543111900048339,-0.000211923036471485,2.83063192641107e-05,-0.00107290032298305,0.00262671478060317,-0.138364809214076,0.0036746640270105,-0.00323277614156875,3.62746363090196e-05,-2.60935701119422e-05,1.10210097073663e-05,-3.96393339630349e-06,7.45167212550098e-07,-1.59517644888955e-05,-3.63959778401227e-05,2.77801646458951e-06,4.04972290278491e-06,-5.47483950028602e-06,2.0873961882357e-17,3.25203071714527e-05,6.05904596387683e-05,-0.000834338187882748,0.13375257086091,-4.00238044963071e-05,-8.81434854146227e-14,-1.60394527980983e-15,0.138554609466177,1.30030293949555e-15,2.09275284099175e-07,0.439754899167206,1.68506700235532e-08,-1.36275947679067e-14,-2.53002424488157e-07,-6.46573168291439e-07,-2.12690898686338e-08,-1.26779985290768e-05,1.65587859229425e-07,9.69264591940256e-08,7.5624306849512e-08,-2.67694537217266e-16,1.0081214407137e-06,4.33273075902472e-17,2.49043520109817e-16,-3.3936300189479e-16,-1.38896428414558e-17,-2.69404356547069e-06,2.68882110535125e-16,8.67011294679761e-19,-3.64612296927952e-17,-6.1370349694865e-17,-2.16747556091289e-16,1.27529566691738e-06,3.22733254107894e-16,-4.02995881684875e-06,1.69864293940616e-16,-2.53215475753828e-07,7.07512982670816e-17,0.0129555938541974,5.70039471747357e-07,-1.09075515167523e-16,-1.89843175194081e-17,2.24187576956705e-16,-3.03378596667113e-16,5.81193768114851e-16,2.04003480774873e-15,6.15221962758374e-16,-1.24690436498483e-16,1.64621552616376e-16,0.401026160275713,7.86637982199345e-15,0.707106781186548,-3.10617563681382e-16
"t98",-0.0934743834621877,-0.132294303236455,0.22366468999449,0.0203648858347764,0.00131516841094326,0.00201897252987984,-0.00190213674850263,0.00404808439157295,-0.0060487399244967,0.00272969494879488,-0.00376752061884397,2.90387711088481e-05,0.00129036912383695,-0.000312028812972812,-1.43314544604022e-05,0.000505193082014725,-0.0385195932078564,0.000543111900048465,-0.000211923036471629,2.83063192640192e-05,-0.00107290032298294,0.00262671478060316,-0.138364809214076,0.00367466402701039,-0.00323277614156859,3.62746363089679e-05,-2.60935701116051e-05,1.10210097073752e-05,-3.96393339619696e-06,7.45167212468683e-07,-1.59517644887656e-05,-3.63959778399834e-05,2.77801646460318e-06,4.04972290271761e-06,-5.47483950025933e-06,-2.9982846713168e-17,3.252030717151e-05,6.05904596389074e-05,-0.000834338187882806,0.133752570860909,-4.00238044961149e-05,-8.81749883933614e-14,-1.74778430934311e-15,0.138554609466177,1.39360139492468e-15,2.09275284032734e-07,0.439754899167206,1.68506699286446e-08,-1.37066989613262e-14,-2.53002424711411e-07,-6.46573168280408e-07,-2.12690896202847e-08,-1.26779985294663e-05,1.65587859328722e-07,9.69264590557562e-08,7.56243066944013e-08,-2.09517301287946e-16,1.00812144070696e-06,2.81294857683759e-17,5.83707715843721e-16,-1.00895583702506e-16,5.38158362423478e-17,-2.69404356531431e-06,-2.5289338325561e-16,-1.32598486925266e-17,-2.75401452068735e-16,-3.70537236532404e-17,1.70439036037851e-17,1.27529566683798e-06,3.30553149375178e-16,-4.02995881729855e-06,-2.23950061118032e-16,-2.53215475794037e-07,2.95796144481914e-17,0.0129555938541965,5.70039472058134e-07,1.29555615076619e-16,-1.37912214222591e-17,5.24611815638301e-16,5.50763007523236e-17,1.13513559003087e-15,2.18575157973078e-15,4.2817651099645e-16,3.594015662517e-16,-2.68281214390145e-16,0.40102616027571,9.74877161438829e-15,-0.707106781186547,-7.07950168368195e-16
"t80",-0.0934400640209259,-0.132225051970074,0.223449854074776,0.0203429095581008,0.00131330327566271,0.00201407158534651,-0.00189671178852704,0.00402988032324306,-0.0060191379105318,0.00271523020831332,-0.00374737750030574,2.8868695086455e-05,0.00128223079613707,-0.000309974196754214,-1.42330356841857e-05,0.00050116695250551,-0.0381764410666752,0.000537814818790842,-0.000209653690173435,2.79877383515948e-05,-0.00106017760688095,0.00259186952546758,-0.136384910269051,0.00361898254659484,-0.00318286512582053,3.55836333855607e-05,-2.55169330136229e-05,1.07751865740603e-05,-3.87210635046397e-06,7.26272495853462e-07,-1.55248850810509e-05,-3.52064141931191e-05,2.68525346478782e-06,3.90567356574957e-06,-5.26763316975143e-06,-1.69125678415982e-16,3.09592918949855e-05,5.7606167760297e-05,-0.000791222058215492,0.125667269562618,-3.73316100308831e-05,-8.13783358697799e-14,-1.0617361643729e-15,0.122357411599639,9.59176912266244e-16,1.43107417491117e-07,-0.311651224927695,-9.09534577745467e-08,9.50353867404607e-15,-3.30469004893077e-07,-6.50000627174621e-07,-2.11651665871738e-08,-1.25153918721266e-05,1.6139638215611e-07,9.41381733347081e-08,7.07764197241665e-08,2.12669770362595e-16,9.25813113699591e-07,3.84425898217166e-17,-5.21801049049646e-16,3.53944953172737e-16,-2.46690253781272e-17,-2.29572395784578e-06,3.07306920628014e-16,-7.72053263068283e-17,5.37076832785503e-16,-5.3677424586837e-17,-7.71879902828253e-16,7.84213236040774e-07,-2.20093962815846e-16,-8.61306071172775e-07,2.04025643410285e-16,1.31734416784399e-08,2.83062391635622e-17,-0.514048447731182,5.72264197979487e-05,3.0448914617131e-16,-7.89346147194912e-16,-2.27909368297306e-15,1.70358859796701e-15,0.707106781186547,5.78703751585863e-15,-2.20587640805604e-15,8.0221626716261e-17,4.99587373255066e-16,0.00438557854270434,2.84777936690282e-15,9.35009049825967e-16,-6.99766119980566e-17
"t81",-0.0934400640209259,-0.132225051970074,0.223449854074776,0.0203429095581009,0.0013133032756627,0.00201407158534694,-0.00189671178852713,0.00402988032324295,-0.00601913791053166,0.00271523020831323,-0.00374737750030563,2.88686950864869e-05,0.00128223079613698,-0.000309974196754289,-1.42330356842869e-05,0.000501166952505436,-0.0381764410666749,0.000537814818790742,-0.000209653690173582,2.79877383515233e-05,-0.00106017760688097,0.00259186952546767,-0.136384910269051,0.00361898254659478,-0.00318286512582048,3.55836333854382e-05,-2.55169330138433e-05,1.07751865737749e-05,-3.87210635047829e-06,7.26272496051176e-07,-1.55248850811482e-05,-3.52064141933188e-05,2.68525346498897e-06,3.90567356572825e-06,-5.26763316986132e-06,-7.71105948529343e-18,3.09592918949504e-05,5.76061677603299e-05,-0.000791222058215766,0.125667269562618,-3.73316100307041e-05,-8.14218259822139e-14,-9.62090137209667e-16,0.122357411599639,1.04263877889772e-15,1.43107417336007e-07,-0.311651224927695,-9.09534576640989e-08,9.49291978255525e-15,-3.30469005578755e-07,-6.50000627212653e-07,-2.11651657514375e-08,-1.25153918721487e-05,1.61396381756302e-07,9.41381730656737e-08,7.07764198437491e-08,2.24782334324494e-16,9.25813113490732e-07,-1.28945100182308e-17,-5.80711750500029e-16,7.55298424895016e-17,-8.18239649766937e-17,-2.29572395841298e-06,-3.84221585194729e-16,8.5165474826289e-17,-9.64319538407244e-17,1.34872570256359e-16,-8.10117985893315e-16,7.8421323695388e-07,-8.01975151481394e-16,-8.61306070481483e-07,4.87385522734647e-16,1.31734418727103e-08,-3.24944030583949e-16,-0.514048447731181,5.72264197965436e-05,5.70124917842617e-17,-3.09695126935263e-16,1.68876574963854e-15,-2.13418345791893e-15,-0.707106781186547,-7.71605002114484e-15,1.25592486840958e-15,-5.3091022963121e-16,-8.74014044500896e-16,0.0043855785427066,-1.87562529873273e-15,4.91327249898936e-16,-8.4159575693933e-16
"t94",-0.0934817128558794,-0.132309073531947,0.223710342739863,0.0203695510855413,0.00131556319991166,0.00202000070790542,-0.00190327049076534,0.00405183029336803,-0.00605480759491689,0.00273264794826755,-0.00377163091193866,2.90732970082939e-05,0.00129201357785786,-0.000312442771367703,-1.4351224499813e-05,0.000505992231405117,-0.0385869889588842,0.000544142067981078,-0.000212359322436999,2.83671533133373e-05,-0.00107531124912346,0.00263319654881567,-0.138727831823009,0.00368475084234709,-0.00324177981326762,3.63923707006168e-05,-2.61865511691057e-05,1.10604905744589e-05,-3.97843305024602e-06,7.4801625216576e-07,-1.60141086858972e-05,-3.65441038501533e-05,2.78931330493314e-06,4.06601889782679e-06,-5.49633186600338e-06,1.56691722783554e-16,3.26100791718533e-05,6.07437205546018e-05,-0.000836027998042006,0.133693583797765,-3.99015641997727e-05,-8.72622660673108e-14,-1.26454241018763e-15,0.133455378885928,1.1854688923406e-15,1.58413740150327e-07,-0.346666803334312,-1.01241824322587e-07,1.03701905145521e-14,-3.69491535825782e-07,-7.39013635210851e-07,-2.41301559816185e-08,-1.43057603515043e-05,1.85426128912354e-07,1.08334523784046e-07,8.35629369339036e-08,-4.97742417306729e-17,1.1142010155971e-06,-3.56782937057553e-16,-2.74974563902928e-16,-3.04528563595608e-17,-1.40766302642396e-16,-3.04893750570134e-06,1.81333282123332e-16,-6.78775938891596e-17,-6.37459529825556e-16,-2.28091651520386e-16,1.03671799682049e-15,1.66722904574201e-06,-2.16837997729936e-17,-6.64523317366463e-06,1.44582099466325e-16,-4.76598238094532e-07,9.64312518504802e-17,0.485240554990657,-5.03631535135728e-05,-8.16307052683419e-17,3.74524204924032e-16,6.03560693235459e-16,1.03331221490969e-15,2.61018120438269e-15,4.9960036108132e-16,2.51755541313193e-15,-1.24015513197127e-16,1.11947287287183e-15,0.00295371202018485,-0.707106781186548,-7.78950893771896e-16,-1.00014519963355e-15
"t95",-0.0934817128558794,-0.132309073531947,0.223710342739863,0.0203695510855414,0.001315563199912,0.00202000070790553,-0.00190327049076544,0.00405183029336806,-0.00605480759491694,0.00273264794826765,-0.00377163091193838,2.90732970078334e-05,0.00129201357785801,-0.000312442771367724,-1.43512244997777e-05,0.000505992231405043,-0.0385869889588841,0.000544142067981057,-0.00021235932243719,2.83671533130262e-05,-0.00107531124912296,0.00263319654881576,-0.138727831823009,0.0036847508423471,-0.0032417798132677,3.63923707006308e-05,-2.61865511687543e-05,1.10604905745083e-05,-3.97843305065431e-06,7.48016252294703e-07,-1.60141086858702e-05,-3.65441038499248e-05,2.78931330470438e-06,4.06601889774896e-06,-5.4963318661342e-06,-3.3066230017601e-16,3.26100791716189e-05,6.07437205543975e-05,-0.000836027998041521,0.133693583797765,-3.99015641998332e-05,-8.75156053946672e-14,-1.26979457224581e-15,0.133455378885928,8.71526648999159e-16,1.58413740408943e-07,-0.346666803334312,-1.01241824306211e-07,1.07155896842512e-14,-3.69491535882888e-07,-7.39013634982652e-07,-2.41301560921947e-08,-1.43057603517372e-05,1.85426128846185e-07,1.08334523528743e-07,8.35629372367586e-08,1.04795714184115e-16,1.11420101571055e-06,1.54992496519711e-16,-3.42220530634436e-16,-5.10219721484978e-17,-7.80216095340637e-17,-3.04893750545736e-06,1.36274682317659e-16,2.27136439465315e-16,4.69446980496995e-16,-6.12980857791167e-17,2.83588066262304e-16,1.66722904560698e-06,7.22365520854251e-16,-6.64523317402779e-06,-5.51795431112315e-16,-4.76598238499946e-07,1.02995184550167e-16,0.485240554990657,-5.03631535129214e-05,-2.77590494399307e-16,5.89301484110238e-16,7.83411591748234e-17,-5.2629462661443e-16,-2.61819701635234e-15,2.80331313717852e-15,-1.37343600616798e-15,2.96703557381539e-16,-7.98682913107967e-16,0.002953712020155,0.707106781186547,1.14012706121236e-15,3.39180732837423e-16
"t20",-0.090301565679104,-0.125884456530888,0.203713575712125,0.0183221825136043,0.00114135662288575,0.001558740290801,-0.00139105030452857,0.00231151223040954,-0.00321633723379144,0.00134140407107156,-0.0018335355019216,1.26460070148409e-05,0.000503272756758651,-0.00011289794203569,-4.77235661837272e-06,0.000110867592192159,-0.00467099373188107,1.7260265321035e-05,1.49885992750669e-05,-3.6798942315113e-06,0.00021029767372585,-0.000925015111547593,0.0650218752429868,-0.0020812564809804,0.00193760665514707,-3.72310117184149e-05,3.66051116160403e-05,-1.57468250922682e-05,6.09606852972934e-06,-1.35656454686772e-06,3.19876541987124e-05,0.000102395947698717,-8.09166347284035e-06,-1.30468378016486e-05,1.94297558083526e-05,2.91630387814671e-16,-0.000163588939351356,-0.00031574637860891,0.00463597655121552,-0.897901395234138,0.000297487447685889,6.92183351360837e-13,-3.43452229173791e-15,0.335414137749879,3.4492309861122e-15,-5.78057642653507e-05,-0.000615585687643208,1.59994454378122e-05,-4.76090223974775e-16,0.000238092140936321,-8.35909692143257e-05,-2.28638658104144e-06,-0.00117872484756275,1.22414605906263e-05,6.72673107174371e-06,2.8789624265816e-06,-2.92445446624151e-17,3.03093984749744e-05,-4.69606072862202e-17,-1.91549369466069e-16,-2.83123165506819e-16,1.02743031916738e-16,-4.91584865654596e-05,-1.05802024122649e-17,-4.30321736345537e-17,-2.82157232355766e-16,1.08580094265805e-16,3.6184708503856e-17,1.58115953103681e-05,9.71950451858672e-18,-4.44757339954336e-05,2.67109266083021e-17,-2.70941965977716e-06,2.64259408669959e-17,0.00354993630746128,1.97222542562164e-05,6.80526410298062e-17,-1.92883263155395e-17,1.59246107049695e-16,3.56530009194637e-17,-2.67098264941494e-16,6.10622663543836e-16,6.07830135342448e-17,-3.71771689493296e-17,1.14791798671748e-17,0.0012357340114227,2.93814628381259e-17,6.41607261786205e-16,-2.26157059738867e-16
