"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89"
"t11",-0.138802678196498,-0.00986709538472223,0.00437108362339911,-0.0037327261882315,0.00386798861069733,-0.0248418106644028,0.0460668577245235,-0.407493512169644,0.121237359143515,-0.00900637516085964,0.00170471680793841,-1.28550011645885e-05,-0.125021862901483,0.0151386511622036,-0.015199582429438,0.00151055570565368,0.0879906617197192,-0.104972464839384,0.0240504063530662,-5.22563936997506e-05,0.498733072700605,-0.00253841188613156,0.00431360002458458,-9.61408737612466e-05,0.0181087197270118,-0.0208961320329795,0.0002199563879041,-7.10168612784086e-05,0.0293718418365016,-0.00917216978454378,3.58237292081674e-07,3.64657077232261e-06,2.2564885262504e-05,-1.60030797443882e-10,-2.07168666777572e-05,0.000365472791677435,-3.55645723566981e-06,-5.55879730623808e-06,-1.01291475275436e-05,-1.44242804570984e-07,-1.45358771592382e-05,0.000394427318434925,-4.33383933549254e-05,-1.3690394644794e-05,-4.20844209828978e-05,5.19360970793822e-06,2.79604992345466e-05,4.84262120085837e-05,-1.58257350802747e-06,-9.14660144465449e-06,-8.30486912032688e-09,-1.07178960465689e-14,2.12830900099881e-05,8.46831935710796e-07,-0.70710678118655,-1.64820672982011e-06,0.000376462539884703,5.29360957089914e-14,5.48374329178277e-16,5.57249536119261e-06,7.85912177283219e-08,4.51510444091862e-15,-2.58213747070793e-05,-7.13861928607357e-08,-1.56404507001175e-06,1.70764936075121e-06,1.42506797423735e-16,-1.61128850820985e-06,-2.67433941071908e-16,-2.60954723781963e-16,-2.64561010509918e-16,-5.90593423065548e-17,-1.29585140578229e-16,-3.40637929768816e-17,-4.75382079011628e-17,1.11071465698821e-18,7.10477053811926e-06,3.26996760840122e-17,9.47744457606026e-17,5.90636424327317e-17,1.51942345856094e-17,1.27790407743494e-16,9.04365960995507e-17,3.83817613829468e-17,-1.05805062088525e-17,7.98990663905306e-17,-7.46149357111652e-17,-2.18339731129764e-17,-1.10587466940499e-16
"t12",-0.138802678196498,-0.00986709538472213,0.00437108362339992,-0.00373272618823178,0.00386798861069779,-0.0248418106644031,0.046066857724524,-0.407493512169645,0.121237359143515,-0.00900637516085964,0.00170471680793838,-1.28550011643587e-05,-0.125021862901483,0.015138651162203,-0.015199582429438,0.00151055570565377,0.0879906617197193,-0.104972464839384,0.0240504063530668,-5.2256393699828e-05,0.498733072700607,-0.0025384118861313,0.0043136000245845,-9.61408737608897e-05,0.0181087197270121,-0.0208961320329794,0.000219956387903983,-7.10168612780381e-05,0.0293718418365031,-0.00917216978454492,3.58237291365144e-07,3.64657077301768e-06,2.25648852626926e-05,-1.60031182468388e-10,-2.07168666783814e-05,0.000365472791679278,-3.55645723540123e-06,-5.55879730582235e-06,-1.01291475280312e-05,-1.44242805031897e-07,-1.45358771576961e-05,0.000394427318436112,-4.33383933547852e-05,-1.36903946437689e-05,-4.20844209764321e-05,5.19360970838492e-06,2.79604992341055e-05,4.84262120083932e-05,-1.58257351370168e-06,-9.14660144282776e-06,-8.30486705854052e-09,1.19744403294067e-14,2.12830900158655e-05,8.46831918839075e-07,0.707106781186546,-1.64820669817034e-06,0.000376462539991199,-5.32301198588994e-14,-4.89416925358745e-16,5.57249535670471e-06,7.85912149417361e-08,-4.58901775002925e-15,-2.58213747089151e-05,-7.13861922403905e-08,-1.56404507096575e-06,1.70764936276777e-06,7.59788451884399e-17,-1.61128850082731e-06,-4.82726960864852e-17,7.93993331723539e-17,3.62330486292774e-16,7.19725935343528e-18,1.9171303858258e-16,1.10471231709434e-16,2.48299884284236e-17,-7.97564868811592e-17,7.10477053804446e-06,-6.01643466498458e-17,-2.00345259056553e-16,-3.58282525499346e-17,-2.89117889595518e-17,-5.82334169584542e-17,-6.15622172473813e-17,-1.37882899042077e-16,-1.33246696513499e-17,5.43702157254125e-16,1.19643661427837e-16,-8.00254059929343e-18,-1.14117120014498e-16
"t5",-0.138770608055001,-0.00986339495227484,0.0043665984937005,-0.00372789580927207,0.0038618558628509,-0.0247831238897983,0.0459543833469251,-0.406286482420414,0.120800733236712,-0.00896589541710327,0.0016961457279452,-1.27713522921111e-05,-0.124052876610764,0.0149571835530582,-0.0149504001149404,0.00148417750430951,0.0856270379199191,-0.101206823945413,0.0231005590642132,-4.41306354987259e-05,-0.501254819700857,-0.00270488539814332,0.00455040446570547,-9.89701081155027e-05,0.0185541527842949,-0.0213844067100119,0.000224588235615966,-7.24350056700137e-05,0.0299220552466899,-0.00931850362308238,3.63897293184611e-07,3.70334526812015e-06,2.29111369176304e-05,-1.62464721294217e-10,-2.10135752542925e-05,0.00037060614891806,-3.60457478491361e-06,-5.63279949697335e-06,-1.02604941563741e-05,-1.46097338144921e-07,-1.47204918569561e-05,0.000399372979498052,-4.38730981840588e-05,-1.38566014429572e-05,-4.25886958611261e-05,5.25444884494489e-06,2.82786400434793e-05,4.89764142915072e-05,-1.60023947686609e-06,-9.24864275326594e-06,-8.39727291014881e-09,-0.707106781186548,2.15113972107509e-05,8.55834780891879e-07,1.18793863634892e-14,-1.66557463518491e-06,0.000380420390962164,-6.55344639598256e-15,3.22978783121084e-15,5.63043410228237e-06,7.94058814570665e-08,1.38031083486884e-15,-2.60817525837645e-05,-7.20950605331652e-08,-1.57952452891975e-06,1.72450537435718e-06,1.76573392323676e-16,-1.62704320126381e-06,-6.15899601958841e-16,-6.78324704202907e-16,-6.38092623393948e-16,-6.2002955892489e-18,1.08181167438421e-16,2.91746055380088e-17,-1.15457928919262e-16,-1.39131058781031e-16,7.16700781894662e-06,-2.06022119932891e-16,1.5583429678327e-16,-2.09375573250853e-17,4.94998415809986e-16,-7.3427021568956e-17,-3.50836444728282e-16,-2.35423455570799e-16,-3.7696487823454e-17,2.07039525779654e-16,2.60328611198488e-17,4.46426293443243e-17,8.94947113862924e-17
"t6",-0.138770608055001,-0.00986339495227562,0.00436659849370046,-0.00372789580927223,0.00386185586285124,-0.0247831238897984,0.045954383346925,-0.406286482420415,0.120800733236712,-0.0089658954171034,0.00169614572794522,-1.27713522920204e-05,-0.124052876610764,0.0149571835530583,-0.0149504001149404,0.00148417750430954,0.0856270379199193,-0.101206823945414,0.0231005590642139,-4.41306354989706e-05,-0.501254819700859,-0.0027048853981431,0.00455040446570565,-9.89701081159419e-05,0.0185541527842951,-0.021384406710012,0.000224588235616057,-7.24350056700755e-05,0.0299220552466897,-0.00931850362308249,3.6389729312628e-07,3.70334526786202e-06,2.2911136918607e-05,-1.62463700661631e-10,-2.10135752558687e-05,0.000370606148918683,-3.60457478521082e-06,-5.63279949810139e-06,-1.02604941552669e-05,-1.46097340210222e-07,-1.47204918608125e-05,0.000399372979498779,-4.38730981845082e-05,-1.38566014411542e-05,-4.25886958602375e-05,5.25444884741553e-06,2.82786400471949e-05,4.89764142993356e-05,-1.60023948986469e-06,-9.24864274183348e-06,-8.39727271131371e-09,0.707106781186547,2.15113972537819e-05,8.55834789608993e-07,-1.08801856413265e-14,-1.66557463171494e-06,0.000380420390956198,7.10227655220915e-15,-3.22392791954121e-15,5.63043410516713e-06,7.94058904320246e-08,-1.42374379310798e-15,-2.60817525828325e-05,-7.20950607538431e-08,-1.57952452837269e-06,1.72450537401517e-06,-7.1063414899151e-17,-1.62704320198817e-06,5.21631279714205e-16,4.90540948121491e-16,4.78136579341575e-16,3.86473710271736e-17,-8.7906183326277e-17,-5.12163051668111e-17,1.0990794842789e-16,3.51667888376174e-16,7.16700781854263e-06,2.1475896343517e-16,-3.05211784262097e-17,8.74055886933253e-17,-5.88758637176346e-16,7.04230599831588e-17,4.05010331982725e-16,1.47892226984893e-16,-6.38731414927307e-18,3.98014748573148e-16,-6.93646799421953e-17,-9.79590930337693e-17,-1.81413536630771e-16
"t1",-0.159473513731079,-0.0130613861967944,-0.00827877996927262,0.00175630033765151,-0.000504069908743521,-0.00710462399457004,0.00427891379231676,-0.0504346272553959,0.0151366899604988,-0.000918193372378646,0.000138068547400524,9.34162770310822e-08,0.102451179208831,-0.00151874366349188,0.00381470729636495,-0.000432515457041626,-0.0987073605398566,0.0193868121215952,0.00970825425867502,0.000638600483204016,-0.000295410240593024,0.00369092740319043,-0.00692553527264643,0.000297361366113174,-0.0834902330801931,0.113080008768009,-0.00187553304070922,0.000874115977513247,-0.827948149043194,0.470795074006264,2.78418229839652e-05,8.94075512686281e-05,0.00037713693943715,-2.289525746786e-09,-0.000167081614478655,-0.108007122447842,-2.16081586570996e-05,-3.14384141182106e-05,-5.16579957701495e-05,-7.13612015686455e-07,-6.91393234769429e-05,0.0304007573699697,-0.000184820962763356,-5.57800863132412e-05,-0.00210256979029685,1.91803508614258e-05,9.59319375027982e-05,0.00016556223974247,-5.18869023260278e-06,-2.99472751621567e-05,-2.70248508931335e-08,1.65280770183502e-18,6.3948163139652e-05,2.50044621533917e-06,9.43689570931383e-16,-4.83767271857044e-06,0.00899582653148214,6.94738348695081e-16,1.04536471550818e-16,1.56259784099422e-05,2.19221100360693e-07,-7.95910138459854e-16,-6.84365721985449e-05,-1.83991293962849e-07,-4.0072762358892e-06,4.35464480644937e-06,-5.17237887604565e-16,-2.9342269221129e-05,-1.12650047465152e-15,1.03302282732321e-16,5.52093577023778e-16,-1.39680008497807e-16,6.06305948873865e-17,-7.96282340050062e-18,-5.08572253730736e-17,-1.67796578998894e-16,1.49711885454586e-05,7.6572484126251e-18,-6.98053839004824e-17,1.00198225195357e-17,-2.61804135660732e-17,1.81871978293867e-16,1.45144335780175e-17,-2.19694607144321e-17,-6.4330130759361e-17,3.42251433646791e-15,7.50456748144113e-18,9.66905351318784e-18,2.41749972382059e-17
"t45",-0.175780077725361,-0.0154093148366409,-0.0150542028914145,0.00433181889001097,-0.00226974779994636,-0.0912770697752594,-0.0125162953808414,0.0292294318915282,-0.000614550885179921,-0.000308954165015189,7.03583288289731e-05,9.52877446901813e-08,0.181677870887396,0.00180197420809718,0.00105762269719057,-0.000207618266380749,-0.375594454379537,-0.340570416357122,-0.379652440053509,0.0441674408851309,0.000242961883118953,-0.00176810831832324,0.00301503083188589,-7.71822175708023e-05,0.0170954675140907,-0.0213746625360714,0.000295495892165915,-0.000124223366721769,0.103633724074191,0.00997553559147567,-4.71282646516272e-08,-1.3377702851176e-06,-7.29371743705732e-06,4.60594162120574e-11,2.03918098145764e-06,-0.0032211177958471,-7.64078642054859e-08,-2.59753359716365e-07,-8.63990728023595e-07,-1.42160225710952e-08,-1.80557387538348e-06,0.0196541835553058,-4.69261330716157e-06,-1.81106289609773e-06,-0.00147983738213454,8.54342514713071e-07,5.17401332652493e-06,9.00673800114989e-06,-3.11578489301414e-07,-1.8039940862294e-06,-1.65094724664388e-09,5.84229228103214e-16,4.65713046822915e-06,1.89566014873804e-07,3.33066907387547e-16,-3.8569846447439e-07,0.0014266016525028,-1.09470654176458e-15,-2.58373526503757e-16,1.28608245228446e-06,1.82671687856558e-08,-1.59200459189386e-15,-6.31348457275947e-06,-1.78764959674021e-08,-3.93594908976202e-07,4.31390105303902e-07,3.72785122052328e-15,-5.59862750056153e-06,-0.707106781186547,1.29346370044201e-15,6.82548258153104e-15,2.0936832160292e-16,6.00641055609714e-16,2.68793817307016e-16,-5.74738386527417e-16,2.84300804291119e-16,2.05121220805257e-06,4.10873151221694e-16,4.23156499275545e-17,-2.03105674540609e-16,3.62000124779712e-17,-4.46087012359536e-16,6.52614817633521e-16,-3.96456990823908e-16,3.05441082147481e-16,8.84582284090518e-16,-3.25401812417153e-16,-1.83165292412453e-16,-3.24796002987799e-16
"t46",-0.175780077725361,-0.0154093148366409,-0.0150542028914145,0.00433181889001083,-0.00226974779994621,-0.0912770697752594,-0.0125162953808413,0.0292294318915281,-0.00061455088517931,-0.000308954165015064,7.0358328828941e-05,9.52877443778328e-08,0.181677870887396,0.00180197420809709,0.00105762269719044,-0.000207618266380545,-0.375594454379536,-0.340570416357122,-0.379652440053509,0.0441674408851312,0.000242961883119286,-0.00176810831832325,0.00301503083188602,-7.71822175710927e-05,0.0170954675140909,-0.0213746625360712,0.0002954958921658,-0.000124223366721472,0.10363372407419,0.00997553559147682,-4.7128264875868e-08,-1.33777028528663e-06,-7.29371743715156e-06,4.60598845081367e-11,2.03918098106697e-06,-0.00322111779584785,-7.64078644364591e-08,-2.59753359261682e-07,-8.63990728133796e-07,-1.42160226341653e-08,-1.80557387567484e-06,0.0196541835553057,-4.69261330678231e-06,-1.81106289601314e-06,-0.00147983738213323,8.54342514647463e-07,5.17401332720977e-06,9.00673800638609e-06,-3.11578486524456e-07,-1.80399408739147e-06,-1.65094588833969e-09,-3.37821431842855e-16,4.65713046874734e-06,1.8956601539049e-07,-5.55111512312578e-17,-3.85698463629736e-07,0.0014266016525009,8.18355045957953e-16,1.89085310931661e-16,1.28608245382749e-06,1.82671703090788e-08,1.57090607111708e-15,-6.31348457595408e-06,-1.78764964777256e-08,-3.93594912341693e-07,4.31390103417776e-07,-3.47738240546734e-15,-5.59862750304381e-06,0.707106781186548,-1.50657234775764e-15,-6.80647781684375e-15,-1.36737180876924e-16,-5.59748093734473e-16,-1.91695981724395e-16,5.90936621062346e-16,-5.6358340499942e-17,2.051212208042e-06,-4.20003104043601e-16,-1.18954473638486e-16,3.21933275404786e-16,-1.25316862630001e-16,2.10963772062705e-16,-6.66265273557332e-16,2.97176365713636e-16,-2.2263045205521e-16,3.85727441604455e-16,2.42243634079365e-16,9.35758519779604e-17,-2.47744481860137e-16
"t14",-0.187569985541868,-0.0171590804100571,-0.0208663494479799,0.00667610920555195,-0.00398286988446245,-0.254232177958412,-0.0370840292045918,0.149388090833747,-0.0298638676748536,0.00136665114196848,-0.000187767118239555,-1.20082247419093e-07,-0.157400175574933,-0.000732679573262274,-0.000265760677998588,4.74098081931931e-05,0.0435418923437298,0.0231321762387431,0.0208767308474815,-0.468318615289135,6.00715993059886e-06,-0.000184256656453303,0.000352065202046795,-1.41582916493461e-05,0.00365561868793457,-0.00479308600385656,7.35078472784916e-05,-3.27562282005729e-05,0.0295182776660226,0.0036788771399931,-1.77501400215868e-08,-5.21131208089759e-07,-2.94558267280342e-06,1.90586386305318e-11,1.03368965777808e-06,-0.0017900090263984,-5.4415509206758e-08,-2.16795803132187e-07,-1.08686980488061e-06,-2.22276142943891e-08,-4.65503118550781e-06,0.25913021545489,1.08794405909221e-05,1.3703630549231e-06,-0.220587192056506,-3.34925123430498e-07,-8.08090288430838e-07,-1.34070544907318e-06,2.37039438856312e-08,1.33576086568975e-07,1.07602556742254e-10,-6.68303547066937e-15,1.18685344053807e-07,7.90934557731535e-09,5.37347943918576e-14,-2.16710401257883e-08,8.51961958423946e-05,0.707106781186549,2.36536519266048e-14,9.72978849346156e-08,1.45592692579798e-09,-2.4531653824253e-15,-7.07587909572713e-07,-2.27487559862668e-09,-5.12962786845522e-08,5.72562606626787e-08,-2.65778433262754e-16,-7.89270147791525e-07,-3.57963563250098e-16,4.43056869400226e-17,8.16775064256164e-16,1.27431820073694e-16,-6.62992707654032e-17,-7.52848949468051e-17,-4.4776135933098e-16,2.57777703531707e-16,4.34676819743758e-07,-4.0990361531343e-16,2.15986233606173e-16,5.09349926612278e-16,-3.56743248326059e-16,6.74131698332752e-17,3.52518566344268e-16,5.84730978442601e-17,1.13294136568639e-16,-1.88364603238496e-18,1.1655114288368e-16,5.93675303540861e-17,-2.14454899817802e-18
"t15",-0.187569985541868,-0.0171590804100571,-0.0208663494479799,0.00667610920555217,-0.00398286988446204,-0.254232177958412,-0.0370840292045911,0.149388090833748,-0.0298638676748538,0.00136665114196846,-0.000187767118239382,-1.20082247197333e-07,-0.157400175574934,-0.000732679573262097,-0.000265760677998612,4.7409808193415e-05,0.0435418923437303,0.0231321762387429,0.0208767308474822,-0.468318615289135,6.0071599300715e-06,-0.000184256656453347,0.000352065202046422,-1.41582916491375e-05,0.00365561868793463,-0.00479308600385623,7.35078472785617e-05,-3.27562282005677e-05,0.029518277666023,0.00367887713999314,-1.77501402880117e-08,-5.21131208379336e-07,-2.94558267289771e-06,1.90580947295999e-11,1.03368965773313e-06,-0.00179000902639667,-5.44155093305361e-08,-2.16795802759955e-07,-1.08686980516153e-06,-2.22276147678444e-08,-4.65503118522292e-06,0.259130215454891,1.08794405916291e-05,1.37036305476787e-06,-0.220587192056511,-3.34925122974075e-07,-8.08090286168243e-07,-1.34070544374804e-06,2.37039391434267e-08,1.33576085470818e-07,1.07609197005176e-10,6.66531741861757e-15,1.18685344791097e-07,7.90934925477691e-09,-5.22359933086136e-14,-2.16710614608989e-08,8.51961960391049e-05,-0.707106781186545,-2.36105501708166e-14,9.72978725705925e-08,1.45593222603097e-09,3.12772359066913e-15,-7.07587908787969e-07,-2.2748754206367e-09,-5.12962794708244e-08,5.7256258346492e-08,-2.335844110225e-16,-7.89270148380392e-07,9.148241192908e-16,-4.45419909640306e-16,1.72215104435733e-16,-4.47096186546966e-16,5.92270740302545e-17,1.64505344317106e-17,5.57280904279428e-16,-6.20171323251332e-17,4.3467682087083e-07,4.4415035351499e-16,9.03975112989851e-17,-4.94347355882754e-16,2.13449716153445e-16,-3.37050109899334e-17,-2.63197909951867e-16,-8.46282958886103e-17,-1.07876014552115e-16,6.5597295094027e-16,-2.92366238201223e-16,-2.77028218394166e-17,-1.45433596775404e-16
"t68",-0.186017606356199,-0.0169315249446559,-0.0201507031099548,0.00639371060989141,-0.00378128449546589,-0.236186081524932,-0.0343797186959032,0.136669264647124,-0.0269091485653876,0.00120771727112943,-0.000164159813597842,-1.02207114889075e-07,-0.131357313524337,-0.000579955116919231,-0.000202248143488348,3.57964492777663e-05,0.0312231160410464,0.0160775154520066,0.0143712926750148,-0.294401668117987,3.63336245307044e-06,-9.65222346025179e-05,0.000177692587073339,-5.24297611765529e-06,0.00105501024130238,-0.0012351007162237,1.3200033950159e-05,-4.22523820019531e-06,0.00161135939698774,-0.000899121246391955,4.80856169442183e-09,1.63442277819171e-07,1.05899379961236e-06,-7.44144334814591e-12,-6.65463599393827e-07,0.0013458828819385,5.51683040849914e-08,2.50808048776427e-07,1.57095259329547e-06,3.46394014896917e-08,8.10942493856416e-06,-0.509991810719054,-2.52154973421735e-05,-3.79365189180045e-06,0.715332358747076,1.49073857477529e-06,6.24679319759345e-06,1.07331984423302e-05,-3.23946418949315e-07,-1.86812154989868e-06,-1.67987580528089e-09,-3.06696937793954e-16,3.91462349826903e-06,1.53667477856613e-07,-2.70616862252382e-15,-3.02598081695107e-07,0.00111027396586994,-2.38997288626723e-15,2.06636373167803e-16,9.65103588953831e-07,1.35813279692128e-08,-4.72707151045659e-16,-4.35784498721575e-06,-1.19213794018539e-08,-2.60672423458726e-07,2.84174256980314e-07,5.21820079560246e-16,-3.62109874927829e-06,-9.54138993967339e-16,5.96914826422663e-16,-5.83801594936216e-16,-3.07559799878442e-17,3.13239491425215e-17,-1.0571469239871e-17,-1.20220210225043e-16,-9.15812680298662e-17,1.15489908819035e-06,-8.6079782457544e-17,-8.80981727988166e-17,2.54316539716965e-17,3.0395805951675e-17,9.52346934142098e-17,-7.7963068477038e-17,-1.25677163801099e-16,-9.44393321752917e-17,4.34330285752089e-16,1.9336976647266e-16,-2.9294404505179e-16,3.51156196841828e-16
