"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89"
"t66",-0.0297173363003223,-0.142375004457383,0.022917616116606,0.0044544273409203,-0.00194776011235962,0.0349663589852885,-0.000819662292354187,0.0107337664013479,-0.163145004335649,0.42970945748179,-0.0599434494874632,0.00164759912371057,-0.00134402398486637,-0.00850207565869805,0.00134110703400421,-0.00298079129849721,0.00369978141790739,-0.0058294227152792,0.00116562467557032,-7.75323176650875e-06,0.00147840213368044,-0.499638763808852,0.00336341965664256,-0.000170454076515117,0.00108139701965494,-0.0168331971476577,8.50938828153907e-05,-0.0293075407185774,0.000255851815660483,-0.00350141920890114,9.45851576132857e-05,0.000461616407166363,-0.000827111535046026,0.000125521720921916,0.000634238201533324,-4.07722862288554e-05,-0.000126213253352683,0.00349784365687708,-2.90031023586344e-05,-0.000705815594567431,-8.60730968468564e-06,-0.00105912060858496,2.26817289823312e-06,1.44118014799424e-06,0.000776223490967812,0.00021593725620682,4.28579843318987e-05,-0.00228567017341532,-6.64971858392397e-05,-0.00410965143589487,4.87502945669629e-06,6.52899350049501e-07,3.63839303387816e-16,4.48346251488126e-05,-1.13098276400752e-05,-2.15784751950635e-16,-0.000200131169934605,-4.07669813257866e-17,0.00024205672025421,0.000169038658103644,-0.00227572987760885,4.530798087743e-05,-5.16805138975305e-05,-3.61182894696532e-16,-5.80584377679562e-17,-3.70771253281039e-15,-2.09062174823003e-14,-2.02630807307362e-15,-4.65484279541484e-16,-1.57243271734525e-15,-6.2783037241968e-05,9.48786832243841e-16,2.95959322017079e-16,1.89416619731848e-15,4.16153168808138e-15,2.08539987404175e-14,0.707106781186546,-2.33141737953154e-14,-1.02786943888365e-16,-6.83427253660322e-16,-8.05326475885173e-16,-2.15534704232775e-16,-1.86171225717287e-16,-2.18233037672648e-15,-4.35768397205208e-17,-7.74129805712114e-17,-6.98416557092594e-17,-3.45830118814152e-17,-2.97213300063099e-17
"t67",-0.0297173363003221,-0.142375004457383,0.0229176161166056,0.00445442734091991,-0.00194776011235976,0.0349663589852885,-0.000819662292353853,0.0107337664013479,-0.163145004335649,0.429709457481789,-0.0599434494874634,0.0016475991237107,-0.00134402398486607,-0.00850207565869817,0.0013411070340045,-0.00298079129849704,0.00369978141790746,-0.00582942271527905,0.00116562467557008,-7.75323176678737e-06,0.00147840213368005,-0.499638763808851,0.00336341965664299,-0.000170454076514854,0.0010813970196546,-0.0168331971476579,8.50938828152105e-05,-0.0293075407185784,0.00025585181566043,-0.0035014192089013,9.45851576130159e-05,0.000461616407166277,-0.000827111535045672,0.000125521720921927,0.000634238201533652,-4.07722862291432e-05,-0.000126213253352573,0.00349784365687468,-2.90031023596905e-05,-0.00070581559456698,-8.60730968495322e-06,-0.00105912060858446,2.26817289811545e-06,1.44118014747294e-06,0.000776223490968175,0.000215937256206445,4.28579843314359e-05,-0.00228567017341676,-6.64971858389431e-05,-0.00410965143589321,4.87502945620501e-06,6.52899349714412e-07,-2.9922866333815e-16,4.48346251484006e-05,-1.13098276400258e-05,1.20018014248326e-16,-0.000200131169931336,1.51104290523268e-16,0.000242056720253187,0.000169038658103581,-0.00227572987760797,4.5307980879898e-05,-5.16805138989368e-05,4.72348180350364e-16,2.52127002119571e-17,-2.75498746439518e-15,-2.35503651971525e-14,1.99584102524863e-15,4.36149845313582e-16,1.38886792512106e-15,-6.27830372388458e-05,-1.00799973210434e-15,-2.50404849970166e-16,-2.07760942379508e-15,-4.06211240993272e-15,-2.08907593541995e-14,-0.707106781186548,2.3251684959098e-14,9.86468564301507e-17,7.00430008805119e-16,7.18105070879989e-16,3.09456497136199e-16,2.10364481002256e-16,1.83866202839924e-15,1.18479191681817e-16,-7.54903184814717e-18,1.58008003007168e-17,8.60972908767189e-17,-4.64999618915887e-17
"t46",-0.0297128893293188,-0.142337864856123,0.0229107684184308,0.00445201431151488,-0.00194631103637783,0.0349316579959916,-0.000818804677562608,0.0107218716747585,-0.162908126379068,0.428947375059526,-0.0598261423523887,0.00164158751643853,-0.00133615897407703,-0.0084169861666506,0.00132749864412632,-0.00294945307131554,0.00363859275014971,-0.00571936042873787,0.00114149556314317,-7.59003488417416e-06,0.00141394384693258,0.500360695070252,0.00363093687686781,-0.000175907507440828,0.00110564176517003,-0.0171785933088877,8.65725665235449e-05,-0.0297601804756447,0.000259572467796692,-0.00353951740647867,9.55690229495618e-05,0.000466125795389168,-0.000834741090115254,0.000126647635980989,0.000639672028521351,-4.10878462259039e-05,-0.000127159757905077,0.00352285060357911,-2.92077217522847e-05,-0.000710765477472659,-8.66610355901351e-06,-0.0010662498184081,2.28335284753006e-06,1.4508202616194e-06,0.000781407468901757,0.000217341187182576,4.31362663911971e-05,-0.00230034682763657,-6.69161719310229e-05,-0.00413527644872437,4.90436256918166e-06,6.56786739200181e-07,4.68550466253203e-17,4.50918757945748e-05,-1.13740753116395e-05,2.76833514314438e-16,-0.000201224231346298,1.47325434897234e-16,0.000243367906884962,0.000169951175375477,-0.0022879814506905,4.55483482838235e-05,-5.19509200027565e-05,-5.78470270027207e-16,1.87902940520287e-15,2.34752632546689e-15,-3.55502704338315e-14,-0.707106781186548,5.8288675282275e-14,-4.53445718747787e-15,-6.3076730627726e-05,1.08808737196592e-16,8.51413898861517e-16,-1.00250178887867e-15,6.7795408155453e-16,1.38512841097175e-15,-1.52655665885959e-15,-1.86542309691188e-16,-1.01350676553733e-15,-1.60766401457359e-16,5.13990097947712e-16,-3.45946522464959e-16,-2.19013955099283e-17,-7.18705967668086e-16,2.378066778116e-16,4.75914171926323e-16,1.61782319352907e-16,-6.0666919320886e-17,2.49276349776961e-17
"t47",-0.0297128893293189,-0.142337864856123,0.0229107684184306,0.00445201431151481,-0.00194631103637767,0.0349316579959917,-0.000818804677562849,0.0107218716747585,-0.162908126379068,0.428947375059527,-0.0598261423523889,0.00164158751643844,-0.00133615897407714,-0.00841698616664997,0.0013274986441263,-0.00294945307131583,0.00363859275015017,-0.00571936042873783,0.00114149556314314,-7.59003488409934e-06,0.00141394384693253,0.500360695070251,0.00363093687686794,-0.000175907507441265,0.00110564176517021,-0.0171785933088877,8.65725665232169e-05,-0.0297601804756444,0.000259572467796584,-0.00353951740647839,9.55690229499125e-05,0.000466125795389217,-0.000834741090114636,0.000126647635980806,0.000639672028521373,-4.1087846225681e-05,-0.000127159757905416,0.00352285060357788,-2.92077217526986e-05,-0.000710765477472596,-8.66610355922506e-06,-0.00106624981840713,2.28335284694372e-06,1.45082026155356e-06,0.000781407468901506,0.000217341187182285,4.31362663902243e-05,-0.00230034682763653,-6.69161719320552e-05,-0.00413527644872474,4.90436256880465e-06,6.5678673880686e-07,-1.78929192222573e-16,4.50918757950588e-05,-1.13740753116211e-05,-3.78634095575693e-16,-0.000201224231341343,4.21756647957205e-18,0.00024336790688589,0.000169951175375214,-0.00228798145068787,4.5548348280944e-05,-5.19509200040556e-05,3.95248667976806e-16,-1.8668217778456e-15,-8.73728737570838e-15,-9.27251130918668e-15,0.707106781186547,-5.81879031934828e-14,4.29557995220055e-15,-6.30767306282892e-05,-1.37764165614513e-16,-9.06057848207017e-16,1.03838504492319e-15,-7.94569467802578e-16,-1.2704697666286e-15,2.77555756156289e-15,2.9162072276757e-16,9.96646197061957e-16,2.16578314769481e-17,-5.72460569634944e-16,2.70882289635968e-16,-3.83413719577272e-17,3.052303502931e-16,-5.62846806174294e-17,-6.57613833688877e-16,-1.12254771333039e-16,2.06620399465748e-18,-8.72641179470579e-17
"t6",-0.0356589323741087,-0.209391369017475,0.0369050439829177,0.0300240364508928,0.00491286303427746,-0.0274460696211467,0.000551790456791205,-0.00621899347601472,0.122632025007072,-0.000466511666189051,0.000816950028013505,-1.4845896863845e-05,9.48063189736843e-05,0.00162073827078076,-0.000260441142489207,0.000606468060243971,-0.00668508782474937,0.00206880110618409,-0.000445471456704189,2.9996466097532e-06,-0.000832480087578134,0.000295297114762311,-0.00394808845584313,0.000319246527764973,-0.0033181135816079,0.0634006537256286,-0.000597071658394449,0.619865975900902,0.0630673040163023,-0.0123350751420514,0.000282758402710695,0.00112176833939276,-0.00168013809081992,0.000233379556871917,0.00100894850670366,-3.50254734136542e-05,-4.56925946756374e-05,-0.32264595124098,-0.000128355200926885,-0.00230716128652635,-1.37368312260822e-05,-0.00113959121044598,1.931685980646e-06,1.19535888070402e-06,0.000590715072625406,-0.000495867199092007,-0.00011950896748316,0.650605258608849,-0.00034973751849958,-0.0711467538047132,9.95897839033919e-06,1.27661107918158e-06,1.16450361928212e-15,7.72830147828674e-05,-1.8987376422565e-05,-4.84362592290036e-16,-0.0211296956799943,1.07981552787328e-15,0.000391726157307743,0.000303584633227781,-0.0162324301385671,0.00421580481710033,-6.97081957679359e-05,1.75985540867855e-16,4.61958147718379e-16,-3.55962948202904e-15,-2.76087940854972e-14,-2.73905206744099e-16,5.84115500435841e-17,-1.79223102146926e-16,-7.37345427868291e-05,9.34128832258823e-17,-4.1817469858304e-17,-6.7164953138904e-16,5.35168695770277e-17,2.20983246696416e-16,-7.7715611723761e-16,-1.56343181019063e-16,1.3761106294756e-16,-1.67283696712656e-16,2.16529936949162e-16,1.14780530015367e-17,2.60729429139258e-17,-6.09067615670072e-16,-2.07587899436758e-17,-7.08002837598187e-17,-2.9272396531163e-17,-1.33223718449987e-17,2.58952897785697e-16
"t31",-0.0382654469706538,-0.237184600065662,0.0425970485301712,0.0392767453239398,0.0071859659134213,-0.0465819693108497,0.000969158887194909,-0.0113726564772922,0.28738264630221,-0.00145127052949778,0.00309250464596302,7.95321092706622e-05,-0.000151605456071673,-0.00135999018986551,0.000215822007633821,-0.000486987978865599,0.00385823090335111,-0.00110670319091062,0.000227078163270126,-1.5163067526045e-06,0.000319720409311959,-8.45077417634746e-05,0.000921762662177402,-5.17207732617351e-05,0.000373450736182507,-0.00616846838843328,3.85230117527285e-05,-0.0230107310476892,-0.00135031260700262,-0.00103262074504871,3.06844325971603e-05,0.000170450076573197,-0.000348070057908773,5.68661470022389e-05,0.000332437709849226,-3.87526778026987e-05,-0.000182179544792671,0.445196457958423,0.000132631923130079,0.00216333924081038,1.03887016240877e-05,0.000961497277796827,-1.89829261437085e-06,-1.19826815854015e-06,-0.000633484825834144,-0.000196041549744952,-4.10607073429543e-05,0.0797761189500886,-8.2024542047706e-06,-0.000507031012945868,3.57883370637207e-08,1.07971092527906e-08,-1.66833769069801e-15,2.58639382196264e-06,-8.02998760920366e-07,-1.71454556484105e-15,-0.0744226220407304,2.33082534095705e-15,2.08817483170825e-05,2.26947030742757e-05,-0.00147349041888593,0.795083136172808,3.13758815663457e-07,8.90918389431576e-16,-7.52236179393223e-16,-1.581894906923e-15,-1.5982654618085e-15,2.09915609579105e-15,2.04628709655482e-16,1.02758151128219e-15,-8.31806257868389e-06,-8.68476851922876e-17,-3.42288717375001e-16,6.79113039196397e-17,-8.30173578565968e-16,1.23035668703784e-16,9.99200722162641e-16,4.5684567693061e-17,-4.27736043806305e-17,-1.49329756852141e-16,7.23624847503244e-16,-1.25417310222252e-16,-7.03609639289772e-17,-9.97563311578601e-16,5.75102428619278e-17,3.56112424611295e-17,-4.55211509685196e-17,-8.34249232857221e-17,-1.39563759526281e-16
"t85",-0.0389850602536841,-0.244897731124395,0.0441794208910716,0.0418765223185442,0.00782999010888775,-0.0520560289637675,0.00108879177070942,-0.0128532333129714,0.335282598045936,-0.00174054432627677,0.00376465657588028,0.000108595448923982,-0.000230373373960453,-0.00235522016493014,0.00037501323510658,-0.000853491335889645,0.00751093444182395,-0.00221640262261114,0.000463448115128141,-3.10505119382028e-06,0.000739707214586674,-0.00022897186539439,0.00283296135872689,-0.000205832555163058,0.0019910066254951,-0.03725034425946,0.000336295825181611,-0.338502994226693,-0.0339149630590025,0.00636672989345214,-0.000147100380149314,-0.000600118879960929,0.000949477026953375,-0.000137765209928132,-0.000666341854164558,5.14940084882557e-05,0.000212792381982111,-0.425754887203976,-0.000119830920665739,-0.00190458685031294,-8.14489015772753e-06,-0.00070561537524118,1.35694913098959e-06,8.54474619346149e-07,0.000448462593174009,0.000122411406806515,2.54805777182256e-05,-0.0469243943035941,4.39747898062858e-06,0.00025803251892564,-1.52118852994178e-08,-4.35539774397244e-09,2.85080897508661e-16,-8.94943811299149e-07,2.73226385907894e-07,1.74298246579385e-15,0.0841083965547599,-1.84866098385793e-16,1.43825047959496e-05,7.33719922145937e-06,-0.00030339740517074,0.0229453925341955,5.75341060655033e-10,-1.13047554456577e-16,9.09943621171672e-18,-1.20928308941675e-16,3.87374162823073e-16,-2.64759788799961e-17,-1.96932665610575e-16,4.08564833845608e-16,-9.01960531852526e-07,-1.4695561208467e-16,-3.0171301787559e-16,5.10970076409983e-16,-4.19024532678158e-17,-4.4127728693515e-16,-5.55111512312578e-16,-1.86911582698656e-16,1.35860610453573e-16,-1.33893273598486e-14,2.17973129865617e-15,3.48854537108993e-15,-2.32304731284577e-14,-0.707106781186547,-3.94214168734474e-15,2.93523738947588e-15,1.22710860981973e-16,2.91251483181509e-16,-9.83672250481618e-17
"t86",-0.0389850602536842,-0.244897731124395,0.0441794208910716,0.0418765223185442,0.00782999010888795,-0.0520560289637671,0.00108879177070941,-0.0128532333129717,0.335282598045936,-0.00174054432627693,0.00376465657587993,0.000108595448923904,-0.000230373373960866,-0.00235522016493029,0.000375013235106415,-0.000853491335889764,0.00751093444182371,-0.00221640262261086,0.000463448115128594,-3.10505119361395e-06,0.000739707214586721,-0.000228971865394362,0.00283296135872708,-0.000205832555163105,0.00199100662549505,-0.0372503442594595,0.000336295825181454,-0.338502994226692,-0.0339149630590023,0.00636672989345227,-0.00014710038014913,-0.000600118879961463,0.000949477026953306,-0.000137765209928378,-0.000666341854164671,5.14940084879437e-05,0.000212792381982526,-0.425754887203975,-0.000119830920664843,-0.00190458685031266,-8.1448901573162e-06,-0.00070561537524044,1.35694913111103e-06,8.5447461945213e-07,0.000448462593174102,0.000122411406807084,2.54805777176536e-05,-0.0469243943035933,4.39747898107693e-06,0.000258032518926236,-1.52118854980233e-08,-4.35539661800963e-09,6.0151501346568e-16,-8.94943810546178e-07,2.73226385610794e-07,1.74903913766916e-15,0.0841083965547609,-5.08247877831691e-16,1.43825047953964e-05,7.33719922147519e-06,-0.000303397405170536,0.0229453925341962,5.75340932654802e-10,1.03586696588211e-16,-1.32292455822065e-16,5.55064761402387e-17,-1.50216810284395e-16,-1.26881608758273e-15,3.73379315366845e-16,-2.68895044841213e-16,-9.01960532135591e-07,1.5426188113146e-16,4.66313020050854e-16,-2.17787227701395e-16,6.29292001599264e-16,5.1199498186655e-16,3.21964677141295e-15,-2.25001578757268e-16,-1.91611894520543e-16,1.33500764246431e-14,-2.06142140944244e-15,-3.43209775371315e-15,2.33037387845771e-14,0.707106781186547,3.97084209273369e-15,-2.99577464434763e-15,-1.50047207388971e-16,-3.11057198062375e-16,1.96122413425916e-16
"t33",-0.0384576143705519,-0.239239900504276,0.0430183974578582,0.0399659757777985,0.00735612427791629,-0.0480226488173254,0.00100061879589098,-0.0117616494883593,0.299907388327609,-0.00152660120954659,0.00326716160331711,8.69638990452573e-05,-0.000171469414023111,-0.00160707786721541,0.000255329637968492,-0.000577857171021708,0.00475356974337097,-0.00137791182865152,0.000284735621799058,-1.90371639094427e-06,0.000420937682505107,-0.000118853017934503,0.00137175763382577,-8.73974107437822e-05,0.000742297530696207,-0.0132182723407998,0.000105213163061573,-0.0928359690297492,-0.00850492460251858,0.000503914675423945,-5.72095627919208e-06,1.63519285978526e-05,-9.55890466574534e-05,1.9595668345912e-05,0.000147080149588787,-2.36841730599375e-05,-0.000119463235164855,0.32083137793387,9.79642214772244e-05,0.00161554666581927,8.14021340551006e-06,0.000773988871116215,-1.54457275305172e-06,-9.7595593429319e-07,-0.000517489681187969,-0.00016871528775818,-3.54306318665356e-05,0.0704543371133649,-7.5589834442024e-06,-0.000479471468084264,3.7732365243741e-08,1.18704719940067e-08,-7.8702681389118e-16,3.5715655270757e-06,-1.23178803151125e-06,-1.51850130626166e-14,-0.711809487724562,1.52001360214544e-15,-0.000146546988890102,-8.15550216656112e-05,0.00363149853543079,-0.459115269292595,-2.91483562330018e-08,-8.54300563952805e-16,1.07383432356596e-15,6.74536073049698e-16,-3.33492944057235e-15,1.85553522906584e-15,-5.45769586996051e-16,-1.00154192236936e-15,-4.92637629096526e-06,1.72940124767687e-16,1.46183628874517e-16,-5.31506935631085e-16,-8.14320207773344e-17,1.53250232738486e-16,-2.72004641033163e-15,7.68365652998496e-16,1.1965293434934e-16,-7.35991113109919e-18,-7.56765911881723e-16,1.46426671896995e-16,3.08144374206303e-17,3.14838768707108e-16,1.7730308953214e-16,-1.06531547504976e-16,-4.48623191786256e-17,6.48354489415495e-17,-5.22932074933477e-17
"t28",-0.0380402679370367,-0.234782181587396,0.0421049445272089,0.038475842701308,0.00698901712370736,-0.0449220339104749,0.000932945404997018,-0.0109253653327349,0.273061689060401,-0.00136555154345763,0.00289427568819972,7.12590567882032e-05,-0.00012986867688012,-0.00109489198915622,0.000173455311641212,-0.000389664325482139,0.00291337638307064,-0.000821593469495438,0.000166618395951355,-1.11024882987074e-06,0.000215274981914658,-4.97172525856572e-05,0.000472022145605742,-1.69130514385919e-05,2.1471653840463e-05,0.000505482494754905,-2.34075807598612e-05,0.040641681594377,0.00509613513498879,-0.00228998611458008,5.97136616077175e-05,0.000287810194806889,-0.000529758024984108,8.27582020957881e-05,0.000452032857979321,-4.58398292598814e-05,-0.000206161226569438,0.468200898475046,0.000136374144431195,0.00220086626228454,1.00434872675995e-05,0.000900053166813431,-1.75291170149592e-06,-1.1050762656978e-06,-0.000581958793409653,-0.000167142725685452,-3.48634080725963e-05,0.0652101206001774,-6.2027135982447e-06,-0.000363645831493294,1.93088699739234e-08,5.03450690182621e-09,1.13303116095814e-15,7.88421803443783e-08,1.53057124788525e-07,1.48007316290748e-14,0.686440305122242,-3.513168476158e-15,0.000170670714732693,9.97036886392745e-05,-0.00450943536865802,-0.394867007899317,-1.54721666331324e-05,1.49617920006427e-16,-3.20552573193777e-16,-7.74738240068623e-16,-4.331579962267e-15,-2.87621976319548e-15,2.08168477011046e-16,-4.21486494347341e-16,-1.48730400341221e-05,-1.43763469301901e-16,-1.15739692899114e-16,4.00690943343391e-16,3.98610727647059e-16,-2.52408763347754e-16,2.46330733588707e-16,-2.80118893082207e-16,-1.18220518280639e-16,6.57454186533784e-17,-6.8400172563552e-16,-3.73773297240154e-17,-1.10608292327413e-17,-4.34167211456869e-16,9.36935488232164e-17,-1.75934418912573e-16,7.04491097134213e-17,1.87003159668939e-17,-1.1534588206587e-16
