"accepted_species","sorted"
"t13",-1.80147504016866
"t1",-1.94126839469993
"t4",-2.41418850154327
"t18",-2.10088137038616
"t91",-2.13241174097592
"t92",-2.39972733589344
"t2",-2.63101956421272
"t55",-3.20293165910945
"t56",-2.9472715098755
"t14",0.11041563371343
"t9",-1.03029560183929
"t70",1.04033219005394
"t71",1.22320231652796
"t32",0.31544844443125
"t31",0.933293120593743
"t27",0.0439355650872344
"t57",-0.856335618986775
"t58",-0.9589623052849
"t59",0.07184354479135
"t60",-0.275003659298524
"t29",0.822608326752467
"t89",0.40113474116198
"t90",0.357171886706829
"t49",0.171114790184553
"t43",0.0175788119228932
"t73",0.489475909314555
"t74",0.425959600606131
"t52",-0.0617352272904139
"t84",-0.238930672950656
"t85",0.0869080196665077
"t75",0.380620138187118
"t76",0.23314305741858
"t6",-0.676204964531208
"t3",-0.438425306726769
"t22",-0.228923023093915
"t66",-0.214968740815655
"t67",-0.109216206003832
"t24",-0.950674044001734
"t25",-1.03083230573568
"t28",-0.347518467952198
"t61",-0.0661822335502879
"t62",-0.269172038497948
"t23",-1.30170875573864
"t16",-0.644465202974024
"t95",-0.10682172653822
"t96",-0.171712602738833
"t33",-0.602890693341409
"t34",-0.88919904855001
"t39",0.714204249940295
"t53",1.17911677325462
"t54",0.719991407120175
"t46",0.561788891459382
"t47",0.654396669891329
"t35",0.971924253148282
"t36",0.449691624880536
"t8",0.0156083037868829
"t82",0.364812089806322
"t83",0.572320584345707
"t44",-0.0198435444028704
"t45",0.0184191955863678
"t97",0.570636816845907
"t98",0.640304751120259
"t40",1.07208723508325
"t12",0.92889813648642
"t10",0.309006259282667
"t11",0.769991762051193
"t26",0.025068443099166
"t7",1.60060336870812
"t80",0.854416595921831
"t81",0.827822166883214
"t19",0.0398494794221957
"t50",0.275937668118895
"t21",0.340312128203004
"t42",1.11423791997653
"t86",0.79648240674876
"t99",0.907977239676912
"t100",0.922407370043938
"t79",0.62708182393492
"t87",0.39129269111791
"t88",0.442440796589584
"t30",0.713527533456176
"t41",0.698303468569671
"t51",0.694567104199962
"t68",0.78739801357675
"t69",0.718655508214749
"t37",0.00351320295840375
"t38",-0.244727409337851
"t63",0.0137040752243816
"t93",-0.237849560272701
"t94",-0.233499206306117
"t5",-0.412223652835103
"t64",1.31647300563385
"t65",1.37112946856803
"t48",1.23530837688385
"t72",0.941190206869563
"t77",0.98089479777979
"t78",0.953978459465474
"t15",-0.421053863630172
"t17",-1.02692732241394
"t20",-1.59448029855103
