"accepted_species","trait_ARD"
"t59","0"
"t51","0"
"t52","0"
"t53","0"
"t33","0"
"t30","1"
"t69","1"
"t95","1"
"t96","1"
"t47","1"
"t48","0"
"t31","0"
"t32","1"
"t12","1"
"t87","0"
"t93","0"
"t94","0"
"t40","0"
"t41","1"
"t89","0"
"t90","0"
"t27","0"
"t28","0"
"t13","0"
"t78","0"
"t83","0"
"t84","1"
"t43","1"
"t18","0"
"t79","0"
"t80","0"
"t97","0"
"t98","0"
"t88","0"
"t11","1"
"t10","1"
"t26","1"
"t65",NA
"t66",NA
"t81",NA
"t82",NA
"t74",NA
"t54",NA
"t45",NA
"t50",NA
"t60",NA
"t61",NA
"t29","0"
"t2","1"
"t1","1"
"t22","0"
"t63","1"
"t64","0"
"t42","1"
"t75","1"
"t36","1"
"t37","1"
"t34","1"
"t35","1"
"t19","0"
"t46","0"
"t72","0"
"t73","0"
"t55","0"
"t56","0"
"t57","0"
"t67","0"
"t68","0"
"t39","0"
"t44","0"
"t6","0"
"t62","1"
"t58","1"
"t14","1"
"t15","1"
"t25","1"
"t20","1"
"t21","0"
"t91","0"
"t92","0"
"t86","0"
"t24","1"
"t9","0"
"t5","1"
"t16","1"
"t17","1"
"t3","1"
"t4","0"
"t8","0"
"t38","1"
"t23","0"
"t7","0"
"t99","0"
"t100","0"
"t85","0"
"t49","1"
"t70","0"
"t71","1"
"t76","1"
"t77","0"
