"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89"
"t59",-0.202753352065172,-0.0167920368357005,0.0360661909989404,0.0686269099422634,-0.0194740083736312,-0.421367824745698,-0.00129354514121661,0.0683172402719786,-0.000957884494908953,0.000486838247343512,-0.000490913411280758,0.00032367416207815,-0.00024595009566135,0.000407197587708556,-0.00766569908630792,0.000386744566431036,-0.000102035224481694,0.000556555185313011,-0.000987400062510906,2.10495781787214e-05,-0.00755365508827031,1.01701497516092e-05,-8.27851415465327e-05,7.55972324231347e-07,-0.000126386233484419,2.15258185815726e-07,-2.53708303351872e-06,2.99393763731089e-05,-7.70056172977155e-06,4.57458938600174e-06,-3.51624476748017e-07,-4.01200455534309e-07,-9.4839012498102e-07,-1.27046045254467e-05,0.000275921850823511,-1.43346169113816e-05,-0.000722445635855185,1.12057723296622e-06,2.27944918642836e-15,2.38032033216824e-05,-9.08618112244865e-05,-1.03345147186849e-16,-2.13481319895629e-05,0.000225325862000671,-0.869513066460686,-6.40013602958604e-06,0.000691474694405517,1.87519475559715e-16,-3.52824863939099e-05,-8.43606086832776e-17,1.01334754310692e-05,3.56674444475746e-17,2.73622607724166e-17,9.31214602511121e-06,-1.09101247450141e-05,-9.33657977275012e-17,-1.67041448459274e-18,-2.39361147292356e-06,2.11592708567093e-06,6.87213441730678e-17,7.45581212224141e-17,2.90250458896143e-06,5.28370920683311e-06,7.50179429314497e-17,1.91523697669373e-15,-0.0521097813886269,7.04337653939882e-07,2.23425960869059e-05,3.51451896727504e-07,1.64398792581483e-16,5.99936004682629e-17,4.25056746735773e-07,-0.000123551158716278,-4.10895228554893e-17,-2.39447104431874e-15,-1.54572663852005e-17,-1.17021823646544e-16,-5.38330699840773e-17,-4.29735198916265e-17,1.00523445774975e-06,1.08266365193436e-16,5.86752715585596e-17,-8.09170521317317e-17,9.65680740069488e-17,-1.26585439420867e-17,3.78326370693361e-17,1.67579992749583e-16,-6.78794671015315e-21,-1.13586495668659e-15
"t95",-0.203709542161896,-0.017023829473767,0.0366994927926838,0.0699100831377417,-0.0199785730296564,-0.434351148648202,-0.00133880997074491,0.0716729096391775,-0.00101718629078489,0.00052439564377734,-0.000546277065154141,0.000368778560793661,-0.000286063014559656,0.000484484763296345,-0.00935547310664875,0.000486143448900786,-0.000133940563598719,0.000873228111220534,-0.00157601209624698,3.50843954616433e-05,-0.0128243562173872,1.79969077271258e-05,-0.000151221008742783,1.46573181226506e-06,-0.000249724859955165,4.4853396592106e-07,-7.01165405797753e-06,9.17243299978221e-05,-2.96736744291381e-05,1.99167308030116e-05,-3.72217804607571e-06,1.7501030500646e-05,6.39930879667721e-06,5.74870325368771e-05,-0.000851074022959329,3.98623247727885e-05,0.00173340042493606,-2.48549791790823e-06,-2.93424550055105e-16,-2.06439919050252e-05,6.25648620231802e-05,8.52077778898766e-17,1.03535723223557e-05,-9.98829756550382e-05,0.30775480979562,9.24143459997999e-07,-9.89068994524664e-05,-3.50455346669109e-16,5.42632046323844e-07,2.86962410068064e-16,1.30124119154946e-06,-1.34368028240936e-16,2.67919307446915e-16,1.88357206331242e-06,-2.57301591718874e-06,6.82822556272648e-17,8.30921269543738e-17,-7.45256862938568e-07,7.61606580185065e-07,3.77154414423423e-16,5.6976613035936e-16,1.56328737768743e-06,2.924657435059e-06,1.08675793297789e-15,1.22947854670014e-14,-0.389479057487104,-2.62174440136762e-06,-3.68950234808459e-05,-1.56427822491315e-07,1.44347093726751e-15,-1.09865407118632e-16,3.21006412260671e-08,-1.22525969442831e-05,3.66907782219653e-17,-6.83831439781426e-16,-1.97613919166487e-16,1.01610448692856e-16,-1.98376486993708e-16,3.89103444785518e-16,2.50418112630823e-07,-3.67285270000753e-16,-1.81734353556519e-16,-1.59478574223558e-16,7.2134042961368e-16,-6.37525231426827e-16,5.63360177164156e-16,-0.707106781186546,6.18998541851886e-16,-2.04373469793821e-17
"t96",-0.203709542161896,-0.0170238294737668,0.036699492792684,0.0699100831377418,-0.0199785730296565,-0.434351148648202,-0.00133880997074483,0.0716729096391778,-0.00101718629078494,0.000524395643777271,-0.000546277065153914,0.000368778560793974,-0.000286063014559658,0.000484484763296344,-0.00935547310664894,0.000486143448900825,-0.000133940563598341,0.000873228111220379,-0.00157601209624691,3.50843954619744e-05,-0.0128243562173861,1.79969077269876e-05,-0.000151221008742634,1.46573181194753e-06,-0.000249724859954631,4.48533966095753e-07,-7.01165405799702e-06,9.17243299980969e-05,-2.96736744293257e-05,1.99167308028809e-05,-3.72217804636692e-06,1.75010305005776e-05,6.39930879663918e-06,5.74870325370383e-05,-0.000851074022959259,3.98623247726901e-05,0.00173340042493668,-2.48549791792826e-06,-8.73829281386048e-16,-2.06439919047823e-05,6.2564862023683e-05,3.16511659113377e-17,1.03535723224115e-05,-9.98829756551202e-05,0.307754809795618,9.24143460153149e-07,-9.89068994522384e-05,-4.90628472179715e-16,5.42632046286271e-07,6.80283544296475e-17,1.30124119156947e-06,9.67580153668933e-17,-1.86893284369549e-16,1.88357206331826e-06,-2.5730159177781e-06,-9.25544662110607e-17,2.25235918571351e-16,-7.45256863050003e-07,7.61606580121999e-07,3.94408905842926e-16,6.0932681418106e-16,1.56328737760138e-06,2.92465743531471e-06,7.14745866706535e-16,1.25704085034804e-14,-0.389479057487104,-2.62174440182748e-06,-3.68950234810751e-05,-1.56427822401829e-07,1.56631067696279e-15,1.30505187328808e-17,3.21006407823901e-08,-1.22525969437859e-05,-3.3685912431992e-17,-5.43386851362223e-16,-2.94466357137921e-16,4.16755763636448e-16,-4.34190527546598e-17,-2.69497197231419e-16,2.50418114145753e-07,3.56605534690597e-16,3.62919774716854e-16,-2.25088795630458e-16,-3.96706235155396e-16,4.77277535128354e-16,-3.61569391997286e-16,0.70710678118655,-7.98654390110227e-16,-6.10763686438882e-16
"t52",-0.203558325739177,-0.0169872880941262,0.0365997829579659,0.0697081329240725,-0.0198993558002855,-0.43231607544521,-0.00133172469732057,0.0711500419029525,-0.00100798316619834,0.000518594099240528,-0.000537812820246481,0.000361932539224008,-0.000280012004103083,0.000472902836140047,-0.00910406492985383,0.00047147377417989,-0.000129285068617877,0.00082888401992658,-0.00149387836691956,3.31427903956881e-05,-0.0120977722913405,1.69262226763323e-05,-0.000141911868109002,1.37015331682399e-06,-0.000233166413775831,4.17473734836477e-07,-6.43728739231907e-06,8.38785701548535e-05,-2.69390226902979e-05,1.80241997815472e-05,-3.32249422528338e-06,1.54476598997934e-05,5.5851557388457e-06,4.98607399152697e-05,-0.000731923103750677,3.41849659380323e-05,0.00147990408355617,-2.11649535812505e-06,-1.05907568881071e-15,-1.67912143939415e-05,5.00884785390354e-05,5.06452683987926e-18,8.06623573200783e-06,-7.72353556944926e-05,0.233398065474246,6.48524261461174e-07,-6.93566188427713e-05,6.29636326927529e-16,3.44398117840343e-07,-2.49281069272283e-16,6.2674863096528e-07,9.83349209099218e-17,-5.08823474124281e-17,6.3093308557572e-07,-6.32987099556237e-07,8.00708131887858e-17,-1.94718453740457e-16,-1.10614058991071e-09,-1.29654873527946e-07,-8.3381954854637e-16,-1.12501664930628e-15,-1.10764073031554e-06,-2.17580789584334e-06,-1.99397947004084e-15,-2.62789633576114e-14,0.833004426895867,6.57795155056459e-06,0.000104190071343048,6.87767237516462e-07,-3.37126244906837e-15,1.62038911078857e-16,3.63116674962804e-07,-0.000100266238950248,1.25043212631293e-18,-1.04004203971952e-15,4.12088405653127e-16,-3.8111508664601e-16,2.10066708846315e-16,-2.64896118799176e-16,6.0872080919212e-07,-6.32781110231777e-17,-1.35634040317948e-16,3.28758038580739e-16,-1.71824217406972e-16,1.46688698314962e-16,-6.67070904100453e-17,1.38194361972592e-15,1.16860584179499e-17,-1.22166172985954e-15
"t56",-0.218075831737582,-0.0251407654773429,0.0779593455591949,0.180617702244692,0.0310141242854705,0.142708307373665,6.87074710286153e-05,0.014605687907187,-0.000244863275630309,0.000119418384534181,-6.45039529291794e-05,1.5093337922437e-06,3.2334366545992e-05,-0.000126251547585372,0.00422116000025172,-0.00034648921817678,0.000160738168424202,-0.00696733821359934,0.0162813611802655,-0.000973620267545892,0.91032621163682,0.00062745314172266,-0.00267521924028919,1.46395261416044e-05,-0.00222857638612532,3.16439322093313e-06,-2.92233572356925e-05,0.20243086961434,-9.63360257287121e-05,6.17467005807748e-05,-9.79384316698604e-06,4.17109121177647e-05,1.42214682929435e-05,0.000125632118978209,-0.00198836183534085,0.000104583266227967,0.102014284419507,-3.42511236141295e-07,-9.90309807628915e-16,-2.06751702280211e-05,5.11159637427716e-05,5.21991060303257e-17,4.68374410930974e-06,-3.39300867548263e-05,0.00487819350384433,-2.02359917771375e-06,0.000219996355883968,5.20598673060779e-17,-1.74747416276958e-05,-7.75074552630287e-17,6.74441285255924e-06,-5.05176190084287e-17,2.86649618963907e-17,6.82585791800892e-06,-8.2609096471628e-06,-2.73491643040266e-17,-2.05600940663735e-17,-1.90284023611148e-06,1.71069175860575e-06,-2.3999824519084e-18,1.61626034732927e-17,2.37926110327689e-06,4.32892161339849e-06,-2.06888300514033e-17,3.40327835314706e-16,-0.000393455892801343,9.64972998711754e-07,2.5049164732935e-05,3.45330769575095e-07,-9.34461843660524e-17,8.18615690115983e-17,4.03814138321837e-07,-0.00251896095123556,-6.98706597400871e-17,-1.99076479975965e-15,-2.82246420266708e-17,-7.69967881443553e-17,-5.29041981738524e-17,-3.95104582803907e-17,9.78447287296766e-07,-1.36239137178573e-17,4.51808771155651e-17,-7.4729586861273e-17,1.28069576338971e-16,-2.29024212881316e-17,3.69311937433625e-17,1.21711992379771e-15,-3.93694174477378e-17,-5.23717444386839e-16
"t43",-0.22468463520961,-0.0275302474917357,0.0876720463823658,0.204802477335823,0.0371299636367712,0.177667485262253,8.85783858781573e-05,0.0214505380747949,-0.000413033835610921,0.000246228661995558,-0.000294289775200256,0.000208884011855049,-0.000167308798945987,0.000291751905761961,-0.00580027746471821,0.000311358875041963,-9.02178023600423e-05,0.000933745902079387,-0.00189809605824729,7.73295766315311e-05,-0.0600856750990045,-2.50207900964603e-05,6.12860901343055e-05,5.12176611291413e-08,-2.37689432539207e-05,8.94477538874516e-08,-1.84777512264091e-06,-0.521006869055881,-1.65469583548627e-05,1.09208287971288e-05,-2.18383444662254e-06,1.16109234157003e-05,5.27849774043069e-06,5.84550326537727e-05,-0.00154334277476779,0.000109404965770424,0.281910131128255,1.00416054861309e-05,-2.01194761005531e-15,-3.9410985026202e-07,3.04429343047642e-06,-7.51222941585454e-17,4.60738925853177e-07,-3.58555343931021e-06,0.000589343865922687,-3.12844497155564e-07,3.40581933400548e-05,3.4261221160315e-16,-3.05627523123603e-06,7.63623312815656e-16,1.32846621940537e-06,-3.53094399661223e-17,5.37835050835007e-16,1.41444659988819e-06,-1.74538162435442e-06,-3.0048414050924e-17,-3.58469580059203e-16,-4.15699104498992e-07,3.79124688242125e-07,-1.73408127591192e-15,-1.16951621218665e-15,5.40828830470044e-07,9.85086183889865e-07,4.36560204656815e-17,-0.707106781186547,-9.16584525173124e-05,2.25504280288869e-07,5.86669968233315e-06,8.1478075466429e-08,-1.24019814276409e-15,-7.065875602264e-16,1.01191976529307e-07,-0.00629383112343515,-1.11551588750459e-15,-1.01273654876354e-15,2.74563021514237e-16,1.21812644121979e-16,-2.86629423342401e-16,-1.38736948281768e-17,2.44520874290089e-07,6.34564709756328e-17,-4.61429747405809e-16,-3.8071278711627e-16,7.41852070063433e-16,-2.78425257075312e-16,2.37758305463545e-17,1.74720647108002e-15,1.64432581547798e-16,-1.32169695936492e-15
"t44",-0.22468463520961,-0.0275302474917356,0.0876720463823658,0.204802477335823,0.0371299636367713,0.177667485262253,8.85783858781842e-05,0.0214505380747953,-0.000413033835610747,0.000246228661995616,-0.000294289775200214,0.000208884011854931,-0.000167308798946133,0.000291751905762064,-0.0058002774647179,0.000311358875041988,-9.02178023598746e-05,0.000933745902079439,-0.00189809605824729,7.73295766316035e-05,-0.0600856750990047,-2.50207900965724e-05,6.12860901342794e-05,5.12176610235531e-08,-2.37689432539782e-05,8.94477539349431e-08,-1.84777512267692e-06,-0.521006869055882,-1.65469583548595e-05,1.09208287969464e-05,-2.18383444696942e-06,1.16109234156684e-05,5.27849774060167e-06,5.84550326539651e-05,-0.00154334277476799,0.000109404965770508,0.281910131128256,1.00416054862516e-05,-2.70800304036987e-15,-3.94109850123057e-07,3.04429343140788e-06,-1.05670667814311e-16,4.60738925810025e-07,-3.58555343939975e-06,0.000589343865922728,-3.12844497326003e-07,3.40581933402815e-05,9.72097952429321e-18,-3.05627523086747e-06,-8.22091799562611e-16,1.32846621959108e-06,2.01313563214342e-16,-4.78966744366067e-16,1.41444660194318e-06,-1.74538162793195e-06,3.71663182003769e-16,4.18948591904071e-16,-4.15699103470431e-07,3.79124689212378e-07,1.64941169130296e-15,1.26121779606151e-15,5.40828830819299e-07,9.85086174890041e-07,-1.47154280709429e-16,0.707106781186547,-9.16584524720395e-05,2.25504276520548e-07,5.86669968752343e-06,8.14780762379315e-08,1.14925232262402e-15,8.90900854732844e-16,1.01191973992103e-07,-0.00629383112343249,1.06446171469633e-15,-1.33009111393905e-16,-2.37986908742336e-16,-4.31762575759645e-16,2.21585418249541e-16,-8.20416888711855e-17,2.44520874695512e-07,-2.49021803120796e-17,4.21715442304522e-16,2.24485333094003e-16,-4.33022527373015e-16,2.58958076183418e-16,-1.74225358374267e-16,9.86414724477903e-16,-1.66493628824898e-16,-2.10202323575522e-16
"t99",-0.225785888962388,-0.0279290103853868,0.0892939209333427,0.208841719658057,0.0381526052411537,0.183517727559589,9.19059326127507e-05,0.0225993722578985,-0.000441317129798932,0.000267607368651751,-0.000333244237647592,0.000244181602581293,-0.000201410952833218,0.000363432565569415,-0.00752630619004591,0.000425236599556358,-0.000133980302224622,0.00235068380484864,-0.00516599602893947,0.000267294770116055,-0.235869939893689,-0.000143716351129342,0.000560406347222028,-2.61738383716046e-06,0.000379645332089566,-4.72172123392665e-07,1.76886179333092e-06,0.357886832137812,6.22964702206122e-06,-3.10221388730697e-06,5.89620089430526e-08,1.07757035044116e-06,9.2137549082363e-07,1.22451270941909e-05,-0.000383974390793873,2.8465351733778e-05,0.0780298019749287,2.86958326614496e-06,-3.99923524288622e-16,-1.53935535276736e-07,1.25735650605918e-06,3.39632606661928e-17,2.04128652045294e-07,-1.61320976445186e-06,0.000274420657311199,-1.59315678410403e-07,1.73550331993396e-05,4.9952737512648e-17,-1.65920149195887e-06,-5.84403848108924e-16,7.84826517884683e-07,-1.80075480486264e-17,2.28380672800339e-16,8.79288343128213e-07,-1.11194874084364e-06,3.46347846234036e-16,2.91055292833773e-16,-2.79663045858464e-07,2.63193167346089e-07,8.3317651806982e-17,-4.74797701863326e-17,4.06239674373606e-07,7.43248361698168e-07,-4.1843320166528e-17,4.88407688685936e-16,-7.91769059003827e-05,2.00099394157659e-07,5.31520098278713e-06,8.02056863722333e-08,-2.41757251215073e-16,5.85276774326933e-16,3.60207547552745e-07,-0.399999368650105,-1.58935014325365e-15,1.5911202297411e-15,8.94785015114791e-17,2.63267337796505e-16,-3.98467004151654e-16,-3.2773022805734e-16,8.9960045142131e-08,-2.94162432850381e-16,-8.9469002409369e-17,-3.78989730415606e-16,5.61604879179245e-16,-6.24249805032911e-16,1.36768807853042e-16,1.62346912793339e-15,4.99680793084939e-16,0.707106781186546
"t100",-0.225785888962388,-0.0279290103853868,0.0892939209333429,0.208841719658057,0.0381526052411534,0.18351772755959,9.19059326127984e-05,0.0225993722578985,-0.000441317129798897,0.000267607368651675,-0.000333244237647565,0.000244181602581252,-0.000201410952832996,0.000363432565569421,-0.00752630619004602,0.000425236599556351,-0.000133980302224618,0.00235068380484903,-0.00516599602893938,0.000267294770116171,-0.235869939893689,-0.000143716351129342,0.000560406347222029,-2.61738383721073e-06,0.00037964533208948,-4.72172123405328e-07,1.76886179322194e-06,0.357886832137812,6.22964702217408e-06,-3.10221388732566e-06,5.89620089355632e-08,1.07757035034548e-06,9.21375490685958e-07,1.22451270942933e-05,-0.000383974390793907,2.84653517337144e-05,0.078029801974929,2.86958326622043e-06,-3.18613147568602e-16,-1.53935535355893e-07,1.25735650636666e-06,-3.14658627730752e-17,2.04128652035716e-07,-1.61320976426608e-06,0.000274420657311907,-1.5931567840213e-07,1.73550331992833e-05,1.10143300023101e-16,-1.65920149192275e-06,7.24627510825657e-16,7.84826518025621e-07,-8.69980917732131e-17,-1.04033088248777e-16,8.79288343071616e-07,-1.11194874083682e-06,-1.53037016104061e-16,5.89741893596962e-16,-2.79663046044289e-07,2.63193167299241e-07,-2.19179400055701e-17,2.73049065649475e-17,4.06239674395831e-07,7.43248362011896e-07,2.24675140483941e-16,1.2831347830427e-15,-7.91769059014791e-05,2.0009939410781e-07,5.31520098259186e-06,8.02056864705685e-08,6.13187821136843e-17,3.14854587442892e-16,3.60207547665543e-07,-0.399999368650104,-2.14587911653295e-15,1.74439088918664e-15,3.03236077915986e-16,3.29485822020847e-16,4.51128565973036e-16,3.22477186083843e-16,8.99600450480696e-08,2.66964224644084e-16,2.00479499278968e-16,-1.12461667374937e-16,-2.8325722586939e-16,5.94173412525055e-16,1.46579232225405e-16,9.74080207437777e-16,-4.88704317660879e-16,-0.707106781186548
"t63",-0.225671409585047,-0.0278880838271352,0.0891283316890028,0.208429975878769,0.0380493967397909,0.182931265391478,9.15742606230618e-05,0.0224870292007366,-0.000438598039381233,0.000265592695488315,-0.000329736187196561,0.000241105269767034,-0.000198522318620727,0.00035754767950924,-0.00738945571543881,0.000416564525482522,-0.00013083821532471,0.00227060043485572,-0.00498546570289593,0.000257387056943036,-0.226923382717287,-0.000137998063505038,0.000537350657326093,-2.50346663137981e-06,0.000362850204460956,-4.503797129105e-07,1.67271879008722e-06,0.337600748173601,5.8500816309584e-06,-2.90751965125499e-06,5.47983790568825e-08,9.9471412698478e-07,8.44816896961714e-07,1.11861803593564e-05,-0.000349020235106033,2.58314236457103e-05,0.0706258105757062,2.59337559983281e-06,-2.57826766868145e-16,-1.35550820803802e-07,1.0975944308164e-06,2.95537601359845e-17,1.756016917675e-07,-1.38227650081256e-06,0.000232768278993263,-1.30019097151466e-07,1.41585372951634e-05,1.07675478625279e-16,-1.29349224583088e-06,-6.60066960225912e-17,5.50838626899966e-07,8.85370326738481e-17,-2.74551637023182e-17,5.573578632157e-07,-6.62065187878168e-07,-2.71682428136848e-16,-7.6587378899905e-16,-1.39569090574984e-07,1.15427645457279e-07,-7.87689040292505e-17,2.62762654096399e-17,1.13368652206164e-07,2.00610441710437e-07,-2.43210982342896e-16,-1.45665042673048e-15,2.59386970291597e-07,-1.10797702357211e-08,-5.05353074040378e-07,-1.98474266824939e-08,1.61048466302815e-16,-8.65348192793005e-16,-5.67021536467549e-07,0.824522157383492,3.9051494870857e-15,-4.46399027370872e-15,-5.52829876250994e-16,-5.85007333020764e-16,-1.21373887734174e-16,-1.42134135300328e-16,2.72606599495898e-07,6.87877833439029e-17,3.01843350065438e-17,3.75588748140128e-16,-8.73460790722786e-17,-3.75522945151607e-17,-3.64797264745369e-17,8.10083264799019e-16,-1.31192618774493e-16,-3.86544223666091e-16
