"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89"
"t3",-0.0423851110873655,-0.0327586914329841,-0.00693212235967792,-0.00417989459326785,-0.0179618701822688,-0.025930609451719,0.0212850644716754,-0.0919736469981038,0.0628688688554279,-0.0152758429609182,0.00776967724347034,-0.193607028470145,0.000804051231882932,0.0148834934329481,-0.0582736940243114,0.244129554550536,-0.0577586660372255,0.0120079051238459,-0.0554277825549798,0.0351750563188286,-0.00110909670115996,0.835180112711494,-0.0172469796082861,0.401012163957706,-0.00201643724592409,0.00248846994431881,-0.0243147114943214,-0.000878916877289291,0.0563471736815431,-0.00762094629121648,0.0246700068078879,-0.000618966270026737,-0.00871814903366811,0.00182879774185228,0.00927498068614185,-0.00405512357269183,-0.000433655186130441,-8.36786415364091e-06,0.00011596198461257,0.000563424498001402,3.58480591743794e-16,-0.00145771880978542,-0.00018704120561897,9.83398606162395e-05,0.000165154650427291,-0.00161164178223367,-0.000856026926824919,0.000633032583887516,5.58943651220115e-17,0.00379740975368935,-2.3738048883982e-13,-0.00503498141746363,2.41489152173582e-05,1.49070513719452e-17,1.05694946580338e-06,0.00133949796189338,-0.000104632229308047,-5.92753172691523e-18,-7.96766305621173e-17,0.000373458359011335,2.3307359565004e-17,6.84817041849151e-17,-8.55924535642193e-18,2.22801363535231e-17,-2.95647104596606e-17,4.95453098484717e-17,-0.000100155901613581,-8.05574720763034e-17,3.98958693193849e-05,3.81171708581497e-17,-0.000168080437672116,3.46863732855501e-17,-4.9527673259223e-17,-1.38323891261061e-14,-6.61966324062437e-17,-3.8043342248885e-17,9.36293202932686e-18,2.52734685131838e-17,5.67357076956267e-05,-1.03226464139726e-17,1.15882900749359e-17,1.39004401854807e-16,1.7160984729106e-14,2.23049597555894e-17,-2.64182274514597e-17,-1.56899436657352e-16,3.35439574250463e-17,8.0384006528803e-17,7.10839450991999e-18
"t63",-0.049212739371874,-0.0498204279859612,-0.00849501354679624,-0.0120378745474125,-0.0844349095864283,-0.00485204180355886,0.00754721031383864,-0.0724643078352655,0.0461042989200258,-0.0137364041918266,0.00634717436040642,-0.175643725939457,0.0015783566687285,0.0122967468443688,-0.083560952762338,0.497119289710099,-0.15835249732893,-0.036989393406853,0.0346723580891233,-0.0258203532262726,0.000431210571522238,-0.00415438665534074,0.250005969475422,-0.428432389026222,-0.000240203979579297,-0.00113257879907864,0.637006319186911,-0.000357907418204918,0.0211807299503679,-0.00309525920894886,0.016525178726691,-0.000255092502174042,-0.00590794859485653,0.00097346193361432,0.0534086778304825,-0.00237800379830675,-0.000179672359483121,-3.68826421789244e-06,5.21161801446118e-05,0.000384117528149631,-4.3807610636185e-16,-0.000669084714094608,-8.88048293404751e-05,6.91547490510676e-05,7.96966237875865e-05,-0.00114959619453288,-0.000426685414890436,0.000317922810088301,-2.8424281456422e-18,0.00273752590889818,-1.20027411688787e-13,-0.00363991204822006,1.224807169426e-05,-3.72853876238138e-17,7.72542517621778e-07,0.00483358442774145,-5.31812447403311e-05,-1.3299327126406e-16,-1.12790969945421e-16,0.000273743131061305,-2.34809184167091e-17,2.12542951030592e-16,-3.10537089662499e-17,-1.36197742403611e-17,1.53392796815098e-16,-6.87642175570375e-16,-7.44139218592857e-05,6.97984996566853e-17,2.13408178450405e-05,1.97446528546474e-16,-0.000561718410092329,7.20448626026351e-17,-5.0895838116071e-17,-7.64664291779237e-15,2.51357041280619e-17,8.7968343979915e-17,1.06710390518722e-16,2.27803746228543e-17,0.000182038638045964,4.99042408188035e-17,8.90060263467429e-17,3.37475329549774e-16,9.27994002949627e-15,-1.12118658798634e-16,6.62665705540079e-17,-9.27809790727289e-17,1.83870299497425e-16,8.36758179860838e-17,2.62951044745149e-17
"t8",-0.0573171500470921,-0.0690391617140167,-0.0185632764721947,-0.0274475848733958,-0.230347549041769,0.0304612939777636,-0.015695620007333,0.00370067997652048,0.00523078709216683,-0.00216797591914052,0.00102317996310451,-0.0333154248952754,0.000386872625173489,0.00382242784973212,-0.0285540159607419,0.200590625492848,-0.0668219246491218,-0.0195535542559002,0.0258010226841317,-0.0212754907650154,0.000389592818364489,-0.167805203628895,-0.108389388117201,0.17065701417514,4.7363022446672e-06,4.6519221129696e-05,-0.0168175376897519,-1.37262129874983e-06,0.00021952828448971,0.00018884669310568,-0.00212177650462006,5.31980311894682e-05,0.00145635599895885,-0.00334440079151389,-0.896451591160774,-0.00747601793053607,-0.000229388934255234,-2.48815938447926e-06,3.03340734723367e-05,0.000215760502443325,-3.28841235830973e-16,-0.000344936814089235,-4.03755706003543e-05,3.07408243701081e-05,3.48933078163045e-05,-0.00048763847011527,-0.000179221528304255,0.000133170638134151,-2.76898480902905e-16,0.00114568622263158,-5.0080463520944e-14,-0.00152453242345949,5.17446016349591e-06,1.15379134763024e-16,3.47978339061119e-07,0.0653482405898584,-9.52031846944931e-06,1.30195644863457e-16,2.26915545715926e-16,0.000102085495088083,-1.6213720493693e-16,1.26314620611425e-16,-4.83807644840309e-17,-1.65689472232798e-16,2.06192852024296e-16,-2.24210934095927e-15,-2.92679133651806e-05,-1.24730531935837e-17,8.43417016950641e-06,-1.6485257352289e-17,-0.00513446063598265,9.55285062937611e-17,-1.52348393101693e-16,-3.15616598227932e-15,-5.34088560110488e-17,-2.88038458649513e-16,-5.68938526877856e-17,1.42458755589841e-16,0.00140097494590767,2.60891122266932e-17,1.13410029618024e-16,3.27631897492717e-16,3.94429583187188e-15,1.16335709954905e-16,2.62491761429188e-17,-9.69358069352555e-17,2.0042321522185e-16,-4.6589264147687e-17,-1.14172137422949e-16
"t41",-0.0600423030184318,-0.0754666888766414,-0.0219009890688311,-0.0325531416254142,-0.278591652516252,0.0419951977191618,-0.0232442934818839,0.027324712102318,-0.00698101412105367,0.00122096896428552,-0.000533659879158712,0.00758332268638695,6.10405579870968e-05,0.00171953723229752,-0.0157313572283043,0.141775364042008,-0.0497250097776201,-0.0177068075436913,0.0279615921338698,-0.0239379187382832,0.000451484069666284,-0.250353456089332,-0.237784423940192,0.384963230435045,0.000132649797458339,-0.000474217922209352,0.137994796830781,4.76101970171215e-06,-0.000419342745234735,-0.000152453631445977,0.00138814021671375,-3.01541984064442e-05,-0.000786435120020221,0.00112900463480888,0.285696229911348,0.0021293199814235,5.42085184948502e-05,3.50255102968142e-07,-2.96907121122522e-06,-1.83575722022459e-05,1.48415328680599e-15,1.66853312043405e-05,-1.2884343811944e-06,1.63339775914384e-06,2.43836237065927e-06,-5.75129613946632e-05,-2.58611282790017e-05,2.10317874872457e-05,1.07029081578332e-15,0.000192388157551836,-9.21773192123044e-15,-0.000279419218623715,1.0901197405882e-06,1.30819559809944e-15,9.92456012586938e-08,0.0682848172224392,8.29653907603988e-06,3.67798274086082e-16,-1.79158465095441e-15,1.60216552445789e-05,2.20161196743433e-15,-5.24491743803027e-15,7.13393691321857e-15,2.08031887476094e-16,-3.06671665095735e-14,-0.707106781186545,-7.35538812098112e-06,4.10560689975226e-16,2.2344402290693e-06,1.33365240741689e-15,-0.00560864676880728,1.89447756250249e-16,-1.3963153524466e-15,-9.42091341518555e-16,-4.89305200151279e-16,-6.56868887206422e-16,6.51804096185308e-16,2.62228821770743e-16,0.00155781084667758,1.42640637090151e-16,2.56847258959256e-16,-4.27717806857478e-16,1.51391354104158e-15,-7.24411047918375e-16,-1.86056445770698e-16,-1.18866399836576e-16,5.45818531131817e-16,-7.8549842017746e-17,4.75122515829564e-17
"t42",-0.0600423030184317,-0.0754666888766414,-0.0219009890688308,-0.0325531416254143,-0.278591652516251,0.0419951977191617,-0.0232442934818839,0.0273247121023178,-0.00698101412105295,0.0012209689642852,-0.000533659879158661,0.00758332268638623,6.10405579872355e-05,0.00171953723229743,-0.015731357228304,0.141775364042008,-0.0497250097776197,-0.0177068075436912,0.0279615921338697,-0.0239379187382828,0.000451484069666275,-0.250353456089331,-0.237784423940191,0.384963230435043,0.00013264979745855,-0.000474217922208789,0.137994796830781,4.76101970157234e-06,-0.000419342745234544,-0.000152453631445672,0.0013881402167141,-3.01541984065063e-05,-0.000786435120019986,0.00112900463480872,0.285696229911343,0.00212931998142399,5.42085184949671e-05,3.50255103034744e-07,-2.96907121145381e-06,-1.83575722018866e-05,-3.55957996676362e-16,1.66853312038497e-05,-1.28843438149492e-06,1.6333977586029e-06,2.43836237003162e-06,-5.75129613954596e-05,-2.58611282779657e-05,2.10317874874215e-05,-4.18344740871414e-16,0.000192388157551918,-8.70258251599758e-15,-0.000279419218621401,1.09011974086203e-06,-1.54944043929332e-15,9.92456035032097e-08,0.0682848172224373,8.29653907546126e-06,-1.09565781243456e-15,2.06364636089159e-15,1.6021655242915e-05,-2.12326829779554e-15,5.14627839321899e-15,-7.21173239041913e-15,2.46792276176115e-16,3.03669718952048e-14,0.707106781186549,-7.35538815279108e-06,-4.48693997617665e-16,2.23444023409197e-06,-1.46828097777868e-15,-0.0056086467688021,-2.33633866221049e-16,1.36030780419852e-15,-7.37873610512994e-16,4.05255018737106e-16,5.57545615224123e-16,-6.05639957175138e-16,-2.72894420483946e-16,0.00155781084667747,-2.37359666606385e-16,-2.50643856366729e-16,4.93774069662554e-16,1.24645820729696e-15,6.98601389906315e-16,1.92489836641652e-16,-1.78840838345975e-16,-8.10359987125726e-17,5.63115618457045e-16,8.62116042898782e-18
"t61",-0.0622580888779871,-0.0808002981778334,-0.0247639533988701,-0.0369418312412553,-0.320385530097772,0.0524579779176961,-0.0302393283122454,0.0533608802297052,-0.0224761325900412,0.00585024686563377,-0.00267469085905134,0.067614525360223,-0.000512797424901587,-0.00348360500614032,0.0231094318864401,-0.139830109303726,0.045267482684466,0.012071881255454,-0.0150781513994784,0.0123422895133524,-0.000224931530754982,0.0963436331515992,0.0685626510741757,-0.109149921932314,-2.18413019706471e-05,6.53020829601105e-05,-0.0184051697643675,-5.0636505470299e-07,3.19230194385511e-05,2.88522824517471e-06,-6.20007836439271e-06,-1.52745153156851e-07,-6.4497001990866e-06,3.99883305914307e-05,0.0109395327709787,9.27898548787219e-05,2.78715440497868e-06,2.35904631520338e-08,-2.20606587848034e-07,-1.40021779556233e-06,1.83580640764864e-16,1.35929303953885e-06,-1.12590419911368e-07,1.41043979373783e-07,2.05116916202199e-07,-3.78474100238549e-06,-1.0900977646599e-06,4.90923645668972e-07,1.10839915711547e-16,1.09453061459836e-06,3.54011254416133e-17,8.17448675984999e-06,-1.2921184722303e-07,1.03105074069882e-16,-4.47251628968745e-08,-0.10220613695609,-2.01426281881628e-05,1.48397658897193e-16,-3.48241284048411e-16,1.76008578814399e-05,5.2941822878831e-16,-2.79868278167187e-16,7.17180593568149e-16,-3.72744235852864e-16,-3.36373832801843e-15,-3.42370573718037e-15,-1.09431520885873e-07,2.57101179823474e-15,-1.80624252815218e-06,-6.02596351007483e-15,0.887110305462768,1.53134130136209e-15,7.01393983160898e-16,-1.15753420378378e-16,-1.9144334067709e-16,3.33142104512887e-17,4.01503401218476e-16,3.66615904168635e-16,0.125650273845083,-3.1828552227988e-16,-2.05166638852787e-16,3.11823039014549e-16,6.02258930289778e-16,2.40095973081026e-16,-3.35102373574208e-17,-1.30383925464186e-16,-9.08821756723062e-17,3.87118353071522e-17,8.46746851470696e-17
"t79",-0.0626198553692309,-0.0816601779673662,-0.0252163507488413,-0.0376344400307043,-0.326950957054271,0.054058344842577,-0.0312965623486205,0.0569604080773459,-0.0244881614996972,0.00643375315001133,-0.00294385538924013,0.0749791200012727,-0.000579024728881239,-0.00403265749391773,0.0270427628928313,-0.166462075342793,0.054104265932512,0.0146595386869477,-0.0185785609529436,0.0152523368145505,-0.000278600349310721,0.12149533233457,0.0883329630190722,-0.140803326497424,-2.93732332940035e-05,8.89999190488554e-05,-0.0251430126773046,-7.029314185651e-07,4.52863291743044e-05,4.33833193778585e-06,-9.51542599897381e-06,-2.38075436008629e-07,-1.01082133189753e-05,6.65193987135241e-05,0.0183431645502016,0.000158075615167504,4.87819622073458e-06,4.45328830750125e-08,-4.37580168583906e-07,-2.82665255933235e-06,-1.27612755236338e-17,2.91433221566396e-06,-3.00393061885185e-07,4.13939604516857e-07,6.62440939903691e-07,-1.96452778968024e-05,-1.03196649980366e-05,9.20925762996081e-06,5.43735377136792e-16,9.07493527398523e-05,-4.5334530057776e-15,-0.000149373255518009,7.46335889490981e-07,-2.0983469730762e-16,1.20655380852466e-07,0.196082577580132,3.60556695137395e-05,-6.85795936625646e-16,5.01272545421918e-17,-2.01378087983579e-05,5.18629881581089e-19,1.1438891480123e-16,-6.31141917319155e-17,-1.46381656201446e-16,-3.38840119618251e-16,3.45517817704555e-16,2.71560458860837e-08,-4.09285892790748e-16,2.61031899683161e-07,5.38733107947908e-16,-0.0833042867891459,-5.59399149509721e-17,1.00176241345687e-15,3.6107069086396e-16,1.57653818167307e-15,2.78571304798391e-15,-4.64104660182206e-15,-2.32768634577982e-15,-0.857326406413684,1.53667600663911e-15,1.06613502191534e-15,1.68802013876464e-15,-9.75984707978596e-17,-2.00795084462872e-16,1.14759327380198e-16,1.29120841594127e-16,-3.62739378571676e-16,1.82874559013258e-15,-1.53677836498987e-16
"t95",-0.0627568932367902,-0.0819854630414024,-0.0253871312179998,-0.0378958665372452,-0.329427922840439,0.0546605173726182,-0.0316939083971526,0.058302403025128,-0.0252344995030498,0.00664971031907345,-0.00304345451683264,0.0776993957176283,-0.000603384788832115,-0.00423349164929224,0.0284781376019769,-0.17614552492171,0.0573146808766867,0.015596587804802,-0.0198424654304395,0.0163024702015284,-0.000297958886571863,0.130536301690989,0.0954112292721055,-0.152133388541281,-3.20494190328754e-05,9.74010314572522e-05,-0.0275307082052921,-7.72404342188433e-07,4.99929515984515e-05,4.84563702741331e-06,-1.06695000701637e-05,-2.67715175789008e-07,-1.13780531756508e-05,7.56566565424423e-05,0.0208904332765731,0.000180493991262264,5.59393141768639e-06,5.16412767139648e-08,-5.1085560463435e-07,-3.30755614507718e-06,3.8884186720028e-16,3.43567156354564e-06,-3.62290227152052e-07,5.03333469053049e-07,8.11429580839193e-07,-2.47109257657521e-05,-1.32264976496297e-05,1.1932837997095e-05,3.97963320716537e-16,0.000118582183893639,-5.9550230161357e-15,-0.000197801141199477,1.01097045349787e-06,-7.20120928301676e-17,1.6934370523216e-07,0.282270246592182,5.22208402929821e-05,-8.49779198163479e-16,4.21718525966252e-16,-3.06132244933053e-05,-1.9601388739114e-16,1.05845349735603e-16,-3.01799924109731e-16,1.26904784973977e-16,1.13570339829666e-15,1.77664643089257e-15,5.71666100778151e-08,-8.56679540597724e-16,6.61087633788138e-07,2.0440473340635e-15,-0.250847358874614,-5.93283423289159e-17,-8.66449035821884e-16,-2.87187953847313e-16,-8.41266102274886e-16,-1.75620942578252e-15,1.42823287968684e-15,1.00397487971765e-15,0.352674482547951,-5.5057557086553e-16,-3.0868291656997e-16,-6.01733746975437e-16,7.583639725425e-16,7.96293876174032e-16,2.76127166198787e-16,-1.46997231312504e-16,1.51829047789087e-15,-0.707106781186548,4.77042754475302e-16
"t96",-0.0627568932367902,-0.0819854630414024,-0.0253871312179993,-0.0378958665372452,-0.329427922840439,0.0546605173726183,-0.0316939083971522,0.0583024030251279,-0.0252344995030498,0.00664971031907324,-0.00304345451683269,0.0776993957176281,-0.000603384788832344,-0.00423349164929232,0.028478137601977,-0.17614552492171,0.0573146808766866,0.0155965878048021,-0.0198424654304398,0.0163024702015284,-0.000297958886571698,0.130536301690989,0.0954112292721059,-0.152133388541281,-3.20494190327739e-05,9.74010314570319e-05,-0.0275307082052924,-7.7240434203903e-07,4.99929515981046e-05,4.84563702728147e-06,-1.06695000699764e-05,-2.6771517572504e-07,-1.13780531757687e-05,7.56566565427979e-05,0.0208904332765727,0.000180493991262166,5.59393141811963e-06,5.16412768179466e-08,-5.10855604506522e-07,-3.30755614486207e-06,-4.95942985153685e-16,3.43567156350921e-06,-3.62290227120176e-07,5.03333469030281e-07,8.11429580811112e-07,-2.47109257657582e-05,-1.32264976494909e-05,1.19328379976002e-05,4.62804291194462e-16,0.00011858218389299,-5.81775921678524e-15,-0.000197801141199112,1.01097045313077e-06,6.40598599107862e-17,1.69343705235301e-07,0.282270246592182,5.22208402930003e-05,-1.09456953661049e-15,1.43078846838574e-16,-3.06132244930965e-05,-3.5315422522898e-16,-3.99095674813273e-16,-1.6970876971534e-16,5.27149252415566e-16,1.6199014905677e-15,4.32441824289678e-16,5.7166610356184e-08,-6.9153251207564e-16,6.61087634057725e-07,2.27460897342534e-15,-0.250847358874614,-1.01104237223411e-15,-1.59198425008762e-16,-3.47933195662262e-16,-6.66879364390726e-16,-7.97023739455392e-16,2.69802446875504e-15,1.14830566616116e-15,0.352674482547955,-6.37839069872894e-16,-4.75099375146614e-16,-5.86252265143743e-16,-1.24549462242336e-16,-7.58614844870523e-16,-5.37512632554031e-16,1.31526357097097e-16,-1.01250908712778e-15,0.707106781186546,-3.36354903450734e-16
"t46",-0.0615874593264984,-0.0792048382135539,-0.0239233654689449,-0.0356547986436682,-0.308181483552481,0.0494777281278564,-0.028268938184175,0.0466142545813147,-0.0186910912343698,0.00475073065968367,-0.00216742427076401,0.0537168843308389,-0.000387426097965804,-0.00243977982604083,0.0156179421788628,-0.0889608328361564,0.0283773501499313,0.00711305575204512,-0.00835433734307196,0.00674983506821514,-0.000121754359913412,0.0478513573451637,0.0303175018418931,-0.0479051056322808,-7.17524070815902e-06,1.90662512711201e-05,-0.00525470417115664,-1.21814278560874e-07,5.69776957740076e-06,1.02454354791726e-08,3.77540006951671e-07,1.68979780138141e-08,8.28977723181523e-07,-1.32004509991821e-05,-0.00391779806836479,-3.84793770705737e-05,-1.43103009673379e-06,-1.9026774671172e-08,2.23323891463062e-07,1.52373447511421e-06,-3.57932025036667e-16,-1.84800340026665e-06,2.82494005767169e-07,-4.3735026300333e-07,-7.70835678334672e-07,3.09615307535274e-05,1.95369828188321e-05,-1.92326148464265e-05,-1.63840389529077e-15,-0.000203712356522327,1.07035665009736e-14,0.00037385617672997,-2.22099464230568e-06,1.84262716028654e-16,-4.60155326703611e-07,-0.88206826542374,-0.000168575906298725,3.22651475825232e-15,-1.05933383327862e-15,0.000126709184003949,8.36221387542178e-18,5.37541568624525e-16,-2.76106877746907e-16,-4.66959214523741e-16,8.42504023383485e-16,-1.26233656898829e-16,-1.46510232710722e-05,-6.58924126635392e-16,4.50722977643117e-06,1.24480051311571e-15,-0.28311877354231,-2.2397967765519e-16,-7.71088766032466e-16,-1.56348476041556e-15,-1.44446717602574e-16,-1.00427621067674e-16,1.72244598403171e-16,1.09228787226982e-16,0.0209261391846735,4.70528447734173e-17,1.5788546824316e-17,-3.33230490638921e-16,1.13198387973996e-15,-2.34508085605919e-17,3.36127056697064e-17,-1.73719972885771e-16,3.40462914970264e-16,-2.6313463678798e-16,-8.74517595740484e-18
