"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89"
"t7",-0.109725331235626,0.0621530533724385,-0.00542321661566586,-0.00705409508519428,-3.62977741817543e-05,0.00919680419983268,-0.00260558964064971,0.00238126932917407,-0.119277700619876,0.796096465472915,-0.0105677122264418,0.0172854100683735,-0.504058988936484,0.0107391289729011,0.258437524911754,-0.0533617471104793,0.0012339041987801,-0.00390419377481611,3.12962961687466e-05,-0.0133125004892733,0.000495679524959325,-0.00254787251339617,0.000582375915516736,-0.00387557977436877,0.00141937008904249,-0.00391678304516011,0.00606618379169012,-0.0172839605796859,0.00125191075183029,-0.000122044398044004,0.00114622189896709,0.000139125145913295,-0.000937996717224757,1.15476725254171e-05,0.000155800093368445,0.00045696918080207,-0.00102079296668516,0.000285191319887772,0.000123472679693838,4.79488264104499e-06,8.18748753541134e-05,0.000481808132016208,-0.000103360548340297,-0.000243488616422296,0.000262876394000059,2.87042525165537e-17,-0.000127478870173996,0.000174124413427572,-6.42636224200482e-05,-7.90214799508789e-05,-5.9940732119513e-06,3.69704857446047e-18,-1.19247584025755e-17,2.31500305378481e-05,7.59122246728306e-18,5.17025262752301e-05,-3.55011936618409e-18,-1.16527663239797e-05,-7.49129506450501e-15,2.63197224077145e-17,-4.79926291986267e-17,4.21769567781478e-05,5.34886414841458e-17,-3.24239036082744e-17,-7.02839061756754e-05,4.42290275874131e-18,-5.56689906493783e-17,5.50636643062786e-18,1.71726486300614e-17,-1.11068450839991e-17,-3.25351156631199e-18,-1.19352096140998e-17,3.39576012114089e-06,-4.89631327241981e-17,-1.40108545007953e-17,-1.14667578382779e-17,6.44797966109494e-18,1.82833303578326e-16,2.57898327058287e-17,4.70255183528901e-17,2.07959790014945e-16,-1.22585481699696e-06,-2.60625559547028e-17,4.12897892511243e-17,-2.88138824305154e-17,1.54858636396248e-17,1.50061633335429e-16,8.05841668209133e-17,-5.53060051039566e-17
"t3",-0.203176235585809,0.119116166803641,0.0926870446295123,0.00706108971723535,2.83933984371964e-05,-0.00146033700059858,3.90323360017486e-05,8.21412136423278e-06,-0.0170796190602242,0.19744314010905,-0.00385077041042112,-0.0290646285169276,0.36055018452981,-0.00147323365537027,-0.00885577713089103,-0.00177154556478679,7.11505702699181e-05,-0.000228417474758442,5.48130763944198e-05,-0.000572826095927933,1.99987269970944e-05,0.000145679185037193,-3.93853801911269e-05,0.000302693301805541,-0.000138581984845021,0.00105322667590036,-0.00896897244096465,0.868570194720298,0.00100229130850732,-9.24025652277559e-05,0.000761222830300608,0.00153365041773623,-0.000480112735727671,5.48088372172396e-06,7.1153158335022e-05,0.000202374680544477,-0.00780675313357981,0.000119025807440194,5.10503559348207e-05,1.9297903154338e-06,3.23885983078114e-05,0.000190138732767129,-4.01480855352001e-05,-9.31143601955066e-05,9.58642161205419e-05,2.07238390523492e-17,-4.59105904938335e-05,6.1361685917882e-05,-2.24700472872821e-05,-2.75708243001063e-05,-2.06405513042687e-06,2.94836563108412e-17,-6.41958240689064e-17,7.85799168379664e-06,4.12670165181073e-17,1.73275158466726e-05,-7.68851772886949e-17,-3.89493316332887e-06,-3.03719735013205e-15,-2.08303406452498e-16,2.31458359041019e-16,1.40184560835822e-05,-6.21038147608517e-17,8.44435450758163e-16,-2.3103957801032e-05,-5.50653154483104e-17,-1.94030709098845e-16,-2.87238128973321e-17,4.53725269420608e-17,1.04785758027948e-16,3.06477598206278e-17,-1.28821209286609e-17,1.10061136416794e-06,-1.51228755886226e-16,-9.53529080944888e-18,-7.3250582917881e-17,2.63666994304408e-17,1.91259872790012e-16,8.7214291425002e-18,1.43112168024254e-16,2.55963824463565e-16,-3.94503900439753e-07,-6.83371821876003e-18,4.61091521439753e-17,-4.1493967524883e-17,1.45423338011408e-17,-2.51782965418103e-16,5.67261572836697e-18,-1.18622928977229e-16
"t43",-0.206223617206779,0.120965695240395,0.0954891278577899,0.00739836331877433,2.98674558763539e-05,-0.00159216190067009,4.39755080518921e-05,9.31688010044618e-06,-0.0208653782650674,0.250599390316296,-0.00497370897968837,-0.0389198356972901,0.485977709236352,-0.00205009860571065,-0.0127966663361502,-0.00282532871700818,0.000138678134377567,-0.000523914305457124,0.000178830610787321,-0.00224866561790897,8.53182330921139e-05,-0.000607304984874928,0.000141932737535867,-0.000964866011103558,0.000366885837986976,-0.00131125964074155,0.00499535115826683,-0.34841180193007,-8.41829643490269e-05,6.01557243600141e-06,-1.19545075926782e-05,0.00010855615026415,-5.24300107630444e-05,8.47040086661706e-07,1.28156314977219e-05,4.11371946310418e-05,-0.0017453771105761,2.76826108790108e-05,1.25457468609365e-05,5.19895651910063e-07,9.20839467830596e-06,5.44579525669679e-05,-1.20627851253302e-05,-2.92993625007315e-05,3.46088565704005e-05,-3.50669724096877e-16,-1.71782246744698e-05,2.44335416129534e-05,-9.15107139045154e-06,-1.12982912833238e-05,-8.7869098602581e-07,-9.78537458363516e-17,-3.17041720571716e-16,3.48965108023238e-06,-1.25116464489512e-17,7.99508001808339e-06,5.41009422340004e-16,-1.81175964190014e-06,-8.35036999581942e-16,7.26673501359637e-17,3.48638593463843e-16,6.63472442022587e-06,4.29696952241189e-16,-0.707106781186547,-1.1321131209844e-05,-1.39801572839993e-15,-6.24048825961382e-15,-1.08780087555929e-15,-2.60908372625012e-16,3.55173731819786e-16,1.30887354895392e-16,-7.98499871763703e-17,5.64960252311896e-07,3.92111333048275e-16,4.42947606234758e-16,1.037371238643e-16,5.90823458367514e-16,1.30250965028392e-16,1.58303632080284e-16,-2.45659949426735e-16,3.12660447622849e-16,-2.07547088121309e-07,5.36365754691957e-17,6.18822488375257e-17,6.4059444509326e-16,2.40999399790804e-16,1.80241434241335e-16,1.04685895940994e-16,-1.02407862586074e-16
"t44",-0.206223617206779,0.120965695240396,0.0954891278577903,0.00739836331877436,2.98674558762663e-05,-0.00159216190067002,4.3975508051821e-05,9.31688010043577e-06,-0.020865378265067,0.250599390316296,-0.00497370897968822,-0.0389198356972902,0.485977709236352,-0.00205009860571067,-0.01279666633615,-0.00282532871700839,0.000138678134377618,-0.000523914305457141,0.000178830610787341,-0.00224866561790912,8.53182330924221e-05,-0.00060730498487534,0.000141932737535921,-0.000964866011103717,0.000366885837986993,-0.00131125964074172,0.00499535115826716,-0.348411801930071,-8.41829643484417e-05,6.01557243554672e-06,-1.19545075927786e-05,0.000108556150264265,-5.24300107633002e-05,8.47040085603606e-07,1.28156314969217e-05,4.11371946307521e-05,-0.00174537711057728,2.76826108788778e-05,1.25457468602978e-05,5.19895651518566e-07,9.20839467911751e-06,5.44579525671717e-05,-1.20627851251412e-05,-2.92993624999843e-05,3.46088565714203e-05,3.22800913856003e-16,-1.71782246750525e-05,2.443354161264e-05,-9.1510713904616e-06,-1.12982912835666e-05,-8.786909862415e-07,1.61440145294988e-16,3.80725863414035e-16,3.48965108113717e-06,7.60647218056325e-18,7.99508001690337e-06,-4.97395394905277e-16,-1.81175964247904e-06,-8.23356338609103e-16,1.31522762270928e-16,-3.58512416601363e-16,6.63472441966457e-06,-2.85241253944732e-16,0.707106781186547,-1.13211311848674e-05,1.47516954755522e-15,6.19604645109825e-15,1.12514331883129e-15,3.25645978870224e-16,-3.85541198525106e-16,-2.50725206384146e-16,-1.87349291315304e-17,5.64960253901884e-07,-5.07305740013694e-16,-4.30786470265603e-16,-1.28791670383939e-16,-6.18880940444839e-16,8.37050796891836e-16,-3.61155950959194e-17,2.45247005781867e-16,-2.57219245470921e-16,-2.07547088112517e-07,-1.43479330930333e-16,2.55883049196578e-17,-7.55546900857378e-16,-1.73950055130462e-16,6.06951033479162e-16,7.08752368054602e-17,2.49917575299666e-17
"t76",-0.225875052464957,0.132953343118142,0.116591368315193,0.0105204768850377,4.42764852911115e-05,-0.00414356557623203,0.000733786467019895,-0.000622680625813986,0.0188215195359034,-0.127883748751473,0.00202708429779397,0.0102801466799725,-0.118865132425781,0.000343464933168806,0.00131978528739984,1.08372526802514e-05,1.13139646587134e-05,-5.86154884509079e-05,-0.350164362492593,-0.000341054439032672,1.3088317050808e-05,-0.000101439471442085,2.36232530793456e-05,-0.000159915719667565,6.0250499922968e-05,-0.000193996197173082,0.000458820676410102,-0.0164520460810886,4.87236468318707e-05,-4.83037421116197e-06,4.57265815958026e-05,-0.502454565448379,-6.49317851380477e-05,7.31677236816123e-07,9.92072546614274e-06,3.02595438244872e-05,-0.0132136021418542,1.49484317983235e-05,7.25764860389809e-06,2.9603029876321e-07,5.14475195217837e-06,3.03429795647238e-05,-6.60182411512932e-06,-1.5762684803204e-05,1.776684852479e-05,3.43352773789795e-16,-8.72442559462824e-06,1.22009040009718e-05,-4.54438323590481e-06,-5.60246499730712e-06,-4.32060925709423e-07,2.35914565814798e-16,1.34686708876294e-16,1.70204292578546e-06,3.52505017703066e-17,3.87568822055176e-06,-1.26025868160101e-16,-8.7726572028216e-07,-7.45806622450796e-16,1.25265931987121e-16,3.89157770526097e-17,3.20535272241775e-06,-3.69987148370443e-16,-4.90525026749408e-16,-5.44926565066948e-06,-1.27280910341671e-16,-2.96045725240808e-16,1.80677032922873e-16,1.23038056622641e-16,-2.26209226113935e-16,1.17703291261272e-16,-4.98668388292301e-16,2.71091954279039e-07,-6.21047056689929e-16,4.2768778937208e-17,-1.32814231518227e-15,5.78325694093953e-16,0.707106781186547,5.07196426116916e-15,5.94155844467189e-15,3.64379163916193e-15,-9.95182305035813e-08,9.5615712005009e-16,3.53898633765993e-18,-2.61226627308024e-16,-1.24187705679236e-16,2.07125054870659e-16,-2.65163677289803e-16,1.47458656093271e-16
"t77",-0.225875052464956,0.132953343118142,0.116591368315193,0.0105204768850374,4.42764852911512e-05,-0.00414356557623208,0.000733786467019815,-0.00062268062581388,0.0188215195359035,-0.127883748751472,0.00202708429779377,0.0102801466799724,-0.11886513242578,0.000343464933168864,0.00131978528740054,1.0837252680293e-05,1.1313964658686e-05,-5.86154884507917e-05,-0.350164362492592,-0.000341054439033248,1.30883170508271e-05,-0.000101439471441984,2.36232530793543e-05,-0.000159915719667602,6.0250499922981e-05,-0.000193996197173118,0.000458820676410138,-0.0164520460810889,4.87236468317397e-05,-4.83037421096294e-06,4.57265815971878e-05,-0.502454565448378,-6.49317851379675e-05,7.31677236132019e-07,9.92072546629355e-06,3.0259543824414e-05,-0.0132136021418537,1.49484317983834e-05,7.2576486034672e-06,2.9603029883625e-07,5.14475195201834e-06,3.03429795646562e-05,-6.60182411521819e-06,-1.57626848031286e-05,1.77668485250727e-05,5.12317270237666e-16,-8.72442559464497e-06,1.22009040012693e-05,-4.54438323584192e-06,-5.60246499745252e-06,-4.32060925975008e-07,-1.47250676691874e-17,-1.66239594090207e-16,1.70204292604167e-06,-1.78693229758595e-16,3.8756882204531e-06,4.69744009564696e-17,-8.7726571960638e-07,-4.80165330619565e-16,1.82611354139439e-16,-1.02681637978873e-16,3.20535272234887e-06,1.96003208561272e-16,3.23593031861445e-16,-5.44926565068534e-06,7.35840638900878e-17,1.12553589339067e-16,-3.67645157345328e-17,3.98309443146083e-17,3.76789050235887e-16,3.24514241858436e-17,4.5512987008945e-16,2.71091955067307e-07,4.18830522792902e-16,2.47421196282282e-16,1.25156856597933e-15,-4.97299097741802e-16,-0.707106781186548,-4.79152972070215e-15,-5.81616981013749e-15,-3.20621927110232e-15,-9.95182265401062e-08,-8.47349142799223e-16,1.56319985948885e-16,1.73790243317478e-16,4.39453100182389e-18,-3.46173554036096e-16,4.35874287040293e-16,-5.87140447997321e-17
"t95",-0.225965546006603,0.133008454971323,0.116684042604604,0.0105334548843055,4.43356023694695e-05,-0.00415282754903834,0.000736009184398118,-0.000624665963951762,0.018913150714915,-0.128610236716242,0.00203933102989061,0.010349686326661,-0.119684425084842,0.000346042249897961,0.00133060654748912,1.09444415309357e-05,1.1459049448422e-05,-5.94820751253257e-05,-0.35648028330484,-0.000347644800662794,1.33478158447949e-05,-0.000104606953593728,2.43816200879172e-05,-0.000165183934480381,6.23244136154777e-05,-0.000202527143371524,0.000488447509738019,-0.0177319192718149,5.81665507264264e-05,-5.89037683678046e-06,6.16351677957452e-05,0.497522787112253,-3.55894465855662e-05,5.66565289104393e-07,8.20749930010418e-06,2.59959124648103e-05,-0.0116228317916876,1.32618694583995e-05,6.50959720793114e-06,2.69795312213968e-07,4.72763908843782e-06,2.79127920255733e-05,-6.11362143109829e-06,-1.46841106815924e-05,1.68072793604751e-05,-4.76087517752152e-16,-8.28216669317941e-06,1.16482589524311e-05,-4.34692145202109e-06,-5.36181985059286e-06,-4.14786610396319e-07,8.70348506125792e-17,-1.6239106249561e-17,1.63931352530872e-06,9.79514662244584e-17,3.74325299347037e-06,1.51208723819436e-16,-8.47772167792381e-07,-5.32225586989628e-16,4.40400483579783e-17,1.97284626143364e-16,3.10130778842537e-06,2.047292415845e-16,-1.0461558612819e-16,-5.28464293379834e-06,-5.47417717784968e-17,-1.25217346170399e-16,6.91831777571717e-17,-1.2824796072716e-17,1.63316112116978e-16,-2.82120266427762e-17,-1.55549896796211e-16,2.63677328844979e-07,-4.25662605594678e-18,-4.8514439278787e-16,9.46162319460958e-17,-1.10708112272229e-16,3.21830728405661e-16,6.15193889155201e-17,6.65205359771142e-16,-1.40288390184327e-15,-9.69402968620884e-08,-1.59725640984928e-16,9.48837464380663e-17,3.23271136022864e-15,-1.13271593749353e-14,-0.707106781186548,-4.48506492007555e-16,-6.29902033202263e-16
"t96",-0.225965546006603,0.133008454971323,0.116684042604604,0.0105334548843058,4.43356023695305e-05,-0.00415282754903801,0.000736009184398001,-0.000624665963951655,0.0189131507149149,-0.128610236716242,0.00203933102989043,0.0103496863266611,-0.119684425084842,0.000346042249897921,0.00133060654748907,1.09444415311299e-05,1.14590494484559e-05,-5.94820751252806e-05,-0.356480283304841,-0.000347644800662988,1.33478158447602e-05,-0.000104606953593794,2.4381620087886e-05,-0.000165183934480381,6.23244136153389e-05,-0.000202527143371573,0.00048844750973781,-0.0177319192718146,5.816655072656e-05,-5.8903768367616e-06,6.16351677955908e-05,0.497522787112253,-3.55894465853615e-05,5.66565289171505e-07,8.20749930015687e-06,2.59959124644694e-05,-0.0116228317916872,1.32618694585395e-05,6.509597207677e-06,2.69795312414348e-07,4.72763908878227e-06,2.79127920255577e-05,-6.11362143112431e-06,-1.46841106814458e-05,1.68072793604928e-05,-2.74242915151251e-16,-8.28216669324826e-06,1.16482589525963e-05,-4.34692145177113e-06,-5.36181985045614e-06,-4.14786610497848e-07,-2.68357153913258e-16,-1.97450679501236e-17,1.63931352534853e-06,-2.44053195232151e-16,3.74325299352192e-06,1.41766112861532e-16,-8.47772167421042e-07,-5.60167496944973e-16,-3.53094703144748e-16,2.17304629986272e-16,3.10130778821243e-06,-3.34917537338359e-17,-2.4090299699909e-16,-5.28464293364538e-06,-1.07795773636277e-17,-2.38757326810778e-16,-1.1103699935316e-16,5.34751818850987e-17,-3.33362373834105e-16,-1.22827530685601e-16,4.85926732170022e-17,2.63677328441392e-07,-1.41964802939534e-16,1.37336391163923e-16,-2.43928077318967e-19,-5.94735962091561e-17,-2.98392929283859e-16,9.69889126182234e-17,-7.33714674037092e-16,2.00705919377952e-15,-9.694029704334e-08,1.5845615498052e-16,4.48341304123355e-17,-3.11457693139324e-15,1.15632216964856e-14,0.707106781186548,4.85126758802722e-16,2.08370015007705e-16
"t32",-0.225589347298456,0.132779372558633,0.116300114518581,0.010479899114098,4.40918675184906e-05,-0.0041149501457057,0.000726985523348433,-0.000616617989215917,0.0185476807482291,-0.125736517833273,0.00199107061590202,0.0100777946457542,-0.1164856688931,0.000336049990751727,0.00128900447046143,1.05418367205533e-05,1.09459836313162e-05,-5.66718318518837e-05,0.333243609067305,-0.000312019968105315,1.20644435804666e-05,-9.28613318971205e-05,2.15894178639767e-05,-0.000145913371205009,5.48203965705374e-05,-0.000173445264261898,0.000397163555695051,-0.0139999485711999,3.84004157862258e-05,-3.78208887359763e-06,3.55462594175543e-05,0.00103903917650758,-1.92807462763775e-05,2.68635771980084e-08,-4.14516382774358e-06,-5.4037177834261e-05,0.515398829339175,0.000128390108286604,2.68392161632668e-05,6.53620985585228e-07,9.67690271654314e-06,5.60630836010031e-05,-1.10457372055881e-05,-2.44738398442832e-05,2.37321701926415e-05,-3.78167641175255e-16,-1.1333350040217e-05,1.52088393732194e-05,-5.5912558597443e-06,-6.86937574122595e-06,-5.19356163333648e-07,-2.53183544611479e-16,-1.31431297589598e-16,2.00612390963638e-06,-4.31930641522433e-16,4.49580189162361e-06,-2.78603854226988e-15,-1.01440340558251e-06,-2.67779662075017e-15,-7.56691111113822e-15,0.707106781186547,3.68212029260473e-06,-1.52727486696428e-15,8.82282398364598e-16,-6.18288797507344e-06,-3.44915769854115e-16,2.01671234505613e-15,4.24931602887471e-16,-2.92279803520296e-16,3.07753532154082e-16,-2.5400153576399e-16,-5.55733426845995e-17,3.03010627542737e-07,-8.03090513881518e-16,-2.76798952126016e-16,3.33606482754081e-16,2.28966079282895e-16,1.25932614843797e-16,1.93789687813552e-16,1.18694806756339e-17,-5.03884398534341e-16,-1.10426672069875e-07,-3.38255576626512e-17,-1.19779863136979e-16,3.43341052916337e-17,-1.49751489751112e-16,-2.43068852097373e-17,2.33268093852153e-16,-1.73591803601644e-16
"t33",-0.225589347298456,0.132779372558633,0.116300114518581,0.010479899114098,4.40918675183033e-05,-0.00411495014570573,0.0007269855233486,-0.000616617989215806,0.0185476807482292,-0.125736517833272,0.00199107061590197,0.0100777946457543,-0.1164856688931,0.000336049990751743,0.00128900447046126,1.05418367201682e-05,1.09459836311592e-05,-5.6671831852019e-05,0.333243609067304,-0.00031201996810537,1.20644435804319e-05,-9.28613318971275e-05,2.15894178641433e-05,-0.000145913371205061,5.48203965703205e-05,-0.000173445264261579,0.000397163555694843,-0.0139999485711993,3.84004157860593e-05,-3.78208887361455e-06,3.55462594172629e-05,0.00103903917650793,-1.92807462765371e-05,2.68635774372376e-08,-4.14516382758919e-06,-5.40371778342437e-05,0.515398829339174,0.000128390108286856,2.68392161633102e-05,6.53620985583873e-07,9.67690271647722e-06,5.60630836004238e-05,-1.10457372053414e-05,-2.4473839844415e-05,2.37321701926762e-05,-5.79038310931606e-16,-1.13333500409091e-05,1.52088393732836e-05,-5.59125586018904e-06,-6.86937574078273e-06,-5.19356162638295e-07,3.70005199511524e-16,1.106656221137e-16,2.00612391056663e-06,7.12788976656964e-16,4.49580189206726e-06,2.90707937984134e-15,-1.01440341324555e-06,1.22194224590691e-15,7.91013090233605e-15,-0.707106781186548,3.68212027943753e-06,1.78880670092325e-15,-1.4731737553131e-16,-6.18288797436784e-06,4.69608028310568e-16,-1.5457586577959e-15,-4.68711997858038e-16,3.96358766305744e-16,-2.95079495655138e-16,3.04317761390034e-16,3.95286998538492e-18,3.03010626878297e-07,5.35368548137622e-16,3.26330069213526e-16,-2.1780977926537e-16,-9.03840904773851e-17,2.44166365617584e-16,-2.3731955254247e-17,-1.67389848728341e-16,1.48450664087082e-15,-1.10426672573291e-07,-4.3207615792423e-17,1.54221986860975e-16,-9.7394357536372e-17,2.42438136776982e-16,9.89553108490817e-17,9.11100237538755e-17,5.73582240342314e-17
