,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t1,10.505867,-0.07003001,7.4244094,0.36609307,-0.16532482,-0.12984419,-1.1561339,-0.0027544266,10.269158,4.7808375,5.2388005,5.240607,0.49104348,-2.61176,-0.81140566
t2,8.271821,-0.061213605,7.313459,0.3381439,-0.1432154,-0.0027678765,-1.0404919,-0.004018585,8.390608,4.001587,5.3309093,3.9486766,0.45753682,-2.5182517,-0.7869747
t3,12.011474,-0.0806739,7.4925723,0.38254517,-0.1709661,-0.13594885,-1.2330729,-0.01600638,11.246228,5.2197223,5.092066,6.0842185,0.4986414,-2.5496593,-0.7240154
t4,13.518526,-0.0956025,7.638972,0.4130454,-0.17721438,-0.18547751,-1.3372816,-0.026722975,12.317467,5.9082985,5.042446,7.3284903,0.5261678,-2.5048342,-0.7392403
t5,15.736192,-0.12796547,6.776015,0.36142847,-0.169834,-0.17121108,-1.4823666,-0.0476614,13.345035,6.8658834,3.885839,10.290132,0.4890629,-1.9259489,-0.43426317
t6,10.761536,-0.09756725,5.0059714,0.23974875,-0.13335143,-0.09467745,-1.018315,-0.025659166,9.364342,4.6259685,3.30001,6.3813305,0.35416934,-1.197929,-0.38804752
t7,10.618543,-0.14278549,0.18360503,0.02395391,-0.019813864,-0.010267172,-0.97799414,-0.0676573,8.529178,5.052465,-0.5806567,14.951979,0.6307782,3.7915995,3.9387584
t8,2.6147146,-0.013289676,19.29818,0.85634565,-0.244977,-0.3960082,-1.6908447,-0.1711505,11.304753,5.4715533,16.193499,0.003690699,1.0040119,-5.076357,-1.3743178
t9,6.231393,-0.100254714,-0.05220381,0.6567893,0.3404137,0.09163219,-0.4759738,-0.0815227,4.491375,2.7965572,-0.34618568,9.600353,1.7398437,3.7616863,4.0366497
t10,3.5603929,-0.011707358,19.325632,0.882582,-0.2552527,-0.48317558,-1.7246741,-0.16755246,12.130734,5.883358,16.150057,0.0019392035,1.0498945,-5.503763,-1.4723879
t11,9.90241,-0.13841347,0.05729744,0.0076954653,-0.014476777,-0.04107914,-0.9234751,-0.07269181,7.971665,4.7631965,-0.5513716,14.244711,0.71768504,3.8431678,3.9660792
t12,9.645136,-0.13719293,-0.0025165572,0.0013439537,-0.010929209,-0.037374534,-0.89037085,-0.07484252,7.735011,4.624614,-0.54047424,13.93647,0.7574011,3.9081573,4.018166
t13,3.5991268,-0.01164381,19.67884,0.8993371,-0.2595265,-0.49665356,-1.7538519,-0.172569,12.35731,5.9802127,16.469995,0.0018252294,1.0658221,-5.5725527,-1.4903733
t14,1.1894501,-0.010415807,20.25916,0.8352925,-0.23344617,-0.16473402,-1.6918856,-0.17929201,10.227475,4.823974,17.262558,0.015927754,0.9369849,-4.276425,-1.1790621
t15,0.40916112,-0.0068945116,20.868557,0.8200069,-0.22893637,-0.05681349,-1.6658514,-0.17633364,9.770034,4.433612,17.75462,0.022698084,0.9014705,-3.8353448,-1.1052451
t16,0.84587544,-0.0074126297,20.86466,0.83592397,-0.23489061,-0.11852632,-1.7007483,-0.17908168,10.218419,4.686944,17.727036,0.020258594,0.93020535,-4.1456704,-1.1643108
t17,0.20693961,-0.011380107,21.938574,0.87120724,-0.2348662,-0.016387153,-1.7425662,-0.19022211,9.956045,4.561591,18.772346,0.021475261,0.93369645,-3.7437232,-1.1237557
t18,10.658169,-0.17826211,-0.06744126,2.0838947,-0.03411634,0.87049717,-0.71133524,-0.11004545,7.3871517,4.252743,-0.503274,15.054185,5.274304,7.6826973,7.2589946
t19,6.9912515,-0.1464129,-0.10339804,3.9244795,0.13890909,1.7521881,-0.24752238,-0.10795531,4.465419,2.0138445,-0.25007328,9.320495,6.545431,8.284927,7.304838
t20,5.9607735,-0.15725344,-0.07750924,0.13551709,5.4072347,-0.36325502,-0.5123504,-0.17919047,7.1892586,4.2995276,-1.2426789,15.204811,0.7092437,5.8688583,7.972514
t21,-0.06318832,-0.011391485,23.031326,0.88439506,-0.23498228,0.46751946,-1.7832266,-0.19982624,9.647505,4.3693676,19.772121,0.026151203,0.92619663,-3.3885543,-1.0603039
t22,-0.31953642,-0.03955611,12.946437,0.19028085,-0.035894956,4.438475,-1.3467607,-0.16409124,2.49744,1.1979178,11.051936,0.020713735,0.37471142,-0.24590486,-0.50701725
