,0,1,2,3,4,5,6,7,8,9
t1,4.10664,7.7370925,6.2731056,9.584449,4.115182,1.2609228,8.657698,5.5416703,6.103693,8.845014
t2,4.1076646,7.6595554,6.205098,9.473161,4.1082864,1.144309,8.594566,5.4854636,6.1417503,8.912792
t3,-1.6409019,2.4743762,4.055629,5.1763034,10.017663,0.45388535,6.467517,6.5098805,9.510206,8.689355
t4,5.241979,7.7411957,2.9358542,15.064836,12.6364155,2.9980006,1.359965,2.1614969,5.563412,9.141802
t5,4.063454,7.676357,6.365774,9.531892,4.19437,1.1919224,8.6460495,5.459049,6.1643844,8.87573
t6,5.165119,7.693099,2.821393,15.225909,12.599485,3.1406896,1.4313056,2.0555868,5.7333508,9.255486
t7,-1.852992,2.5236897,4.166737,4.9802017,10.2026615,0.24367176,6.4199595,6.7911396,9.645261,8.889449
t8,-2.0255573,2.483198,4.055413,5.041981,10.037022,0.2596656,6.464756,6.593486,9.807549,8.726827
t9,-2.200344,2.3185225,4.1298738,4.9206133,10.014588,0.28549644,6.5711412,6.696294,9.919875,8.69864
t10,12.466254,4.530429,5.9629755,4.5413375,5.2332525,5.8147874,6.023433,6.0674267,9.108303,8.800402
t11,-1.106229,2.394923,4.125672,5.346387,10.017933,0.9663405,6.5226064,6.2648144,9.12371,8.451895
t12,9.209392,2.7612517,4.251686,3.94243,6.019328,4.2598414,6.818632,5.926597,7.750866,9.893984
t13,-2.233407,2.3015494,4.1066837,5.014982,10.203279,0.037599754,6.150737,7.02961,9.867799,9.219486
t14,12.558717,4.754675,6.0799565,4.4849644,5.159568,5.967568,6.1850443,6.0734487,9.06562,8.732615
t15,-2.041204,2.5247025,4.059575,4.947298,10.206868,0.15532182,6.1548734,6.9521523,9.777463,8.90473
t16,5.1566944,7.7532454,2.9251952,15.132072,12.547213,3.0610058,1.45328,2.149438,5.564564,9.116312
t17,9.2208185,2.7931178,4.1846747,3.7949796,6.188562,4.2904572,6.8321733,5.9658685,7.95536,9.89913
t18,12.26039,4.7073407,6.409905,4.2325225,5.1056986,5.920182,6.328988,6.2629,8.933273,8.588206
t19,12.604374,4.9034843,6.128033,4.4661274,5.2398458,5.9810967,6.302058,6.048311,8.957089,8.656094
t20,9.20895,2.8715062,4.1806192,3.8836677,6.069135,4.3359647,6.8034635,6.0546875,7.820173,9.995815
t21,12.3534355,4.4718366,6.4176035,4.4773808,4.8450713,6.2101374,6.131113,6.4753294,8.97989,8.041045
t22,-1.4840477,2.4891343,4.288772,5.0383573,10.200905,0.7072233,6.644046,6.5472603,9.437761,8.520366
t23,-1.4411888,2.5940833,4.3188605,4.996257,10.211488,0.87510216,6.706699,6.558109,9.434407,8.384427
t24,12.218256,4.6731977,6.342742,4.3238053,5.113029,5.997433,6.4029584,6.3338547,8.922084,8.451527
t25,-2.3078034,2.4293776,4.073028,5.1517725,10.171987,0.18851453,6.005363,6.7513475,10.000945,9.264889
t26,-1.9790282,2.1669354,4.0119724,4.9976864,10.036877,0.41836438,6.352938,6.7449613,9.602485,8.605007
t27,-1.9305942,2.2239068,4.0217857,4.963973,9.9041815,0.4228703,6.187356,6.7992406,9.768379,8.669759
t28,12.625249,4.8132377,6.0641675,4.5245123,5.2274585,5.9425044,6.250238,5.9945054,9.016465,8.725473
t29,4.0948453,7.7326374,6.074118,9.724206,4.2439966,1.2512459,8.609133,5.64545,6.028688,8.613416
t30,-2.3946774,1.9440653,3.6491551,4.9177017,9.494578,1.8490016,5.237254,5.150397,9.981805,8.066274
t31,-1.5316029,2.5884023,4.3771205,4.9329486,10.315865,0.7075765,6.7136993,6.633667,9.517361,8.439963
