"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95","V_96","V_97","V_98","V_99","V_100","V_101","V_102"
"t1",-0.0747901722209248,-2.53188059731583e-05,-0.0877209899591339,0.00413920483514172,-0.00304798271656822,0.00328230075737363,-0.00722695931082908,0.0299745720384102,-0.0209627700825424,0.0215204662648782,-0.0169290189965185,0.0267423584715719,-0.0139760221078604,-0.0148155604223769,0.064303508701801,-0.00442446668380307,0.00208093423787721,0.000661884121056474,-0.000442873224411886,-0.075044999253331,0.00442042928401382,-0.125417890200073,0.243529424676512,-0.0227535319473707,0.00479141677771494,-0.00103209106094053,0.000601127024775412,-0.0053772470786164,0.0029660580718051,-0.111329809558936,3.17906181905351e-16,0.0429591827168012,-0.00398200124710745,0.117909909910628,-0.1545502943329,0.231321344968928,-0.0873503626703138,0.610243548089231,-0.0253067631781785,-0.0138342592642446,0.0693400026317176,5.76244246035362e-05,0.0673837987880511,-0.257584027785504,0.00228711140554508,0.124939319966175,-2.70413241477736e-05,-0.529399928865869,0.0522959506476691,0.00963773669446757,-0.00728327349254937,-0.000757697771748857,-0.0178506673082054,-0.000735455289936909,-0.00111588538325346,-0.000902786324401772,-0.00108309722999096,0.00106250579013249,0.114453630983059,-0.000506319849678929,-0.00171725770729887,-0.106318394587428,0.0106004160340274,0.00199972268842111,-0.00433148803156944,-0.00108973413969391,-7.20765965660662e-05,-0.00729877851312496,-0.00028166368031302,-0.000736011590114258,0.0368002183530449,0.000907575136295683,5.6121940147703e-05,-0.0334936491126756,-1.98976049296869e-15,-5.50774703622636e-17,7.95601106697019e-17,8.18030539140313e-17,-6.39679281766448e-17,-2.60750622482764e-17,-2.27790876439204e-16,-6.74373751285984e-17,-8.68039364346207e-17,-1.17378437698712e-16,-1.93801138331784e-17,-7.92551788086904e-17,1.56233533055161e-16,1.38371302263463e-17,-1.57209315010398e-17,5.73000848158589e-17,-1.23056946577105e-16,2.83925443919641e-17,-1.79435459546351e-16,-5.06322414550731e-17,-1.73797608249426e-16,-1.56992474575901e-16,-8.97448348274876e-17,9.66566236770827e-17,-9.2374025095765e-17,2.06947089673171e-16,2.60208521396521e-17,-4.60702896877302e-15
"t20",0.0658116126608269,0.0903727386803576,0.00367371900380975,-0.12665379332458,-0.0507390439388107,0.0030640153341721,0.0198646481183998,0.0015810246502149,-0.00391964732382361,0.00872492269824594,-0.0114778860966156,-0.00333646367679122,-0.00135588869536232,-0.00705916591163498,0.00382832753487308,-0.00112693529411831,-0.126793481097011,0.000737437084911384,-0.000351225265228993,-0.000729140157544772,0.0131844527180172,-0.00437148134486048,0.00757822563767213,0.00626249617898599,-0.00990591824093926,0.010973844686565,-0.000895324534400468,-0.268800262337942,-0.0147587580102856,0.00283926789802194,-1.55713871760849e-15,0.000145896909637094,-0.247036620638666,0.075763902940287,0.0470265148408337,0.00944405633908574,-0.00582007098023989,0.0196277998382134,0.455322909200696,0.450840441519623,-0.00732817597131124,0.000766060763106961,-0.010253443603953,0.00643170038058545,0.0495160881661447,-0.00851627053222275,0.371795846756981,0.00268303998853317,0.00252626100710791,-0.000899704479930918,0.396702154617224,-0.193331591311063,-0.00331620426553941,-0.0905949975305715,-0.00618167642445872,-6.15624498684452e-05,-0.00276046148281253,-0.0921982783785137,-0.00223150376806507,0.0472818835305569,0.169145891268976,-0.0079471234468873,0.000246084319139868,0.0067307283371548,-0.00626854899563949,-0.00863449669497798,-1.51186878646814e-05,-6.06884339005242e-05,0.0543726489310412,-0.000153472098568514,-0.000409586504196825,0.0528579143995886,-0.00393149585765079,-0.000690831499066766,-1.54634096534176e-15,4.71662399567713e-16,1.53985078930857e-16,-7.47174875818049e-17,6.09963497293521e-16,7.92081030439461e-17,3.82105642807435e-16,1.00107217360496e-16,-3.52177511132935e-17,-7.26354459768155e-16,3.75551690599834e-16,6.59319352926183e-17,-7.30000858962945e-17,-4.31036164298011e-16,-2.44628281953289e-17,7.70301963885268e-16,-3.19420752916726e-16,-1.66344245575809e-16,4.80595222731156e-16,1.60951606675039e-16,3.64121064083956e-16,8.01400447685466e-16,1.19952361016595e-16,-4.82162699403662e-16,-1.00728555063381e-15,1.07207467201398e-15,6.82457740078975e-17,2.6769300770508e-15
"t52",0.0753677346018101,0.112099227949156,0.00518350963841252,-0.19600176948298,-0.0804402597658841,0.00552676590859368,0.14718824034538,0.0152386863698381,0.00871576721086838,-0.00949365567370489,0.0107725579397655,0.00265700516711607,0.000790689801749352,0.00353989678533412,-0.001521613804705,0.000286430701250513,-0.0287156129840126,0.000507738970028536,9.97873210558217e-05,0.00013089690650038,0.00203626179797846,-0.000844859072990728,0.00187862993367977,0.00160979364367768,-0.00286238752105714,0.0032772882434467,-0.00031363888564946,-0.114212829631241,-0.00784170572446377,0.00181368574893891,2.05873172025932e-16,0.000148103129431573,-0.537360485941874,-0.0780869722861551,-0.0348036364986427,-0.00680144562349047,0.00163909762226389,-0.00536611486709393,-0.0687732846078192,-0.0613407094306397,0.000935562346028013,-5.41713494765268e-06,-0.000285482868154684,0.000639129822584183,0.00719236937891227,-0.00180385534802749,0.093826801834104,0.00109321159555104,0.00123050699224284,0.00495358251743413,-0.401378626016486,0.193639200795289,0.00323722126726524,0.0865207644813746,0.00588602424058123,5.85032397862646e-05,0.00234205690190513,-0.438314342188138,0.000336288438451321,-0.00647617334735331,-0.0230903543310945,0.00107246700860184,-1.54371839892848e-05,-0.000390353281597289,0.000322700222109373,0.000429247052341016,6.80496521749199e-07,2.50475024704024e-06,-0.422192237918045,0.00106289064893441,0.000154776992367923,-0.018138228052408,0.00134334598766133,0.000232069422109904,1.36720750374061e-16,2.09041175312959e-16,6.71971498058736e-16,5.32064700360225e-16,-1.71257448848936e-17,4.1506984109919e-16,-2.36248002544159e-16,5.75218953542079e-17,-4.11617286900293e-16,6.49935014763938e-17,-3.3299945715689e-16,6.58211243458445e-16,-1.77709851538194e-16,1.12367029169797e-15,1.26974731692826e-16,4.83257560240575e-16,3.32350874959896e-16,-9.11697311741684e-17,-7.30786520629304e-16,-2.6874722844712e-16,1.49902073598927e-17,5.7579959883838e-16,1.42589794072232e-16,3.92345405905855e-17,9.61024394877658e-16,2.57208314394848e-16,-8.43454388486432e-17,3.73945395818128e-16
"t53",0.0783934488357073,0.119082726556794,0.00567947856164831,-0.219101236150553,-0.0903674011753718,0.0063638672133295,0.194529634804045,0.020349794734827,0.0139855925620231,-0.0177363913307384,0.0210766853616018,0.00551355612929796,0.00187993300792587,0.00910278945887534,-0.004488640391834,0.00116096097188673,0.119569728302416,-0.00100028730081336,-4.336027253735e-05,-3.89615902242624e-05,0.000532081471362771,-0.000268345337824417,0.000728768544008569,0.000641768793051111,-0.00124176364813942,0.00145451747553889,-0.00015436132052325,-0.0627200962086716,-0.00478904717065445,0.0011910095980606,8.60108872162902e-16,0.000111269130494265,-0.45650852513942,-0.0925169215141354,-0.0449365507973489,-0.00885504794828426,0.00330851145026304,-0.0110416011538975,-0.221313565750251,-0.215786220238224,0.00347873633546553,-0.000337536696041524,0.00450434840052579,-0.00288005854646603,-0.0227657653468874,0.00411926469420924,-0.186290942541167,-0.00155343777143407,-0.00157421827205925,-0.00286351723972221,0.135479283122391,-0.0646581278065536,-0.00104979498516308,-0.0272986860092571,-0.00184979801438563,-1.83376215683966e-05,-0.000571633066169998,0.035127563811861,0.000112162212990888,-0.00326797553400217,-0.0117835384560843,0.000568342097513469,-3.8440008363178e-05,-0.00109281833175824,0.00107177553136228,0.0014966960119021,2.71660170462517e-06,1.12143120917806e-05,0.693552016580431,-0.00174250658907966,-0.000176161117659343,0.0197668625579794,-0.00146098275585629,-0.000250325355041353,-2.52976205070339e-16,-5.26624656586202e-16,-6.90266586240769e-16,-9.94513992650259e-16,-3.86285310865931e-16,-2.14021215725638e-16,2.55618863671958e-16,-6.17922504751503e-16,5.19192590873149e-16,1.13187691634479e-16,2.79385832980771e-16,-1.08318883636098e-15,1.68487617338109e-16,-5.55865407369699e-17,2.26434095950224e-16,3.49591972942252e-16,-8.07814423400665e-17,-3.63601015090676e-16,2.46756799717358e-16,3.55780094371903e-16,1.04990413788942e-16,1.60892256185035e-16,3.45633624638694e-16,4.40253729849594e-16,-1.13378633390162e-15,-7.61084702205657e-16,-2.7960712519211e-16,2.16106112714095e-16
"t66",0.0806860066787977,0.12440114586611,0.0060598764652083,-0.236894990492901,-0.0980223652480465,0.00701262271684955,0.232101602175924,0.0244123769510121,0.0182699643364809,-0.0245303126806347,0.0295994673527609,0.00788596636646044,0.0027919364873753,0.0137789734410646,-0.00699754562798571,0.00190793258239535,0.25123415976697,-0.00235879062433043,-0.000178595258645615,-0.000201394571453378,-0.00111738402506356,0.000386492379880032,-0.000654957299125181,-0.000535436971495235,0.000805583238994332,-0.000875901265167841,6.31253008309708e-05,0.0147585965043762,0.000458406174376906,-1.82516075159095e-05,7.52507920963081e-16,1.18233101878279e-05,-0.0878028116592456,-0.0325658657366395,-0.0171868202135604,-0.00341145042135819,0.00166075369738174,-0.00558714715165129,-0.128891149132196,-0.12822049053351,0.00209098632408875,-0.000242879119640194,0.00341919229125486,-0.00242437578991865,-0.0203378154240347,0.00396757847048412,-0.186700019949972,-0.0017505020328549,-0.00185407569584152,-0.00540438704775106,0.401804531220033,-0.193667171946224,-0.00323006410822192,-0.0861523479772959,-0.00585929512128298,-5.82266987924065e-05,-0.00230197217988411,0.430911201846028,-0.000395709529343972,0.0085028683251744,0.0304289845576841,-0.00143143638090589,5.18127223739966e-05,0.00144106614229616,-0.00137443458802776,-0.00190569265956988,-3.39659743263938e-06,-1.38312123600841e-05,-0.558335422315612,0.00140190504496662,0.00012401997000137,-0.0136552199955855,0.00100835292315435,0.000172138997593746,-3.58083837591497e-15,1.28127159556323e-15,1.86420480177597e-15,1.82932976350069e-15,3.31851775538545e-15,1.16036268023701e-15,-1.06746038143518e-15,1.17382677914293e-15,-2.80026841103051e-15,-1.40355275417916e-15,1.03000350083923e-16,-3.49084693621827e-16,-5.50446864829937e-16,2.15246796656932e-15,-1.34145957441441e-15,-9.14400604422164e-16,-2.86887095756324e-16,-9.36506962123641e-16,-2.41134757952858e-15,-2.24981290221598e-16,1.31785602641233e-15,5.32736367596212e-15,-2.68985502278639e-15,-2.37734892036129e-15,4.04336923896472e-15,6.27347218658662e-16,2.00342733790581e-15,-9.62381318173179e-16
"t92",0.0822239675201767,0.127980120852489,0.00631696267834059,-0.248952142464012,-0.103212677312137,0.0074538317710241,0.258017249514772,0.027217107875763,0.0212669968994123,-0.0293204516766369,0.0356205810305794,0.0095659165316494,0.00344071672537181,0.0171129385832696,-0.00879226465700382,0.00244527326670156,0.347975535262869,-0.00336470192155391,-0.000281239255414126,-0.00032544466063783,-0.00246174713292307,0.000928521644644631,-0.00182850498341719,-0.00153812007888482,0.00257609732588941,-0.00290061759314229,0.000256807615685364,0.0861225618631862,0.00549577441313879,-0.00121852369981264,-7.18907883555699e-17,-9.4275559186785e-05,0.336267407498114,0.0535672309337208,0.0250518329790349,0.00492047992346987,-0.00165210482684321,0.00549915438043978,0.106195471109527,0.103148675455755,-0.00165954934681255,0.000158871749581045,-0.00212559033171271,0.00137727412996007,0.0110222701795262,-0.00203521768238838,0.0932137835632648,0.000812765523191594,0.00083979433698941,0.00201270267820235,-0.134216133239182,0.064574347253678,0.00107181650636134,0.0284613773874885,0.00193446336544654,1.92157108926978e-05,0.000733054649973208,-0.125942176500197,9.74760535537578e-05,-0.00200523424141281,-0.00716722634786562,0.000335764463256921,-1.0590045260688e-05,-0.000292724612405638,0.000276958459693699,0.000383212488932376,6.79369588361466e-07,2.75522090952126e-06,0.0958095773314251,-0.000240504287176928,-2.0115968703948e-05,0.00219648778355036,-0.000162131864463119,-2.76330330644878e-05,-0.308028133806418,0.0459986001672322,0.0839943946644089,0.101309713646654,0.133187307083239,0.0355703657151206,-0.0998965535760501,0.0617466188835978,-0.166703362901613,-0.0102813271265177,0.0297589951505769,-0.0720943426820057,-0.00440479474407312,0.231306899008189,-0.0719434616494738,-0.00747529616731761,-0.0495358319017781,-0.090291411453617,-0.142949178917034,0.0080307556083901,0.0773079176061381,0.359298788944394,-0.14557983942009,-0.126486259648355,0.209814601387605,-0.00276639299088512,0.102874456775173,-0.0466090244782666
"t93",0.0822239675201769,0.127980120852489,0.00631696267834056,-0.248952142464012,-0.103212677312137,0.00745383177102402,0.258017249514771,0.0272171078757634,0.0212669968994121,-0.0293204516766375,0.0356205810305798,0.00956591653164959,0.00344071672537194,0.01711293858327,-0.00879226465700428,0.00244527326670167,0.347975535262867,-0.00336470192155308,-0.000281239255414959,-0.000325444660637636,-0.00246174713292242,0.000928521644644853,-0.00182850498341647,-0.00153812007888351,0.00257609732588969,-0.00290061759314192,0.000256807615686179,0.0861225618631855,0.00549577441313825,-0.00121852369981355,-1.0959461400249e-15,-9.4275559187354e-05,0.336267407498108,0.053567230933718,0.0250518329790342,0.00492047992346931,-0.00165210482684063,0.00549915438044307,0.106195471109525,0.103148675455749,-0.00165954934681386,0.000158871749582129,-0.0021255903317123,0.00137727412995772,0.0110222701795308,-0.0020352176823893,0.0932137835632642,0.000812765523191594,0.00083979433699043,0.00201270267820148,-0.134216133239176,0.0645743472536738,0.00107181650636198,0.0284613773874808,0.00193446336544723,1.92157108981831e-05,0.000733054649973149,-0.12594217650019,9.74760535538896e-05,-0.00200523424141429,-0.00716722634786096,0.000335764463260411,-1.05900452666789e-05,-0.00029272461240641,0.000276958459696675,0.000383212488926071,6.79369575039142e-07,2.75522091064146e-06,0.0958095773314141,-0.000240504287177236,-2.01159687086214e-05,0.00219648778354551,-0.000162131864457489,-2.76330330603453e-05,0.308028133806422,-0.0459986001672332,-0.0839943946644107,-0.101309713646655,-0.133187307083243,-0.0355703657151218,0.0998965535760515,-0.0617466188835985,0.166703362901616,0.0102813271265183,-0.0297589951505771,0.0720943426820066,0.00440479474407364,-0.231306899008192,0.0719434616494748,0.00747529616731817,0.0495358319017784,0.0902914114536184,0.142949178917037,-0.00803075560839013,-0.0773079176061393,-0.359298788944399,0.145579839420092,0.126486259648357,-0.209814601387609,0.00276639299088505,-0.102874456775176,0.0466090244782674
"t23",0.0737321365222797,0.108172924700639,0.0048889576784807,-0.181812325050969,-0.0742923366964767,0.00498750002643772,0.110311931082227,0.0112074963652969,0.0036993131155531,-0.000657531693851125,-0.000620784189001314,-0.000619107040476588,-0.000554099572409851,-0.00358418954093701,0.00249542322627577,-0.00101820740915823,-0.363518841112836,0.00457442920151719,0.000925613564005568,0.00142566829005771,-0.0062673957144821,0.00169200820860817,-0.00217995895955495,-0.00171294378191155,0.00227018731834466,-0.00238242116407047,0.000145030095508983,0.0278571197384273,0.000698806704414742,-2.36472439472252e-05,1.95454260795784e-16,1.07957314022938e-05,-0.0537341407693897,-0.000308805827555589,0.001785983288013,0.000389360577352879,-0.00084013929153981,0.00289356986908868,0.0931181523012063,0.0962014538320032,-0.0016017388839791,0.000240011721413004,-0.00356995653410822,0.00275786704435837,0.0240479281198471,-0.00488019750006175,0.233579014878918,0.00227174047909443,0.00242814715938758,0.00687620641699184,-0.40554681087262,0.19391807929307,0.00316215700462071,0.0824673007605857,0.00558989148654365,5.54252956842247e-05,0.00164060642477208,0.702254406640728,0.00102425387973048,-0.0189528304644771,-0.0675638295618791,0.00313749416350827,-7.15027794139897e-05,-0.00193598027338138,0.00178052405890589,0.00244484368035798,4.24727300175795e-06,1.69513494797783e-05,0.0778201474796608,-0.000192312076823206,4.84311219553571e-05,-0.00649852246715032,0.000484070244749599,8.55482130622132e-05,1.30314032228555e-15,-6.11331764141875e-16,-9.55363486187205e-17,-3.94714137374644e-17,-1.18803288440441e-15,-3.31051659999713e-16,-4.64906888701502e-16,5.6535830135125e-16,3.3623248134807e-16,2.75850719430088e-15,1.07296720282665e-16,-6.26630976639019e-16,9.79439640668665e-16,9.50223544640432e-16,-1.5341355277915e-16,-7.83123880899015e-16,-1.33203509447209e-15,2.00970484310648e-16,-7.05524010392368e-16,4.0284633049469e-16,6.62937509165612e-17,-3.28905238772754e-15,1.17651549977784e-15,4.38998118441005e-16,4.51993789735686e-15,-1.8449488458976e-15,-1.30392315053226e-16,-1.34542351853366e-14
"t54",0.0751375492250532,0.111285019762236,0.00509636844385483,-0.191065956074569,-0.0782261370128573,0.00530129562876969,0.12262897274154,0.0124951223800791,0.00430615403016055,-0.000785930717900396,-0.000747063899606042,-0.000750995629215823,-0.000682859253758827,-0.00445142127221569,0.00313544528368689,-0.00130497030164849,-0.503497069951427,0.00652520429986139,0.0014575911562008,0.00230381648071931,-0.0138079148125771,0.00406493459225418,-0.00608599343272942,-0.0049206785583028,0.00725961414908722,-0.00788957958800444,0.000590014345121553,0.162557904289347,0.0083779063644945,-0.00157875009989975,1.66501921965926e-16,-8.60819515459757e-05,0.205791134352083,0.000507951276719605,-0.00260328289227795,-0.000561591307867718,0.000835764015437583,-0.00284799862771175,-0.0767215291279029,-0.0773905363986725,0.00127124921289102,-0.000156996131067607,0.00221931510343813,-0.00156672861932394,-0.0130330006182265,0.00250335672490447,-0.116619075582736,-0.00105477874597718,-0.00109981714252782,-0.00256083788023703,0.135466179630997,-0.0646580071635106,-0.0010492832215415,-0.0272439814373061,-0.00184551897006315,-1.82912045554365e-05,-0.000522445135940828,-0.205247503546648,-0.000252306852945569,0.00446965225917467,0.0159139473905316,-0.000735945416666682,1.46145123365807e-05,0.000393256810720134,-0.000358788410233333,-0.000491629448787157,-8.49517241560961e-07,-3.37676201665922e-06,-0.0133538284334055,3.2992162428894e-05,-7.85550046739775e-06,0.00104530906238456,-7.78330775980363e-05,-1.37328358642171e-05,-0.0692239672314405,-0.000446292004490643,-0.0114837902623164,0.00374738046783352,0.0797862418158487,0.033701782630711,0.0215193480757078,0.00312164092840221,-0.0117793778885015,-0.1521828859931,0.00551729539033309,0.0278724215220322,0.0129840404428374,-0.0289162993171908,-0.00198412089572733,0.0210101133321385,0.0101988773682617,0.00148869051801774,0.0640032077193914,0.0119049780896225,0.0180029771853935,0.177079649518521,-0.0297199754384451,-0.0110897091646382,-0.288832264025473,0.0686388205675615,0.012206401743795,0.57984079194813
"t55",0.075137549225053,0.111285019762236,0.00509636844385451,-0.191065956074569,-0.0782261370128575,0.0053012956287698,0.122628972741541,0.0124951223800793,0.00430615403016071,-0.000785930717900618,-0.000747063899606049,-0.00075099562921585,-0.000682859253758796,-0.00445142127221584,0.00313544528368681,-0.00130497030164825,-0.50349706995143,0.00652520429986155,0.00145759115620089,0.00230381648072003,-0.013807914812577,0.00406493459225493,-0.00608599343273121,-0.00492067855830277,0.00725961414908722,-0.00788957958800507,0.000590014345121271,0.16255790428935,0.00837790636449458,-0.00157875009990094,1.9098358398444e-17,-8.60819515465516e-05,0.205791134352087,0.000507951276718044,-0.00260328289227975,-0.000561591307866982,0.00083576401543731,-0.00284799862770876,-0.0767215291279055,-0.0773905363986754,0.00127124921289218,-0.000156996131068161,0.00221931510343606,-0.00156672861932225,-0.0130330006182227,0.00250335672490229,-0.116619075582738,-0.0010547787459696,-0.00109981714252813,-0.00256083788023637,0.13546617963101,-0.064658007163518,-0.00104928322154249,-0.0272439814373139,-0.00184551897006272,-1.82912045533761e-05,-0.00052244513594088,-0.205247503546668,-0.000252306852966677,0.00446965225917178,0.0159139473905358,-0.000735945416678263,1.46145123358227e-05,0.000393256810719595,-0.000358788410226287,-0.000491629448793847,-8.49517245326396e-07,-3.37676201609197e-06,-0.0133538284334061,3.29921624282061e-05,-7.8555004878883e-06,0.00104530906238683,-7.78330775893997e-05,-1.3732835866663e-05,0.0692239672314395,0.000446292004490951,0.0114837902623163,-0.00374738046783345,-0.0797862418158477,-0.0337017826307107,-0.0215193480757074,-0.00312164092840255,0.0117793778885012,0.152182885993097,-0.00551729539033316,-0.0278724215220317,-0.0129840404428379,0.0289162993171898,0.00198412089572742,-0.021010113332138,-0.0101988773682609,-0.00148869051801784,-0.0640032077193904,-0.0119049780896227,-0.0180029771853934,-0.177079649518517,0.0297199754384438,0.011089709164638,0.288832264025468,-0.0686388205675601,-0.0122064017437947,-0.579840791948118
