"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95","V_96","V_97","V_98","V_99","V_100","V_101","V_102","V_103","V_104","V_105","V_106","V_107","V_108","V_109"
"t69",-0.00659202329795022,0.0938755197759776,-0.00740865260124022,0.139395048225288,-0.220037825704638,-0.0226652883884648,0.0563280455567132,-0.00136918017384071,0.00271617922263801,-0.0012877780119792,0.00137414232442078,-0.00795108297402635,0.00974739896262101,-0.0366950063273616,0.380830710098532,-0.00453094240726395,0.0109269641813862,0.0114310689923996,0.0132927851734784,-0.0101278586542344,-0.00079023408705802,0.00760138952169247,-0.0785012965646694,0.0263555662249712,7.82301231289909e-05,-0.00272130278866305,0.000151011261301513,-0.00140532562365637,0.000292240534206525,-0.000875404449420507,0.499183812610608,-1.17934700845764e-06,0.000126764984744745,-0.0633182112556877,0.00131971941792371,-0.0489462511539221,0.0062185969066446,-0.00209928076529249,4.36120726540185e-06,0.00275676292125045,-0.00310734498848245,0.00446933933530706,-0.000172458379545276,0.000292699475736628,0.00966983113324276,-7.23100123046807e-05,-0.000447978930569963,1.08187906014529e-06,0.000119579477330041,-8.13927225909552e-05,-0.000769620655916258,-0.00224291449191845,0.0241588036497784,-1.60319106602016e-05,-2.85555970049999e-05,-5.76982889836499e-06,-1.21871646822586e-05,-2.8521565825954e-06,-3.56263232836601e-05,-3.90879769493117e-05,-2.4125024324841e-05,2.19754134062068e-06,0.000100313508068852,2.04534568989498e-06,1.17026946472366e-05,3.38045793652998e-05,-1.34784350778579e-05,-5.96713232385585e-05,-3.38810984836145e-06,-2.49596944393131e-07,-2.48281477353783e-05,1.71830953126384e-05,0.00917110401734865,-6.26833612426159e-05,-4.62129854447949e-07,-1.42310374628222e-06,1.9959409564444e-05,4.66462831404962e-16,5.63018660668801e-15,1.50074377545328e-10,-0.000169815514230701,-6.71642971013265e-14,-8.91292088018458e-16,-1.93828679290808e-15,-6.1260392731885e-15,-2.49892911539279e-15,-1.85552679423419e-14,-1.62420122466372e-14,0.70710678118655,-4.87671330484125e-08,-2.8560758962725e-15,-3.49298519603896e-15,-4.25943978557065e-15,-2.12385377316743e-15,-3.15185701341438e-16,-4.96530705715232e-16,-1.07255185197464e-15,-3.22712103463598e-15,-6.13859767180257e-16,-1.56761660483369e-15,-2.91739074130097e-16,1.28525625337756e-16,-9.8615410595006e-16,-1.44010625450303e-15,-5.1245620231159e-16,-1.51927582107387e-17,-2.26412855992991e-15,-1.03072484152581e-15,3.37455392971178e-17
"t70",-0.00659202329795017,0.0938755197759775,-0.00740865260123957,0.139395048225288,-0.220037825704638,-0.0226652883884652,0.0563280455567137,-0.00136918017384077,0.00271617922263792,-0.00128777801197902,0.00137414232442065,-0.00795108297402629,0.00974739896262113,-0.0366950063273614,0.380830710098532,-0.00453094240726382,0.010926964181386,0.0114310689923998,0.0132927851734786,-0.0101278586542344,-0.00079023408705869,0.00760138952169246,-0.0785012965646698,0.026355566224971,7.82301231290281e-05,-0.00272130278866298,0.00015101126130125,-0.00140532562365631,0.000292240534206753,-0.000875404449420982,0.499183812610611,-1.17934700857366e-06,0.000126764984744594,-0.0633182112556899,0.00131971941792353,-0.0489462511539245,0.00621859690664499,-0.00209928076529228,4.36120726573594e-06,0.0027567629212489,-0.00310734498848134,0.00446933933530588,-0.00017245837954559,0.000292699475736233,0.00966983113324423,-7.23100123037042e-05,-0.000447978930570218,1.08187905977634e-06,0.000119579477330761,-8.13927225897989e-05,-0.000769620655914742,-0.00224291449191773,0.0241588036497738,-1.60319106595417e-05,-2.85555970052678e-05,-5.76982889617311e-06,-1.21871646820018e-05,-2.85215657938896e-06,-3.56263232839667e-05,-3.90879769490776e-05,-2.41250243230949e-05,2.19754134117505e-06,0.000100313508068645,2.04534569235042e-06,1.17026946462336e-05,3.38045793648929e-05,-1.34784350789604e-05,-5.96713232405932e-05,-3.38810984735354e-06,-2.49596942253577e-07,-2.48281477361617e-05,1.7183095313135e-05,0.00917110401735086,-6.2683361242656e-05,-4.62129853749051e-07,-1.42310374527708e-06,1.99594095660183e-05,-7.18858951174414e-16,-5.47442733146256e-15,1.50072673087155e-10,-0.000169815514211176,6.60946397824638e-14,9.5285858730411e-16,2.26826399826723e-15,5.94724056560983e-15,2.52150573402444e-15,1.84267405757994e-14,1.62282852707828e-14,-0.707106781186547,-4.87671668980933e-08,2.86614009799017e-15,3.4480186128939e-15,4.6736452769174e-15,2.08439106481908e-15,3.05307690093907e-16,5.48359821596205e-16,9.43511281823842e-16,3.43299366701564e-15,5.62635233250393e-16,1.50399211778181e-15,2.64502367331177e-16,-1.45792896376337e-16,1.1327789253727e-15,1.491108555023e-15,6.26855435211472e-16,3.92964710511715e-18,2.54129748165663e-15,1.01966977208512e-15,5.25215540570031e-19
"t115",-0.00658845411169007,0.0937207235321604,-0.00739580544650492,0.139097986953475,-0.21942352110914,-0.0225765006168204,0.056049166034749,-0.0013622399083309,0.00270169392118447,-0.00128087757423949,0.001361062682243,-0.00786095534482402,0.0096337302942914,-0.0362299637911366,0.375635739042463,-0.00445109435951318,0.01072933641055,0.0112120415845344,0.013034763344925,-0.00989589894259435,-0.000771741062293582,0.00741701777430734,-0.0757988977540545,0.0248138841836758,7.29622219889782e-05,-0.00249355798326857,0.000135271539474053,-0.00123221139990789,0.000243214569616515,-1.66241839608849e-06,-0.500619054229805,1.67466250231402e-06,0.000465093362547301,-0.0787870412479517,0.00161066876406687,-0.0594768698118094,0.00733176771017346,-0.00243235780909102,4.94791042087294e-06,0.00308318473983684,-0.00347288579696476,0.00493062951549729,-0.000188619266826581,0.00031932594329364,0.0104765174382851,-7.78439347479583e-05,-0.000482241803150771,1.15981449471992e-06,0.000128182544591963,-8.69277409660701e-05,-0.000821081712861856,-0.00239219665682775,0.0257489560467606,-1.70706787824172e-05,-3.03693829511927e-05,-6.13256218900077e-06,-1.29520438420493e-05,-3.03072169700077e-06,-3.78555243790074e-05,-4.15249512477578e-05,-2.56249650348744e-05,2.32945594443477e-06,0.000106320586888422,2.16603494832998e-06,1.23930551397855e-05,3.57964573303372e-05,-1.42653684757032e-05,-6.3134623890151e-05,-3.58376412078539e-06,-2.63801808433976e-07,-2.62357835275704e-05,1.81488404748088e-05,0.00968416386084522,-6.61839208475644e-05,-4.87845544472886e-07,-1.50005508783579e-06,2.10226764035107e-05,-4.77156775522342e-17,8.08980932870336e-16,1.57363447463273e-10,-0.000178032524184845,2.81535563463485e-17,-8.94241820993374e-16,-6.69710186756191e-16,9.17321823061964e-16,1.2360425680067e-15,1.31886791613211e-15,-2.04193569434843e-16,1.88737914186277e-15,-5.10816996339752e-08,6.28124858606378e-16,-1.98671420188946e-15,6.94459292879894e-16,1.75252790463555e-15,-2.31176186198409e-15,1.78876550727636e-15,7.1675983649956e-16,-2.14490191879341e-15,-1.40626685463287e-15,9.16202661787149e-18,-1.80411694905824e-15,1.38313549029609e-15,-1.37509649361979e-15,9.14622199835413e-16,-8.66443044973388e-15,4.35145243285526e-15,0.707106781186548,-1.87234515900873e-14,-1.62548182799785e-15
"t116",-0.00658845411169007,0.0937207235321603,-0.00739580544650497,0.139097986953475,-0.21942352110914,-0.0225765006168205,0.0560491660347492,-0.00136223990833075,0.00270169392118443,-0.00128087757423935,0.00136106268224316,-0.00786095534482408,0.00963373029429154,-0.0362299637911364,0.375635739042463,-0.00445109435951341,0.01072933641055,0.0112120415845347,0.0130347633449254,-0.00989589894259424,-0.00077174106229369,0.00741701777430728,-0.0757988977540546,0.0248138841836759,7.29622219889817e-05,-0.00249355798326915,0.000135271539473739,-0.00123221139990766,0.000243214569616316,-1.66241839604105e-06,-0.500619054229805,1.67466250231167e-06,0.000465093362547445,-0.0787870412479526,0.00161066876406595,-0.0594768698118104,0.00733176771017345,-0.00243235780909117,4.94791042151665e-06,0.00308318473983646,-0.00347288579696475,0.00493062951549755,-0.000188619266827045,0.000319325943294018,0.0104765174382842,-7.78439347486045e-05,-0.00048224180315015,1.15981449553222e-06,0.000128182544592521,-8.69277409651562e-05,-0.000821081712861122,-0.00239219665682674,0.0257489560467609,-1.70706787810074e-05,-3.03693829514322e-05,-6.13256218751418e-06,-1.29520438423852e-05,-3.03072169640905e-06,-3.78555243786115e-05,-4.15249512471222e-05,-2.5624965034263e-05,2.32945594600118e-06,0.000106320586887414,2.16603494896581e-06,1.23930551380308e-05,3.57964573296899e-05,-1.42653684756908e-05,-6.31346238905352e-05,-3.58376412046675e-06,-2.63801807254867e-07,-2.62357835286665e-05,1.81488404744906e-05,0.00968416386084324,-6.6183920849073e-05,-4.87845543721026e-07,-1.50005508782097e-06,2.10226764024131e-05,3.00384541683177e-16,-8.65662518336742e-16,1.57365920603271e-10,-0.000178032524185237,3.79760927705823e-16,8.58589773582177e-16,7.86685059267136e-17,-7.64017497330397e-16,-1.24188400365129e-15,-1.14201647564367e-15,9.07139239079762e-17,-3.19189119579733e-15,-5.10817022575729e-08,-5.70117916630301e-16,2.12532428483152e-15,-7.10070665616034e-16,-1.69770493992234e-15,2.14720250838997e-15,-1.78981519783498e-15,-6.69528315991692e-16,1.9592613999484e-15,1.28863466478742e-15,-5.53443943759854e-17,1.77393975246046e-15,-1.29053262302925e-15,1.34757790233766e-15,-8.51893865140128e-16,8.48488325314881e-15,-4.54488432903933e-15,-0.707106781186548,1.88773837795762e-14,1.56781227441244e-15
"t9",-0.00655572264310425,0.0929376275541943,-0.00733543621443977,0.138230712621477,-0.219716903887607,-0.0232895207667151,0.0611277071220377,-0.0014987984925445,0.00303869731383077,-0.00144397408368666,-0.0114809733126021,0.00457817922956842,-0.00436273554205507,0.00798758240563004,-0.0415904014250838,-6.24923653949961e-05,0.000168302846255217,0.000169657024187418,0.000186297085539918,0.000145887669459465,1.59232079421542e-05,-0.000232373950682136,0.0139840783512649,-0.0133718607207344,-4.75642485114318e-05,0.00209192119213202,-0.000140828934769832,0.00148213472105902,-0.000369381459681894,0.00106636963661284,-0.0121349922467728,-6.04818972975335e-07,-0.000858722863613939,0.438960578634507,-0.0103766835808662,0.398697731616371,-0.0736290853835306,0.0391889866135649,-0.00533890206210142,0.0514219703822496,-0.0546122434759932,0.0314023915192563,-0.000658610137737112,0.00089487996822933,0.00966742974285056,0.000101947266992872,0.000641219272748848,-4.57194251829857e-06,-0.000515387739161915,0.00088230610739076,0.0120288770580831,0.0394579462082702,-0.596543325364797,0.000843780274329843,-0.00443026565518599,-0.000299563659244326,-0.000570451728463599,-0.000116773968984232,-0.0014177607299577,-0.00131806169731308,-0.000727930597503479,2.62718669691321e-05,0.00113852549656582,1.65913081146997e-05,9.43109211304925e-05,0.000264412887359122,-7.98070840551037e-05,-0.000274325212554818,-1.12725894906884e-05,5.79325603647342e-07,0.00012385989839999,-0.000321273720919273,-0.430040576114528,0.00515116995402967,-0.00014122497139667,-2.16370596429106e-05,0.000238562660132594,-5.3802864718509e-16,9.66989165333062e-17,9.74688855300294e-10,-0.00108525347420478,1.05241614770854e-15,1.11614937965301e-18,6.77569244308911e-16,1.00814501359844e-15,1.92382078121255e-16,-4.99121086246862e-17,4.64446097098096e-17,-2.77555756156289e-16,-2.90168757904112e-07,9.98959030370124e-17,3.36958810719914e-16,9.68275560326766e-18,2.23114519999796e-16,3.55851520355576e-16,-2.73963835481135e-16,3.05158307582281e-16,3.83084494281624e-16,7.78428982816164e-17,4.74150315746885e-16,1.52943485909932e-16,-2.88372443313772e-16,1.54569911962188e-16,-1.30100266546775e-16,2.57591771958968e-16,-7.81007997396848e-16,-9.46299451042662e-17,-2.44849340080049e-16,5.58943069726407e-17
"t12",-0.00670494472148696,0.0998181154632442,-0.00790956518234701,0.151865012725219,-0.249374158429878,-0.0280684602757642,0.0783183314175478,-0.00193456723406323,0.00398911841720011,-0.00189875126812885,-0.0216103107659768,0.0110911718406189,-0.0111869057734065,0.0252825852401658,-0.173424478029464,0.000429990790254898,-0.000841612600390338,-0.000503283677674928,-0.00050172854561791,-0.000149919996866502,-1.46888309361084e-05,0.000179588045854553,-0.000863597689104531,-0.00376399912306994,-1.57660040378999e-05,0.00082250653457976,-6.22792405315262e-05,0.000701271913075369,-0.000191901011919582,0.000683977555231034,-0.00796089927641658,-3.9833127339526e-07,-0.000586582101258094,0.367415913594525,-0.00894781731473496,0.346496032930212,-0.0686815216229177,0.0388902411850738,-0.00595945229950777,0.0658097896660124,-0.0705019094172782,0.051214385600196,-0.00147127008210973,0.00232705176039995,0.0653558427690495,-0.000442901749889888,-0.00274266258303345,6.49259538065402e-06,0.00071775616674077,-0.000515112983564265,-0.00510930436027576,-0.01517374030738,0.174221573656112,-0.000141932740766285,6.39442756702928e-05,-2.0479205153582e-05,-4.70251247540724e-05,-1.2050023890691e-05,-0.000153138879291308,-0.000183870916541698,-0.00011962568572005,1.58664105012601e-05,0.000741560143114224,1.777446417397e-05,0.000102025189477336,0.000299050353263521,-0.000135801363440204,-0.000665304438146027,-4.18004940555595e-05,-4.70831301221761e-06,-0.000554109933613684,0.000705985638358542,0.740837838187364,-0.00819635821289805,0.000194111961639124,1.32656224649319e-05,-0.000106797758622338,1.0313918641661e-16,-3.76821066677824e-17,-3.13190418121946e-11,2.42104591028455e-05,-2.1257068390183e-16,-1.94138885133676e-16,-3.97285547669667e-16,-1.62828249909399e-15,-4.33414145769581e-16,2.77627344904292e-16,6.76006617889121e-18,-1.66533453693773e-16,-5.87161929209811e-09,-5.40459694907886e-16,-2.62126324914143e-16,-3.20044211957649e-16,-1.81974846013635e-16,-2.26551402534988e-16,3.50212424296844e-16,-7.72699607551795e-18,-1.8869094952356e-18,2.3116441940423e-16,-4.23485103093218e-16,-1.93331267007272e-16,4.91896174586973e-16,-2.89303739215527e-16,5.56230300383948e-17,-1.53633227494942e-16,1.96632951792389e-15,-1.69706082281469e-15,1.21127566497934e-16,-9.79041213835444e-17
"t18",-0.0068210623008639,0.10523231687911,-0.00836172477182683,0.162644965516079,-0.272974029283432,-0.0319123066317946,0.0922784788503768,-0.00228882787554524,0.00476362838275374,-0.00226944038932234,-0.0301689785295521,0.0166755554044471,-0.0170531650708354,0.0402672225104842,-0.288491560885816,0.000872385168538289,-0.00175172002373595,-0.00111416530812798,-0.00112735245960891,-0.000425048721705295,-4.3249508003717e-05,0.000565966289390596,-0.0156025684499747,0.00680463991834119,2.02694162541918e-05,-0.000685511075292368,3.56382512486305e-05,-0.000308198794430268,5.29496213191265e-05,8.79961338175672e-06,-0.000300846067850186,-1.67317546167182e-08,-4.68937608995492e-05,0.0920283605084081,-0.00242307290284179,0.0956269823328954,-0.0219910102123012,0.013819515455849,-0.00247252006716058,0.031246388689384,-0.0337225027152812,0.0288338360543641,-0.000959743126894753,0.00159974563954417,0.054000193582276,-0.000476217068113153,-0.00295596143203597,9.32159135990608e-06,0.00103860524545847,-0.00120327468832345,-0.0151423295376334,-0.0487242103170862,0.706677575570904,-0.000954219030797508,0.00483763842085152,0.00032533504489807,0.00061958398351618,0.000126917213487189,0.00154129400227498,0.00143644708289033,0.000795662993169605,-3.36263294290925e-05,-0.00149192904484565,-2.68973757347127e-05,-0.000153685435212584,-0.000441358457647966,0.000171672182151609,0.000765517840665529,4.45236131955124e-05,4.06067701105672e-06,0.000453331944750024,-0.000513178790545555,-0.506283032274136,0.00547321350488931,-0.000123683360757309,-5.83535163766659e-06,3.86555740113991e-05,4.80361669646339e-16,-5.44273475839439e-17,2.0415123951175e-12,-1.36465998972159e-06,7.9551697197388e-16,2.67154906980576e-16,-1.70260911920197e-16,9.89103653328548e-16,2.67009700509014e-16,3.62422230564544e-16,-1.02916409920178e-16,-3.60822483003176e-15,1.02454098667307e-10,4.49398828567596e-16,-2.85799869238381e-16,1.5020946614512e-16,-1.59955306048936e-16,4.1129748684199e-17,-1.03825064544182e-16,-3.90751428685601e-17,-5.70955099281827e-16,-2.87586955136281e-16,2.67785760823641e-17,7.91606198474973e-17,2.48855019685329e-16,3.62920140497962e-16,-2.05947291395637e-17,-5.10883033890772e-16,-1.88467081368302e-15,4.89608153533555e-16,2.57712723568683e-16,4.50469155431472e-18
"t34",-0.00690117779609015,0.109001755044673,-0.00867673857632467,0.170178912320434,-0.289552817648257,-0.0346357111119661,0.102244500366917,-0.00254194577217512,0.00531805785948491,-0.00253484454448009,-0.0364694108099261,0.0208323878752985,-0.0214282676470081,0.051508857228797,-0.375290346269292,0.00121320941306466,-0.00245449836448386,-0.00158837132151934,-0.00161358701832277,-0.000642337770247026,-6.58552110088203e-05,0.000872908517095681,-0.027772764812529,0.016118125365718,5.2593877150346e-05,-0.0020753828107981,0.000128301389358153,-0.00128198444505154,0.00029696311446559,-0.000739180080552612,0.00830698132220253,4.13168211867402e-07,0.000576146548866227,-0.280851717758417,0.00664454556640645,-0.25543538716566,0.0476711645950944,-0.0258093040635431,0.00369514923380961,-0.0385675273839429,0.0411969544177336,-0.0282715016594955,0.000784454422841358,-0.00123127225320619,-0.0343878156021467,0.000244509674224982,0.00151519168955386,-4.02654867908117e-06,-0.000446879026889482,0.000430891779592801,0.00510489769223225,0.0161491130843403,-0.224605853704472,0.000285138917036894,-0.00133098345290029,-8.55726055324375e-05,-0.000161743251772031,-3.27678659739211e-05,-0.000396921906971947,-0.000363874666519682,-0.000198998782181665,7.06134015465084e-06,0.000309235229017492,5.13271228830069e-06,2.92832703166572e-05,8.35304393931681e-05,-3.07513714050795e-05,-0.000132154713985064,-7.44116699297541e-06,-6.14616241132209e-07,-6.67657854652414e-05,7.08083009890726e-05,0.067365430228441,-0.000718111676780291,1.57616663711138e-05,5.69478282716718e-07,-3.1830581204064e-06,-8.80092308877949e-15,1.44006687739982e-14,2.80247305973971e-14,-1.52701008116092e-08,-0.707106781186549,2.64811904620618e-13,2.35231071894537e-14,-5.38869025658582e-15,-5.15343038430122e-14,-1.07630091305785e-14,-1.5771047184746e-14,-6.45039577307216e-14,2.97929125636189e-12,3.47973595058297e-15,9.55937162290701e-15,-9.713498902833e-15,2.36759902771973e-15,2.33647230446949e-16,-7.37589527435927e-16,-5.26521737053397e-15,7.80896985997217e-16,-1.46017900712674e-15,2.1825010065224e-15,-5.55746528170684e-16,-2.06591417108513e-15,2.09754143250503e-16,-2.0860670737679e-15,1.44646830000186e-16,-9.03260077807331e-16,1.02099468240013e-16,5.72998673434214e-16,-2.29296654093326e-16
"t35",-0.00690117779609012,0.109001755044673,-0.00867673857632434,0.170178912320434,-0.289552817648257,-0.0346357111119661,0.102244500366916,-0.002541945772175,0.00531805785948499,-0.00253484454448003,-0.0364694108099261,0.0208323878752985,-0.0214282676470081,0.0515088572287972,-0.375290346269293,0.00121320941306465,-0.00245449836448392,-0.00158837132151917,-0.00161358701832289,-0.000642337770247173,-6.58552110083669e-05,0.000872908517095894,-0.0277727648125293,0.0161181253657181,5.25938771508631e-05,-0.0020753828107982,0.000128301389357192,-0.00128198444505137,0.000296963114466062,-0.000739180080552901,0.00830698132220331,4.13168211915752e-07,0.000576146548866092,-0.280851717758418,0.00664454556640646,-0.255435387165661,0.0476711645950947,-0.0258093040635432,0.00369514923380982,-0.0385675273839429,0.0411969544177332,-0.0282715016594947,0.000784454422840239,-0.00123127225320672,-0.0343878156021472,0.000244509674225144,0.00151519168955129,-4.02654867792262e-06,-0.000446879026887987,0.000430891779594118,0.00510489769223162,0.0161491130843399,-0.224605853704472,0.000285138917036703,-0.00133098345290055,-8.55726055295664e-05,-0.000161743251770791,-3.27678659745518e-05,-0.000396921906971535,-0.000363874666517968,-0.000198998782181913,7.06134015775335e-06,0.000309235229017919,5.13271229043969e-06,2.9283270316946e-05,8.35304393942146e-05,-3.07513714032714e-05,-0.000132154713985507,-7.44116699815253e-06,-6.14616237448109e-07,-6.67657854651889e-05,7.08083009887927e-05,0.0673654302284426,-0.000718111676781315,1.57616663734837e-05,5.69478283935812e-07,-3.18305811821419e-06,8.51125310320646e-15,-1.43686179503848e-14,2.06908709875691e-15,-1.52701326908529e-08,0.707106781186547,-2.64907656435545e-13,-2.35740612858258e-14,5.25998186476386e-15,5.15270145410767e-14,1.04423240261131e-14,1.57919099072051e-14,6.8889338677991e-14,2.97506613193728e-12,-3.59307480955397e-15,-9.22570113095469e-15,9.25491909665536e-15,-2.17110118075101e-15,-3.1098546162896e-16,7.18363906984217e-16,5.18955950345755e-15,-4.00851809356045e-16,1.41948159729819e-15,-2.14289485961416e-15,4.69850432285056e-16,1.74055604243629e-15,-2.7526647612768e-16,2.18238754633761e-15,3.81346960485219e-16,1.47536424577161e-15,5.18537812098489e-16,-6.58323567284807e-16,2.67711628091709e-16
"t1",0.0221736638191596,0.0503103692198138,-0.00357294842029066,0.0265666098612729,-0.0335438583319699,0.000860911078651827,-0.0167752338913029,-0.00811487318173089,-0.000987522497066198,0.00264436353878479,0.0410489218995919,-0.00795925516318344,0.0180717971032455,-0.026481842230002,0.0321641347863484,0.00245831384814434,-0.014871904310432,-0.0178424936215484,-0.0213093105931588,0.0206549660012205,0.0016394108479883,-0.00807990308005989,0.137441277425303,-0.0725970349543108,0.00278027142684085,0.0091631777581376,-0.00208428887768625,0.00548600442596712,-0.00355385999246385,0.0024699842289625,-0.00389684345227967,-1.39099594872386e-06,-0.00350894345497915,0.245621662938079,-0.00642786726478907,-0.0308699459804142,0.0943500052062082,-0.0917318716660429,0.0160188351397438,-0.346956190922353,0.390145227496664,-0.366990287103907,-0.00157406886773324,-0.0210805490121624,-0.675463748261687,0.0204108835601484,0.0331481975997155,0.000794980543882866,-0.00792069224083351,-0.00629412320762532,0.0251195765651629,0.0564827577872128,0.0785348311019566,0.00151596055931459,0.0233339977913993,-0.0012074248972195,-0.00234530304472268,0.000865256689233712,-0.00602036010815948,0.0110289586378625,0.00644119157078912,-0.000450492148516987,-0.0204582746515185,-0.000409363595996813,-0.00234098630058854,0.00209493534977963,0.00269083105779415,-0.00316177163329202,0.000673793088668999,-1.02943709868266e-05,0.00449572535462562,0.000433081322960422,0.0181308947036148,0.00163833996756695,-0.000128347207155326,0.00053603026989286,0.00078900381122552,8.17330665744435e-16,2.05908781064393e-16,4.03100219323227e-07,-0.00433940869308981,6.67880066840161e-18,1.11328127564629e-16,-6.549780881294e-16,-1.61905516930918e-17,-9.22805144385824e-17,-3.06254332537248e-16,-2.31333288908233e-16,-3.88578058618805e-16,-3.93260353217354e-05,-5.04985754297236e-16,-1.18116456438213e-16,1.15797188526443e-16,-2.83284181374093e-17,-2.39285945178631e-16,3.51878173325558e-17,2.54586244171404e-18,6.13838800379924e-18,3.11674958689886e-17,1.2166204456029e-16,-1.52718438546432e-16,-1.64837701237713e-17,1.04515987794349e-16,9.92128336812248e-18,2.99016054870858e-16,-6.10916428519174e-16,4.69875827580839e-16,4.1979520074389e-17,-8.85989457794559e-17
