"","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91","t92","t93","t94","t95","t96","t97","t98","t99","t100","t101","t102","t103","t104","t105","t106","t107","t108","t109","t110","t111","t112","t113","t114","t115","t116","t117","t118","t119","t120","t121","t122","t123","t124","t125","t126","t127","t128","t129","t130","t131","t132","t133","t134","t135","t136","t137","t138","t139","t140","t141","t142","t143","t144","t145","t146","t147","t148","t149","t150","t151","t152","t153","t154","t155","t156","t157","t158","t159","t160","t161","t162"
"t1",0,5.17830086048654,6.49912172972487,13.0633266865588,15.0926000362236,13.4211712075426,17.6161414182523,14.34470989679,13.8062800437989,17.7682586185845,15.3712041979457,14.9952255309102,16.2601028811556,15.7751353644616,16.8544361767828,21.5921329339995,17.5289680966132,17.3669335706223,16.4479278900525,19.4105636286772,18.2951256123331,17.0753172554971,20.1902929534488,18.3606225304421,17.3141987668615,17.4641359277585,17.6272078588656,20.3518977440246,19.1492475849992,18.4912436879271,18.5930818878235,18.0379169032141,21.5921329339995,18.9697588476765,19.7532007976187,19.7932922215994,20.0473758821234,18.5177144768884,21.5921329339995,21.1863220887937,19.1178287706774,20.601698971422,20.3029550776129,19.9899220744328,21.5921329339995,21.5921329339995,20.8689738680912,21.5921329339995,19.7736815072061,21.5921329339995,21.1704037245604,19.7389278386962,20.2693118769913,20.127393153161,20.5064281193562,21.2835161045541,19.4332524963473,21.5921329339995,21.5921329339995,19.4914473297044,21.5921329339995,21.5921329339995,20.9225749683803,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,19.9771555993623,19.9856560760694,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,20.0998515709779,21.5921329339995,21.5921329339995,21.5921329339995,21.1850466340921,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.2909184570834,21.5921329339995,21.5921329339995,21.0258634658454,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5119695036428,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.497897082858,21.5921329339995,21.5921329339995,21.4842876375499,21.462119592042,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995,21.5921329339995
"t2",5.17830086048654,0,1.63491091731322,8.19911587414718,10.2283892238119,8.55696039513093,12.7519306058406,9.48049908437838,8.94206923138723,12.9040478061729,10.506993385534,10.1310147184985,11.3958920687439,10.91092455205,11.9902253643711,16.7279221215879,12.6647572842015,12.5027227582106,11.5837170776409,14.5463528162656,13.4309147999214,12.2111064430855,15.3260821410372,13.4964117180305,12.4499879544498,12.5999251153469,12.762997046454,15.4876869316129,14.2850367725875,13.6270328755154,13.7288710754118,13.1737060908024,16.7279221215879,14.1055480352648,14.888989985207,14.9290814091877,15.1831650697117,13.6535036644767,16.7279221215879,16.3221112763821,14.2536179582658,15.7374881590103,15.4387442652013,15.1257112620212,16.7279221215879,16.7279221215879,16.0047630556795,16.7279221215879,14.9094706947944,16.7279221215879,16.3061929121487,14.8747170262845,15.4051010645797,15.2631823407493,15.6422173069446,16.4193052921424,14.5690416839356,16.7279221215879,16.7279221215879,14.6272365172927,16.7279221215879,16.7279221215879,16.0583641559686,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,15.1129447869507,15.1214452636577,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,15.2356407585663,16.7279221215879,16.7279221215879,16.7279221215879,16.3208358216805,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.4267076446718,16.7279221215879,16.7279221215879,16.1616526534337,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.6477586912312,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.6336862704464,16.7279221215879,16.7279221215879,16.6200768251382,16.5979087796303,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879,16.7279221215879
"t3",6.49912172972487,1.63491091731322,0,7.13972777922094,9.16900112888571,7.49757230020469,11.6925425109144,8.42111098945214,7.88268113646099,11.8446597112466,9.44760529060779,9.0716266235723,10.3365039738177,9.85153645712375,10.9308372694449,15.6685340266616,11.6053691892753,11.4433346632843,10.5243289827146,13.4869647213393,12.3715267049952,11.1517183481592,14.2666940461109,12.4370236231042,11.3905998595236,11.5405370204206,11.7036089515277,14.4282988366867,13.2256486776613,12.5676447805892,12.6694829804856,12.1143179958762,15.6685340266616,13.0461599403386,13.8296018902808,13.8696933142615,14.1237769747855,12.5941155695505,15.6685340266616,15.2627231814558,13.1942298633395,14.6781000640841,14.379356170275,14.0663231670949,15.6685340266616,15.6685340266616,14.9453749607533,15.6685340266616,13.8500825998682,15.6685340266616,15.2468048172225,13.8153289313583,14.3457129696534,14.2037942458231,14.5828292120183,15.3599171972162,13.5096535890094,15.6685340266616,15.6685340266616,13.5678484223665,15.6685340266616,15.6685340266616,14.9989760610424,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,14.0535566920244,14.0620571687315,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,14.17625266364,15.6685340266616,15.6685340266616,15.6685340266616,15.2614477267542,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.3673195497455,15.6685340266616,15.6685340266616,15.1022645585075,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.5883705963049,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.5742981755201,15.6685340266616,15.6685340266616,15.560688730212,15.5385206847041,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616,15.6685340266616
"t4",13.0633266865588,8.19911587414718,7.13972777922094,0,6.42703882017744,4.75560999149643,8.95058020220612,6.025082184563,5.48665233157184,9.10269740253836,7.63543243280835,6.67559781868316,7.59454166510942,7.10957414841549,9.11866441164544,12.9265717179534,9.79319633147584,8.70137235457609,8.71215612491517,10.7450024126311,10.5593538471957,9.33954549035979,11.5247317374027,10.0409948182151,8.99457105463441,9.72836416262118,9.89143609372829,11.6863365279784,10.483686368953,9.82568247188093,9.9275206717773,9.37235568716789,12.9265717179534,10.3041976316303,11.0876395815725,11.1277310055532,11.3818146660772,9.85215326084224,12.9265717179534,12.5207608727476,10.4522675546312,12.8659272062846,11.6373938615668,11.3243608583867,12.9265717179534,12.9265717179534,12.203412652045,12.9265717179534,11.1081202911599,12.9265717179534,12.5048425085142,11.07336662265,11.6037506609452,11.4618319371148,11.84086690331,12.6179548885079,10.7676912803011,12.9265717179534,12.9265717179534,10.8258861136582,12.9265717179534,12.9265717179534,12.2570137523341,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,11.3115943833162,11.3200948600232,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.3640798058406,12.9265717179534,12.9265717179534,12.9265717179534,12.5194854180459,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.6253572410373,12.9265717179534,12.9265717179534,12.3603022497992,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.8464082875967,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,13.8563611688622,13.8563611688622,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.8323358668119,12.9265717179534,12.9265717179534,12.8187264215037,12.7965583759958,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534,12.9265717179534
"t5",15.0926000362236,10.2283892238119,9.16900112888571,6.42703882017744,0,4.84193120334995,9.03690141405964,8.05435553422776,7.51592568123661,9.18901861439188,9.66470578247312,8.70487116834793,7.68086287696294,7.19589536026901,11.1479377613102,13.0128929298069,11.8224696811406,8.78769356642961,10.7414294745799,10.8313236244846,12.5886271968605,11.3688188400246,11.6110529492562,12.0702681678799,11.0238444042992,11.7576375122859,11.9207094433931,11.772657739832,10.5700075808065,9.91200368373445,10.0138418836308,9.45867689902141,13.0128929298069,10.3905188434838,11.173960793426,11.2140522174068,11.4681358779307,9.93847447269576,13.0128929298069,12.6070820846011,10.5385887664848,14.8952005559494,11.7237150734203,11.4106820702402,13.0128929298069,13.0128929298069,12.2897338638985,13.0128929298069,11.1944415030134,13.0128929298069,12.5911637203677,11.1596878345036,11.6900718727987,11.5481531489683,11.9271881151636,12.7042761003614,10.8540124921546,13.0128929298069,13.0128929298069,10.9122073255117,13.0128929298069,13.0128929298069,12.3433349641876,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,11.3979155951697,11.4064160718767,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,14.3933531555054,13.0128929298069,13.0128929298069,13.0128929298069,12.6058066298995,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,12.7116784528908,13.0128929298069,13.0128929298069,12.4466234616527,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,12.9327294994502,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,15.8856345185269,15.8856345185269,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,12.9186570786654,13.0128929298069,13.0128929298069,12.9050476333573,12.8828795878494,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069,13.0128929298069
"t6",13.4211712075426,8.55696039513093,7.49757230020469,4.75560999149643,4.84193120334995,0,5.88815422134869,6.38292670554675,5.8444968525556,5.29672012328263,7.9932769537921,7.03344233966691,4.53211568425199,4.04714816755806,9.47650893262919,9.12059443869762,10.1510408524596,4.89539507532036,9.07000064589893,6.93902513337533,10.9171983681795,9.69739001134354,7.71875445814695,10.3988393391989,9.35241557561817,10.0862086836049,10.249280614712,7.88035924872271,7.42126038809559,6.0197051926252,6.12154339252157,6.30992970631046,9.12059443869763,6.49822035237457,8.02521360071508,7.32175372629751,7.57583738682147,6.04617598158651,9.12059443869763,8.71478359349183,6.64629027537551,13.2237717272684,7.83141658231103,7.51838357913092,9.12059443869763,9.12059443869763,8.39743537278928,9.12059443869763,7.30214301190419,9.12059443869763,8.69886522925848,7.2673893433943,7.79777338168945,7.65585465785907,8.03488962405431,8.81197760925216,6.96171400104538,9.12059443869763,9.12059443869763,7.01990883440249,9.12059443869763,9.12059443869763,8.45103647307839,9.12059443869763,9.12059443869763,9.12059443869763,9.86414573709593,9.12059443869763,9.12059443869763,9.12059443869763,7.50561710406043,7.51411758076749,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,12.7219243268243,9.12059443869763,9.12059443869763,9.12059443869763,8.71350813879022,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.86414573709593,9.12059443869763,9.86414573709593,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,8.81937996178153,9.12059443869763,9.12059443869763,8.55432497054346,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.86414573709593,9.78398230673925,9.86414573709593,9.86414573709593,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,14.2142056898459,14.2142056898459,9.12059443869763,9.12059443869763,9.86414573709593,9.86414573709593,9.12059443869763,9.12059443869763,9.12059443869763,9.86414573709593,9.86414573709593,9.86414573709593,9.76990988595443,9.12059443869763,9.12059443869763,9.01274914224801,8.99058109674011,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763,9.12059443869763
"t7",17.6161414182523,12.7519306058406,11.6925425109144,8.95058020220612,9.03690141405964,5.88815422134869,0,10.5778969162564,10.0394670632653,10.2352416323906,12.1882471645018,11.2284125503766,6.66622686152155,6.18125934482761,13.6714791433389,14.0591159478056,14.3460110631693,9.83391658442835,13.2649708566086,11.8775466424833,15.1121685788892,13.8923602220532,12.6572759672549,14.5938095499086,13.5473857863279,14.2811788943146,14.4442508254217,12.8188807578307,9.55537156536514,10.9582267017332,11.0600649016296,8.44404088358002,14.0591159478056,11.4367418614826,10.1593247779846,12.2602752354055,12.5143588959295,10.9846974906945,14.0591159478056,13.6533051025998,11.5848117844835,17.4187419379781,12.769938091419,12.4569050882389,14.0591159478056,14.0591159478056,13.3359568818973,14.0591159478056,12.2406645210122,14.0591159478056,13.6373867383665,12.2059108525023,12.7362948907974,12.5943761669671,12.9734111331623,13.7504991183602,11.9002355101534,14.0591159478056,14.0591159478056,11.9584303435105,14.0591159478056,14.0591159478056,13.3895579821864,14.0591159478056,14.0591159478056,14.0591159478056,11.9982569143655,14.0591159478056,14.0591159478056,14.0591159478056,12.4441386131684,12.4526390898755,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,16.916894537534,14.0591159478056,14.0591159478056,14.0591159478056,13.6520296478982,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,11.9982569143655,14.0591159478056,11.9982569143655,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,13.7579014708895,14.0591159478056,14.0591159478056,13.4928464796515,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,11.9982569143655,11.9180934840088,11.9982569143655,11.9982569143655,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,18.4091759005556,18.4091759005556,14.0591159478056,14.0591159478056,11.9982569143655,11.9982569143655,14.0591159478056,14.0591159478056,14.0591159478056,11.9982569143655,11.9982569143655,11.9982569143655,11.904021063224,14.0591159478056,14.0591159478056,13.951270651356,13.9291026058481,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056,14.0591159478056
"t8",14.34470989679,9.48049908437838,8.42111098945214,6.025082184563,8.05435553422776,6.38292670554675,10.5778969162564,0,0.585108317825388,10.7300141165887,8.91681564303955,2.44612413925099,9.22185837915974,8.73689086246581,10.4000476218766,14.5538884320037,11.074579541707,10.3286890686264,9.99353933514637,12.3723191266814,11.8407370574269,10.620928700591,13.152048451453,5.81152113878293,4.76509737520224,11.0097473728524,11.1728193039595,13.3136532420288,12.1110030830033,11.4529991859313,11.5548373858276,10.9996724012182,14.5538884320037,11.9315143456806,12.7149562956228,12.7550477196036,13.0091313801275,11.4794699748926,14.5538884320037,14.1480775867979,12.0795842686816,14.1473104165159,13.2647105756171,12.951677572437,14.5538884320037,14.5538884320037,13.8307293660953,14.5538884320037,12.7354370052102,14.5538884320037,14.1321592225645,12.7006833367004,13.2310673749955,13.0891486511651,13.4681836173604,14.2452716025582,12.3950079943514,14.5538884320037,14.5538884320037,12.4532028277085,14.5538884320037,14.5538884320037,13.8843304663844,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,12.9389110973665,12.9474115740735,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,13.6454630160718,14.5538884320037,14.5538884320037,14.5538884320037,14.1468021320963,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.2526739550876,14.5538884320037,14.5538884320037,13.9876189638495,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.473725001647,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,15.1377443790934,15.1377443790934,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.4596525808622,14.5538884320037,14.5538884320037,14.4460431355541,14.4238750900462,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037,14.5538884320037
"t9",13.8062800437989,8.94206923138723,7.88268113646099,5.48665233157184,7.51592568123661,5.8444968525556,10.0394670632653,0.585108317825388,0,10.1915842635975,8.3783857900484,1.90769428625983,8.68342852616859,8.19846100947466,9.86161776888549,14.0154585790125,10.5361496887159,9.79025921563525,9.45510948215522,11.8338892736902,11.3023072044358,10.0824988475998,12.6136185984619,5.27309128579178,4.22666752221109,10.4713175198612,10.6343894509683,12.7752233890376,11.5725732300122,10.9145693329401,11.0164075328365,10.4612425482271,14.0154585790125,11.3930844926895,12.1765264426317,12.2166178666124,12.4707015271364,10.9410401219014,14.0154585790125,13.6096477338067,11.5411544156904,13.6088805635247,12.7262807226259,12.4132477194458,14.0154585790125,14.0154585790125,13.2922995131042,14.0154585790125,12.1970071522191,14.0154585790125,13.5937293695734,12.1622534837092,12.6926375220044,12.550718798174,12.9297537643692,13.7068417495671,11.8565781413603,14.0154585790125,14.0154585790125,11.9147729747174,14.0154585790125,14.0154585790125,13.3459006133933,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,12.4004812443753,12.4089817210824,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,13.1070331630806,14.0154585790125,14.0154585790125,14.0154585790125,13.6083722791051,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,13.7142441020964,14.0154585790125,14.0154585790125,13.4491891108584,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,13.9352951486559,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.5993145261022,14.5993145261022,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,13.921222727871,14.0154585790125,14.0154585790125,13.9076132825629,13.885445237055,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125,14.0154585790125
"t10",17.7682586185845,12.9040478061729,11.8446597112466,9.10269740253836,9.18901861439188,5.29672012328263,10.2352416323906,10.7300141165887,10.1915842635975,0,12.340364364834,11.3805297507088,8.87920309529393,8.39423557859999,13.8235963436711,11.0638233309714,14.4981282635015,6.83862396759412,13.4170880569409,8.88225402564909,15.2642857792214,14.0444774223855,9.66198335042072,14.7459267502408,13.6995029866601,14.4332960946469,14.596368025754,9.82358814099647,11.7683477991375,7.96293408489897,8.06477228479533,10.6570171173524,11.0638233309714,8.44144924464833,12.372301011757,9.26498261857128,9.51906627909523,7.98940487386027,11.0638233309714,10.6580124857656,8.58951916764928,17.5708591383103,9.7746454745848,9.46161247140468,11.0638233309714,11.0638233309714,10.340664265063,11.0638233309714,9.24537190417795,11.0638233309714,10.6420941215322,9.21061823566807,9.74100227396321,9.59908355013283,9.97811851632808,10.7552065015259,8.90494289331915,11.0638233309714,11.0638233309714,8.96313772667625,11.0638233309714,11.0638233309714,10.3942653653522,11.0638233309714,11.0638233309714,11.0638233309714,14.2112331481379,11.0638233309714,11.0638233309714,11.0638233309714,9.44884599633419,9.45734647304125,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,17.0690117378663,11.0638233309714,11.0638233309714,11.0638233309714,10.656737031064,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,14.2112331481379,11.0638233309714,14.2112331481379,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,10.7626088540553,11.0638233309714,11.0638233309714,10.4975538628172,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,14.2112331481379,14.1310697177812,14.2112331481379,14.2112331481379,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,18.5612931008879,18.5612931008879,11.0638233309714,11.0638233309714,14.2112331481379,14.2112331481379,11.0638233309714,11.0638233309714,11.0638233309714,14.2112331481379,14.2112331481379,14.2112331481379,14.1169972969964,11.0638233309714,11.0638233309714,10.9559780345218,10.9338099890139,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714,11.0638233309714
