,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,10.062335,5.0947566,10.265528,4.1944847,5.572019,6.9321294,4.861253,5.965409,2.9160378,5.36106,3.5451458,5.4240017,1.8428632,3.1489606,6.806212,5.38804,5.1906385,3.9181378
t2,10.041737,5.088717,10.245749,4.1836653,5.599666,6.890901,4.874572,5.9571333,2.933436,5.3337374,3.584912,5.4585404,1.8176031,3.146371,6.7712927,5.4187784,5.177551,3.9142153
t3,9.946431,5.1957083,10.095962,4.0536475,5.540276,6.871721,4.867255,6.035023,2.9716856,5.3307414,3.5464818,5.5436993,1.7776159,3.2457638,6.6335096,5.2380967,5.0943255,3.731594
t4,9.967685,5.1592226,10.215685,4.1810093,5.5193577,6.862519,4.8082967,6.048369,2.8884401,5.3421936,3.5215762,5.526453,1.7692947,3.1871161,6.751595,5.368647,5.0832214,3.8077686
t5,9.988029,5.2159,10.028358,3.9986565,5.521154,6.818751,4.8596416,6.0647616,2.9748247,5.2517037,3.5554934,5.507324,1.7800189,3.301826,6.623635,5.3097224,5.104478,3.8034248
t6,10.008632,5.1747613,10.055045,4.022477,5.4813714,6.8581066,4.8505473,6.095908,2.9089582,5.243492,3.5141509,5.5241065,1.7486196,3.277419,6.6991615,5.3336916,5.075854,3.8331282
t7,10.101913,5.017245,10.413119,4.3084507,5.664412,6.9558325,4.9229393,5.8506603,2.9614832,5.4268007,3.6227992,5.3660436,1.8985369,3.0463257,6.85741,5.457917,5.2732167,4.0279484
t8,9.9773655,5.191787,9.990791,3.9864678,5.435054,6.813681,4.8197036,6.151616,2.897645,5.2314863,3.4853625,5.552471,1.6961766,3.3247962,6.6271086,5.301715,5.0309978,3.7890031
t9,9.96837,5.217981,10.008446,3.9891746,5.507672,6.8079534,4.8631616,6.0849385,2.9687557,5.247107,3.554023,5.534754,1.751641,3.3177974,6.612794,5.293557,5.0760274,3.7827604
t10,10.244648,4.9816885,10.452532,4.360921,5.693543,7.0666633,4.936504,5.7900457,2.9997406,5.4899797,3.565886,5.1985407,2.0362964,3.0402677,6.939976,5.423117,5.40659,4.1152754
t11,10.105027,5.0846066,10.37088,4.304352,5.663409,6.9766927,4.861782,5.8675523,3.0084283,5.476201,3.5515726,5.343222,1.956758,3.0966725,6.8093653,5.378424,5.276952,3.9414907
t12,10.219036,4.991542,10.390899,4.3048654,5.644862,7.002071,4.939418,5.8731213,2.9408157,5.3909416,3.5866082,5.2553997,1.9551146,3.0961096,6.9330955,5.483653,5.3279276,4.1405683
t13,10.14366,5.0630536,10.325589,4.203554,5.5474744,6.999396,4.8869996,5.963275,2.893113,5.3891745,3.523411,5.339262,1.8948076,3.164975,6.875569,5.370936,5.241023,3.9808948
t14,10.08241,5.1651998,9.991259,3.989339,5.480783,6.835469,4.858108,6.1029453,2.8953855,5.1540027,3.5167603,5.4722924,1.7561028,3.3140328,6.725285,5.420968,5.104531,3.9448323
t15,9.920508,5.1854095,10.303566,4.3409142,5.511889,6.815715,4.725671,6.0699286,2.8470638,5.38226,3.4980314,5.554335,1.7599009,3.1389804,6.804295,5.4674573,5.025603,3.8069625
t16,-4.4610043,5.6552076,5.766665,4.7135134,4.180551,6.405936,3.8310523,7.4783783,3.2443705,6.0206428,2.4158323,5.7447634,3.0080323,6.038355,4.4338784,6.1731915,6.687749,3.5640876
t17,10.3397,5.1188865,9.866717,4.035544,5.498941,6.762557,4.856289,6.1051235,2.8541677,4.9330606,3.4958527,5.2740088,1.7759384,3.3895402,6.7958546,5.7186303,5.1898174,4.3279033
t18,10.194457,5.135329,9.979805,4.0445433,5.5359793,6.8071594,4.884937,6.054119,2.9158428,5.0926514,3.5475945,5.3684764,1.7932789,3.3265364,6.743333,5.5568595,5.1737447,4.1270776
t19,10.173588,4.884504,10.648445,4.4540353,5.742494,7.057973,4.9747896,5.6679487,2.9767656,5.564979,3.6714225,5.2624006,1.9782099,2.8409984,7.006899,5.472305,5.413251,4.1833415
t20,10.14166,5.0598717,10.388158,4.3577023,5.728377,7.0116644,4.8684173,5.803539,3.067041,5.5149727,3.5533953,5.2843876,2.0213215,3.0474074,6.8255415,5.3734274,5.3451076,3.9626796
t21,10.229788,5.04715,10.346771,4.3035192,5.661092,7.091755,4.84738,5.8467126,2.996514,5.484029,3.4738014,5.1970797,2.038187,3.0980153,6.900932,5.316345,5.3896084,4.0058107
t22,9.605492,14.734582,2.8294408,6.4843435,1.8071241,4.1325808,2.0268373,3.1545954,5.758226,6.77462,2.1004834,4.1020126,6.2481647,2.0162294,6.6324162,5.9592943,6.5339026,1.1370583
t23,12.163174,3.3097682,4.0088573,3.1101623,5.198935,5.7432666,4.194673,6.862293,5.429156,4.1319537,2.6020358,2.4332669,1.6794875,5.9740314,3.9802833,6.53803,5.9801,7.15441
t24,-4.5522375,5.9233556,5.5048985,5.1644855,3.953972,6.14618,3.8241534,7.413592,3.738217,6.347034,2.7604325,5.4048333,3.0149329,6.184579,5.171625,5.662734,6.730792,3.5569031
t25,6.778502,-1.5294803,5.83871,3.017624,9.9270935,7.8125443,3.5172114,6.453001,3.0078986,8.116314,2.526456,6.122048,4.539727,6.0236177,3.5929685,4.3038445,3.7138858,-2.2785003
t26,6.803822,-1.7521259,5.7577415,3.0650058,9.772129,7.725254,3.3314288,6.57298,2.9084837,8.234785,2.3413148,6.2445,4.314423,6.241179,3.8499577,4.604378,3.7673736,-2.1699884
t27,10.499533,5.1608567,9.647543,3.9866927,5.413308,6.617541,4.793561,6.217692,2.756081,4.6594357,3.419914,5.2029896,1.6902089,3.506514,6.7955246,5.944673,5.148407,4.563341
t28,10.411694,5.149404,9.746068,4.002708,5.4517765,6.68165,4.823326,6.1684504,2.8058186,4.7920322,3.4582582,5.2473903,1.7265792,3.4546595,6.784075,5.8262715,5.1596527,4.4346604
t29,12.164722,3.276166,3.9836063,3.0625606,5.1962895,5.756193,4.200656,6.8897667,5.440272,4.1275206,2.5775046,2.4419956,1.6842785,5.966455,3.9754891,6.551516,5.988184,7.1434813
t30,-4.4338846,5.703479,5.712508,4.7414913,4.214095,6.2677293,3.8010058,7.485015,3.2089446,5.97125,2.4450915,5.76499,2.9516835,6.1206374,4.4628925,6.230505,6.714416,3.663064
t31,-4.4769454,5.7873764,5.6244607,4.9471765,4.074941,6.253045,3.8324575,7.4638634,3.4947407,6.1991844,2.5744224,5.5881634,3.0201993,6.118643,4.819346,5.9070406,6.7026243,3.539102
t32,12.112705,3.3147628,4.064747,3.1681428,5.2608476,5.756624,4.274586,6.878686,5.2928915,4.0421386,2.5569084,2.5640612,1.8188514,6.0140023,4.028715,6.5487347,5.9872823,7.2052383
t33,10.298941,4.7802663,10.84643,4.6315536,5.849983,7.1955967,5.0697656,5.524909,3.0357049,5.671558,3.6775453,5.125468,2.0819051,2.7369645,7.114867,5.512371,5.6085544,4.317326
t34,9.717836,14.776689,2.859329,6.48579,1.7742994,4.2020354,2.1145172,3.2541704,5.9611316,6.6822214,2.1018598,3.8957865,6.5623503,2.1686597,6.762507,6.2227845,6.41493,1.4944315
t35,12.158799,3.3540127,4.05916,3.16165,5.2405953,5.6938767,4.2406363,6.8114185,5.4160604,4.0945144,2.651257,2.4446914,1.7139492,5.939522,3.956016,6.4901066,6.033402,7.1985116
t36,9.532679,14.651235,2.8204513,6.466008,1.8540184,4.1302447,1.9955397,3.1425743,5.634532,6.7948747,2.11025,4.1801596,6.0317836,1.930918,6.5316544,5.773896,6.601563,0.914112
t37,-4.5710645,5.8047075,5.6248207,5.0354834,4.0277677,6.275645,3.8827412,7.489103,3.546246,6.265184,2.6594036,5.526141,2.9906733,6.1904936,4.8896174,5.860807,6.6633034,3.5145276
t38,6.743745,-1.6367893,5.825304,3.0033276,9.88054,7.800711,3.559817,6.3752227,3.0132558,8.219979,2.4691703,6.217135,4.4696836,6.0589404,3.599258,4.3513746,3.8064022,-2.2496262
t39,-4.5172396,5.694484,5.70698,4.8731856,4.1230955,6.3532023,3.8796725,7.5336485,3.3756115,6.1306796,2.5281587,5.6709805,2.9746993,6.133632,4.620205,6.0637736,6.6465096,3.5242639
t40,6.768484,-1.5317943,5.8356667,2.9917116,9.927383,7.801727,3.5397782,6.429877,2.9990435,8.126882,2.5077357,6.1403613,4.538153,6.0250425,3.594356,4.3183675,3.7225535,-2.2855825
