"accepted_species","trait_ARD"
"t8","0"
"t11","1"
"t16","1"
"t19","1"
"t39","0"
"t40","0"
"t27","0"
"t28","1"
"t149","0"
"t150","0"
"t80","0"
"t81","0"
"t41","0"
"t46","1"
"t176","0"
"t177","0"
"t165","0"
"t139","0"
"t140","0"
"t60","1"
"t61","1"
"t181","1"
"t182","1"
"t154","1"
"t137","0"
"t108","0"
"t88","1"
"t120","1"
"t135","0"
"t136","1"
"t53","0"
"t83","1"
"t84","1"
"t114","0"
"t115","0"
"t112","0"
"t59","1"
"t44","1"
"t13","1"
"t9","0"
"t10","1"
"t12","0"
"t14","1"
"t15","0"
"t18","1"
"t20","1"
"t22","0"
"t63","1"
"t76","1"
"t96","1"
"t121","1"
"t142","1"
"t143","1"
"t138","0"
"t109","0"
"t110","1"
"t107","1"
"t73","0"
"t64","1"
"t98","1"
"t99","1"
"t97","1"
"t117","1"
"t118","1"
"t132","1"
"t133","1"
"t100","1"
"t113","0"
"t174","0"
"t175","0"
"t157","1"
"t158","0"
"t126","0"
"t125","1"
"t31","0"
"t77","0"
"t199","1"
"t200","1"
"t62","1"
"t56","1"
"t91","1"
"t92","1"
"t66","1"
"t43","1"
"t50","1"
"t78","0"
"t79","1"
"t161","1"
"t162","1"
"t151","1"
"t54","0"
"t70","0"
"t71","0"
"t72","0"
"t57","0"
"t178","0"
"t179","0"
"t65","0"
"t51","1"
"t193","1"
"t194","1"
"t55","1"
"t159","1"
"t160","1"
"t187","0"
"t188","0"
"t129","0"
"t130","0"
"t32","0"
"t33","0"
"t17","1"
"t34","1"
"t35","0"
"t29","0"
"t166","1"
"t167","0"
"t75","0"
"t185","1"
"t186","1"
"t104","1"
"t69","1"
"t67","1"
"t168","0"
"t169","0"
"t102","1"
"t93","1"
"t82","0"
"t111","1"
"t197","1"
"t198","1"
"t134","1"
"t74","1"
"t183","1"
"t184","1"
"t180","1"
"t116","0"
"t127","1"
"t128","1"
"t122","1"
"t141","1"
"t163","0"
"t164","1"
"t26","0"
"t94","1"
"t95","1"
"t191","0"
"t192","1"
"t170","0"
"t45","1"
"t144","0"
"t147","0"
"t152","0"
"t153","0"
"t42","1"
"t47","1"
"t48","1"
"t89","1"
"t90","1"
"t86","1"
"t58","0"
"t52","0"
"t49","0"
"t36","0"
"t37","1"
"t30","1"
"t23","1"
"t24","0"
"t25","0"
"t38","1"
"t171","1"
"t189","1"
"t190","1"
"t103","1"
"t68","0"
"t101","1"
"t131","1"
"t195","0"
"t196","0"
"t145","1"
"t146","1"
"t148","0"
"t155","0"
"t156","0"
"t87","1"
"t105","1"
"t106","0"
"t119","1"
"t123","1"
"t124","1"
"t172","1"
"t173","1"
"t85","1"
"t21","0"
"t7","1"
"t6","1"
"t2","1"
"t3","0"
"t4","0"
"t5","1"
"t1","0"
