"accepted_species","trait_BM_trend_scaled"
"t4",0.187633213719664
"t12",0.509483159479386
"t13",-0.0308638236947112
"t11",NA
"t16",-0.178071396630107
"t17",NA
"t45",-0.710054273280732
"t61",-0.804811790337008
"t62",-0.771480761420524
"t40",-0.401382920345845
"t115",0.531663111678955
"t212",0.0993054604195328
"t213",NA
"t174",0.55647989184812
"t204",0.464458657537373
"t227",0.568349631663794
"t228",0.66982378314711
"t217",0.409922042096264
"t190",0.309280427756201
"t114",0.491553504903896
"t84",-0.363241963510094
"t122",0.235716591857474
"t123",-0.31836284329196
"t107",-0.0319222667704902
"t172",-0.124602422315343
"t173",-0.635659960733027
"t100",NA
"t184",0.764087482323451
"t185",0.414434459346742
"t75",0.154664015294639
"t79",0.238613383045125
"t133",0.363469212959625
"t134",-0.139586521623006
"t208",-0.421950803649969
"t209",-0.197980466985472
"t85",NA
"t71",-0.543647956690718
"t82",-0.940470717177033
"t83",-0.777849536416066
"t66",0.30620802184779
"t67",-0.0765761050003415
"t130",-0.15055982975014
"t144",-0.658446852965473
"t145",-0.614224815449317
"t215",-0.828756438092976
"t216",NA
"t194",-0.891640772702354
"t195",-0.84865501617152
"t199",-0.586973895895077
"t200",-0.752929693610664
"t154",-0.612482103305387
"t60",-0.227999895987574
"t50",NA
"t39",-0.333998151035715
"t31",-0.233891312386259
"t29",0.44655842257267
"t28",-1.39816300279902
"t117",-0.888653710760372
"t179",-1.18843023860557
"t180",-0.703757193166856
"t171",-0.843124845797458
"t148",-0.197035698816406
"t147",-0.640704376602883
"t21",NA
"t41",-1.05000260621867
"t95",-0.763102164326822
"t96",-1.22112342932478
"t151",-0.114960618600826
"t188",-0.629152918346991
"t189",-0.42057903224315
"t170",-1.41463426137491
"t186",-1.26574752556282
"t187",-1.36931780689148
"t138",-0.618392137678138
"t73",-1.1936996817809
"t88",-1.62758462784278
"t90",-1.54188353865317
"t91",-1.31336209453075
"t125",NA
"t237",-0.485508154655048
"t238",-0.522166034281456
"t124",-0.974096707036605
"t76",-1.57559977853919
"t77",-1.20106848464868
"t72",-0.648762994559294
"t58",-0.739589861385861
"t7",-0.792185295635791
"t6",-0.450810835908755
"t3",0.0391534059231724
"t9",NA
"t10",-0.0114919016284128
"t14",-0.215383272240716
"t15",NA
"t8",-0.210192547219878
"t23",NA
"t51",2.6561398421856
"t120",NA
"t163",3.01606955602775
"t164",2.74223319348484
"t162",2.90260639232789
"t113",2.2960287357977
"t63",1.27656278689066
"t64",1.68626597475292
"t49",1.54088010320675
"t104",0.744333974383377
"t105",0.764416214363809
"t35",-0.0934673124871827
"t36",0.0709823282718876
"t44",1.74677987870442
"t101",1.75117637404962
"t110",NA
"t159",1.90827714120815
"t160",1.69883964389438
"t146",2.31951543712819
"t165",NA
"t166",2.17449806683187
"t214",2.17382775973759
"t231",2.31956281865822
"t232",2.3190987831871
"t94",NA
"t55",2.60578549327469
"t56",3.01901340314762
"t43",0.299717503666611
"t59",1.44307668762073
"t108",1.01824092763317
"t127",1.17000775274884
"t128",1.07320429890275
"t37",-0.297042264587991
"t38",-0.774886531190474
"t48",0.0542297902814882
"t131",-0.353247254359159
"t132",-0.839627506466652
"t47",-0.443444577971542
"t34",0.172490573007678
"t25",NA
"t26",0.381444097311466
"t42",0.168394901483086
"t54",0.387133483361068
"t80",0.309382510542459
"t81",1.00395094796631
"t74",0.606368575875417
"t119",0.217675887887412
"t137",0.295534816071307
"t168",0.402610380125497
"t169",0.0297492662755896
"t193",0.0218207602027429
"t225",0.238730592027809
"t226",0.141480922444558
"t157",0.419599168680738
"t158",0.819389466299828
"t116",-0.418892527457751
"t106",0.219453643518406
"t70",-0.510159264660052
"t111",-0.492009191808187
"t112",-0.458496098878771
"t141",-0.0375506632241559
"t142",0.293534385058745
"t102",0.664563260301395
"t103",-0.186939946740926
"t121",NA
"t135",0.654223750527403
"t136",NA
"t93",-0.428144601577029
"t210",-0.80756506934587
"t211",-0.705142956859427
"t183",-0.776151734964341
"t196",-0.90361770085561
"t219",-1.1280903875187
"t220",-0.906674594667037
"t223",-0.833794141966896
"t224",-0.840899812544244
