,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
t4,4.0580115,12.618866,-0.34941888,13.728394,-0.0002459147,1.609857,0.2048023,7.57591,0.35406226,0.0046231477,-0.15170397,-0.33448777,0.6626629,-0.009891341,-0.8784848,17.71856,12.562992,0.67476857,-0.4476689,7.648378,4.3795624,3.5175164,-0.009487113
t12,2.5486326,12.298525,-0.330865,13.067147,0.12046027,1.516897,0.19878654,8.075435,0.42575312,0.016754333,-0.25503677,-0.3480704,0.7262445,0.15695757,-0.9647195,20.938995,12.9043255,0.7522956,-0.49331072,9.085347,2.9641676,0.6714975,-0.055121545
t13,2.836065,12.7979,-0.34584224,13.575013,-4.9389837e-05,1.6811343,0.20722233,8.219926,0.41875345,0.009171387,-0.24325351,-0.36270538,0.73528445,0.14033079,-0.99141276,20.82318,13.358854,0.77181953,-0.49953872,9.03514,3.4248059,1.3487155,-0.04334002
t11,0.6185814,9.669202,-0.28498206,9.585421,3.1932979,-0.006402498,0.14585395,6.847987,0.42636818,0.11080415,-0.27045727,-0.27308753,0.800545,0.007068021,-0.77526283,22.607075,10.109219,0.67575556,-0.44113964,10.096603,0.86994,0.3072552,-0.12226084
t16,2.007563,12.095439,-0.3300239,12.642414,1.0360155,1.2802889,0.19340608,8.115855,0.4544333,0.038407695,-0.27963507,-0.33870757,0.7533293,0.34203616,-0.9683278,22.21454,12.697741,0.7599894,-0.5043605,9.653032,2.4258583,0.03206071,-0.07371879
t17,1.5118338,11.350205,-0.31928334,11.770265,1.9090698,0.8947731,0.17821434,7.868833,0.45865655,0.06073838,-0.28220797,-0.31991687,0.7722415,0.28446805,-0.9210946,22.617277,11.897479,0.7257358,-0.49166194,9.821455,1.7988923,0.12405079,-0.08779326
t45,-0.021497926,10.356425,-0.34792197,14.319534,11.062144,-0.48641425,0.16951059,11.298912,0.7903052,0.322408,-0.33786857,-0.26307872,0.6874251,-0.052696247,-1.0821557,36.40256,9.774752,0.7124942,-0.61194503,12.466838,-0.09100847,0.7384005,-0.26756468
t61,-0.029956682,8.777893,-0.3178309,13.287827,12.797394,-0.64595526,0.1480972,10.679796,0.74809295,0.39167458,-0.3664327,-0.24543172,0.7528776,-0.063414805,-0.9985316,37.501076,8.183538,0.7133632,-0.58894753,12.981043,-0.1254954,0.90230453,-0.30291396
t62,-0.03341363,8.190276,-0.30699998,12.90758,13.418885,-0.70314515,0.1399124,10.453704,0.7327332,0.417415,-0.37714913,-0.23870175,0.77540934,-0.067389235,-0.96959025,37.88516,7.6050487,0.7126638,-0.5806872,13.159281,-0.13915071,0.9608211,-0.31528774
t40,-0.018259577,10.93001,-0.35896152,14.7042885,10.439606,-0.4286878,0.17759293,11.526869,0.8052891,0.29731262,-0.32768974,-0.2695293,0.664417,-0.04899352,-1.1130543,36.01334,10.346195,0.71477365,-0.6204357,12.288422,-0.0790119,0.6795947,-0.25456014
