"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95","V_96","V_97","V_98","V_99","V_100","V_101","V_102","V_103","V_104"
"t7",-0.195799325975838,0.0815162141733193,-0.0148005109571889,0.00343687223440235,-0.0382183094973973,0.0024644442607173,-0.000614781893379817,0.00293712658193665,-0.0260730277122267,0.000738427725371115,-0.0691567329282341,0.00156203535269286,-5.41880927972702e-05,0.000300157856508004,4.60243919653986e-06,-2.24152643977123e-05,0.000322886900989406,-0.000310963312440219,0.00395813114977006,-6.80465379414458e-05,5.69344394927411e-05,-0.0702675999807868,0.000781009771251618,-0.00029248228356041,0.00118351534556348,-1.79993046099987e-05,0.00580765788511956,-0.00102017233617668,0.136881980005454,-0.00353054923522787,0.00245196585577857,-0.00676109588905041,0.0925584466130433,-4.64376000785878e-15,-0.00674478842684506,0.00393675172176184,0.00313136424508697,-0.0011818723060284,-0.0559925852963665,0.00118385694747663,-0.00112656372222856,0.000364645313584404,0.000221896270449403,0.000200006948487515,0.000617060218240285,0.000428262975363975,0.000289695408201805,0.00416046191579438,-0.89042050078072,-0.000193119266377732,-7.39726762013546e-16,2.80024447092881e-19,0.00337245505894244,0.0189517218464321,-0.0150283546632451,-0.0122619927089022,-0.000877371595785944,0.000751493235458188,0.00971373913035584,2.33591461102946e-16,-0.153196525509553,-2.61242054261059e-05,-0.000123339639229287,-4.11907338827026e-05,-0.291916388200538,0.00480487307420119,-2.4924013658565e-05,-6.7003031561756e-06,-2.82319992247346e-05,9.26861181574498e-17,-9.0800777681677e-06,-0.00131981076245558,0.018275750719403,2.29853337763134e-16,1.95333769625424e-05,2.1375550003327e-13,-6.26668855696622e-17,-0.000815757758660734,-1.34599725814846e-17,0.000121596922260296,1.0069220159755e-16,3.13595562867231e-17,9.87994128924905e-06,-0.000590821122124039,-7.70786100508875e-17,-5.13785647295559e-08,3.39100180426355e-18,3.91844166802403e-07,2.72261410477277e-17,-1.50164152423956e-17,1.81609569777755e-17,1.0258707060583e-16,1.52678196527802e-17,-4.0997933272645e-07,4.05431733188648e-17,5.16298265355724e-07,3.60935618563414e-17,9.79422764749841e-17,-1.89577993661834e-17,2.99422727766676e-17,4.80987109434715e-17,8.16659510324394e-17,1.33732611895489e-16,-1.64631296181344e-16
"t115",-0.233751429931861,0.117077530070288,-0.0228001337170308,0.00634783607178943,-0.0826254267454118,0.00602296476325725,-0.00182648572631259,-0.0272852559493568,0.147235632276942,-0.00248397498575074,0.166572031457684,-0.003601145648084,9.45352815012715e-05,-0.000506744200609406,-6.33147232229882e-06,2.67026331578203e-05,-0.000314272886396229,0.000296049474011544,-0.00461511137062519,9.42516122519066e-05,-9.26890608255485e-05,0.21725152828257,0.000363158339926507,-9.22264767007807e-05,4.4755858202188e-05,-2.0305491079346e-08,-0.000346763054390833,6.39456321312576e-05,-0.0113648650390214,0.000295302706017895,-0.000217066078541308,0.000582752246521291,-0.00778850568418579,-1.30624521919345e-16,0.00053957898679656,-0.000307008809204264,-0.000220367335921577,7.4977994302522e-05,0.00345443375792896,-6.29185436146858e-05,4.95332283456014e-05,-1.36393126706914e-05,-8.21529727473668e-06,-6.98645968123582e-06,-1.66302011359339e-05,-9.93385295084098e-06,-5.79602920992289e-06,-8.18805121871684e-05,0.0156243236244695,1.73978310347365e-06,-7.37355647110716e-17,2.87745479753085e-17,-4.24038811948444e-06,0.00029942676208118,-0.000407040327971205,-0.000343687587867354,-4.17447056129081e-05,6.29425732587034e-05,0.000894604362289278,-3.29129233466118e-16,0.500611251973789,2.29515605781305e-05,9.43875268505961e-05,-5.19763895583527e-05,-0.189673348278056,6.74962375382688e-05,-0.727181723466812,-1.23797092439811e-08,-6.43089453566205e-10,-2.83532996064746e-15,1.51165576991688e-09,-2.70136005942208e-08,2.07114132929681e-05,2.52652619722655e-16,5.90093448235276e-08,2.30646716694507e-15,4.91489350372306e-15,-0.0365057426416801,-2.41592706639805e-16,1.41964859476125e-06,2.13172083023876e-16,-2.31299838625402e-16,1.42716903555771e-07,-0.0115155155573391,6.40614089615045e-16,-1.03600888755934e-09,4.61423758601923e-17,9.89809046866875e-09,-1.19849063509338e-16,-3.93636080521568e-16,2.03494827617471e-16,-2.29552536554787e-16,1.18323508145797e-16,-1.37548478182244e-08,3.29369779485556e-17,1.85879814232466e-08,-8.46437569015621e-17,-4.50580661883616e-16,2.85516855739364e-16,1.57964952117401e-16,-2.0938695041181e-16,-3.12924092774381e-17,1.37811945746805e-16,-2.20565611981044e-16
"t72",-0.235104404065188,0.118360020975536,-0.0230897892696879,0.00645423727410766,-0.0842603087721282,0.00615463341622125,-0.00187163637235703,-0.0284690595490137,0.154087091043197,-0.00261358927380007,0.176235163660024,-0.00381347751815414,0.000100815528315394,-0.000540955328258137,-6.81018660677102e-06,2.89284920356425e-05,-0.000346285726312427,0.000327457298702268,-0.00524451426986398,0.000107611092464626,-0.000106133439079767,0.250224634896398,0.000426753009591993,-0.00010878426766904,5.37581901223535e-05,-2.4544574659491e-08,-0.000428363982045904,7.91540011343477e-05,-0.0144214776444785,0.000375291320782564,-0.000290344483668811,0.000799057397275744,-0.010857167706711,8.80408082839155e-16,0.000775450865380499,-0.00044767116491275,-0.000340358261874122,0.000122946193657737,0.00575968750804436,-0.000115278400443136,0.000103739414344107,-3.24128532370066e-05,-1.96870584252313e-05,-1.75700734067273e-05,-5.25866542413333e-05,-3.61554955805286e-05,-2.43306781249955e-05,-0.000349292493909942,0.0746229702444031,1.62685643956768e-05,-1.90325886429229e-16,3.6433430520622e-16,-0.000289966881916787,-0.00176785920585175,0.00150020484233399,0.00123125632763981,9.95579984360729e-05,-0.000105094669524879,-0.00141910180176557,4.84003102994812e-16,-0.349603458829123,-1.35192267509065e-05,-5.15686384311184e-05,1.83139318863787e-05,0.063115922666919,-5.68939620219835e-06,0.0144115304763753,-2.51099576535075e-10,-4.8094050912793e-11,4.7119533477798e-16,1.96645445735016e-10,-4.03283894018051e-09,4.4138393512248e-06,-8.89628856604662e-16,1.88229380167989e-08,-7.91585306369292e-16,4.14074345223138e-14,-0.316114763697093,9.73208386910819e-16,2.18748212137277e-07,-3.07283745789054e-16,-7.2414254432208e-17,2.26271930761816e-09,0.750281069241501,8.35332199755664e-16,-6.46110951642486e-10,-6.13149243097892e-16,5.54727323809939e-09,3.54857172092285e-17,-2.09216212725573e-16,-1.96728516773963e-16,-7.69802595496883e-17,5.38781420154355e-16,-8.03473018504246e-09,2.70405713299984e-16,1.10561983155945e-08,-1.25731146578164e-16,4.38153321159121e-16,4.45898943470605e-17,-8.3881305691608e-17,5.24314046944046e-17,1.83059651646703e-17,9.62726758498186e-17,-2.1237545872726e-16
"t73",-0.235261905999157,0.118508790014917,-0.0231233494359695,0.00646653151746425,-0.0844488322434547,0.00616979570103111,-0.00187682591802018,-0.0286035103307805,0.154863727919901,-0.00262823068536886,0.17732288285162,-0.00383736479515653,0.000101518932152461,-0.000544784639636849,-6.86351905741939e-06,2.91753805792959e-05,-0.000349800582339391,0.00033089794073684,-0.00531239994401027,0.000109048210564267,-0.000107577362512324,0.253754485954168,0.000433487386069414,-0.000110534166667114,5.4700618823587e-05,-2.49869168364097e-08,-0.000436786712678985,8.0722220307591e-05,-0.0147329142980865,0.000383435512840913,-0.000297634247851828,0.000820347930353522,-0.0111571445285048,1.77192033528282e-16,0.00079822774393121,-0.000461177601115252,-0.000351637255140346,0.00012736405422223,0.0059708584971728,-0.000119940713612264,0.000108401538201342,-3.39831824912345e-05,-2.06449988967602e-05,-1.84455367919837e-05,-5.5449592745587e-05,-3.82042876476507e-05,-2.57554191853738e-05,-0.00036981366356653,0.0791009623400076,1.73240870630848e-05,8.65826227418156e-17,5.52239918593451e-16,-0.000309954926739829,-0.00190253357679747,0.00161989881393556,0.00132981913583356,0.00010797813925598,-0.000114530136469343,-0.00154771817321752,3.36987917871161e-16,-0.387270780782599,-1.50330901855848e-05,-5.74422031361457e-05,2.06097769875783e-05,0.0711224150491061,-6.57710578765751e-06,0.0168462147993731,-2.96034279409735e-10,-5.75112521082784e-11,1.73694702901704e-15,2.39479889101868e-10,-4.94731760062022e-09,5.56325020080635e-06,7.78403452059461e-16,2.47269780791664e-08,-3.47163698329978e-16,5.4340509676877e-14,-0.445442253952999,2.77101193039059e-15,5.13248441815463e-07,4.92480608513755e-16,2.52850758946628e-15,8.35522138458371e-08,-0.657465656025801,-1.00364089482442e-15,-2.19492861063211e-10,5.85960905411046e-16,3.61126779933286e-09,-1.49382881478934e-16,-2.9666980585977e-16,8.28824139018487e-17,1.03483597065611e-16,-1.21411731673557e-15,-6.46323929562894e-09,-5.14226996119285e-16,9.14603322160673e-09,-4.77120333536299e-17,2.99011245592443e-17,1.88265318846263e-16,2.70769504986063e-17,1.28845936775812e-16,5.95933597938653e-17,9.9807704803794e-17,-8.87404731443545e-17
"t66",-0.234952687182255,0.1182163792441,-0.023057360258172,0.00644233593746585,-0.0840775672552171,0.00613992284879089,-0.00186659520258349,-0.028337430029864,0.153325784317458,-0.0025992045801855,0.175164076976299,-0.00378994685384363,0.000100120645873594,-0.000537170868525017,-6.75731993412524e-06,2.86830703602508e-05,-0.000342769099220173,0.000324010003967017,-0.00517583105889521,0.000106154700601279,-0.000104668686212232,0.246636666765151,0.000419861767409534,-0.000106991418279343,5.27870321215451e-05,-2.40878512779441e-08,-0.000419610144461835,7.75231568990124e-05,-0.0140952848258923,0.000366757641597907,-0.000282601231394885,0.000776302773477254,-0.0105352953802731,9.32587940541029e-16,0.000750840260905326,-0.000433030618250262,-0.00032798589618197,0.000118045461090719,0.00552474830691374,-0.000110012031816908,9.83772655406317e-05,-3.05810827597926e-05,-1.85686846306496e-05,-1.65431713073566e-05,-4.91654572905954e-05,-3.36851401905731e-05,-2.25996146770298e-05,-0.000324339760382062,0.0691502225261528,1.49528885471991e-05,-4.99894093411253e-17,-8.78111503226639e-16,-0.000264640021533941,-0.00159211300879744,0.00134169545883003,0.00110058924135185,8.81869516043828e-05,-9.20777603326641e-05,-0.00124104476068769,-2.76845293659851e-16,-0.293636480090763,-1.12298496437447e-05,-4.26146952872223e-05,1.46413286179265e-05,0.0502270349425461,-4.06941926498145e-06,0.00970814057004659,-1.60311607022918e-10,-2.75380069564139e-11,-2.4893484413929e-15,9.28864868356106e-11,-1.71897680193833e-09,9.58488884233999e-07,-1.39021160460425e-17,-5.34012078324335e-09,1.12285899426782e-15,-1.04386240343778e-13,0.836187827114385,-4.54976910780845e-15,8.65406206297954e-07,-3.23301174062003e-16,-2.46377350699901e-15,8.58475221765859e-08,-0.0675411394571808,1.53181247236258e-16,-5.84027639640417e-10,5.55089201719456e-17,5.86498963964603e-09,1.57380988984403e-16,6.04666990630506e-16,1.87333192335335e-17,-7.00623113191777e-17,7.251784776781e-16,-8.69037333915506e-09,3.32895815072999e-16,1.19436083960991e-08,-6.8733461549833e-18,-9.91959912421171e-17,-4.23744530961983e-16,7.56627640488674e-17,5.98338284678142e-17,1.00118385704776e-16,1.42122661435774e-16,-2.41262158006128e-16
"t48",-0.233672731816045,0.117002934575235,-0.0227832862457318,0.00634164754757384,-0.0825303404175467,0.00601530689175362,-0.00182385980571407,-0.0272164146148081,0.146837208427303,-0.00247643791678836,0.166010136534218,-0.00358879896192859,9.41701098185041e-05,-0.000504754967355532,-6.30363804813492e-06,2.6573217147655e-05,-0.000312411712244019,0.000294223497979327,-0.00457852219190993,9.34749919687274e-05,-9.1907510195135e-05,0.215334753982671,0.000359461616521552,-9.12639863472295e-05,4.42325707391226e-05,-2.00590827712375e-08,-0.000342019830264197,6.30616143644377e-05,-0.0111871929387608,0.00029065319578979,-0.000212806451137921,0.000570178153960469,-0.00761011580765696,2.45803010437806e-16,0.000525866322297766,-0.000298831004449744,-0.000213390359943839,7.21883734463781e-05,0.0033203635439534,-5.98724458887944e-05,4.637826064547e-05,-1.254615064986e-05,-7.54729021770508e-06,-6.37006752224735e-06,-1.45345265091302e-05,-8.40492704479806e-06,-4.71490294098263e-06,-6.62817362776401e-05,0.0121818595715786,8.91056843901848e-07,8.44186868235115e-16,-4.59596241240185e-17,1.2469989986168e-05,0.000420630221591088,-0.000519025715573647,-0.000436172334208853,-5.00600495505696e-05,7.28595711051916e-05,0.00103122214898265,-2.13394385168805e-16,0.551531670244187,2.51468683169475e-05,0.000103195661058082,-5.63048753928712e-05,-0.205294096134696,7.30838273219619e-05,0.686018141797654,-1.27290444169772e-08,-6.70098515972241e-10,3.36767203471806e-15,1.57747774006925e-09,-2.81858659828224e-08,2.15819251060288e-05,-2.22595873479152e-16,6.13261924614956e-08,-3.98761595240606e-16,3.07291016912323e-15,-0.0329478411487271,9.63661272643522e-16,1.47079357852169e-06,9.61959418906112e-18,4.31009252635701e-16,1.47546681410972e-07,-0.0108661755626553,-6.45042645406491e-16,-1.06833764209319e-09,-7.05298152252344e-17,1.01816460592499e-08,4.45706451026799e-17,1.76718922537165e-16,-6.30854958658041e-17,3.71829204182442e-16,4.50058383561827e-16,-1.41033869167195e-08,-1.67786663194816e-16,1.90432989218999e-08,2.07904352891395e-16,9.42208134562766e-17,-1.71901065954404e-16,-4.35248573727756e-17,1.6726927078412e-16,9.97673341047915e-17,7.86481384892044e-17,3.02302895302764e-17
"t92",-0.227223197358698,0.110639551306139,-0.0213263170206123,0.00578910555279072,-0.0738344253550335,0.00530328238686456,-0.00157403314747409,-0.0195721442557864,0.101385389196565,-0.00157327848730653,0.0950909341920625,-0.00201704365006963,4.43796386451862e-05,-0.000230772452896479,-2.16094543547822e-06,5.76469683867748e-06,5.29126078437987e-05,-8.2249592867796e-05,0.00678540919399518,-0.000169676357915127,0.00018836548943214,-0.562632490720805,-0.00228389866757467,0.000706245793320693,-0.00163564155019809,2.19578123107254e-05,-0.0051925392489503,0.000891495069801925,-0.0951067655161076,0.00242474327261924,-0.00124586888680244,0.00309588206426731,-0.0399287083178169,1.94176318108591e-15,0.00264652270653429,-0.00148487653414287,-0.00103733233944894,0.000353343518778107,0.0163387147194319,-0.000308927658202343,0.000263847958841746,-7.96782726217974e-05,-4.83023809103647e-05,-4.26591882775742e-05,-0.000122767412000684,-8.28732239884781e-05,-5.4903042024896e-05,-0.000786922991623043,0.166354398362155,3.47441483002794e-05,2.74563995189982e-16,-2.0354705653952e-18,-0.000595137150464715,-0.00332507499747837,0.00267002071581591,0.00218155228741353,0.000161613476558764,-0.000148838193354785,-0.00195537469862153,2.93790981775927e-16,-0.0675612890969836,3.87065381287735e-06,2.7901701960114e-05,-5.10784255050052e-05,-0.202695077976055,0.000217692930656211,-5.42359548805816e-05,-1.05010894594047e-07,-1.98461598042705e-07,2.00439018616983e-16,-1.18038185480139e-08,1.5146487212115e-07,-5.74893435400271e-05,1.10703520533548e-17,-9.19608913805861e-08,-9.38691985683603e-16,1.83035698357898e-16,0.000279727158349322,-5.99036368319399e-16,-1.84760300541055e-07,3.12979755654932e-16,-2.04595610701276e-16,7.91783672515197e-09,-4.07886377449683e-05,2.25847916788995e-16,-3.50761244763035e-10,-1.45169005972007e-16,5.02066356799808e-09,-3.5506100500145e-16,4.02487522533493e-16,-4.22166204991836e-15,-1.00522207350397e-15,-0.707106781186548,-9.64363432226308e-09,-9.52007279790813e-16,1.38572653665112e-08,1.22258216627074e-16,1.48269860579579e-16,9.12479316362467e-17,-4.68793949135074e-16,-1.63093058983295e-16,5.34425962131995e-16,2.42492308999218e-16,-9.86112219422803e-17
"t93",-0.227223197358698,0.110639551306139,-0.0213263170206122,0.00578910555279077,-0.0738344253550336,0.00530328238686453,-0.00157403314747405,-0.0195721442557863,0.101385389196565,-0.00157327848730653,0.0950909341920624,-0.0020170436500696,4.43796386451144e-05,-0.00023077245289644,-2.16094543547069e-06,5.76469683856125e-06,5.29126078436097e-05,-8.22495928676629e-05,0.00678540919399542,-0.000169676357914981,0.000188365489432325,-0.562632490720806,-0.0022838986675745,0.000706245793320835,-0.00163564155019801,2.19578123107296e-05,-0.00519253924895012,0.000891495069801952,-0.0951067655161076,0.00242474327261874,-0.0012458688868024,0.00309588206426742,-0.0399287083178178,1.98151679862953e-15,0.00264652270653381,-0.00148487653414322,-0.00103733233944895,0.000353343518778036,0.0163387147194323,-0.000308927658202019,0.000263847958841639,-7.96782726218125e-05,-4.83023809106087e-05,-4.26591882776789e-05,-0.000122767412000358,-8.28732239886184e-05,-5.49030420243931e-05,-0.000786922991623149,0.166354398362156,3.47441483002151e-05,-6.72935411814064e-17,1.62042459742594e-16,-0.000595137150465315,-0.00332507499747833,0.0026700207158163,0.00218155228741381,0.000161613476558281,-0.000148838193355042,-0.00195537469862174,-1.85864737147188e-16,-0.0675612890969841,3.87065381297983e-06,2.79017019604195e-05,-5.10784255051914e-05,-0.202695077976055,0.00021769293065596,-5.42359548808373e-05,-1.05010893955104e-07,-1.98461598040848e-07,-1.01527097346997e-16,-1.18038190066204e-08,1.51464871273954e-07,-5.74893435401451e-05,-6.08514646748577e-17,-9.19608912989525e-08,-1.10182919521736e-15,-3.01521940346964e-16,0.000279727158347837,1.33902508062458e-15,-1.84760300212189e-07,-3.72626943127092e-16,1.1336589575477e-16,7.91783606988135e-09,-4.07886377467081e-05,-3.08707621984777e-16,-3.50759805627184e-10,1.80365092206857e-16,5.02066257945984e-09,3.03725421942458e-16,-3.65534781427606e-16,4.28978814599545e-15,1.16966763171598e-15,0.707106781186547,-9.64363775493554e-09,1.05328783391925e-15,1.38572668587375e-08,-6.81929630032171e-17,-6.21735876145605e-18,-1.99175846927331e-16,3.97028968792877e-16,2.1026564305041e-16,-4.48993761850493e-16,8.12165386335164e-17,-2.02717458753292e-16
"t27",-0.22113028155025,0.10507241194291,-0.0200853606322513,0.00534757960802679,-0.0672194686407789,0.00478009329998071,-0.00139924644587048,-0.0158684317746842,0.0809081250476937,-0.00122004651594864,0.0715655322631946,-0.0015105838981053,3.19652164993138e-05,-0.000165275624031295,-1.48230597782052e-06,3.79139037428152e-06,3.1362013530488e-05,-4.75690075047836e-05,0.00325849597995425,-7.86746631940861e-05,8.54419924035277e-05,-0.243824140793878,-0.000835569406629317,0.000249675842494434,-0.000482821228219194,6.04606795302895e-06,-0.00108546073041312,0.000180963793522748,-0.0124448158952315,0.000306910802174935,1.42409285823946e-05,-0.000228455772889971,0.00454275382247096,-4.84091113495436e-16,-0.00048849699098241,0.000322248471393075,0.000350409107386021,-0.000159602188029639,-0.00786680635049564,0.000196438133005926,-0.000216334751728074,7.67913144181715e-05,4.69700100401763e-05,4.3529937475389e-05,0.000148580973410005,0.000107893279248365,7.57624324376524e-05,0.00109217804490977,-0.239523501086838,-5.70286033623574e-05,-3.07935448382741e-16,-2.01886937517778e-16,0.00107680668187312,0.00701828512998143,-0.00603716699248436,-0.00495687638944529,-0.000397782212240154,0.000398809552145475,0.00530929874484592,-1.96059977179283e-16,0.23220881707238,-1.39990166317095e-05,-0.000103188162030472,0.000213873243043829,0.861669361065831,-0.00119953166654364,0.000329421086334989,6.84000355293544e-07,1.44089341833284e-06,-9.7087017087152e-17,9.73176794406615e-08,-1.30981536741173e-06,0.00058548407403566,-4.33750185889456e-17,1.16569217608803e-06,1.34170272871823e-14,6.18092025912432e-16,-0.00484969373063656,-6.09278814625677e-16,1.51906974353255e-05,1.4853186323915e-16,4.93328609046686e-16,1.3617882542247e-06,-0.00209444068363639,-6.08725932501039e-17,-8.25293505485732e-09,5.39881351188201e-17,6.92711571739666e-08,1.43456462683197e-17,-1.47985830920093e-16,-8.73684389140543e-17,-4.11505381555373e-17,-3.90284049571483e-17,-8.14493068475998e-08,-8.4424812607664e-17,1.05520601027023e-07,1.06291588628164e-16,4.93928533658535e-18,4.87563314366567e-17,3.9744641426525e-17,4.54499269431628e-17,6.52177358490589e-17,8.00465593626318e-17,-1.43997529988372e-16
"t23",-0.203420559979842,0.0868402943984301,-0.0158462707369038,0.00367807844124399,-0.0401363703388282,0.00251324536244824,-0.000577976538502917,0.0174351870467924,-0.130626952773039,0.00361773392638368,-0.386791624257529,0.0090234487226166,-0.000454103686948262,0.00271467939098365,0.000116313848218212,0.000646258349153534,-0.00141085078126873,0.00112594674069479,-0.00588691159522937,8.78687726925568e-05,-6.62860804688041e-05,0.0532294793301608,-0.000810892902117701,0.000281880141846355,-0.000863892739882642,1.21152643360349e-05,-0.00306380187860205,0.000527435476068663,-0.0589302116433151,0.00151430050111599,-0.000194554429134934,0.000253118442181349,0.000512818908904034,-2.03867638666433e-16,-0.000687018466317984,0.000619720047829744,0.00163702704182085,-0.00331911812783975,-0.864619069067816,-0.00104036641118433,0.000488832004310857,-0.000114565124346163,-6.85637906847476e-05,-5.65642656991229e-05,-0.000128810498738898,-7.85434334490317e-05,-4.78455016997413e-05,-0.000679963885118637,0.136037189319275,2.29299255076161e-05,2.90653545801854e-16,-1.52164976603362e-16,-0.000326091389992362,-0.00125364404691802,0.000809191207569188,0.000649829524165584,3.46649339411281e-05,-1.93307704493932e-05,-0.000229068100007262,-8.65297554811012e-17,0.00726829703472323,-1.4977004792337e-07,-1.7115693803073e-06,2.9089145954963e-06,0.00955641246329075,0.000155759180191386,3.38704909943577e-07,-3.07195420725868e-07,-1.49486029102979e-06,7.33268499515063e-17,-5.46403080427645e-07,-8.26680304464849e-05,0.00128266065929309,7.42161720628199e-17,1.53329226323176e-06,1.66432889568753e-14,1.17246553721889e-17,-1.37928185346124e-05,-3.70780796892073e-18,1.3062196713769e-05,-6.64986255829762e-17,7.31955515996578e-17,1.13960822016481e-06,-2.3915864205285e-05,1.97089873210702e-16,-6.7702822645792e-09,-1.09715147005669e-16,5.70110411900767e-08,2.64356730133556e-17,-2.67141920127026e-17,1.92240639222682e-18,-1.22341176498054e-17,2.91889853704799e-16,-6.85207093948202e-08,3.4000288609526e-17,8.95113226808177e-08,-4.98071639660117e-17,2.40122932961905e-16,-4.78432844098784e-17,8.97486715756425e-17,7.38659161117286e-17,1.17161103449802e-16,1.17137720624558e-16,-1.50411313880574e-16
