"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95","V_96","V_97","V_98","V_99","V_100","V_101","V_102","V_103","V_104","V_105"
"t111",-0.0677343809588177,0.223772727025091,-0.0793248028132359,0.0332060550057143,0.00466741349194767,-4.03029300078109e-06,0.264792752509567,-0.0100360785045778,0.0791174265498347,-0.0227735631430846,0.0972404468226884,-0.37645448864716,0.00107075233759402,-4.28770753668139e-05,-0.0038441907714757,0.0755854257345762,-0.000199907303436325,0.00189924365339905,-0.000273515281137432,3.75587795705596e-05,-0.00478838969235585,0.000740284278061482,-1.39876524173338e-06,0.00017708387567137,-0.000159023019690902,0.000124215714952259,-0.000640171958120882,0.00263935695724954,-0.0461882308204077,0.000246115951868658,-0.000105872221706572,0.000293213645585642,-0.000750398038275589,0.000291355645404572,-6.91312694516723e-05,0.000197788142363246,-0.000516970462201622,0.000179238037291021,0.0027644273489161,-9.41234536120213e-05,-0.000516640387786302,-0.000324291082315052,-0.00152382727036708,0.0143591742203027,-0.00875798522069221,-0.00058988789832259,0.0961340477423543,-0.000161095483254094,-0.000235926156769301,-0.000458242600530089,3.17393374351819e-06,8.54246664290681e-17,6.02557371555665e-17,0.00737626609150992,-0.00136801933368998,-0.123498282143309,3.88798985545227e-16,0.000144340230480199,1.17199605212252e-15,6.78867304860224e-16,2.59930189362321e-05,4.27088492777533e-06,-8.25293653658938e-17,1.06582498496997e-16,-3.36417656486597e-18,9.71044105928892e-06,-6.83830323730718e-05,-1.055971437811e-06,1.46164064024198e-16,-7.33425611229159e-15,1.53136399952236e-16,-1.82227565600864e-06,-3.68960910832013e-17,-8.41983829402065e-07,7.88475187830838e-06,1.3684869252748e-16,-0.00133651965579169,-1.01547439606632e-15,-6.20505353550656e-17,-4.94777818228358e-06,-7.94649647391189e-06,-2.6849241545489e-07,2.0901657676798e-06,5.49087021850193e-07,1.56904207677847e-16,7.77464827124694e-06,-0.000103270280456155,-1.06355547724449e-16,-9.56111010883655e-17,-1.74697516565593e-07,-2.63770412897136e-17,2.67722744362909e-16,2.71903860562935e-06,-3.01922822969986e-07,-3.29037989180748e-08,-1.08173294305229e-16,-7.89409511629933e-16,-3.87252714301869e-17,-3.88888985754689e-16,-5.92652131003633e-16,5.10129863198406e-17,0.817052876406666,3.38567710844767e-16,3.23214465572877e-16,2.8675223201995e-15
"t112",-0.0677451816958897,0.223836062488778,-0.079352706414402,0.0332183365953162,0.0046716459355363,-4.0342200821692e-06,0.265063564562772,-0.0100468014743397,0.0792102023851342,-0.0228042370131099,0.0973756994116047,-0.376993487090778,0.00107253766817638,-4.29512486740299e-05,-0.00385094943981219,0.0757326612313762,-0.000200296866881839,0.00190373339399286,-0.000274166165852596,3.76579814488971e-05,-0.00480175233694551,0.00074236592547213,-1.40286092509676e-06,0.000177667135227328,-0.000159568279475851,0.000124648142165366,-0.00064259520502463,0.00264960908629155,-0.0463794464973993,0.000247155496238383,-0.000106381422003485,0.000294736291142368,-0.0007544619366838,0.000293038378710473,-6.95482070723588e-05,0.000199078867218581,-0.000520437109399264,0.000180665560495624,0.00278847947262005,-9.49621575260656e-05,-0.000521522616168147,-0.000327416735570694,-0.00153894385685452,0.0145050323120972,-0.00884847133129455,-0.000596267167723608,0.0971843176338028,-0.00016295997006512,-0.000238970479012503,-0.000464367402283772,3.21874958669621e-06,-1.36072314385209e-16,4.18637895008221e-16,0.00748510340047098,-0.00138844758347632,-0.125450543423904,5.12866122759897e-16,0.000146671421752974,1.10338106705779e-15,6.27940681654971e-16,2.643643089949e-05,4.34557884606512e-06,3.62877560445358e-16,1.50974597984608e-16,1.29902875717391e-16,9.94217174077609e-06,-7.00255420842237e-05,-1.08216836925895e-06,-3.03522734766513e-16,-7.70047990446817e-15,-1.71082918296708e-16,-1.87567568589432e-06,1.86498674902955e-17,-8.67229424591429e-07,8.14394345321631e-06,-2.1529292811469e-16,-0.0013866512261315,8.81922692162691e-16,-1.02149896180321e-16,-5.16684224715891e-06,-8.31586525299251e-06,-2.81013558658455e-07,2.19449427717807e-06,5.79347613219547e-07,-2.15991812364995e-16,8.21849631570188e-06,-0.000109599873330398,-2.4822504755249e-16,1.30491561555853e-16,-1.90663026740838e-07,-1.06245607221819e-17,-2.57405474138514e-17,3.07231638907307e-06,-3.50043190306334e-07,-3.82127901953424e-08,-4.92910971935414e-17,7.59514741033809e-17,2.49054480289927e-16,4.22310616774173e-16,1.55397491935364e-15,6.22499132918706e-16,-0.407689784258849,-0.707106781186547,-4.5772598751972e-16,4.72791673804915e-16
"t113",-0.0677451816958895,0.223836062488778,-0.079352706414402,0.033218336595316,0.00467164593553584,-4.03422008220783e-06,0.265063564562772,-0.0100468014743398,0.0792102023851342,-0.0228042370131099,0.0973756994116047,-0.376993487090778,0.00107253766817641,-4.2951248674033e-05,-0.00385094943981218,0.0757326612313763,-0.000200296866881763,0.0019037333939928,-0.000274166165852609,3.76579814489146e-05,-0.00480175233694569,0.000742365925472325,-1.40286092506997e-06,0.000177667135227508,-0.000159568279475837,0.00012464814216539,-0.000642595205024545,0.00264960908629144,-0.0463794464973994,0.000247155496238528,-0.000106381422003534,0.000294736291142399,-0.000754461936683711,0.000293038378710436,-6.95482070723633e-05,0.000199078867218513,-0.000520437109399208,0.000180665560495633,0.00278847947262008,-9.49621575257227e-05,-0.000521522616167967,-0.000327416735570731,-0.00153894385685461,0.0145050323120972,-0.00884847133129456,-0.000596267167723641,0.0971843176338026,-0.000162959970064919,-0.00023897047901223,-0.000464367402283761,3.21874958681843e-06,1.64838292430285e-16,4.05517974110233e-18,0.00748510340047107,-0.00138844758347646,-0.125450543423904,3.46338256939942e-16,0.00014667142175301,1.3673138958116e-15,7.20905573473158e-16,2.64364308995572e-05,4.34557884589472e-06,-1.0453179587988e-16,7.25542982168e-17,-1.25795579031495e-16,9.94217174081638e-06,-7.0025542084041e-05,-1.08216836905739e-06,1.04616867297995e-16,-7.5423100365176e-15,-1.06778063642302e-16,-1.87567568596059e-06,3.57964390551037e-17,-8.67229423802182e-07,8.14394345301591e-06,4.22552419827396e-17,-0.00138665122613258,1.85603543711161e-16,1.07073546400111e-16,-5.16684224711477e-06,-8.3158652533179e-06,-2.81013559116597e-07,2.19449427795447e-06,5.79347613179434e-07,3.13764468728961e-16,8.21849631617153e-06,-0.000109599873331055,2.22895233969362e-16,-5.39087834770162e-17,-1.90663026322606e-07,-2.76207217200613e-16,-3.7909983397021e-16,3.07231638840545e-06,-3.50043190836048e-07,-3.82127888330515e-08,9.55741027884611e-17,6.35577525274318e-16,-1.99472276830979e-16,1.43507940027843e-16,-6.99664661696388e-16,-6.3290457973851e-16,-0.407689784258849,0.707106781186548,2.11401107416825e-16,-2.46971906832342e-15
"t9",-0.0625948718668647,0.193623607741852,-0.0660393422466665,0.0273582310310747,0.00264893516562611,-2.15706732310034e-06,0.135596284337953,-0.00491976928855522,0.0348370612554946,-0.00812584044361803,0.0326446889710977,-0.119001019407427,0.000217388026181477,-7.41661568301185e-06,-0.000612763517243253,0.0051499790166086,-1.35450464011522e-05,-0.00025125128415115,3.82599609916162e-05,-9.99621492066693e-06,0.00162019574939785,-0.00025811568692871,5.66287500872136e-07,-0.000103061614022022,0.000102976478640805,-8.3599832030629e-05,0.000525448446837805,-0.00229354005915181,0.0458870992668821,-0.000254577298621745,0.000139812655032487,-0.000442293852715392,0.00121396091242149,-0.000522901728796711,0.000132775233775465,-0.000428187609779039,0.00116519238377962,-0.000516081792310171,-0.00897690679218254,0.000315559238285186,0.00187206814412286,0.00120585463677415,0.0058827061670354,-0.0571568659517132,0.0356318064460907,0.00254415863184887,-0.420021678734396,0.000757007880632021,0.00126920130129571,0.00257413920382372,-1.9065233305777e-05,-2.18479058785918e-17,-1.105756509212e-15,-0.0467370046361536,0.00879428067911471,0.850273086236329,-3.13826834702937e-15,-0.00101965411632635,-8.3938831536529e-15,-4.19933657340626e-15,-0.000196023205578427,-3.31775515919451e-05,-4.86023930476434e-16,-7.11919140199469e-16,-1.86846426049031e-16,-0.000108769741306089,0.000771809003560441,1.23773012297733e-05,-1.4641370260744e-17,9.26220078100911e-14,7.60479462543904e-17,2.59457506200059e-05,-1.83902288174625e-16,1.23136288326405e-05,-0.000128410067344378,1.02871621849143e-16,0.0254135817494428,9.70173413267298e-16,5.39563448267216e-17,0.000114494867306485,0.000194883339221916,6.6105811862858e-06,-5.58388583987562e-05,-1.65405604233995e-05,-2.16835268371981e-15,-0.000244522798659799,0.00354500541684569,4.02424253682997e-17,-1.14778414179211e-18,1.00275794963905e-05,3.44313874785672e-15,-1.20998374777604e-16,-0.000257737589896847,3.9678733383447e-05,4.41508619011484e-06,5.15817868839039e-17,6.19544847340043e-16,6.82013975650727e-17,7.89933673655543e-17,3.78784522826692e-17,6.68699500682271e-17,-0.00163602165951572,3.71997584510715e-17,8.8111702195601e-18,1.21050065925236e-16
"t12",-0.063258321855683,0.196763878455714,-0.0672138286182006,0.0278494189024414,0.00237166526546784,-1.80299832473812e-06,0.105543257403727,-0.0034853142193109,0.0161141835979336,0.00473751115107939,-0.0377795654989846,0.232291899647068,0.015582384372454,-0.000175369296971198,-0.0123112922770243,0.113711765364237,-0.000300188098659645,0.00150063053895489,-0.000212018732411221,2.11132958175805e-05,-0.00218837262067674,0.000327544363895987,-5.09255570441363e-07,1.93968713903013e-05,-4.72647291368459e-07,-5.215888250305e-06,0.000244203899300467,-0.00145254483632895,0.0703159516435589,-0.000629011679480918,-6.48163812750481e-05,2.73814087339558e-05,6.68712291233518e-05,-9.5580795974148e-05,3.30929405221601e-05,-0.000149136610042182,0.000440805387341944,-0.000283548035492412,-0.005756715301881,0.00021101806974969,0.00139436846414163,0.000933592935276252,0.00483528765123817,-0.0495387056860728,0.0321674122221214,0.00260206936190009,-0.443447416471833,0.0009982655881524,0.00461372526296317,0.0483603748132926,4.55300958643191e-05,-3.4153034392976e-17,1.20718482320397e-15,0.0469154780754056,-0.00729517205143546,-0.298466234201496,1.07380352126574e-15,0.000251291574024753,3.04752045830146e-15,1.26365900576693e-15,1.2031996301783e-05,3.00055539548635e-08,-2.07293163887618e-16,8.24214562590876e-16,-2.05272545644954e-16,-4.10913384321081e-05,0.000295932501350287,5.09815833509641e-06,2.98775510884265e-17,4.36302905100152e-14,-4.84874263838804e-16,1.55554805485288e-05,-2.06135070174456e-16,7.86690924134571e-06,-0.000116636645069053,6.3291296596855e-16,0.75070040702449,-3.46439923432805e-15,2.60074086981198e-17,-1.90648860322098e-05,-8.71586715281678e-06,-2.53918985054199e-07,-3.38347921682309e-06,-2.39501657856678e-06,-4.72252635821484e-16,-4.05381853397307e-05,0.000707573203887752,7.65040057576146e-17,1.47209511635406e-16,2.96537032257771e-06,8.17319374875234e-16,-4.21324023951591e-16,-8.56319385839192e-05,1.37112281979786e-05,1.52866293691377e-06,1.51217505758404e-16,-7.77539156917176e-16,3.7168984722696e-18,1.14648059754295e-16,1.68319238199099e-16,-2.44410436824134e-17,-6.2634178789045e-06,6.66334243584963e-16,1.18813733840807e-16,2.54802510580313e-16
"t116",-0.06635541285727,0.214534098775908,-0.0749264188968331,0.0312293080818079,0.00322739535664112,-2.52125085118659e-06,0.150559304132877,-0.00506833101951638,0.0245172975664745,0.00781227819598477,-0.063646286086757,0.399353652974714,0.0303749552739885,-0.000354440282749383,-0.0253032548885012,0.263661603354191,-0.000696410468826124,0.00483723927085856,-0.000693670328362797,9.1948165278019e-05,-0.0117514418333922,0.00181940121179262,-3.48064168650727e-06,0.000482359009445939,-0.000458647231515686,0.000367969074068628,-0.00238774161024423,0.0110923774977433,-0.343121953759335,0.00274442763150588,0.000162650042514879,-5.37777897843894e-05,-0.000116626033548147,0.000141166704900431,-4.40854409208742e-05,0.000167020689300209,-0.000466652711711677,0.00021719199740295,0.00379728500832325,-0.000133894742452383,-0.000806076517329472,-0.00052345429216478,-0.00259439135950451,0.0256493806842276,-0.016239072604655,-0.00122857176001697,0.20631380333346,-0.000427824428966364,-0.00170283303856517,-0.0170294872407485,-1.49173258083798e-05,2.207317100194e-17,-3.10120733880542e-16,-0.0145219550979619,0.00222377764509292,0.0846498922969338,-4.9720090267144e-16,-6.93833948553687e-05,-7.89476535405535e-16,-3.21890418492314e-16,-3.1046332382842e-06,-7.50992474645237e-09,1.63492089125336e-16,-1.36332035542983e-16,6.14103788714002e-17,7.13852155806103e-06,-5.1033774502349e-05,-8.47648912266866e-07,-2.45241237155478e-16,-6.82505467634722e-15,2.31629346981168e-17,-2.15018326663387e-06,5.37836110322816e-17,-1.06057838775721e-06,1.4237471711722e-05,-1.18424829114651e-16,-0.0796687481388174,3.35797014765804e-16,7.00610126949082e-17,1.70359117056029e-06,7.41097850768065e-07,2.15183078920061e-08,2.67676210356866e-07,1.71604405449909e-07,1.54939739864638e-16,2.8048235231073e-06,-4.56531435737704e-05,6.45477058613265e-17,2.49267471558213e-16,-1.30836731162385e-07,3.03082752820725e-17,-7.00076620681203e-17,2.75515660246295e-06,-3.70541235498793e-07,-4.08899902846231e-08,-1.37379019535222e-16,3.81263956955706e-16,2.54935772497609e-17,3.92854794937203e-16,7.00942422450744e-17,3.16962354703828e-16,1.63544229270229e-08,1.64644771819175e-15,-6.59686999002868e-17,0.707106781186549
"t117",-0.06635541285727,0.214534098775908,-0.0749264188968332,0.0312293080818081,0.00322739535664114,-2.52125085124746e-06,0.150559304132877,-0.00506833101951633,0.0245172975664747,0.00781227819598478,-0.0636462860867568,0.399353652974715,0.0303749552739886,-0.000354440282749285,-0.0253032548885011,0.26366160335419,-0.000696410468825994,0.00483723927085864,-0.000693670328362771,9.1948165278008e-05,-0.0117514418333922,0.00181940121179246,-3.48064168647642e-06,0.000482359009445198,-0.000458647231516099,0.000367969074068647,-0.00238774161024421,0.0110923774977434,-0.343121953759336,0.0027444276315061,0.000162650042514839,-5.37777897843287e-05,-0.000116626033548292,0.000141166704900316,-4.40854409208461e-05,0.000167020689300208,-0.000466652711711608,0.000217191997403113,0.00379728500832315,-0.000133894742452643,-0.000806076517329611,-0.000523454292165088,-0.00259439135950481,0.0256493806842276,-0.016239072604655,-0.00122857176001701,0.20631380333346,-0.000427824428966417,-0.00170283303856491,-0.0170294872407483,-1.49173258088773e-05,8.4481483764585e-17,-3.84155520647737e-16,-0.0145219550979618,0.00222377764509278,0.0846498922969347,-2.45186119818023e-16,-6.93833948556141e-05,-9.85700510350823e-16,-3.4146149930341e-16,-3.10463323843964e-06,-7.50992481223973e-09,1.56088090808401e-17,-1.55935342673646e-16,-1.14535613511289e-16,7.13852155784087e-06,-5.10337745021328e-05,-8.47648913073176e-07,1.6274485151017e-16,-6.70745191251337e-15,9.7625662947978e-17,-2.15018326655033e-06,-7.26255894720052e-17,-1.06057838814587e-06,1.42374717116783e-05,-2.25238338433992e-18,-0.0796687481388165,4.57884509175963e-16,-8.23689348426122e-17,1.70359117033387e-06,7.41097850698183e-07,2.15183077577825e-08,2.67676209855709e-07,1.71604404863456e-07,4.76096150710015e-17,2.80482352315403e-06,-4.56531435734921e-05,-1.57738564595197e-16,-3.46769125511386e-16,-1.3083673138873e-07,-1.21395532866028e-16,3.15578990717315e-17,2.75515660227978e-06,-3.70541236785292e-07,-4.08899904270394e-08,6.51575597476819e-17,1.81554806108657e-16,6.03057218219026e-17,-2.63365504664231e-16,-1.16849775163934e-16,-2.60941520468835e-16,1.63544274095484e-08,-1.185093241095e-15,1.26394797728845e-16,-0.707106781186548
"t7",-0.0621708928194901,0.190550249924214,-0.064523239259738,0.0266710424600892,0.00207879967758442,-1.55776948382836e-06,0.0902000373924259,-0.00294663847993836,0.0132653935047843,0.00370167771854552,-0.0290795384569575,0.176186410981495,0.010657707253049,-0.000115893559422608,-0.00800079597453195,0.064318711270269,-0.000169677492872388,0.000419235524579599,-5.60128752565138e-05,-1.59035419442627e-06,0.000858090232375604,-0.000147292841887234,4.3196111289052e-07,-0.000125002517981307,0.000141601793476166,-0.000120671995793713,0.0010475923592063,-0.00526477006190277,0.194491639417792,-0.00163827497049707,-0.000130982405117354,5.0538453570859e-05,0.000118627768023385,-0.000161087540994543,5.41495679914321e-05,-0.000232986308563011,0.000678922447556492,-0.000404722538412669,-0.00794881595496889,0.000288890719202317,0.00187004863011788,0.00124358741161918,0.0063775429658329,-0.0648134579566697,0.0418427860828189,0.00333230687767258,-0.565911410682968,0.00124865417100756,0.00554624773626939,0.0573458122096291,5.27919673385853e-05,-2.03098756672626e-16,4.87616985037836e-16,0.0533645910246795,-0.00825299907265311,-0.328539741802703,1.19097701278073e-15,0.000273578616832243,3.29107138800279e-15,1.58660187311701e-15,1.27083197308019e-05,3.12211933952484e-08,-3.61845801815463e-16,-2.83046289034697e-17,3.80508503524315e-16,-3.13730300785161e-05,0.000223498195022868,3.6281689616049e-06,-8.58472252104806e-18,2.67396274853556e-14,1.46306335603274e-16,6.18242167406086e-06,2.1609837800128e-16,2.64889306029283e-06,-2.0885116958729e-06,-6.28988014061409e-16,-0.650080873666488,3.17079796508568e-15,-2.074238762017e-16,0.000122796645624004,0.000189904147692998,6.40902362796879e-06,-4.99623526671077e-05,-1.3846826887414e-05,-1.99679366258653e-15,-0.000201502251845858,0.00285170545632781,-5.40564933410602e-17,-7.78828832462991e-17,7.64201550745592e-06,2.65774567444061e-15,3.41666849962365e-16,-0.000194120458565231,2.98037969041944e-05,3.31591353569153e-06,-4.86039011622255e-18,7.35626013721076e-16,-8.22500553976468e-17,1.14411341210254e-17,5.74048981686453e-17,8.32855119528906e-17,-1.18487210608587e-05,-1.84490118348129e-16,-8.12282458331992e-17,-1.03653428835919e-16
"t6",-0.0637539607196092,0.199351396078273,-0.068272578294875,0.0283058473282483,0.00242335057381196,-1.83868774593764e-06,0.107425869481237,-0.00353947758578375,0.0162507220367482,0.00468855588482457,-0.0371458772848094,0.2268392201435,0.0143525254211901,-0.000157879718989789,-0.0109549630735504,0.0908362112245832,-0.000239659050144443,0.000566660010863801,-7.45326581712909e-05,-6.29608455281525e-06,0.00215728681055449,-0.000365739969890942,1.04775963231358e-06,-0.000330385021505392,0.000395386240869377,-0.000344976424217945,0.00351575433068772,-0.0187916717381225,0.835618775523702,-0.00755625166495568,-0.00129187847991891,0.00223932554043082,-0.00488468735037328,0.00158551410492122,-0.000343391045174061,0.000865922314185202,-0.00218664048340614,0.000658462953237048,0.00987607827944239,-0.000335560725342884,-0.00185406089736639,-0.00117145628313941,-0.00558424443480461,0.0535100327640073,-0.0331390605131707,-0.00236559964401873,0.392209054161975,-0.000757064547483503,-0.00263307286423264,-0.02518513292199,-2.05425179050973e-05,2.1022945932328e-16,-2.76527718806197e-16,-0.0188447837834734,0.00283828913149177,0.0995435236872669,-4.49896157009437e-16,-7.89951412347059e-05,-1.02867711078603e-15,-4.69855115375373e-16,-3.24018137686657e-06,-7.51463018660417e-09,9.5227311630178e-17,-6.0695966647784e-17,-1.02563637259184e-16,3.25278377144401e-06,-2.26586420706903e-05,-3.2684246153133e-07,-5.71453941521525e-17,-1.9468162882832e-15,5.00945618905318e-18,-1.78372112950339e-07,9.10976931065271e-18,-4.45215437644566e-08,-1.63383283892251e-06,2.45958322550003e-17,0.0217163997131775,-2.61237822493605e-16,1.2029024808407e-18,7.94398147671854e-07,2.75219577274076e-06,9.61628081918739e-08,-1.24291205451583e-06,-5.16896579668116e-07,4.942837610523e-17,-8.32609283135435e-06,0.00013906624831347,-7.40112919985537e-17,2.86508001033248e-18,6.10720603306995e-07,1.74595948188859e-16,-1.09975883057545e-16,-1.89117444407325e-05,3.12465368016152e-06,3.4895376702254e-07,-1.43189970637214e-16,-3.06498091090645e-18,3.89361436622977e-17,3.0258935856186e-17,1.02552549785044e-16,5.39384510990184e-17,-1.64860996809679e-06,3.22127631864588e-16,1.84176395432316e-17,-1.43788712474124e-16
"t69",-0.0633156957544338,0.196528254812579,-0.0669598743647845,0.0277197169656789,0.0021259026108621,-1.5575459554397e-06,0.0880575311014225,-0.00278618889413598,0.0107165786417232,0.00387113795362386,-0.0255318323438487,0.132852463064311,-0.00414821669144508,0.00012128875961887,0.0116059481167698,-0.636617611362971,0.00169486836451712,0.0114609385804137,-0.00158150892329089,0.000137751953746802,-0.0151062631194744,0.00229356836834828,-3.97023162504999e-06,0.000412216220090564,-0.00035012503925801,0.000268058776880035,-0.00124205874843237,0.00494939799123085,-0.0771499863826803,0.00037740202013892,-0.00017996504824206,0.00045910859648078,-0.00113054224130299,0.000414927269141697,-9.48475089935899e-05,0.000253358396636088,-0.000646341076270187,0.000189501360467188,0.00264085911618204,-8.72600849887026e-05,-0.000442184072512526,-0.000269588697769638,-0.00121112572117004,0.0109716847335702,-0.00649520265210135,-0.000400616615472004,0.063899592370215,-9.30895255016024e-05,-7.76580907485307e-05,0.000160712587138821,1.40021452788163e-06,-2.0735401829293e-17,-2.07496221939636e-16,0.0023060028218844,-0.000390622216254028,-0.0207570278878779,-8.26515259834759e-17,1.81297528481623e-05,-1.70136340536186e-16,7.50066806104466e-16,4.42027130952314e-07,-1.42047514621353e-07,3.15882424724798e-16,3.69329115946196e-16,2.19859544983303e-16,-7.36757814996849e-06,5.30898442673344e-05,9.14606142074051e-07,-6.25138472266462e-16,7.36636199955144e-15,4.35846750689701e-16,2.51827274746284e-06,-2.54811205162337e-15,1.22982398925752e-06,-1.41695875599045e-05,-9.91318469284744e-16,0.00275997928631504,0.707106781186547,-4.62741290118288e-15,1.5829102226994e-05,2.76381203462671e-05,9.39057168103851e-07,-8.19328109277645e-06,-2.53005564040356e-06,1.0162705372293e-15,-3.79061495765908e-05,0.00056342767378831,4.98030848457073e-16,-2.18767197755361e-16,1.76597036629311e-06,-2.23604435067787e-17,-2.35229845229172e-16,-4.79946380087101e-05,7.56194986197892e-06,8.42457159401319e-07,-2.11136568357822e-16,-4.74895207995048e-17,3.7883786452034e-17,2.52652845353583e-16,2.53762474760861e-16,3.03380418255424e-17,-3.00187364060678e-06,3.56068205572542e-16,1.66010990430661e-17,4.69923831977972e-16
