accepted_species,estimate
t29,0.35356706
t21,-0.37249294
t24,0.0708167
t125,-0.48909444
t65,-0.57702786
t367,0.40507236
t230,-0.36490506
t349,-0.75315815
t415,-0.7214911
t458,0.6615598
t364,-0.17549841
t240,-0.32494316
t474,-0.11881746
t484,0.24770889
t476,0.24945635
t143,-1.4144708
t83,-0.446181
t255,0.99480796
t162,0.7032118
t192,0.6994178
t303,1.9714857
t387,2.652153
t272,1.9914819
t291,1.934507
t156,-0.13214497
t167,-0.13271599
t350,-0.5164047
t351,-0.5164047
t392,-0.97335035
t283,-0.3213535
t495,0.6385703
t362,-0.4524133
t201,-0.15078041
t236,0.07084835
t288,0.6346137
t343,-0.13881446
t264,0.88022786
t224,0.6030346
t284,0.08313352
t148,0.4985812
t132,0.4369071
t114,-0.35536885
t165,-0.34089637
t237,-0.22781277
t238,-0.22781277
t55,-1.2890755
t51,-1.2494619
t52,-1.2494619
t110,-2.8055158
t11,0.11101304
