accepted_species,estimate
t9,1.2936193066256143
t170,-1.0271801299527166
t193,-1.005263994431261
t133,-1.0943391653490238
t201,-1.1099660673047214
t98,-0.8232571471563137
t154,-0.4207411807875054
t159,-0.4286731202809686
t153,-0.42807833992969974
t139,-0.471849296678968
t191,-0.5056821935751035
t156,-0.4301569351263138
t31,0.12052269963740543
t84,-0.8616566236260095
t46,-0.28148666344809403
t168,-0.4296744606851406
t188,0.80763228066371
t111,0.7518260644393252
t35,0.6692015257594476
t17,0.679835330410641
