accepted_species,estimate
t20,-1.1767358
t38,-0.7737853
t64,-0.14714836
t104,0.12309963
t417,-1.7208719
t293,-1.5679045
t300,-1.5220743
t236,-1.4823662
t233,-1.4442692
t341,-0.45876625
t119,0.058550328
t149,0.08063005
t145,0.093740776
t184,0.07711223
t212,-0.24432379
t373,0.3361658
t294,-0.19862744
t288,-0.7458451
t352,-0.6320863
t490,-0.78234124
t274,-0.7866037
t308,-0.5146788
t428,-0.65421045
t174,0.1341889
t83,0.5106989
t74,-0.30948365
t31,-0.996424
t18,-0.9752957
t29,-1.1338981
t52,-0.30431157
t77,0.05526849
t92,0.8150942
t259,0.4340255
t361,0.7371144
t472,0.17095858
t255,0.530822
t429,0.81208706
t118,0.8179068
t162,0.8249117
t435,0.877789
t485,0.8907624
t354,1.5402188
t314,1.538962
t323,1.5936455
t239,1.4906367
t150,1.8867466
t10,-1.1771172
t9,-1.1645902
t6,-0.9329621
