"accepted_species","estimate"
"t54",0.480994529615857
"t115",0.22921434493335
"t125",0.22921434493335
"t138",0.22921434493335
"t139",0.22921434493335
"t117",0.225494886878675
"t62",0.446605323165736
"t52",0.509422698779275
"t35",0.879775157901895
"t36",0.879775157901895
"t175",0.653788135252598
"t271",0.624361033998784
"t272",0.624361033998784
"t324",0.712298372260189
"t332",0.505555216940291
"t278",0.619811002499477
"t245",0.63116458527012
"t146",0.669520341455498
"t143",0.67052571795597
"t169",0.700013664678957
"t170",0.700013664678957
"t328",0.637618193837295
"t329",0.637618193837295
"t253",0.637618193837295
"t208",0.637618193837295
"t105",0.637618193837295
"t84",0.602623275371267
"t85",0.602623275371267
"t44",0.899411860857456
"t33",0.835897863393289
"t43",0.835897863393289
"t64",0.835897863393289
"t65",0.835897863393289
"t38",0.835897863393289
