accepted_species,estimate
t26,-0.2136025515530607
t27,-0.5048152496722128
t20,-0.5878521692611914
t36,-0.14751293311943212
t223,0.32604573408664733
t205,0.5663247350975215
t206,0.2917684704338425
t242,-0.650525957161248
t125,-0.18395564915668125
t85,-0.027332433080306938
t77,-0.03260360134242809
t131,0.06963677416682504
t16,-0.6545120853740255
t232,0.6733937399746995
t240,0.6429660719578754
t235,-0.001397288839791698
t193,-0.8042924489252138
t194,-0.7903034705500566
t197,-0.792783504093627
t199,0.0079517301733825
t192,-0.5475364785992398
t226,0.16520753457172935
t202,0.04600334761345352
t126,0.2573979304847884
