accepted_species,estimate
t211,-0.407722082835985
t223,-0.4051267661930373
t340,-0.39770569976534775
t317,-0.39784752033324255
t178,-0.42460601438593726
t183,-0.4609885484377841
t277,-0.7129881429614765
t386,-0.7162652109684462
t378,-0.7243797644015476
t381,-0.7238908877764838
t390,-0.7247236817217494
t391,-0.724723681721748
t345,-0.7217776674728218
t266,-0.7086964252555443
t261,-0.7192129782844673
t423,-0.7345029603888034
t389,-0.7338385255547525
t298,-0.7309635108015851
t344,-0.7367830548198101
t421,-0.7381501800218165
t372,-0.7362516902538605
t307,-0.7322650039180787
t300,-0.7299326860577371
t285,-0.7243883008778863
t303,-0.7246792416051504
t234,-0.6844190660385584
t250,-0.6878125413701094
t276,-0.6919829951772656
t252,-0.6881036715035521
t400,-0.745576932832486
t409,-0.7605794055607229
t410,-0.7605794055607242
t388,-0.759664277840688
t415,-0.7612803195772151
t416,-0.7612803195772146
t414,-0.7567515273731626
t318,-0.7532231235662211
t301,-0.7472107991790374
t362,-0.7501812965609472
t363,-0.751306967192096
t328,-0.7486818591900762
t329,-0.7494859242890006
