accepted_species,estimate
t4,-2.1760361
t53,-1.6083573
t46,-2.0207438
t47,-2.0207438
t55,-1.887032
t66,-1.2665292
t77,-1.6136724
t70,-1.5907736
t29,-1.7104316
t107,-0.6668654
t255,-0.034459148
t164,-0.19195624
t261,0.34677145
t274,0.67032367
t320,-0.023225302
t93,0.107308924
t108,0.16320477
t297,0.80290985
t298,1.0163155
t321,0.5059207
t350,0.6291043
t287,0.61093044
t372,0.7036317
t247,1.3744152
t170,0.858543
t400,0.4255974
t363,-0.35323218
t206,0.50558406
t385,0.686813
t312,0.37129396
t390,0.3936209
t300,0.6105718
t413,1.1818026
t147,-0.6172233
t204,-0.06550118
t169,-0.23143184
t113,-0.07332773
t142,0.066296704
t103,-1.2587414
t179,-1.3530481
t111,-0.8709901
t73,-0.27083033
t30,-1.2203631
