accepted_species,estimate
t3,0.87245
t32,-0.76959425
t274,-1.149662
t255,0.045594886
t170,-1.1264032
t178,-0.7691625
t239,-2.044384
t26,-0.4447505
t73,-0.41707516
t118,-0.8027423
t43,0.283144
t140,-1.185652
t203,-0.94863474
t284,-1.5760299
t217,-1.8305161
t153,-1.8074712
t42,0.18944883
t272,0.48405677
t229,0.82044905
t201,1.1047484
t67,0.7756124
t87,0.43203923
t70,0.86982054
t128,0.9403644
t207,0.524556
t235,0.49751675
t60,1.5590845
t220,2.0534525
t35,0.45778272
t30,0.5420006
t11,0.577823
t18,-0.0013851689
