accepted_species,estimate
t31,-0.8312473059444873
t152,0.05333793086497304
t153,0.05333793086497304
t207,0.6712118130491517
t343,0.918079207688626
t303,0.6168119185088966
t304,0.6168119185088966
t297,0.6168119185088966
t259,0.6168119185088966
t158,0.47429927347976497
t55,-0.2462611585456709
t50,-0.835652271211169
t45,-0.8167717396661481
t46,-0.33474673214693396
t60,-0.16252415709860152
t72,-0.007260566764297893
t222,0.43982713790733186
t338,0.43606166398143376
t339,0.43606166398143376
t299,0.43606166398143376
t300,0.43606166398143376
t264,0.6007751597967924
t296,0.6007751597967924
t334,0.6007751597967924
t335,0.6007751597967924
t255,0.7764055056446117
t281,0.8400156614813171
t282,0.8400156614813171
t337,0.9496432540556211
t311,0.9237942822058687
t247,0.7509755475917322
t151,0.3067950255238363
t196,0.37030758157596205
t141,0.26934490118853377
