accepted_species,estimate
t31,1.7913885656968531
t36,-0.38920230654137417
t167,-0.32898464564507585
t205,-0.8806771502614286
t89,-0.38402269397984284
t241,-0.34057007357695174
t85,0.34024998756373165
t76,0.7942080269290175
t140,-0.12985121325308316
t56,1.0357547305296044
t142,-0.9365393994378439
t236,-0.4932179444763057
t184,-0.2944512050205202
t134,-0.5562333493494198
t200,-0.4999060543258658
t227,-0.9402534653324887
t201,-0.8494312645999973
t154,-0.7966001800676317
t185,-0.24092167344074913
t165,-0.27519941989864743
t106,0.4043234815246774
t113,0.04951729217763475
t43,0.972849974899495
t44,1.167070089323419
