accepted_species,estimate
t24,0.8294658117164463
t73,0.6069736099953547
t59,0.2239720658556346
t175,-0.16037680386031453
t154,-0.15328951600519528
t120,0.24956912405274037
t225,0.8286476554304011
t173,0.8229877259590754
t215,0.8244115098029632
t147,0.6876707719871126
t62,-0.6910248326421853
t143,-1.0805666306897952
t71,-0.4777325378834367
t133,-0.37513098948237966
t128,-0.37523062257620654
t168,-0.3703574210999282
t236,-0.3695717933804522
t137,0.14339182561158895
t181,0.1504266555789471
t99,-0.553869060306209
t199,-0.5680102837872318
t29,0.35590658477262777
t22,0.7582790592276669
t9,1.822376309377575
