accepted_species,estimate
t145,-0.16684899
t199,0.3507165
t185,0.35003248
t186,0.34130356
t136,-0.4974197
t147,-0.4025585
t162,-0.29079586
t204,0.049424365
t335,0.59885496
t245,0.20691743
t384,0.61378485
t278,0.15120313
t184,0.025337582
t407,0.6435137
t403,0.35650846
t382,0.37149712
t466,0.69105107
t360,0.2697181
t368,0.37342516
t327,0.6051128
t315,0.6510526
t367,0.52221704
t366,0.61715955
t259,0.38865882
t221,0.15565126
t194,0.15321319
t421,0.6013365
t422,0.6013365
t252,0.65142846
t173,-0.020219572
t167,-0.044659976
t227,0.24609427
t317,0.44745782
t470,0.73809206
t308,0.31348792
t309,0.4069831
t282,0.2844522
t302,0.46736428
t310,0.5980927
t381,0.86608034
t330,0.7746092
t357,0.84964633
t358,0.8134804
t328,0.9467564
t307,0.49753097
t273,0.29689682
t431,0.9257696
t413,0.62668157
t409,0.46577772
