accepted_species,estimate
t125,0.18803751
t126,0.18803751
t121,0.18803751
t122,0.18803751
t195,0.18766248
t123,0.18785632
t94,0.18629608
t73,0.18234767
t74,0.13833097
t107,0.13047078
t135,0.13142335
t142,0.13142335
t143,0.13142335
t120,0.13142335
t92,0.13567388
t95,0.13200709
t96,0.13200709
t244,0.122296296
t245,0.122296296
t127,0.122296296
t79,0.13200709
t265,0.13243039
t287,0.13243039
t288,0.13243039
t293,0.13243039
t294,0.13243039
t217,0.13243039
t71,0.13376352
t75,0.1326251
t81,0.13133445
t83,0.13133445
t67,0.13818477
