accepted_species,estimate
t125,0.11222853
t126,0.14608209
t121,0.181293
t122,0.11437619
t195,0.20115528
t123,0.14556228
t94,0.11284353
t73,0.12448141
t74,0.124463566
t107,0.20632648
t135,0.13519236
t142,0.19206393
t143,0.13306423
t120,0.1481312
t92,0.113172695
t95,0.13302888
t96,0.113975525
t244,0.20613445
t245,0.20613445
t127,0.12187419
t79,0.114014424
t265,0.13869272
t287,0.14846323
t288,0.14846323
t293,0.13401546
t294,0.13401546
t217,0.13869272
t71,0.124463566
t75,0.14267583
t81,0.13134724
t83,0.13170375
t67,0.13434467
