accepted_species,estimate
t54,-0.29594269574215487
t200,-0.2183243741843381
t201,-0.2183243741843382
t113,-0.26184297707488124
t114,-0.12545601439027876
t182,-0.29413676602876415
t122,-0.33404729084735124
t88,-0.688979024644503
t93,-0.7156293434268131
t56,-0.675734708954875
t151,-0.7344292913358111
t89,-1.1131000797838702
t65,-1.0064804315963534
t109,-0.3819110273390444
t168,-0.38402023727057605
t38,-0.3741757281272295
t188,-0.5937663177816433
t73,-0.30045290034585903
t80,-0.30493009456130016
t178,-0.3073442953009278
