accepted_species,estimate
t290,0.65235794
t286,0.65248686
t176,0.65248686
t177,0.65248686
t162,0.658889
t238,0.6617069
t61,0.72546005
t72,0.7289377
t226,0.62104666
t227,0.6126976
t158,0.643189
t100,0.61424786
t200,0.85654277
t6,0.8828886
t29,-1.0359923
t293,-1.00919
t294,-1.0088437
t257,-1.0068684
t115,-1.0098432
t243,-1.0114907
t122,-1.0436467
t164,-1.041047
t157,-1.044689
t150,-1.0475576
t316,-1.0451362
t79,-1.0343405
t109,-0.98408926
t279,-0.971833
t292,-0.974175
t58,-0.8927763
t35,-1.0264614
t24,-0.73138005
