"accepted_species","estimate"
"t89",-1.38046175792454
"t150",-1.46284838128989
"t68",-1.40200203672925
"t178",-1.36674406905245
"t236",-1.37167632837499
"t134",-1.356184972684
"t133",-1.35598470124679
"t130",-0.143424015930386
"t98",-0.110912743424811
"t113",-0.12137095667654
"t285",-0.123279130147423
"t103",-0.087681488035033
"t49",-0.0598493961041734
"t25",0.276360890618347
"t352",0.179860730624622
"t156",0.154432429625662
"t104",0.180374240794429
"t208",0.253132807660782
"t173",0.219395946295738
"t275",0.216601213545799
"t163",0.219895514996001
"t219",0.599036161951639
"t220",0.599036161951639
"t45",0.50482130944111
"t46",0.514900932041407
"t365",0.5490052304493
"t37",0.738160596802963
"t47",0.889118658816154
"t78",1.06549695287379
"t192",1.07706347901342
"t338",1.08943298645424
"t340",1.0361289239207
"t301",1.01476386069067
"t259",1.01626183408934
"t330",1.06618714210783
"t310",1.06417541647192
"t362",1.06417541647192
"t363",1.06417541647192
