accepted_species,estimate
t19,1.0504867195568086
t91,-0.3491709551252902
t32,-0.946451997985277
t167,-1.4662647166842124
t221,-1.5227289736724463
t210,-1.3710380835524303
t16,-0.7633232304986983
t177,-0.543477625446852
t202,-0.3632948758292807
t155,-0.4785718416011416
t28,-0.7783270650391344
t113,-0.7332378996412446
t21,-0.847479358413789
t175,1.5693171110704038
t108,1.540341029163048
t120,1.6035158941054044
t117,1.618757919759174
t47,1.4037467852589975
t156,1.7430699791818365
t107,1.3773424702514518
t95,1.599884158254307
t213,0.2036489792962962
t170,0.022113339143480088
t73,-0.1942761223336043
