accepted_species,estimate
t46,-1.2181802
t118,1.6485572
t279,1.6359937
t340,2.020886
t333,2.0518763
t335,2.0792575
t362,1.0159682
t257,1.154351
t124,2.3055391
t271,-1.1518769
t215,-0.026836928
t341,0.5381105
t179,-0.35401034
t278,-0.7500455
t326,-0.78360766
t227,0.03457826
t146,-1.1768826
t64,-0.14731023
t167,-0.36675248
t8,-0.18178272
t12,-0.3976212
t79,-0.916509
t136,-0.6458788
t247,-0.03705866
t207,-0.64671063
t85,-0.3461093
t190,-0.7163508
t331,-0.5451364
t262,-0.3768413
t104,-0.18583015
t266,-0.40733796
t99,-0.14145453
t158,-0.87760216
t204,-0.2575275
t318,0.65912443
t302,0.6631229
t17,-0.0073375124
t7,-0.07981235
