"accepted_species","estimate"
"t150",0.763188036356284
"t162",0.764972394479844
"t163",0.764972394479844
"t23",0.555029970828965
"t96",0.38877808518715
"t102",0.396217823002188
"t172",0.697805812413266
"t11",0.602390117230159
"t28",0.690813853747308
"t34",-0.123963267038984
"t22",-0.0835590680114954
"t113",0.281258573499383
"t138",0.159117265633457
"t206",0.22123999837556
"t151",0.212683042018314
"t24",-0.912050458642458
"t15",-0.242477708605474
"t183",0.104070233389461
"t71",0.103424549270684
"t154",0.367262648652308
"t55",0.582655663062423
"t21",0.467104082825575
"t19",-0.410240169277724
