accepted_species,estimate
t23,-0.39158419249943643
t125,0.07838485140886042
t86,0.061396685863628994
t135,0.11071297298251953
t146,0.100679720580672
t156,0.10110934507390794
t150,0.10265539126978802
t169,0.10273455251427839
t190,0.10495906088290727
t407,0.10459310217786492
t394,0.10462184685971486
t403,0.10467261587027021
t366,0.10476707352731729
t347,0.10477287260998105
t242,0.10546661094188525
t166,0.10592036440967846
t302,0.10546133342435451
t310,0.10569153310108433
t381,0.10565275833588354
t339,0.10568225839124913
t272,0.1057771212348766
t427,0.10593324521119497
t453,0.10609354708832197
t165,0.1057280944140171
t463,0.09863072433536221
t455,0.09836523183377366
t468,0.09830660637443965
t268,0.09821273864867477
t177,0.09851318442067775
t142,0.08656060743669786
t214,0.07804836929878037
t230,0.07807385959900086
t415,0.0780881152221024
t275,0.07815295565160285
t492,0.07799835605619339
t437,0.0781414288613663
t291,0.07807472700113406
t212,0.07668824721755128
t235,0.07629150539388876
t363,0.07614633140115071
t314,0.07619144744978128
t459,0.07612733813764531
t262,0.07702177255593827
t181,0.0768300829158565
t219,0.07752961595122482
t97,0.19796824529692444
t32,-0.10676925496629727
t75,0.3722099385604336
t73,0.4507590756090379
