accepted_species,estimate
t6,-0.0864211
t72,0.034499854
t47,0.07707243
t60,-0.038605947
t188,-0.3318512
t230,-0.43299395
t209,-0.5365258
t293,-0.29301414
t294,-0.78769064
t226,0.4497784
t143,-0.036660414
t23,-0.041022077
t322,-0.33014572
t299,1.2506448
t68,-0.05428067
t325,-0.9211305
t282,0.64292747
t261,0.3932137
t37,-0.037342396
t133,-0.0007523475
t341,-0.25818804
t146,-0.22384104
t63,-0.02596176
t199,0.13685556
t317,1.0311052
t346,1.1533178
t345,0.09866025
t231,0.23582703
t108,0.44376087
t121,-0.07498788
t269,1.8270843
t153,0.05902569
t333,0.2011828
t110,-0.06628732
t111,0.095749505
t44,0.08765358
