accepted_species,estimate
t124,0.15332716320268874
t125,0.15332716320268874
t55,0.04532421405262634
t60,0.006927430065983108
t79,-0.07777261030280548
t166,-0.2805004486368614
t315,-1.457780480602989
t245,0.1175801886258162
t288,-0.08329099187111952
t276,-0.07361248773449248
t274,0.03929177362192493
t240,1.6266226597781475
t206,-0.16322796222079117
t162,-0.2999503572260851
t188,-0.5880043007024631
t326,-0.4466984925540111
t230,-0.5239920954897892
t208,-1.3301844006204773
t209,-1.3301844006204773
t293,-1.7902573499974224
t294,-1.7902573499974224
t339,-1.891958650804064
t96,-0.09653485205303756
t200,1.3993237824990168
t355,1.4907134736741015
t356,1.4907134736741015
t313,1.5379689564165744
t310,1.5309933690069022
t221,-1.7111174446423585
t328,-0.4831067916196555
t187,-0.8170629885311613
t149,0.09971928466384831
t183,0.16909931589772326
t59,8.718449412432362e-05
t46,0.043973029590813624
