accepted_species,estimate
t128,0.26165184574463674
t251,0.24074372397501367
t213,0.23777464475333612
t253,0.2050626914771926
t254,0.20503830217752975
t264,0.17948087020593897
t180,0.2278867493292929
t137,0.19889449530024697
t225,0.2549897481403097
t133,0.21773617037720616
t167,0.21175008813163812
t164,0.16191180587947177
t87,-0.4504557424869796
t65,-0.7349987617314123
t151,-0.08118279958976542
t152,-0.029258165638409533
t116,-0.08730685518429203
t61,-0.13177923373327308
t127,0.045706060237024074
t129,-0.017320730893008045
t240,0.03462170023692203
t83,-0.1113320592053809
t138,-0.027740176424618217
t149,0.01571279823090645
t184,0.017776724640769837
t53,-0.6611996442879752
