accepted_species,estimate
t94,-0.21572416782048948
t138,-0.6500739981958604
t177,-0.4403595508738229
t89,-0.4067883817720687
t18,-0.04870037957714441
t162,-0.5589014319801513
t148,-0.3185925715954853
t102,-0.021202116924972043
t195,-0.35943801967571815
t10,0.2873618182796028
t204,0.6208108499873698
t172,1.2337007715721842
t131,1.1173309174741484
t47,1.0103751684279447
t104,-0.1660625612031003
t98,-0.8330740225558476
t179,-0.897237393524532
t74,-0.9892020907377609
t184,-0.9882333652885221
t27,0.19838573000299597
t31,0.42880128520867905
