accepted_species,estimate
t14,-0.85944587
t28,-0.34122628
t51,0.14925154
t148,0.9254977
t157,0.9700179
t277,1.485565
t423,0.64744824
t393,0.97191924
t344,0.59515625
t239,1.5397809
t308,0.9836781
t413,1.7882389
t363,1.0553268
t329,1.0946497
t283,1.3094275
t161,0.22819941
t75,0.30569842
t74,0.13799165
t91,0.19851053
t73,-0.122845784
t81,0.1134139
t109,0.17500152
t120,0.122633986
t47,0.2767392
t89,0.47410184
t152,-0.07277081
t149,-1.8449905
t255,-1.8609666
t398,-2.041192
t228,-1.2209345
t412,1.2737045
t249,-0.463535
t334,-1.83894
t320,-0.24026638
t110,-0.27545357
t129,-0.17866467
t179,0.9576786
t176,0.95818347
t147,0.17416036
t306,0.23998626
t269,0.5293922
t42,0.60272926
t17,-0.1723644
